"","DNR.Open","DNR.High","DNR.Low","DNR.Close","DNR.Volume","DNR.Adjusted"
"2007-01-03",27.65,27.66,26.52,26.74,2578200,13.32
"2007-01-04",26.62,26.74,25.98,26.06,3953600,12.98
"2007-01-05",26.08,26.64,26.06,26.55,3547200,13.22
"2007-01-08",26.78,27.12,26.63,26.77,4314600,13.33
"2007-01-09",26.4,26.84,26.29,26.57,3490600,13.23
"2007-01-10",26.36,26.69,26.2,26.39,2233000,13.14
"2007-01-11",26.38,26.99,25.96,26.1,2358200,13
"2007-01-12",26.1,27.21,26.1,27.21,1561400,13.55
"2007-01-16",27.13,27.38,26.5,26.69,1397800,13.29
"2007-01-17",26.53,27.19,26.44,26.89,1490200,13.39
"2007-01-18",26.89,27.24,26.5,26.7,1729400,13.3
"2007-01-19",26.75,27.45,26.75,27.24,1249800,13.57
"2007-01-22",27.35,27.5,26.87,27.06,1219200,13.48
"2007-01-23",27.32,27.93,27.16,27.83,1668400,13.86
"2007-01-24",27.75,27.76,27.26,27.69,1540000,13.79
"2007-01-25",27.55,27.58,26.79,26.91,1317000,13.4
"2007-01-26",27.1,27.81,27.1,27.55,1389400,13.72
"2007-01-29",27.55,27.86,27.04,27.14,1063600,13.52
"2007-01-30",27.3,28.02,27.3,27.96,1252400,13.92
"2007-01-31",27.7,28.19,27.59,27.7,2549600,13.8
"2007-02-01",27.88,28.01,27.34,27.78,2470800,13.84
"2007-02-02",27.97,28.29,27.58,28.04,2035200,13.96
"2007-02-05",28.28,28.57,28.02,28.14,1226400,14.01
"2007-02-06",28.32,28.51,27.97,28.28,2282800,14.08
"2007-02-07",28.28,28.46,28.1,28.32,2359000,14.1
"2007-02-08",28.39,28.61,28.17,28.48,1658200,14.18
"2007-02-09",28.48,28.99,28.4,28.66,1728400,14.27
"2007-02-12",28.66,28.66,28,28.18,802200,14.03
"2007-02-13",28.38,28.69,28.29,28.69,701600,14.29
"2007-02-14",28.81,29.3,28.6,28.86,1796200,14.37
