"","DO.Open","DO.High","DO.Low","DO.Close","DO.Volume","DO.Adjusted"
"2007-01-03",79.76,79.79,75.74,76.65,4385800,48.22
"2007-01-04",76.51,77.7,75.49,75.99,6991000,47.8
"2007-01-05",76.82,77.88,75.88,77.27,3908500,48.61
"2007-01-08",78.22,78.74,75.82,76.38,5487400,48.05
"2007-01-09",75.89,76.85,74.39,76.49,4157000,48.11
"2007-01-10",76.49,79.34,74.08,74.3,5216900,46.74
"2007-01-11",74.2,76,73.54,73.92,3735100,46.5
"2007-01-12",74.15,77.19,74.12,76.82,4918000,48.32
"2007-01-16",76.83,76.85,74.15,75.14,4411900,47.27
"2007-01-17",75.14,77.01,75.13,76.58,3468700,48.17
"2007-01-18",77.25,77.7,75.87,77.01,4887800,48.44
"2007-01-19",77.91,79.21,77.13,79.21,3643700,49.83
"2007-01-22",80.45,80.83,79.21,79.84,5100300,50.22
"2007-01-23",80.33,81.84,80.2,81.17,3278300,51.06
"2007-01-24",80.4,82.18,79.48,81.66,2680200,51.37
"2007-01-25",81.66,82.56,80.71,81.36,3226400,51.18
"2007-01-26",82.05,82.5,80.68,81.04,2403200,50.98
"2007-01-29",81.7,82.38,80.27,80.69,3845200,50.76
"2007-01-30",80.94,83.5,80.94,83.17,4202800,52.32
"2007-01-31",83.52,84.71,82.5,84.44,7784400,53.12
"2007-02-01",84.5,85.5,83.22,84.75,4321800,53.31
"2007-02-02",85.02,85.35,83.18,84.58,3264300,53.2
"2007-02-05",85.03,85.89,84.15,84.2,3620200,52.96
"2007-02-06",84.95,85.32,83.04,84.25,3114800,53
"2007-02-07",84.47,84.89,83.05,84.47,2669600,53.13
"2007-02-08",86.5,87.9,84.47,87.23,5308300,54.87
"2007-02-09",86.95,86.95,84.25,85.28,7250300,53.64
"2007-02-12",81.04,81.15,77.76,78.97,4598300,52.2
"2007-02-13",79.49,80.06,78.9,79.88,2441600,52.8
"2007-02-14",80.75,80.77,79.15,80.15,3028200,52.98
"2007-02-15",80.15,80.15,78.9,79.21,2393800,52.36
"2007-02-16",79.14,79.5,78.37,78.59,1675900,51.95
"2007-02-20",77.85,77.9,77,77.89,2386700,51.49
"2007-02-21",78.2,79.5,76.75,79.4,3082700,52.48
"2007-02-22",79.27,80.25,78.6,80.06,2680700,52.92
"2007-02-23",80.45,81.1,79.6,79.84,1846300,52.77
"2007-02-26",80.53,81.95,80.45,80.87,2371800,53.46
"2007-02-27",79,80.6,76.99,78.22,2938900,51.7
"2007-02-28",78.5,79.13,77.42,77.82,2662000,51.44
"2007-03-01",75.83,77.95,75.47,77.38,3686400,51.15
"2007-03-02",77.25,77.31,74.67,75.12,3862000,49.65
"2007-03-05",73.94,75.35,73.5,73.65,3249900,48.68
"2007-03-06",74.56,75.59,74.14,75.12,2141500,49.65
"2007-03-07",75.14,77.38,75.02,76.03,2878800,50.26
"2007-03-08",76.98,77.15,75.85,76.76,2483400,50.74
"2007-03-09",77,77.45,75.87,76.66,2618600,50.67
"2007-03-12",76.14,76.64,75.05,76.35,1857600,50.47
"2007-03-13",76.66,77.82,75.3,75.82,2540200,50.12
"2007-03-14",76.24,76.49,74.68,76.24,2700400,50.4
"2007-03-15",75.99,76.85,75.32,76.45,1637000,50.53
"2007-03-16",76.58,77.27,76.11,76.12,2359900,50.32
"2007-03-19",77.2,78.76,77.2,78.42,2538000,51.84
"2007-03-20",78.42,79.02,77.54,78.62,2565500,51.97
"2007-03-21",79.14,81,78.91,79.9,3530300,52.81
"2007-03-22",80.99,81.4,80.17,81.19,2334200,53.67
"2007-03-23",81.26,81.98,80.53,81.4,1845900,53.81
"2007-03-26",81.99,82.25,80.02,81.19,1714900,53.67
"2007-03-27",80.43,81.35,80.07,80.92,1158200,53.49
"2007-03-28",81.44,81.7,79.86,80.44,2179000,53.17
"2007-03-29",81.16,82.66,80.59,82.25,3083900,54.37
"2007-03-30",81.77,82.02,80.81,80.95,1409300,53.51
"2007-04-02",80.95,82.44,80.78,82.22,1737900,54.35
"2007-04-03",82.18,82.22,81.1,81.7,1764600,54
"2007-04-04",81,82.36,80.63,82.04,1261900,54.23
"2007-04-05",82.11,82.84,81.71,82.3,1220600,54.4
"2007-04-09",82.3,83.3,81.47,81.69,1792500,54
"2007-04-10",81.69,82.93,81.67,82.89,1296900,54.79
"2007-04-11",82.71,83.03,81.67,81.96,1672200,54.18
"2007-04-12",82.39,83.64,81.44,83.47,1650400,55.17
"2007-04-13",83.48,84.27,83.15,83.5,1718600,55.19
"2007-04-16",81.8,85,81.8,84.71,2590100,55.99
"2007-04-17",84.74,85.13,82.41,82.83,2337200,54.75
"2007-04-18",82.5,82.95,81.76,82.4,2658300,54.47
"2007-04-19",82.04,82.16,81.11,81.47,1381700,53.85
"2007-04-20",82.16,82.8,81.17,82.19,2014600,54.33
"2007-04-23",82.63,83.6,82.53,82.55,2327400,54.57
"2007-04-24",82.65,83.08,82.04,83,1437800,54.86
"2007-04-25",84.11,85.9,83.47,85.5,2347000,56.52
"2007-04-26",86.83,87.19,84.24,86.95,4033100,57.47
"2007-04-27",86.71,88.46,85.75,87.94,3189700,58.13
"2007-04-30",87.74,88.93,85.58,85.6,2864000,56.58
"2007-05-01",85.61,87.05,83.79,86.54,3134600,57.2
"2007-05-02",87.06,87.87,86.18,87.26,2441500,57.76
"2007-05-03",87,88.5,86.57,87.95,1799800,58.22
"2007-05-04",87.98,89.81,87.75,88.56,2364900,58.62
"2007-05-07",87.86,88.43,87.13,87.71,1651400,58.06
"2007-05-08",87.71,87.71,85.23,86.68,3067500,57.38
"2007-05-09",86.69,87.76,85.18,86.92,2461800,57.54
"2007-05-10",87.28,87.48,84.55,84.96,2320000,56.24
"2007-05-11",85.8,87.66,85.28,87.39,1984700,57.85
"2007-05-14",87.56,88.33,87.05,87.9,1949300,58.19
"2007-05-15",87.9,89.85,87.72,88.94,2561400,58.88
"2007-05-16",88.7,88.86,87.24,88.74,1977900,58.74
"2007-05-17",89.27,92.77,88.91,92.47,4340300,61.21
"2007-05-18",91.31,93.28,91.31,92.9,3113400,61.5
"2007-05-21",93.25,95.29,93.07,94.17,3239200,62.34
"2007-05-22",94.15,94.32,92.2,92.25,2575700,61.07
"2007-05-23",92.25,94.48,92.14,93.24,2923500,61.72
"2007-05-24",93.49,94.94,91.28,91.74,3443100,60.73
"2007-05-25",93.16,93.68,92.44,93.38,1593000,61.81
"2007-05-29",93.3,93.3,92.3,92.9,1657200,61.5
"2007-05-30",92.75,95,92.07,95,1769600,62.89
"2007-05-31",96,96.34,94.1,94.37,2343900,62.47
"2007-06-01",94.6,95.33,94.13,94.47,1876100,62.54
"2007-06-04",94.21,97.6,94.21,97.39,1913400,64.47
"2007-06-05",96.75,97.05,95.58,96.3,3045800,63.75
"2007-06-06",95.76,96.02,93.85,94.46,2402000,62.53
"2007-06-07",93.87,94.44,92,92.4,2894700,61.17
"2007-06-08",92.4,92.43,90.74,91.62,2920400,60.65
"2007-06-11",91.77,94.3,91.6,93.66,2408700,62
"2007-06-12",93.5,93.87,92.28,92.54,1763400,61.26
"2007-06-13",93.18,94.66,93.13,94.23,2581900,62.38
"2007-06-14",94.17,96.57,94.17,96.49,1906900,63.87
"2007-06-15",97.77,99.93,97.77,99.22,2994300,65.68
"2007-06-18",99.22,100.54,98.89,100.25,1972900,66.36
"2007-06-19",100.2,102.68,99.51,101.39,2977100,67.12
"2007-06-20",101.79,102.83,99.79,100.08,3609300,66.25
"2007-06-21",101.99,105.93,101.15,104.82,4939500,69.39
"2007-06-22",105.68,107.29,105.25,107.13,4743000,70.92
"2007-06-25",104.6,106.18,103.3,103.72,3863600,68.66
"2007-06-26",105,105,99.61,100.5,4181300,66.53
"2007-06-27",100,102.64,98.41,102.64,3839700,67.94
"2007-06-28",103.5,103.62,100.08,100.83,2319000,66.75
"2007-06-29",102,102.93,101,101.56,1905600,67.23
"2007-07-02",102.1,104.69,101.18,104.69,2269900,69.3
"2007-07-03",104.73,105.37,104.3,104.67,699700,69.29
"2007-07-05",105.16,106.45,103.15,104.59,2130300,69.23
"2007-07-06",105.7,106.69,105.3,105.71,2298600,69.98
"2007-07-09",106.3,106.6,104.55,105.17,1894000,69.62
"2007-07-10",104.7,106.54,103.68,105.33,2675400,69.72
"2007-07-11",102.9,104.5,102.4,103.56,3225700,68.55
"2007-07-12",104.74,105.67,103.7,104.57,2366500,69.22
"2007-07-13",104.12,105.35,102.83,104.52,1758600,69.19
"2007-07-16",104.9,104.94,101.76,103.31,1896600,68.39
"2007-07-17",104.23,104.23,101.03,101.7,1894700,67.32
"2007-07-18",101.93,103.03,100.93,102.7,2186300,67.98
"2007-07-19",107.28,107.28,103.34,105.54,2854100,69.86
"2007-07-20",105.54,108.43,104.6,108.4,3453700,71.76
"2007-07-23",113,114.72,110.46,113.04,5331500,74.83
"2007-07-24",111.53,113.44,109.74,110.66,3617700,73.25
"2007-07-25",112,112.37,107.8,110.25,3033300,72.98
"2007-07-26",106,108.75,104.03,106.36,3763900,70.41
"2007-07-27",106.83,107.87,103,103.27,2855800,68.36
"2007-07-30",104.02,104.92,99.87,102.88,3185600,68.1
"2007-07-31",104.02,106.25,102.77,103.18,2685100,68.3
"2007-08-01",103.45,104.71,98.48,101.66,3771100,67.38
"2007-08-02",101.81,102.86,99.03,100.19,2602800,66.4
"2007-08-03",101.1,102.05,95.67,96,3295100,63.63
"2007-08-06",95.88,97.45,91.28,94.55,4417900,62.66
"2007-08-07",93.68,96.51,93.5,96.08,4236500,63.68
"2007-08-08",96.5,98.34,95.85,96.55,3329200,63.99
"2007-08-09",93.8,98.5,91.95,94.67,3232800,62.74
"2007-08-10",93.77,97.02,92.2,96.39,3137600,63.88
"2007-08-13",98.06,99.37,97.24,97.25,2211900,64.45
"2007-08-14",98.15,98.46,94.66,95.51,3270800,63.3
"2007-08-15",95.77,97.55,92.01,92.9,3101800,61.57
"2007-08-16",91.41,91.82,86.06,91.23,4733300,60.46
"2007-08-17",93.69,94.76,92.51,93.38,3041300,61.89
"2007-08-20",93.73,93.84,90.81,93,2260900,61.64
"2007-08-21",92.6,93.96,90.55,91.72,1850600,60.79
"2007-08-22",93.35,96.64,92.73,95.79,2603700,63.49
"2007-08-23",97.25,98.81,95.67,98.6,2362000,65.35
"2007-08-24",98.67,101.22,98.32,100.74,2143400,66.77
"2007-08-27",100.82,101,99.13,100.21,1488200,66.42
"2007-08-28",99.5,99.85,97.9,98.54,1604100,65.31
"2007-08-29",98.73,103.71,98.73,103.18,2450500,68.38
"2007-08-30",101.75,102.91,100.77,102.53,2511300,67.95
"2007-08-31",103.73,106,103.73,105.16,1770600,69.7
"2007-09-04",105.24,109.44,104.66,108.22,2715900,71.72
"2007-09-05",108.06,108.06,106.17,107.84,1612000,71.47
"2007-09-06",108.71,109.14,106.58,107.88,2072100,71.5
"2007-09-07",106.67,108.24,105.25,108.04,1584600,71.61
"2007-09-10",107.6,108,105.03,107.22,1809900,71.06
"2007-09-11",107.05,108.91,105.45,108.2,2410000,71.71
"2007-09-12",108.08,108.61,106.38,107.25,2030400,71.08
"2007-09-13",107.28,109.78,107.1,109.06,1586700,72.28
"2007-09-14",108.36,108.69,107.47,108.38,985200,71.83
"2007-09-17",107.67,108.62,105.8,106.67,1376800,70.7
"2007-09-18",106.33,110.66,105.77,109.8,1993500,72.77
"2007-09-19",111.24,113.2,110.51,112.34,1754800,74.46
"2007-09-20",112.34,113.74,111.11,112.74,1486200,74.72
"2007-09-21",112.98,115.29,111.92,115.05,2493700,76.25
"2007-09-24",115,115.05,112.5,114.06,1858000,75.6
"2007-09-25",112.1,113.01,110.63,111.86,1597200,74.14
"2007-09-26",112.62,113.57,109.6,112.31,1465500,74.44
"2007-09-27",113.31,114.52,112.29,114.05,1165000,75.59
"2007-09-28",114.55,115.75,112.66,113.29,1077200,75.08
"2007-10-01",113.91,114.66,111.8,114.06,1668900,75.6
"2007-10-02",113.23,114.15,110.86,113.93,2065700,75.51
"2007-10-03",113.85,114.12,112.09,112.21,1327900,74.37
"2007-10-04",112.14,113.99,110.26,113.52,1439500,75.24
"2007-10-05",113.51,113.51,111.21,112.24,1240500,74.39
"2007-10-08",111.96,111.96,108.58,109.38,1274500,72.49
"2007-10-09",110.3,111.47,108.97,111.33,1748900,73.79
"2007-10-10",110.64,114.32,110.34,113.88,1834500,75.48
"2007-10-11",114.93,118.27,114.33,116.3,2938800,77.08
"2007-10-12",116.55,117.6,115.34,117.2,1381100,77.68
"2007-10-15",119,121.38,117.59,118.22,3123700,78.35
"2007-10-16",118.36,118.49,116.35,117.84,1561200,78.1
"2007-10-17",118.3,118.61,113.65,115.24,2667500,76.38
"2007-10-18",116.07,116.94,112.38,116.41,1871800,77.15
"2007-10-19",115.25,115.25,108.54,109.82,3787800,72.78
"2007-10-22",108.22,110.45,107.13,110.25,2674300,73.07
"2007-10-23",113.38,119.5,113.35,119.19,5848900,79
"2007-10-24",119.18,121.1,114.8,118.57,5498900,78.58
"2007-10-25",116.8,119.37,114.67,117.65,3141800,77.97
"2007-10-26",117.75,119.38,111.03,112.47,4303200,74.54
"2007-10-29",114.75,116.5,112.91,114.95,2953000,76.18
"2007-10-30",114.49,114.49,110.22,110.83,3154100,73.45
"2007-10-31",111,114,110.45,113.23,3015900,75.99
"2007-11-01",111.81,115.19,110.37,111.68,2882400,74.95
"2007-11-02",115.67,115.75,110.94,115.2,1780600,77.31
"2007-11-05",114.03,114.03,111.28,112.34,1671500,75.39
"2007-11-06",113.15,116.11,113.09,115.89,2142300,77.77
"2007-11-07",115.62,116.45,111.92,112.39,2110900,75.42
"2007-11-08",113,115.49,111.06,113.8,1978700,76.37
"2007-11-09",113.8,114.82,111,113.05,1881400,75.87
"2007-11-12",111,111.29,104.51,105.19,3167000,70.59
"2007-11-13",104.79,108.58,103.36,107.56,2853500,72.18
"2007-11-14",110.25,110.43,107.84,108.61,1765300,72.89
"2007-11-15",108.33,109.08,105.12,106.23,2245000,71.29
"2007-11-16",108.3,109.5,106.33,109.44,1892100,73.44
"2007-11-19",109.4,110.63,107.78,108.81,2065200,73.02
"2007-11-20",109.03,114.29,109.03,113.18,3188600,75.95
"2007-11-21",111.9,114.66,111.2,112.55,1886800,75.53
"2007-11-23",112.93,114.98,112.4,114.58,454200,76.89
"2007-11-26",113.94,116.45,113.15,113.9,2045200,76.44
"2007-11-27",113.38,113.38,107.77,110.27,3053100,74
"2007-11-28",112.56,112.94,108.65,109.98,2439500,73.81
"2007-11-29",111,114.9,110.25,114.33,1965900,76.73
"2007-11-30",113.35,117.25,113.35,116.43,1814800,78.14
"2007-12-03",116.88,120.2,115.75,118.59,2118800,79.58
"2007-12-04",116.89,120.23,115.84,117.34,1957800,78.75
"2007-12-05",119.63,120.98,116.72,117.95,1667300,79.16
"2007-12-06",118,125.68,118,125.32,2947900,84.1
"2007-12-07",125.75,126.42,124.01,125.3,1332100,84.09
"2007-12-10",125.43,128.82,125.29,128.03,1575500,85.92
"2007-12-11",129.89,129.89,125.46,125.75,2198600,84.39
"2007-12-12",129.76,130.6,126.94,129.85,3020300,87.14
"2007-12-13",129.25,129.97,126.94,129.02,1337100,86.58
"2007-12-14",129.02,129.93,127.61,128.58,1925200,86.29
"2007-12-17",125.34,130.49,123.35,124.59,1673200,83.61
"2007-12-18",125.78,127.74,123.98,126.45,1296800,84.86
"2007-12-19",126.94,129.98,125.4,128.26,2093900,86.07
"2007-12-20",128.9,132.98,128.74,132.89,2011400,89.18
"2007-12-21",134.46,141.65,134.27,139.82,4800400,93.83
"2007-12-24",140.72,143.4,139.52,142.35,1225200,95.53
"2007-12-26",143.99,149.3,142.33,148.51,2648800,99.66
"2007-12-27",148.99,148.99,141.9,142.05,2826300,95.33
"2007-12-28",143,146.19,142.29,143.07,2234500,96.01
"2007-12-31",144.49,144.49,141.54,142,1534300,95.3
"2008-01-02",141.7,142.37,138.42,140.07,3099900,94
"2008-01-03",140.58,140.58,136.4,137.37,3056400,92.19
"2008-01-04",134.26,138.28,132.75,135.29,2652500,90.79
"2008-01-07",136.66,136.74,132.39,136.12,2653800,91.35
"2008-01-08",138.9,138.9,130.38,130.5,3292300,87.58
"2008-01-09",130,131.51,124.85,131.38,3772400,88.17
"2008-01-10",128.11,128.91,124.69,126.86,3383400,85.13
"2008-01-11",124.01,127.72,122.76,124.51,2489400,83.56
"2008-01-14",125.43,128.44,123.51,128.26,2022900,86.07
"2008-01-15",127.13,127.13,120.84,122,2470600,81.87
"2008-01-16",120.01,123.94,112.5,117.87,4213900,79.1
"2008-01-17",118.76,121.52,114.13,114.75,3039600,77.01
"2008-01-18",114.75,118.56,110.08,117.54,3738700,78.88
"2008-01-22",108.45,114.53,105.79,112.78,4103600,75.69
"2008-01-23",109.48,113.53,102.89,113.2,5113300,75.97
"2008-01-24",114.64,121.1,114.64,117.65,5225500,78.95
"2008-01-25",120.46,123.9,117.02,118.67,3031600,79.64
"2008-01-28",117.87,120.59,114.55,118.75,1975000,79.69
"2008-01-29",119.99,119.99,115.11,116.95,2035800,78.48
"2008-01-30",116.39,120.03,114.75,115.5,2923400,77.51
"2008-01-31",114.02,114.67,111.43,112.67,3392800,75.61
"2008-02-01",113.25,117.11,112.93,115.94,3003300,77.81
"2008-02-04",116.99,119.41,115.5,117.46,1988000,78.83
"2008-02-05",117.99,117.99,112.8,113.26,2692700,76.01
"2008-02-06",113.19,114.95,110.07,110.3,3909600,74.02
"2008-02-07",104.92,110.3,103.65,106.91,6384900,71.75
"2008-02-08",106.9,110,105.65,108.39,3415200,72.74
"2008-02-11",107.68,110.5,105.31,109.57,2485100,73.53
"2008-02-12",109.4,112.25,106.68,108.14,2730600,72.57
"2008-02-13",109.48,112.54,107.37,111.71,2806900,75.93
"2008-02-14",112.95,113.59,110.33,111.35,2203400,75.69
"2008-02-15",110.99,111.92,108.74,110.47,1982700,75.09
"2008-02-19",112.19,116.03,112.19,114.1,2202500,77.56
"2008-02-20",112.66,119.41,112.54,118.77,2762300,80.73
"2008-02-21",119.06,119.06,115.03,117.57,3002400,79.92
"2008-02-22",118.65,119.42,115.98,119.38,2496200,81.15
"2008-02-25",119.5,120.13,117.38,119.49,2367200,81.22
"2008-02-26",119.57,125.55,118.62,124.61,3057800,84.7
"2008-02-27",124.65,124.85,120.95,122.02,3349100,82.94
"2008-02-28",122.49,124.72,121.41,122.99,1470500,83.6
"2008-02-29",121.76,123.07,120.47,120.83,2678300,82.13
"2008-03-03",120.19,123.54,118.8,120.95,1987100,82.21
"2008-03-04",118.93,121.42,116.56,118.32,2557600,80.43
"2008-03-05",119.4,123.63,119.01,123.37,1679100,83.86
"2008-03-06",123.08,124.2,120.15,122.15,1728400,83.03
"2008-03-07",120.83,122.27,118.51,120.26,2093000,81.74
"2008-03-10",119.24,120.52,117.58,118.32,2113500,80.43
"2008-03-11",119.95,125.21,119.84,125.21,1905800,85.11
"2008-03-12",124.01,125,120.95,121.9,1240400,82.86
"2008-03-13",121.96,125.66,118.46,125.12,1700700,85.05
"2008-03-14",124.81,125.89,121.27,124.45,1510200,84.59
"2008-03-17",120.72,122.9,117.58,119.15,1868400,80.99
"2008-03-18",122.84,124.69,121.65,124.68,1496300,84.75
"2008-03-19",122.68,124.03,114.96,115.04,2208500,78.2
