"","DPS.Open","DPS.High","DPS.Low","DPS.Close","DPS.Volume","DPS.Adjusted"
"2008-05-07",25.2,25.8,24.8,25.5,38943400,22.29
"2008-05-08",25.58,25.83,24.74,25.4,12468400,22.21
"2008-05-09",25.1,25.4,24.94,25.24,9747000,22.07
"2008-05-12",25.11,26.85,25.1,25.57,7921800,22.35
"2008-05-13",25.38,25.92,25.2,25.9,4518800,22.64
"2008-05-14",25.5,26.31,24.6,26.17,4295600,22.88
"2008-05-15",25.75,26.41,25.58,26.03,3969300,22.76
"2008-05-16",25.86,26.75,25.67,26.5,11418200,23.17
"2008-05-19",26.15,26.45,25.97,26.07,5645100,22.79
"2008-05-20",25.7,25.94,25,25.55,8338100,22.34
"2008-05-21",25.37,25.78,25.26,25.51,1729100,22.3
"2008-05-22",25.14,26.13,25.12,25.72,7980000,22.49
"2008-05-23",25.52,25.72,25.26,25.42,2421100,22.22
"2008-05-27",25.36,25.53,25.12,25.38,1899300,22.19
"2008-05-28",25.22,25.47,25.05,25.21,5346300,22.04
"2008-05-29",25.01,25.14,24.85,24.95,6850900,21.81
"2008-05-30",24.82,25.47,24.77,25.18,5456400,22.01
"2008-06-02",24.97,25.07,24.11,24.12,2692600,21.09
"2008-06-03",23.8,24.25,23.59,24.2,4636400,21.16
"2008-06-04",23.95,24.19,23.88,23.9,2871200,20.89
"2008-06-05",24.8,26.38,24.7,25.56,10802100,22.35
"2008-06-06",25.12,25.37,24.93,24.98,4040900,21.84
"2008-06-09",24.8,25.3,24.69,24.97,2018400,21.83
"2008-06-10",24.88,25.1,24.85,24.93,3237600,21.79
"2008-06-11",24.98,24.98,24.06,24.33,2352300,21.27
"2008-06-12",24.77,24.85,24,24.18,1885800,21.14
"2008-06-13",24.15,24.73,24.03,24.67,2718300,21.57
"2008-06-16",24.73,24.77,23.5,23.71,2799100,20.73
"2008-06-17",23.72,23.74,23.22,23.46,3945100,20.51
"2008-06-18",23.1,24,23.06,23.79,1883200,20.8
"2008-06-19",23.85,24.01,23.4,23.89,2262100,20.89
