"","DTV.Open","DTV.High","DTV.Low","DTV.Close","DTV.Volume","DTV.Adjusted"
"2007-01-03",25.17,25.25,24.86,25,12984200,25
"2007-01-04",25,25.1,24.55,24.73,7031100,24.73
"2007-01-05",24.77,24.77,24.34,24.36,8134600,24.36
"2007-01-08",24.59,24.6,24.36,24.4,10006200,24.4
"2007-01-09",24.4,24.44,23.93,24.14,8381200,24.14
"2007-01-10",24.14,24.25,23.88,24,9540900,24
"2007-01-11",23.95,24.28,23.88,24.15,9418100,24.15
"2007-01-12",24.15,24.31,24.1,24.2,8981900,24.2
"2007-01-16",24.28,24.76,24.13,24.17,12965000,24.17
"2007-01-17",24.25,24.36,24.1,24.31,8164900,24.31
"2007-01-18",24.35,24.48,24.3,24.4,8064500,24.4
"2007-01-19",24.47,24.5,23.94,23.99,7237400,23.99
"2007-01-22",23.99,24.15,23.89,23.99,4288400,23.99
"2007-01-23",24.25,24.57,24.02,24.44,9506500,24.44
"2007-01-24",24.48,24.62,24.43,24.5,7016400,24.5
"2007-01-25",24.59,24.6,23.9,23.97,5263600,23.97
"2007-01-26",23.99,24.19,23.82,24.09,3510600,24.09
"2007-01-29",24.17,24.48,24.06,24.19,4063700,24.19
"2007-01-30",24.19,24.33,24.1,24.33,2628300,24.33
"2007-01-31",24.4,24.49,24.01,24.39,5154600,24.39
"2007-02-01",24.44,24.49,24.04,24.09,5921100,24.09
"2007-02-02",24.1,24.25,23.95,23.97,5159900,23.97
"2007-02-05",24.04,24.07,23.92,23.98,6620300,23.98
"2007-02-06",23.92,24.05,23.86,23.97,5300900,23.97
"2007-02-07",24.67,26.09,24.4,25.35,16905500,25.35
"2007-02-08",25.45,25.52,25.1,25.43,6980100,25.43
"2007-02-09",25.35,25.45,24.53,24.82,6945900,24.82
"2007-02-12",25.07,25.09,24.07,24.13,5889700,24.13
"2007-02-13",24.13,24.34,23.86,23.95,7178400,23.95
"2007-02-14",23.98,24.29,23.86,23.92,4625600,23.92
"2007-02-15",23.92,24.09,23.85,24.08,3740100,24.08
"2007-02-16",23.93,24.01,23.74,23.88,4791300,23.88
"2007-02-20",24,24.2,23.79,23.88,6022700,23.88
"2007-02-21",23.9,24.01,23.39,23.4,6074200,23.4
"2007-02-22",23.54,23.59,22.99,23.13,7059900,23.13
"2007-02-23",23.13,23.15,22.58,22.88,8157200,22.88
"2007-02-26",23.07,23.07,22.85,23,8150100,23
"2007-02-27",22.92,22.92,21.65,21.89,7231300,21.89
"2007-02-28",21.76,22.65,21.7,22.55,11080900,22.55
"2007-03-01",22.33,23.12,22.02,22.93,9563800,22.93
"2007-03-02",22.88,22.88,22.37,22.5,5677400,22.5
"2007-03-05",22.24,22.47,21.95,22.11,4542600,22.11
"2007-03-06",22.18,22.76,22.11,22.66,5768900,22.66
"2007-03-07",22.66,22.88,22.42,22.71,6214500,22.71
"2007-03-08",22.83,22.98,22.66,22.7,4127300,22.7
"2007-03-09",22.95,23.05,22.66,22.87,3331200,22.87
"2007-03-12",22.87,23.18,22.7,23.09,4076600,23.09
"2007-03-13",23.05,23.15,22.43,22.5,4117000,22.5
"2007-03-14",22.41,22.6,22.08,22.46,3691700,22.46
"2007-03-15",22.35,22.58,22.28,22.47,3833200,22.47
"2007-03-16",22.47,22.48,21.97,22.04,6415900,22.04
"2007-03-19",22.24,22.48,22.19,22.38,4478400,22.38
"2007-03-20",22.38,22.65,22.3,22.62,3324000,22.62
"2007-03-21",22.71,23.77,22.53,23.75,8849400,23.75
"2007-03-22",23.89,24.02,23.21,23.29,6545300,23.29
"2007-03-23",23.76,23.76,22.7,22.72,4245000,22.72
"2007-03-26",22.71,23.35,22.44,22.68,4975500,22.68
"2007-03-27",22.6,22.83,22.33,22.71,5094900,22.71
"2007-03-28",22.55,22.67,22.33,22.61,4900800,22.61
"2007-03-29",22.84,22.99,22.52,22.87,5825000,22.87
"2007-03-30",22.8,23.09,22.76,23.07,6924300,23.07
"2007-04-02",23.11,23.11,22.8,22.94,5047700,22.94
"2007-04-03",22.97,23.41,22.85,23.02,4043500,23.02
"2007-04-04",23.05,23.2,22.94,23.11,5275000,23.11
"2007-04-05",22.9,23.58,22.85,23.51,4244400,23.51
"2007-04-09",23.5,23.68,23.41,23.58,2842300,23.58
"2007-04-10",23.62,23.81,23.48,23.74,3340000,23.74
"2007-04-11",23.69,23.87,23.55,23.74,4641900,23.74
"2007-04-12",23.84,24.02,23.65,24,3961300,24
"2007-04-13",24,24.06,23.8,24.06,4107500,24.06
"2007-04-16",24.09,24.16,23.91,23.97,5156400,23.97
"2007-04-17",24.1,24.24,24.05,24.14,4625700,24.14
"2007-04-18",23.99,24.07,23.82,23.95,3693500,23.95
"2007-04-19",23.83,23.95,23.65,23.89,3937900,23.89
"2007-04-20",24.33,24.37,24,24.1,4392000,24.1
"2007-04-23",24,24.1,23.94,24.02,2837400,24.02
"2007-04-24",23.98,24.13,23.7,23.94,3029100,23.94
"2007-04-25",24.01,24.2,23.86,24.15,3591100,24.15
"2007-04-26",24.12,24.2,23.87,23.89,3302200,23.89
"2007-04-27",23.72,24.03,23.63,23.89,4409700,23.89
"2007-04-30",23.79,24.04,23.65,23.84,3588900,23.84
"2007-05-01",23.37,24.17,23.37,23.81,4002000,23.81
"2007-05-02",23.88,24.26,23.86,24.21,7671000,24.21
"2007-05-03",24.25,24.29,24.06,24.09,2463600,24.09
"2007-05-04",24.06,24.25,24.06,24.16,3998300,24.16
"2007-05-07",24.21,24.6,24.21,24.47,3172300,24.47
"2007-05-08",24.53,24.56,24.3,24.38,4199100,24.38
"2007-05-09",24.43,24.43,23.61,23.75,5950100,23.75
"2007-05-10",23.46,23.79,23,23.01,5964000,23.01
"2007-05-11",23.04,23.86,23.04,23.82,5224800,23.82
"2007-05-14",23.6,23.69,23.52,23.63,4204600,23.63
"2007-05-15",23.62,24.08,23.51,23.55,5745100,23.55
"2007-05-16",23.58,23.77,23.52,23.69,4439900,23.69
"2007-05-17",23.6,23.67,23.4,23.46,3340600,23.46
"2007-05-18",23.51,23.78,23.4,23.76,5799500,23.76
"2007-05-21",23.63,24.02,23.54,23.79,4859400,23.79
"2007-05-22",23.87,23.89,23.36,23.6,5382400,23.6
"2007-05-23",23.61,23.9,23.48,23.53,4080900,23.53
"2007-05-24",23.5,23.59,23.04,23.05,4789700,23.05
"2007-05-25",23.23,23.43,23.09,23.19,3957700,23.19
"2007-05-29",23.2,23.28,22.85,22.9,5246300,22.9
"2007-05-30",22.65,23.66,22.61,23.46,7722000,23.46
"2007-05-31",23.47,23.59,23.23,23.36,4410800,23.36
"2007-06-01",23.52,23.85,23.32,23.63,3972800,23.63
"2007-06-04",23.47,23.49,22.97,23.29,4716100,23.29
"2007-06-05",23.24,23.34,22.91,23.08,4197400,23.08
"2007-06-06",23,23.08,22.66,22.78,3890200,22.78
"2007-06-07",22.78,22.78,22.1,22.34,6220300,22.34
"2007-06-08",22.2,22.91,22.2,22.89,5275100,22.89
"2007-06-11",22.81,22.89,22.29,22.63,5925700,22.63
"2007-06-12",22.6,23,22.5,22.64,7533000,22.64
"2007-06-13",22.66,22.87,22.46,22.86,5320200,22.86
"2007-06-14",22.88,23.55,22.77,23.48,7127500,23.48
"2007-06-15",23.48,23.87,23.31,23.36,5803200,23.36
"2007-06-18",23.31,23.44,23.12,23.12,4042100,23.12
"2007-06-19",23.6,24.58,23.46,24.54,12252400,24.54
"2007-06-20",24.54,24.77,23.66,23.67,6632500,23.67
"2007-06-21",23.63,24.17,23.5,24.16,6471400,24.16
"2007-06-22",24.02,24.32,23.85,23.99,7278600,23.99
"2007-06-25",23.4,23.93,23,23.78,8001200,23.78
"2007-06-26",24,24.05,23.22,23.35,7796100,23.35
"2007-06-27",22.95,23.43,22.74,23.27,7508600,23.27
"2007-06-28",23.15,23.4,23,23.18,6133400,23.18
"2007-06-29",23.27,23.37,22.89,23.11,6237400,23.11
"2007-07-02",23.24,23.34,23.04,23.16,4525700,23.16
"2007-07-03",23.28,23.3,23.1,23.3,2788200,23.3
"2007-07-05",23.2,23.69,23.15,23.69,3103700,23.69
"2007-07-06",23.73,24.02,23.65,23.94,6618300,23.94
"2007-07-09",24.02,24.64,23.9,24.39,6589700,24.39
"2007-07-10",24.98,25.46,24.63,24.79,10476300,24.79
"2007-07-11",25.27,25.27,24.7,24.91,5737700,24.91
"2007-07-12",25.04,25.28,24.76,25.28,7413800,25.28
"2007-07-13",25.16,25.27,24.72,24.94,5835000,24.94
"2007-07-16",24.98,25.09,24.57,24.94,5483700,24.94
"2007-07-17",24.99,25.01,24.45,24.5,5375900,24.5
"2007-07-18",24.42,24.56,23.98,24.53,5938800,24.53
"2007-07-19",24.56,24.95,24.55,24.67,4971400,24.67
"2007-07-20",24.5,24.58,23.98,24.1,4115900,24.1
"2007-07-23",24.36,24.69,24.31,24.52,3812400,24.52
"2007-07-24",24.29,24.51,23.94,23.99,3884700,23.99
"2007-07-25",24.2,24.24,23.75,23.87,3706900,23.87
"2007-07-26",23.7,23.78,22.65,22.98,9078800,22.98
