"","EA.Open","EA.High","EA.Low","EA.Close","EA.Volume","EA.Adjusted"
"2007-01-03",50.76,52.7,49.69,51.05,8206600,51.05
"2007-01-04",51.65,53.98,51.5,53.67,7824100,53.67
"2007-01-05",53.3,53.63,52.35,53.07,5806900,53.07
"2007-01-08",53.2,53.21,52.01,52.88,2693500,52.88
"2007-01-09",53.04,53.71,52.38,52.7,2146300,52.7
"2007-01-10",52.62,53.88,52.3,53.68,2422700,53.68
"2007-01-11",54.43,54.43,52.2,52.47,3762100,52.47
"2007-01-12",52.35,52.41,51.28,51.76,5586600,51.76
"2007-01-16",51.91,52.27,50.85,50.97,3527700,50.97
"2007-01-17",50.48,50.68,49.15,49.48,8710900,49.48
"2007-01-18",50.49,50.8,50.04,50.1,6766000,50.1
"2007-01-19",50.43,51.4,49.81,50.34,4767900,50.34
"2007-01-22",50.49,50.5,48.73,49.47,4975000,49.47
"2007-01-23",49.29,50.51,48.67,49.76,2850800,49.76
"2007-01-24",49.91,50.78,49.8,50.34,3111700,50.34
"2007-01-25",49.52,50.07,48.63,48.86,4127600,48.86
"2007-01-26",49.15,49.28,47.96,48.22,5012700,48.22
"2007-01-29",48.3,49.58,48.21,48.94,3231000,48.94
"2007-01-30",49.65,49.78,48.83,49.31,3284100,49.31
"2007-01-31",49.4,50.17,48.69,50,3367300,50
"2007-02-01",50.82,51.11,50.25,50.54,7072500,50.54
"2007-02-02",54.06,54.39,50.85,51.13,14152500,51.13
"2007-02-05",50.41,50.54,49.61,50.04,4793300,50.04
"2007-02-06",49.96,50.21,49.14,50.11,3811700,50.11
"2007-02-07",50.25,50.81,49.5,50.11,3115700,50.11
"2007-02-08",50.25,50.59,49.7,50.03,2365100,50.03
"2007-02-09",50.25,50.25,49.46,49.48,2821600,49.48
"2007-02-12",49.73,50.21,49.37,49.71,2216900,49.71
"2007-02-13",49.54,50,49.33,49.92,1813500,49.92
"2007-02-14",50,51.15,49.7,50.48,3212800,50.48
"2007-02-15",50.27,50.4,49.7,50.11,2066100,50.11
"2007-02-16",49.88,50.48,49.85,50.01,2458900,50.01
"2007-02-20",51.21,52.28,50.57,51.8,5224600,51.8
"2007-02-21",52.8,52.9,51.4,52.55,4751900,52.55
"2007-02-22",52.84,53.17,52.43,53.04,3268500,53.04
"2007-02-23",52.88,53.35,52.32,53.19,3026500,53.19
"2007-02-26",53.49,53.8,51.65,51.96,3811300,51.96
"2007-02-27",51.3,53.14,50.2,50.64,7169500,50.64
"2007-02-28",50.31,51.32,50.1,50.42,3734000,50.42
"2007-03-01",49.75,50.64,48.42,49.81,3823600,49.81
"2007-03-02",49.28,49.96,49.09,49.1,3237100,49.1
"2007-03-05",48.82,49.68,48.5,48.95,3181700,48.95
"2007-03-06",49.27,49.9,48.7,49.64,3715900,49.64
"2007-03-07",49.5,50.42,49.1,50.18,4567500,50.18
"2007-03-08",50.5,51.26,49.95,50.32,3492100,50.32
"2007-03-09",50.9,51.23,50.24,50.83,3054800,50.83
"2007-03-12",50.79,51.54,50.7,50.99,1696300,50.99
"2007-03-13",50.43,51.24,49.55,49.55,2973600,49.55
"2007-03-14",49.5,50.24,49.03,50.23,2161100,50.23
"2007-03-15",50.41,50.57,49.88,49.99,2240300,49.99
