"","EBAY.Open","EBAY.High","EBAY.Low","EBAY.Close","EBAY.Volume","EBAY.Adjusted"
"2007-01-03",30.36,30.98,29.61,30.17,19165400,30.17
"2007-01-04",30.48,31.74,30.46,31.59,18758500,31.59
"2007-01-05",31.15,31.5,30.55,30.78,17255300,30.78
"2007-01-08",30.47,31.02,29.26,29.7,27698100,29.7
"2007-01-09",29.8,29.95,29.41,29.75,16051500,29.75
"2007-01-10",29.5,29.73,29.18,29.3,23547900,29.3
"2007-01-11",29.69,30.51,29.61,30.23,22508400,30.23
"2007-01-12",30.23,30.43,29.93,30,16672300,30
"2007-01-16",30.09,30.18,29.94,30.04,12824700,30.04
"2007-01-17",29.98,30.48,29.93,29.95,18352000,29.95
"2007-01-18",29.94,30.37,29.4,29.51,18162200,29.51
"2007-01-19",29.38,29.99,29.35,29.66,24971700,29.66
"2007-01-22",29.9,30.02,29.07,29.32,19565000,29.32
"2007-01-23",29.23,29.44,28.6,28.62,20398800,28.62
"2007-01-24",28.84,30.15,28.7,30,53108000,30
"2007-01-25",33.6,33.8,32,32.45,94303200,32.45
"2007-01-26",32.37,32.51,31.55,31.65,31468000,31.65
"2007-01-29",31.5,32.25,31.4,32,29711500,32
"2007-01-30",31.96,32.45,31.9,32.09,16891000,32.09
"2007-01-31",32.08,32.69,31.59,32.39,22029300,32.39
"2007-02-01",32.5,32.85,32.13,32.15,19334900,32.15
"2007-02-02",32.2,32.69,32.04,32.4,16898300,32.4
"2007-02-05",32.3,32.74,32.15,32.25,11658700,32.25
"2007-02-06",32.4,33,32.18,32.85,17765000,32.85
"2007-02-07",32.5,33.53,32.5,33.37,21781300,33.37
"2007-02-08",33.4,33.69,32.93,33.58,15303800,33.58
"2007-02-09",33.7,33.79,33.16,33.51,17613100,33.51
"2007-02-12",33.25,33.38,32.71,32.8,10338900,32.8
"2007-02-13",32.95,33.2,32.68,32.88,12044900,32.88
"2007-02-14",32.95,33.61,32.88,33.47,11837900,33.47
"2007-02-15",33.65,33.73,33.36,33.66,9597300,33.66
"2007-02-16",33.71,33.78,33.53,33.62,10511000,33.62
"2007-02-20",33.49,34.06,33,33.44,14273000,33.44
"2007-02-21",33.26,33.8,33.13,33.5,13563400,33.5
"2007-02-22",33.65,34.23,33.41,33.69,14659100,33.69
"2007-02-23",33.6,34.06,33.5,33.99,13631600,33.99
"2007-02-26",34.28,34.35,33.07,33.42,11649200,33.42
"2007-02-27",32.94,33.24,32,32,22427400,32
"2007-02-28",32.07,32.88,30.88,32.06,23887700,32.06
"2007-03-01",31.39,32.45,30.75,31.93,22170700,31.93
"2007-03-02",31.45,32.07,30.81,30.83,17900200,30.83
"2007-03-05",30.44,31.02,30.29,30.36,14939400,30.36
"2007-03-06",30.73,31.44,30.65,31.34,15230100,31.34
"2007-03-07",31.3,31.5,30.9,31.03,12421700,31.03
"2007-03-08",31.43,31.65,30.89,31.02,13401700,31.02
"2007-03-09",31.23,31.36,30.7,30.82,11917900,30.82
"2007-03-12",30.82,31.19,30.79,31,9169300,31
"2007-03-13",30.88,31.09,30.37,30.41,14577500,30.41
"2007-03-14",30.37,31.14,30.25,31.14,16769200,31.14
"2007-03-15",31.68,32.09,31.56,31.74,21165800,31.74
"2007-03-16",31.68,32.03,31.47,31.74,15394200,31.74
"2007-03-19",32.05,32.48,31.5,31.71,11416100,31.71
"2007-03-20",31.8,31.84,31.15,31.5,13448500,31.5
"2007-03-21",31.6,32.16,31.15,32.16,19158300,32.16
"2007-03-22",32.09,32.65,31.95,32.36,11000500,32.36
"2007-03-23",32.51,32.56,31.68,31.83,11003600,31.83
"2007-03-26",32.02,33.3,31.85,33.22,21744300,33.22
"2007-03-27",33.15,33.51,32.95,33.33,14033800,33.33
"2007-03-28",33.05,33.67,33.04,33.11,14627300,33.11
"2007-03-29",33.38,33.45,32.6,33.04,11380500,33.04
"2007-03-30",33.07,33.46,32.89,33.15,10771300,33.15
"2007-04-02",33.16,33.47,32.77,33,9242700,33
"2007-04-03",33.35,34.27,33.25,33.8,16000100,33.8
"2007-04-04",33.96,34.09,33.63,33.72,11483200,33.72
"2007-04-05",34.2,34.24,33.56,33.71,12077500,33.71
"2007-04-09",33.75,33.91,33.6,33.74,15624500,33.74
"2007-04-10",33.68,34.08,33.65,33.99,8604400,33.99
"2007-04-11",33.98,34.06,33.45,33.61,10758700,33.61
"2007-04-12",33.69,34.07,33.57,34.05,11733400,34.05
"2007-04-13",34.17,34.87,34.15,34.78,17799500,34.78
"2007-04-16",35,35.41,34.66,35.1,15721300,35.1
"2007-04-17",35.25,35.35,34.88,35.2,10879100,35.2
"2007-04-18",34.99,35,34.23,34.45,35488200,34.45
"2007-04-19",34.85,35.01,32.95,33.19,52609400,33.19
"2007-04-20",33.75,33.75,33.24,33.52,24402800,33.52
"2007-04-23",33.38,33.93,33.31,33.52,14704100,33.52
"2007-04-24",33.34,33.85,33.12,33.76,13472300,33.76
"2007-04-25",34.02,34.15,33.64,33.77,15855100,33.77
"2007-04-26",33.85,34.43,33.75,34.22,11707900,34.22
"2007-04-27",33.89,34.58,33.84,34.17,13215100,34.17
"2007-04-30",34.44,34.48,33.87,33.94,13562100,33.94
"2007-05-01",34.08,34.08,32.98,33.46,14834400,33.46
"2007-05-02",33.67,33.89,33.47,33.72,8375600,33.72
"2007-05-03",33.82,34.75,33.64,34.62,17822800,34.62
"2007-05-04",35.02,35.39,34.04,34.15,17842700,34.15
"2007-05-07",34.16,34.63,33.91,33.98,10079400,33.98
"2007-05-08",33.83,34.49,33.83,34.34,11470700,34.34
"2007-05-09",34.33,35.07,34.22,34.99,12132800,34.99
"2007-05-10",34.74,34.88,33.79,33.86,11524900,33.86
"2007-05-11",34.03,34.37,33.81,34.2,8675500,34.2
"2007-05-14",34.6,34.74,33.51,33.92,13124000,33.92
"2007-05-15",34.07,34.37,33.44,33.5,11753400,33.5
"2007-05-16",33.6,33.77,32.6,33.25,18308100,33.25
"2007-05-17",33.29,33.49,32.89,32.98,9873000,32.98
"2007-05-18",33.1,33.33,32.59,32.7,17456400,32.7
"2007-05-21",32.7,33.14,32.55,32.66,11707200,32.66
"2007-05-22",32.69,33.14,32.54,33.06,10605300,33.06
"2007-05-23",33.13,33.6,32.82,32.88,12927300,32.88
"2007-05-24",32.94,33.57,32.54,32.71,16474100,32.71
"2007-05-25",32.83,32.99,32.6,32.65,7682000,32.65
"2007-05-29",32.15,32.74,32.1,32.41,11317600,32.41
"2007-05-30",32.2,33.23,32.07,33.22,16800300,33.22
"2007-05-31",33.38,33.43,32.42,32.56,15107200,32.56
"2007-06-01",32.68,32.72,32.25,32.27,10106100,32.27
"2007-06-04",32.12,32.61,32.08,32.54,11154400,32.54
"2007-06-05",32.42,32.54,31.61,31.69,19048600,31.69
"2007-06-06",31.6,31.68,31.02,31.17,16830900,31.17
"2007-06-07",31,31.49,30.58,30.61,16715300,30.61
"2007-06-08",30.42,31.56,30.41,31.42,15471100,31.42
"2007-06-11",31.45,31.66,31.21,31.49,9471600,31.49
"2007-06-12",31.23,31.53,30.9,30.96,15379100,30.96
"2007-06-13",31,31.57,30.83,31.48,18388300,31.48
"2007-06-14",31.62,31.98,31.49,31.61,13132500,31.61
"2007-06-15",31.98,32.19,31.81,32.04,16185300,32.04
"2007-06-18",32.13,32.24,31.39,31.64,11728700,31.64
"2007-06-19",31.6,31.75,31.17,31.37,13215700,31.37
"2007-06-20",31.5,31.65,31.1,31.12,11648400,31.12
"2007-06-21",31.04,31.39,30.91,31.13,16560800,31.13
"2007-06-22",31.7,32.43,31.67,31.76,28811500,31.76
"2007-06-25",31.84,32.25,31.69,31.95,13245300,31.95
"2007-06-26",32,32.14,31.38,31.64,11947100,31.64
"2007-06-27",31.42,32.15,31.39,32.08,10205400,32.08
"2007-06-28",32.15,32.34,31.93,31.96,12204700,31.96
"2007-06-29",32.01,32.35,31.82,32.18,10364400,32.18
"2007-07-02",32.27,32.68,32.2,32.33,9017000,32.33
"2007-07-03",32.44,32.55,32.05,32.15,5298400,32.15
"2007-07-05",32.3,32.3,31.87,32.27,6810600,32.27
"2007-07-06",32.3,33.93,32.18,33.39,16720200,33.39
"2007-07-09",33.43,33.73,33.2,33.61,14291900,33.61
"2007-07-10",33.41,33.55,32.88,32.91,9832600,32.91
"2007-07-11",32.79,33.61,32.64,33.59,14934600,33.59
"2007-07-12",33.69,34.26,33.35,34.23,18813900,34.23
"2007-07-13",34.25,34.25,33.5,33.95,14402200,33.95
"2007-07-16",33.83,34.6,33.62,34.39,15359700,34.39
"2007-07-17",34.45,34.48,34.21,34.25,10149700,34.25
"2007-07-18",34.25,34.47,33.85,34.05,29294400,34.05
"2007-07-19",33.65,33.7,32.75,33.5,37464600,33.5
