"","ECL.Open","ECL.High","ECL.Low","ECL.Close","ECL.Volume","ECL.Adjusted"
"2007-01-03",45.2,45.37,44.28,44.5,1095500,40.61
"2007-01-04",44.4,44.47,43.74,43.95,1177800,40.11
"2007-01-05",43.95,44.22,43.76,43.96,1335600,40.12
"2007-01-08",43.84,43.99,43.54,43.82,985800,39.99
"2007-01-09",43.95,44.06,43.71,43.83,908200,40
"2007-01-10",43.75,43.94,43.6,43.8,656200,39.97
"2007-01-11",43.8,44.48,43.8,44.31,608900,40.44
"2007-01-12",44.42,45,44.32,44.66,582300,40.76
"2007-01-16",44.5,44.99,44.5,44.88,537700,40.96
"2007-01-17",44.88,44.88,44.59,44.69,571900,40.79
"2007-01-18",44.71,44.81,44.3,44.38,348500,40.5
"2007-01-19",44.3,44.44,44.05,44.12,682600,40.26
"2007-01-22",44.05,44.32,43.97,44.11,481100,40.26
"2007-01-23",44,44.26,43.91,44.24,689000,40.37
"2007-01-24",44.24,44.53,44.16,44.41,623600,40.53
"2007-01-25",44.33,44.35,43.65,43.85,1189200,40.02
"2007-01-26",43.97,43.98,42.96,43.16,1385700,39.39
"2007-01-29",43.06,43.63,43.05,43.47,1309000,39.67
"2007-01-30",43.37,43.44,42.77,43.14,1091000,39.37
"2007-01-31",43.1,44.02,43.1,43.9,841300,40.06
"2007-02-01",43.87,44.31,43.75,44.17,853500,40.31
"2007-02-02",44.17,44.56,44.12,44.27,863100,40.4
"2007-02-05",44.12,44.2,43.54,43.73,668100,39.91
"2007-02-06",43.73,44.48,43.73,44.25,722100,40.38
"2007-02-07",44.24,44.39,44.03,44.24,349700,40.37
"2007-02-08",44.11,44.2,43.82,44,507000,40.16
"2007-02-09",44,44.46,43.92,43.93,546900,40.09
"2007-02-12",44.06,44.5,43.9,44.1,894200,40.25
"2007-02-13",44.15,44.59,43.75,43.9,1043800,40.06
"2007-02-14",43.94,44.38,43.93,44.07,993700,40.22
"2007-02-15",44.07,44.44,44,44.35,611000,40.47
"2007-02-16",44.18,44.57,44.15,44.52,927700,40.63
"2007-02-20",44.6,44.75,44.3,44.6,649500,40.7
"2007-02-21",44.47,44.83,44.47,44.7,582800,40.79
"2007-02-22",44.77,44.91,44,44.12,537400,40.26
"2007-02-23",44.05,44.15,43.77,43.85,735300,40.02
"2007-02-26",43.88,44.33,43.32,43.43,934800,39.64
"2007-02-27",42.92,43.14,41.89,42.18,1327800,38.49
"2007-02-28",42.32,42.77,41.62,42.3,955900,38.6
"2007-03-01",41.8,42.11,37.01,41.75,1935100,38.1
"2007-03-02",41.79,41.9,41.26,41.39,1299500,37.77
"2007-03-05",41.25,41.48,40.82,40.83,1198500,37.26
"2007-03-06",41.07,42.25,41,42.06,1452300,38.38
"2007-03-07",41.9,42.39,41.85,42.16,973600,38.48
"2007-03-08",42.38,42.84,42.3,42.57,967600,38.85
"2007-03-09",42.74,43.18,42.73,43.01,731700,39.25
"2007-03-12",43.01,43.26,42.54,43.06,747600,39.3
"2007-03-13",42.75,43.01,41.75,41.81,1039500,38.16
"2007-03-14",42.38,42.82,41.97,42.61,1572100,38.89
"2007-03-15",42.64,43.47,42.64,42.87,1172600,39.12
"2007-03-16",42.75,42.8,41.86,42.16,1829900,38.58
"2007-03-19",42.54,43.04,42.44,43,1064000,39.35
"2007-03-20",42.9,43.07,42.64,42.74,879800,39.11
"2007-03-21",42.74,43.13,42.43,43.08,1032900,39.42
"2007-03-22",43.97,43.97,42.77,42.98,817700,39.33
"2007-03-23",43.13,43.13,42.67,42.99,959200,39.34
"2007-03-26",43.1,43.34,42.44,43.3,648300,39.62
"2007-03-27",43.11,43.23,42.72,43,718400,39.35
"2007-03-28",42.84,42.84,42.31,42.52,819100,38.91
"2007-03-29",42.59,42.96,42.47,42.72,1205000,39.09
"2007-03-30",42.8,43.21,42.59,43,1113000,39.35
"2007-04-02",42.96,43.3,42.79,43.18,903700,39.51
"2007-04-03",43.35,43.99,43.31,43.73,692900,40.02
"2007-04-04",43.66,44.08,43.57,43.57,695000,39.87
"2007-04-05",43.58,43.83,43.58,43.73,521200,40.02
"2007-04-09",43.72,43.9,43.61,43.81,459900,40.09
"2007-04-10",43.85,43.91,43.63,43.68,662600,39.97
"2007-04-11",43.74,43.85,43.55,43.62,870800,39.92
"2007-04-12",43.63,44.09,43.6,44.05,605000,40.31
"2007-04-13",44,44.08,43.68,43.78,507500,40.06
"2007-04-16",43.89,44.41,43.89,44.41,634800,40.64
"2007-04-17",44.38,44.59,44.12,44.19,535600,40.44
"2007-04-18",44.19,44.23,43.84,43.95,678500,40.22
"2007-04-19",44.79,44.79,43.57,43.99,587700,40.25
"2007-04-20",44.41,44.71,44.14,44.64,867400,40.85
"2007-04-23",44.6,44.77,44.37,44.49,454400,40.71
"2007-04-24",44.42,44.73,43.8,44,884800,40.26
"2007-04-25",44.32,44.65,44.02,44.17,995400,40.42
"2007-04-26",44.2,44.33,43.83,44.1,947400,40.35
"2007-04-27",44.11,44.12,43.58,43.97,561500,40.24
"2007-04-30",43.97,43.99,42.99,42.99,975100,39.34
"2007-05-01",43,43.05,42.03,42.26,2141100,38.67
"2007-05-02",42.26,42.95,42.26,42.7,2098100,39.07
"2007-05-03",42.83,43.24,42.83,43.2,1250900,39.53
"2007-05-04",43.35,43.35,42.46,42.76,1280800,39.13
"2007-05-07",42.81,43.38,42.76,42.92,756700,39.28
"2007-05-08",42.65,42.82,41.87,42.08,1348500,38.51
"2007-05-09",42,42.37,41.78,42.06,1430700,38.49
"2007-05-10",42.06,42.2,41.64,41.78,1224500,38.23
"2007-05-11",42.03,42.43,41.88,42.31,1066700,38.72
"2007-05-14",42.47,42.8,42.24,42.72,1224700,39.09
"2007-05-15",43.14,44.61,42.72,44.05,2261800,40.31
"2007-05-16",44.06,44.32,43.93,44.21,1133000,40.46
"2007-05-17",44.05,44.29,43.89,43.91,744900,40.18
"2007-05-18",44,44.25,43.84,43.96,1053500,40.23
"2007-05-21",43.9,44.16,43.69,43.75,784300,40.03
"2007-05-22",43.72,43.99,43.52,43.8,1144200,40.08
"2007-05-23",43.82,44.2,43.65,43.71,944900,40
"2007-05-24",43.7,43.9,42.93,42.96,789200,39.31
"2007-05-25",43.18,43.71,43.15,43.38,608200,39.7
"2007-05-29",43.59,43.77,43.02,43.13,730300,39.47
"2007-05-30",43.1,43.25,42.82,43.19,993800,39.52
"2007-05-31",43.29,43.69,43.14,43.15,834600,39.49
"2007-06-01",43.15,43.34,42.79,43.06,1120400,39.4
"2007-06-04",43.03,43.12,42.77,42.85,870200,39.21
"2007-06-05",42.86,43.02,42.58,42.6,744800,38.98
"2007-06-06",42.6,42.6,41.52,41.75,1508000,38.2
"2007-06-07",42.25,42.6,41.59,41.59,2047200,38.06
"2007-06-08",41.66,41.84,41.12,41.84,2326900,38.29
"2007-06-11",41.6,42.41,41.56,42.09,1181600,38.52
"2007-06-12",42.65,43.47,42.65,42.75,1934100,39.12
"2007-06-13",42.87,43.7,42.78,43.7,1085100,39.99
"2007-06-14",43.55,44.14,43.42,43.58,930200,39.88
"2007-06-15",44.4,44.42,43.58,43.63,919600,40.03
"2007-06-18",43.66,43.94,43.63,43.63,861900,40.03
"2007-06-19",43.5,43.5,42.91,43.01,1273400,39.46
"2007-06-20",43.85,44.54,43.17,43.18,1553600,39.62
"2007-06-21",42.94,43.36,42.72,43.36,1035500,39.78
"2007-06-22",43.2,43.49,42.7,42.82,1921400,39.29
"2007-06-25",42.78,43.29,42.46,42.64,1375400,39.12
"2007-06-26",42.65,42.99,42.35,42.78,1689700,39.25
"2007-06-27",42.67,43.23,42.6,43.15,1580900,39.59
"2007-06-28",43.02,43.23,42.83,42.83,1031900,39.3
"2007-06-29",42.84,43.39,42.55,42.7,1187000,39.18
"2007-07-02",43.03,43.4,42.89,43.15,884800,39.59
"2007-07-03",43.15,43.28,43.06,43.14,358400,39.58
"2007-07-05",42.92,43.06,42.43,42.45,1300100,38.95
"2007-07-06",42.43,42.63,42.25,42.58,1221200,39.07
"2007-07-09",42.33,42.8,42.27,42.63,1013900,39.11
"2007-07-10",42.51,42.71,42.09,42.2,1253800,38.72
"2007-07-11",42.3,42.9,42.08,42.9,1232900,39.36
"2007-07-12",43,43.47,42.9,43.47,1247900,39.88
"2007-07-13",43.47,43.9,43.23,43.8,808800,40.19
"2007-07-16",43.7,44.34,43.59,43.74,1395800,40.13
"2007-07-17",43.68,43.98,43.53,43.6,859200,40
"2007-07-18",43.34,43.74,43.34,43.66,1039000,40.06
"2007-07-19",43.68,43.8,43.34,43.65,1164500,40.05
"2007-07-20",43.62,43.89,43.18,43.7,1481700,40.09
"2007-07-23",44,44.5,43.81,43.99,1810600,40.36
"2007-07-24",43.99,44.74,43.5,43.69,1964700,40.09
"2007-07-25",43.69,43.84,43.03,43.36,2210600,39.78
"2007-07-26",43.01,43.25,42.08,42.46,2591400,38.96
"2007-07-27",42.02,42.56,41.57,41.82,2468200,38.37
"2007-07-30",41.93,42.72,41.36,42.57,1914100,39.06
"2007-07-31",42.81,43,42,42.11,2174700,38.64
"2007-08-01",42.2,42.93,41.83,42.8,1762500,39.27
"2007-08-02",42.76,43.12,42.44,42.7,1104500,39.18
"2007-08-03",42.75,42.94,42.05,42.05,1170100,38.58
"2007-08-06",42.26,42.64,41.67,42.63,1394600,39.11
"2007-08-07",42.32,43.03,41.9,42.65,1664700,39.13
"2007-08-08",43.51,43.58,42.63,43.19,1730200,39.63
"2007-08-09",42.76,43.29,42.25,42.43,1957000,38.93
"2007-08-10",42.06,42.8,41.14,41.9,1722600,38.44
"2007-08-13",42.1,42.38,41.3,42,1665800,38.53
"2007-08-14",42.17,42.44,41.15,41.15,1204500,37.76
"2007-08-15",40.96,41.17,40.13,40.16,1089200,36.85
"2007-08-16",40.01,40.6,39.01,40.35,2442700,37.02
"2007-08-17",42.85,42.85,40.39,40.74,1302600,37.38
"2007-08-20",40.75,41.39,40.48,40.99,1203600,37.61
"2007-08-21",40.68,41.28,40.2,40.59,1253900,37.24
"2007-08-22",40.7,41.64,40.67,41.02,2111100,37.64
"2007-08-23",41.07,41.27,40.55,40.96,1213500,37.58
"2007-08-24",41.08,41.39,40.86,41.38,813700,37.97
"2007-08-27",41.24,41.56,41.08,41.11,832300,37.72
"2007-08-28",40.85,41.17,40.4,40.44,1207400,37.1
"2007-08-29",40.6,41.47,40.5,41.44,1025000,38.02
"2007-08-30",41.2,41.82,41.11,41.44,1173300,38.02
"2007-08-31",41.74,42.34,41.46,41.66,948300,38.22
"2007-09-04",41.43,41.66,41.24,41.4,1009400,37.98
"2007-09-05",41.15,41.63,41.08,41.62,1222800,38.19
"2007-09-06",41.62,41.69,41.3,41.65,623400,38.21
"2007-09-07",41.16,41.49,40.75,40.84,830500,37.47
"2007-09-10",41,41.2,40.37,40.76,668200,37.4
"2007-09-11",41,41.56,40.85,41.53,722800,38.1
"2007-09-12",41.83,42.7,41.66,42.5,1298500,38.99
"2007-09-13",42.5,43,42.5,42.52,1251800,39.01
"2007-09-14",42,42.85,41.89,42.74,828200,39.32
"2007-09-17",42.42,43.07,42.4,42.59,705200,39.18
"2007-09-18",42.81,43.85,42.61,43.82,1155800,40.31
"2007-09-19",44,45.54,43.96,45.37,2112800,41.74
"2007-09-20",45.15,45.5,45,45.38,1323900,41.75
"2007-09-21",45.95,46.71,45.38,46.28,1963100,42.58
"2007-09-24",46.08,46.64,45.78,45.87,1059200,42.2
"2007-09-25",45.09,46.26,45.09,46.13,1289500,42.44
"2007-09-26",46.05,46.86,46.05,46.72,1032100,42.98
"2007-09-27",46.8,47.59,46.8,47.59,915100,43.78
"2007-09-28",47.32,47.5,47.04,47.2,887600,43.42
"2007-10-01",47.06,48.37,47.06,47.85,915200,44.02
"2007-10-02",47.67,47.8,47.05,47.37,694000,43.58
"2007-10-03",47.21,47.4,46.85,46.89,709100,43.14
"2007-10-04",47.08,47.52,46.74,46.81,968300,43.06
"2007-10-05",47.29,47.37,46.72,47,1097600,43.24
"2007-10-08",47.04,47.05,46.63,46.74,507400,43
"2007-10-09",46.75,47.09,46.64,46.93,777000,43.17
"2007-10-10",46.99,47.1,46.74,47.03,975000,43.27
"2007-10-11",46.96,47.29,46.22,46.38,866500,42.67
"2007-10-12",46.38,47.22,46.13,47.1,651300,43.33
"2007-10-15",47.21,47.4,46.31,46.51,644200,42.79
"2007-10-16",46.63,46.63,45.49,45.66,839400,42.01
"2007-10-17",45.88,46.21,45.65,46.02,714400,42.34
"2007-10-18",45.83,46.34,45.6,46.14,680900,42.45
"2007-10-19",45.81,46.41,45.65,45.65,1172000,42
"2007-10-22",45.58,46.59,45,46.38,1175700,42.67
"2007-10-23",46.44,46.77,45.36,46.49,1508600,42.77
"2007-10-24",46.18,46.84,45.95,46.74,1289800,43
"2007-10-25",46.92,46.93,46.04,46.31,1214400,42.6
"2007-10-26",46.8,47.28,46.57,47.26,844400,43.48
"2007-10-29",47.25,47.67,47.17,47.43,430900,43.63
"2007-10-30",47.23,47.67,46.92,46.94,769100,43.18
"2007-10-31",47.01,47.21,46.17,47.17,1094100,43.4
"2007-11-01",46.83,47.09,46.01,46.06,848700,42.37
"2007-11-02",46.13,46.33,45.35,46.32,1019400,42.61
"2007-11-05",46,46.85,45.79,46.53,878200,42.81
"2007-11-06",46.57,48.26,46.57,48.26,1169000,44.4
"2007-11-07",47.55,47.78,46.32,46.32,956500,42.61
"2007-11-08",46.36,46.77,45.83,46.67,1290400,42.94
"2007-11-09",45.99,46.83,45.62,46.05,1156100,42.37
"2007-11-12",45.88,46.72,45.82,45.85,985300,42.18
"2007-11-13",46.31,46.71,46.06,46.68,1132100,42.94
"2007-11-14",46.78,47.48,46.61,47.18,925400,43.4
"2007-11-15",47.09,47.32,45.99,46.28,1197500,42.58
"2007-11-16",46.68,46.83,45.74,46.03,1729200,42.35
"2007-11-19",45.71,45.94,45.08,45.12,1068500,41.51
"2007-11-20",45.25,46.35,45.07,45.5,1273300,41.86
"2007-11-21",45.29,45.87,44.94,45.2,1006100,41.58
"2007-11-23",45.6,46.01,45.36,45.87,256200,42.2
"2007-11-26",45.75,46.73,44.95,44.95,976300,41.35
"2007-11-27",45.09,45.96,44.82,45.61,1019900,41.96
"2007-11-28",45.63,47.3,45.63,47.3,1016400,43.52
"2007-11-29",47.05,47.23,46.63,47,1084200,43.24
"2007-11-30",47.47,47.9,47.09,47.9,1134200,44.07
"2007-12-03",47.51,49.82,47.51,49.56,1973500,45.59
"2007-12-04",49.53,49.69,48.86,49.3,1625700,45.36
"2007-12-05",49.86,49.86,48.98,49.4,873900,45.45
"2007-12-06",49.38,50.29,49.13,50.25,759300,46.23
"2007-12-07",50.24,50.95,49.72,50.77,1060000,46.71
"2007-12-10",50.49,51.49,50.36,51.49,1291500,47.37
"2007-12-11",51.67,51.67,50.36,50.52,1289200,46.48
"2007-12-12",51.62,51.62,50.67,51.15,1557700,47.06
"2007-12-13",51,52.18,50.86,52.07,1186700,47.9
"2007-12-14",51.55,51.72,51.17,51.39,1147200,47.4
"2007-12-17",51.2,51.5,49.72,49.72,1529700,45.86
"2007-12-18",49.98,50.83,49.16,50.64,1410700,46.7
"2007-12-19",50.67,51.58,50.26,51.24,1453800,47.26
"2007-12-20",51.5,51.5,50.58,51.42,994600,47.42
"2007-12-21",51.83,52.27,51.34,51.67,1302000,47.65
"2007-12-24",51.98,52.3,51.83,52.3,251400,48.24
"2007-12-26",51.98,52.28,51.57,52.25,411000,48.19
"2007-12-27",52.2,52.5,51.88,52.23,760900,48.17
"2007-12-28",52.78,52.78,51.84,52.07,654000,48.02
"2007-12-31",52,52.02,51.13,51.21,538000,47.23
"2008-01-02",51,51.5,50.78,51.03,1195000,47.06
"2008-01-03",51.11,51.25,50.44,50.77,1255400,46.82
"2008-01-04",50.43,51.01,49.8,50.35,1251200,46.44
"2008-01-07",51.16,52.35,50.91,51.24,2262100,47.26
"2008-01-08",51.63,51.8,50.02,50.21,1410000,46.31
"2008-01-09",50.19,50.31,49.07,50.21,1472200,46.31
"2008-01-10",49.76,51.14,49.54,50.95,1268300,46.99
"2008-01-11",50.38,50.85,49.05,49.21,1452200,45.39
"2008-01-14",49.6,49.99,49.36,49.96,1277400,46.08
"2008-01-15",49.41,50.19,48.68,48.74,1406200,44.95
"2008-01-16",48.42,49.35,48.05,48.66,1682500,44.88
"2008-01-17",48.94,49.23,47.03,47.04,1941800,43.38
"2008-01-18",47.45,48.17,46.95,47.71,1646400,44
"2008-01-22",45.88,46.67,45.16,45.8,2157400,42.24
"2008-01-23",44.55,47.45,44.12,47.37,2418200,43.69
"2008-01-24",47.58,47.91,46.68,47.36,1357800,43.68
"2008-01-25",47.72,47.72,46.15,46.32,1621900,42.72
"2008-01-28",46.96,47.95,46.53,47.95,1115200,44.22
"2008-01-29",48.32,48.44,47.64,47.9,844600,44.18
"2008-01-30",47.76,48.96,47.36,47.53,920700,43.84
"2008-01-31",46.9,48.56,46.73,48.14,1225100,44.4
"2008-02-01",48.36,49.14,47.92,49.02,1078000,45.21
"2008-02-04",48.84,51,48.06,49.6,921800,45.75
"2008-02-05",48.85,48.91,47.75,47.75,984900,44.04
"2008-02-06",48.03,48.17,47.13,47.26,1289800,43.59
