"","ED.Open","ED.High","ED.Low","ED.Close","ED.Volume","ED.Adjusted"
"2007-01-03",48.12,48.7,48.12,48.39,1444700,33.97
"2007-01-04",48.28,48.57,48.05,48.31,1499800,33.92
"2007-01-05",48.29,48.31,47.32,47.63,1167200,33.44
"2007-01-08",47.66,47.76,47.33,47.56,1278800,33.39
"2007-01-09",47.7,47.87,47.34,47.7,1927200,33.49
"2007-01-10",47.59,48.04,47.55,47.81,1430900,33.57
"2007-01-11",47.8,48.19,47.54,47.75,957400,33.52
"2007-01-12",47.57,47.7,47.19,47.36,1141400,33.25
"2007-01-16",47.53,47.95,47.39,47.53,921600,33.37
"2007-01-17",47.67,47.68,47.3,47.6,1209900,33.42
"2007-01-18",47.07,47.74,47.07,47.63,1041500,33.44
"2007-01-19",47.84,47.99,47.64,47.74,1754500,33.52
"2007-01-22",47.9,48.43,47.85,48.25,1987000,33.87
"2007-01-23",48.22,48.54,48.12,48.33,1323400,33.93
"2007-01-24",48.35,48.68,48.28,48.53,902600,34.07
"2007-01-25",48.63,48.67,48.01,48.03,1033800,33.72
"2007-01-26",48.03,48.16,47.68,48.1,985800,33.77
"2007-01-29",48,48.07,47.72,47.94,1034400,33.66
"2007-01-30",48.04,48.04,47.57,47.93,1282900,33.65
"2007-01-31",47.92,48.38,47.68,48.28,1314100,33.9
"2007-02-01",48.41,48.6,48.22,48.4,1297100,33.98
"2007-02-02",48.5,48.53,48.31,48.46,741900,34.02
"2007-02-05",48.48,48.75,48.3,48.64,1032900,34.15
"2007-02-06",48.63,48.89,48.58,48.74,1331600,34.22
"2007-02-07",48.75,49.03,48.57,48.92,914300,34.34
"2007-02-08",48.88,49.16,48.85,48.93,684700,34.35
"2007-02-09",48.92,49.25,48.72,49.03,1401200,34.42
"2007-02-12",48.45,48.53,48.2,48.42,1065500,34.4
"2007-02-13",48.49,48.72,48.3,48.72,1222500,34.61
"2007-02-14",48.66,48.97,48.64,48.81,968500,34.68
"2007-02-15",48.8,48.8,48.5,48.58,1116600,34.51
"2007-02-16",48.51,48.83,48.28,48.72,1017700,34.61
"2007-02-20",48.67,49.05,48.65,49.02,1165900,34.83
"2007-02-21",48.75,48.95,48.63,48.75,1148000,34.64
"2007-02-22",49.1,49.57,49,49.54,1975300,35.2
"2007-02-23",49.69,49.89,49.25,49.33,2592500,35.05
