"","EFX.Open","EFX.High","EFX.Low","EFX.Close","EFX.Volume","EFX.Adjusted"
"2007-01-03",40.5,40.53,39.86,40.01,1097900,37.04
"2007-01-04",40.08,40.5,39.68,40.36,491200,37.36
"2007-01-05",40.29,40.29,39.62,39.74,716700,36.79
"2007-01-08",39.8,39.95,39.37,39.88,529900,36.92
"2007-01-09",39.97,40.13,39.6,39.73,453500,36.78
"2007-01-10",39.69,39.91,39.44,39.82,527900,36.86
"2007-01-11",39.74,39.93,39.53,39.85,576100,36.89
"2007-01-12",39.98,40.06,39.64,40.05,722700,37.07
"2007-01-16",40.09,40.4,40.01,40.25,491000,37.26
"2007-01-17",40.36,40.75,40.25,40.63,499400,37.61
"2007-01-18",41.35,41.35,40.32,40.37,501900,37.37
"2007-01-19",40.46,40.56,40.2,40.56,647400,37.55
"2007-01-22",40.5,40.76,40.32,40.68,525000,37.66
"2007-01-23",40.65,40.8,40.48,40.62,436600,37.6
"2007-01-24",40.68,40.84,40.54,40.78,494000,37.75
"2007-01-25",40.87,40.89,40.39,40.47,466300,37.46
"2007-01-26",40.47,40.5,39.86,40.05,573100,37.07
"2007-01-29",40,40.78,39.89,40.48,576900,37.47
"2007-01-30",40.58,40.65,40.27,40.54,356800,37.53
"2007-01-31",40.5,41.64,40.2,41.53,764300,38.45
"2007-02-01",41.58,41.95,40.38,40.45,935900,37.45
"2007-02-02",40.45,41.17,40.45,41.05,732800,38
"2007-02-05",41,41.1,40.6,40.75,416400,37.72
"2007-02-06",40.76,40.96,40.56,40.91,359500,37.87
"2007-02-07",40.92,41.28,40.92,41.22,410300,38.16
"2007-02-08",41.22,41.72,41.21,41.6,596700,38.51
"2007-02-09",41.57,41.82,41.46,41.6,571400,38.51
"2007-02-12",41.67,41.8,41.54,41.62,388100,38.53
"2007-02-13",41.65,41.84,41.62,41.69,330200,38.59
"2007-02-14",41.69,42,41.69,41.91,273100,38.8
"2007-02-15",40.73,41.26,38.89,39.63,4551600,36.69
"2007-02-16",39.56,39.87,39.32,39.73,1277700,36.78
"2007-02-20",39.73,40.48,39.56,40.32,1166100,37.36
"2007-02-21",40.25,40.25,39.75,40.05,631700,37.11
"2007-02-22",40.03,40.3,39.9,40.05,554400,37.11
"2007-02-23",40,40,39.26,39.53,898400,36.63
"2007-02-26",39.45,39.49,38.84,38.85,970900,36
"2007-02-27",38.7,38.7,37.46,37.66,1580900,34.9
"2007-02-28",37.88,38.92,37.68,38.68,2042700,35.84
"2007-03-01",38.48,38.68,38,38.62,1501100,35.79
"2007-03-02",38.43,38.64,37.68,37.73,918400,34.96
"2007-03-05",37.53,37.65,35.91,36.52,1194700,33.84
"2007-03-06",36.92,37.38,36.8,37.27,1495100,34.54
"2007-03-07",37.12,37.35,36.9,37.17,511200,34.44
"2007-03-08",37.4,37.59,37.21,37.49,641500,34.74
"2007-03-09",37.6,37.71,37.04,37.26,585900,34.53
"2007-03-12",37.19,37.45,37.07,37.27,862100,34.54
"2007-03-13",37.18,37.24,36.71,36.88,971200,34.17
"2007-03-14",37,37.08,36.26,36.88,1246100,34.17
"2007-03-15",36.93,37.24,36.89,36.95,546200,34.24
"2007-03-16",37.07,37.24,36.78,36.97,947100,34.26
"2007-03-19",37.1,37.25,36.88,37.02,694400,34.3
"2007-03-20",37.09,37.22,36.94,37.02,576800,34.3
"2007-03-21",37.12,37.38,36.89,37.23,909300,34.5
"2007-03-22",37.13,37.82,37.09,37.75,989700,34.98
"2007-03-23",37.62,37.94,37.55,37.76,838000,34.99
"2007-03-26",37.7,37.9,37.44,37.65,818800,34.89
"2007-03-27",37.42,37.45,37.22,37.4,729600,34.66
"2007-03-28",37.35,37.35,36.56,36.67,926200,33.98
"2007-03-29",36.87,36.9,36.34,36.55,618200,33.87
"2007-03-30",36.57,36.84,36.14,36.45,895000,33.78
"2007-04-02",36.5,37.25,36.5,37.12,777900,34.4
"2007-04-03",37.13,37.5,37.05,37.46,693600,34.71
"2007-04-04",37.41,37.52,36.98,37.05,529500,34.33
"2007-04-05",36.97,37.17,36.96,37.14,333700,34.42
"2007-04-09",37.22,37.3,37.12,37.28,341100,34.55
"2007-04-10",37.35,37.51,37.3,37.35,583300,34.61
"2007-04-11",37.3,37.33,37.18,37.24,917600,34.51
"2007-04-12",37.33,37.75,37.25,37.61,1176400,34.85
"2007-04-13",37.62,37.75,37.45,37.62,1027500,34.86
"2007-04-16",37.68,38.1,37.68,38.01,700600,35.22
"2007-04-17",37.89,38.37,37.69,38.23,915900,35.43
"2007-04-18",38.27,38.5,38,38.39,871600,35.57
"2007-04-19",38.27,39.08,38.17,38.68,1179200,35.84
"2007-04-20",39.15,39.5,39.02,39.43,1421600,36.54
"2007-04-23",40,40.21,39.04,39.44,904800,36.55
"2007-04-24",39.49,40.97,39.49,40.57,1918600,37.59
"2007-04-25",40.61,40.88,40.2,40.75,1319700,37.76
"2007-04-26",40.82,40.84,40.15,40.31,900800,37.35
"2007-04-27",40.25,40.25,39.93,40.12,593100,37.18
"2007-04-30",40.09,40.28,39.73,39.8,741600,36.88
"2007-05-01",40.02,40.26,39.8,40.18,957200,37.23
"2007-05-02",40.1,40.39,40,40.3,554900,37.34
"2007-05-03",40.3,40.79,40.3,40.79,823200,37.8
"2007-05-04",40.81,41.07,40.54,40.95,714200,37.95
"2007-05-07",40.9,41.18,40.78,40.92,582800,37.92
"2007-05-08",40.75,40.96,40.34,40.92,1029500,37.92
"2007-05-09",41,41.19,40.87,41.09,834500,38.08
"2007-05-10",41,41.09,40.74,41,1978100,38.03
"2007-05-11",41.1,41.21,40.87,41.15,767600,38.17
"2007-05-14",40.99,41.31,40.99,41.25,1456000,38.26
"2007-05-15",41.33,41.5,41.01,41.32,2968800,38.33
"2007-05-16",41.42,41.59,41.2,41.52,2113900,38.51
"2007-05-17",41.53,41.6,41.34,41.42,1217100,38.42
"2007-05-18",41.48,42.11,41.43,41.57,1687600,38.56
"2007-05-21",41.6,42.14,41.4,41.54,2032600,38.53
"2007-05-22",41.64,41.64,41.28,41.37,1426500,38.37
"2007-05-23",41.38,41.55,41.26,41.36,1739800,38.4
"2007-05-24",41.42,41.54,41.06,41.09,2304400,38.15
"2007-05-25",41.08,41.24,41.01,41.23,1478600,38.28
"2007-05-29",41.21,41.4,41.08,41.28,1381200,38.33
"2007-05-30",41.23,41.81,41.21,41.81,736900,38.82
"2007-05-31",41.92,42.04,41.69,42.03,1116100,39.02
"2007-06-01",42.12,42.36,41.97,42.34,1420900,39.31
"2007-06-04",43.21,43.21,42.1,42.33,1166100,39.3
"2007-06-05",43.5,44.34,42.75,43.75,2893100,40.62
"2007-06-06",43.74,43.85,43.22,43.74,1951700,40.61
"2007-06-07",43.5,43.79,43.3,43.3,1716600,40.2
"2007-06-08",43.3,44.04,43.11,44.01,1352900,40.86
