"","EL.Open","EL.High","EL.Low","EL.Close","EL.Volume","EL.Adjusted"
"2007-01-03",41,41.36,40.65,41.09,1956800,19
"2007-01-04",41.09,41.36,40.6,41.09,1374600,19
"2007-01-05",40.92,41.2,40.51,40.58,1725200,18.77
"2007-01-08",40.46,40.5,39.67,40.17,3255600,18.58
"2007-01-09",40.45,40.67,40.05,40.42,2024600,18.69
"2007-01-10",40.2,40.59,40.1,40.52,667400,18.74
"2007-01-11",40.73,40.9,40.6,40.8,915200,18.87
"2007-01-12",40.91,41.46,40.83,40.94,1671200,18.93
"2007-01-16",41.14,41.39,40.95,41.31,1208600,19.1
"2007-01-17",41.13,41.17,40.55,40.8,1769400,18.87
"2007-01-18",40.74,41.13,40.41,40.53,2026800,18.74
"2007-01-19",40.65,40.99,40.53,40.94,1320800,18.93
"2007-01-22",40.7,41,40.3,40.52,995600,18.74
"2007-01-23",40.52,40.65,40.23,40.32,1318800,18.65
"2007-01-24",40.93,41.43,40.88,41.22,2109400,19.06
"2007-01-25",41.07,41.39,40.69,40.77,1383400,18.85
"2007-01-26",40.74,40.97,40.44,40.54,1829400,18.75
"2007-01-29",40.43,41.15,40.43,40.76,1148200,18.85
"2007-01-30",40.72,41.45,40.62,41.33,3159200,19.11
"2007-01-31",45.24,48.15,45.19,47.5,15571600,21.97
"2007-02-01",47,47.65,46.62,47.45,6161000,21.94
"2007-02-02",47.24,47.37,45.69,46.13,5164800,21.33
"2007-02-05",45.94,46.87,45.88,46.62,4171200,21.56
"2007-02-06",47,47.25,46.42,46.49,3158400,21.5
"2007-02-07",46.6,46.68,45.87,45.87,3145000,21.21
"2007-02-08",45.92,46.44,45.74,46.26,2084400,21.39
"2007-02-09",46.21,47.45,46.21,46.63,4523000,21.56
"2007-02-12",46.74,46.99,46.27,46.42,2363200,21.47
"2007-02-13",46.69,46.78,46.4,46.65,1462400,21.57
"2007-02-14",47.05,47.48,46.85,47.13,2470200,21.79
"2007-02-15",46.97,47.72,46.75,47.52,2812000,21.97
"2007-02-16",47.53,48.73,47.32,47.75,2528000,22.08
"2007-02-20",47.66,48.27,47.13,48.23,1747800,22.3
"2007-02-21",48.1,48.18,47.03,47.04,2429800,21.75
"2007-02-22",47.05,47.39,46.29,46.7,2687800,21.6
"2007-02-23",46.91,47.58,46.81,47.36,1729200,21.9
"2007-02-26",47.71,47.75,47.13,47.31,2044600,21.88
"2007-02-27",47.31,47.99,45.6,45.76,5032200,21.16
"2007-02-28",46.75,48.09,45.92,47.87,4595000,22.14
"2007-03-01",47,47.3,46.41,46.91,4983800,21.69
"2007-03-02",46.57,47.02,45.92,45.93,2654600,21.24
"2007-03-05",45.6,46.97,45.41,46.05,3022000,21.29
"2007-03-06",46.4,47.39,46.06,47.19,4894400,21.82
"2007-03-07",47.03,47.73,46.75,46.99,34745200,21.73
"2007-03-08",47.43,48.12,46.95,48.07,4065800,22.23
"2007-03-09",48.31,48.56,47.37,47.62,3360600,22.02
