"","EMC.Open","EMC.High","EMC.Low","EMC.Close","EMC.Volume","EMC.Adjusted"
"2007-01-03",13.2,13.39,13.07,13.2,42856600,13.04
"2007-01-04",13.14,13.62,13.13,13.53,30725100,13.37
"2007-01-05",13.75,13.75,13.42,13.61,24501300,13.45
"2007-01-08",13.78,14.23,13.75,14.08,74174700,13.91
"2007-01-09",14.14,14.23,13.96,14.16,41436800,13.99
"2007-01-10",14.16,14.54,14.1,14.36,51479500,14.19
"2007-01-11",14.39,14.48,14.21,14.31,23846200,14.14
"2007-01-12",14.28,14.31,14.12,14.26,16803700,14.09
"2007-01-16",14.11,14.23,14.04,14.17,28252800,14
"2007-01-17",14.2,14.24,14,14.04,22033100,13.87
"2007-01-18",13.87,13.97,13.56,13.75,28301100,13.59
"2007-01-19",13.54,13.77,13.5,13.59,26767700,13.43
"2007-01-22",13.59,13.65,13.4,13.47,27803100,13.31
"2007-01-23",13.66,13.69,13.18,13.55,49029200,13.39
"2007-01-24",13.66,14.06,13.65,13.96,41102800,13.79
"2007-01-25",13.96,14.15,13.87,13.97,26257600,13.8
"2007-01-26",13.96,14,13.73,13.74,26129600,13.58
"2007-01-29",13.67,14.08,13.67,13.96,26180200,13.79
"2007-01-30",13.96,14.03,13.86,13.96,17071700,13.79
"2007-01-31",13.86,14.03,13.76,13.99,17417500,13.82
"2007-02-01",13.95,14,13.49,13.76,35970600,13.6
"2007-02-02",13.83,13.92,13.68,13.74,20287800,13.58
"2007-02-05",13.8,13.8,13.58,13.69,23059000,13.53
"2007-02-06",13.73,13.75,13.54,13.62,17886200,13.46
"2007-02-07",13.64,13.69,13.47,13.6,24136800,13.44
"2007-02-08",14.66,14.79,14.38,14.5,97091100,14.33
"2007-02-09",14.5,14.68,14.38,14.56,36057300,14.39
"2007-02-12",14.55,14.65,14.45,14.62,24457100,14.45
"2007-02-13",14.67,14.72,14.42,14.49,19955400,14.32
"2007-02-14",14.56,14.77,14.4,14.7,23269900,14.52
"2007-02-15",14.67,14.79,14.62,14.7,14270200,14.52
"2007-02-16",14.69,14.69,14.46,14.6,27947300,14.43
"2007-02-20",14.52,14.64,14.49,14.6,12443600,14.43
"2007-02-21",14.52,14.89,14.51,14.79,32583100,14.61
"2007-02-22",14.79,14.88,14.52,14.64,20007100,14.47
"2007-02-23",14.61,14.68,14.34,14.49,18686300,14.32
"2007-02-26",14.59,14.59,14.21,14.3,19393400,14.13
"2007-02-27",14.3,14.3,13.72,13.75,34881500,13.59
"2007-02-28",13.91,14.08,13.74,13.96,31735300,13.79
"2007-03-01",13.7,14.1,13.61,13.84,37074100,13.67
"2007-03-02",13.73,13.83,13.4,13.56,28326000,13.4
"2007-03-05",13.45,13.7,13.35,13.39,26376000,13.23
"2007-03-06",13.55,13.6,13.28,13.4,37476200,13.24
"2007-03-07",13.25,13.37,13.01,13.05,44174900,12.89
"2007-03-08",13.2,13.29,13.08,13.12,27173400,12.96
"2007-03-09",13.08,13.26,12.93,13.05,36643500,12.89
"2007-03-12",13.05,13.18,12.97,13.09,16940500,12.93
"2007-03-13",13.01,13.2,12.87,12.99,29820200,12.84
"2007-03-14",13,13.02,12.74,13,30760400,12.84
"2007-03-15",13.01,13.09,12.91,12.93,17569400,12.78
"2007-03-16",12.94,13.11,12.88,12.99,36817400,12.84
"2007-03-19",13.08,13.13,12.99,13.05,14001600,12.89
"2007-03-20",13.02,13.23,12.96,13.02,21223800,12.86
"2007-03-21",13.02,13.36,12.95,13.26,29419100,13.1
"2007-03-22",13.42,13.56,13.29,13.53,26244400,13.37
"2007-03-23",13.7,13.9,13.61,13.7,27990600,13.54
"2007-03-26",13.72,13.9,13.49,13.66,20665300,13.5
"2007-03-27",13.57,13.69,13.48,13.61,19672000,13.45
"2007-03-28",13.5,13.6,13.42,13.49,22480100,13.33
"2007-03-29",13.56,13.76,13.5,13.66,22910200,13.5
"2007-03-30",13.73,13.93,13.67,13.85,28018800,13.68
"2007-04-02",13.9,14.11,13.85,14.09,31322800,13.92
"2007-04-03",14.13,14.39,14.12,14.29,30916500,14.12
"2007-04-04",14.27,14.4,14.18,14.35,22602900,14.18
"2007-04-05",14.35,14.44,14.22,14.44,13899600,14.27
"2007-04-09",14.46,14.5,14.31,14.38,14400700,14.21
"2007-04-10",14.35,14.43,14.13,14.19,25107400,14.02
"2007-04-11",14.17,14.2,14.03,14.09,26342600,13.92
"2007-04-12",14.05,14.22,13.96,14.21,16305000,14.04
"2007-04-13",14.24,14.65,14.17,14.6,28116300,14.43
"2007-04-16",14.59,14.78,14.55,14.76,33892000,14.58
"2007-04-17",15.3,15.38,15.05,15.22,74087000,15.04
"2007-04-18",15.12,15.37,15.04,15.35,28372100,15.17
"2007-04-19",15.25,15.49,15.15,15.4,24984200,15.22
"2007-04-20",15.48,15.54,15.32,15.37,31909100,15.19
"2007-04-23",15.35,15.65,15.24,15.51,29731200,15.32
"2007-04-24",15.52,15.62,15.37,15.5,21624800,15.32
"2007-04-25",15.6,15.85,15.54,15.74,27356300,15.55
"2007-04-26",15.97,16,15.43,15.57,41207100,15.38
"2007-04-27",15.5,15.69,15.44,15.64,25358300,15.45
"2007-04-30",15.64,15.7,15.14,15.18,38152100,15
"2007-05-01",15.25,15.29,14.92,15.06,37232600,14.88
"2007-05-02",15.09,15.3,15.05,15.19,28283200,15.01
"2007-05-03",15.26,15.49,15.2,15.35,24817700,15.17
"2007-05-04",15.38,15.45,15.23,15.32,10940800,15.14
"2007-05-07",15.34,15.62,15.34,15.61,24393700,15.42
"2007-05-08",15.54,15.83,15.32,15.68,31450700,15.49
"2007-05-09",15.68,15.68,15.51,15.63,18927100,15.44
"2007-05-10",15.57,15.6,15.12,15.21,33272300,15.03
"2007-05-11",15.22,15.46,15.19,15.33,19634500,15.15
"2007-05-14",15.33,15.68,15.33,15.44,30339200,15.26
"2007-05-15",15.47,15.61,15.4,15.43,32872300,15.25
"2007-05-16",15.49,15.78,15.49,15.77,34836000,15.58
"2007-05-17",15.69,15.8,15.54,15.65,19623500,15.46
"2007-05-18",15.68,15.74,15.56,15.69,18599100,15.5
"2007-05-21",15.52,15.89,15.52,15.83,27393900,15.64
"2007-05-22",15.88,15.94,15.74,15.82,25488000,15.63
"2007-05-23",15.91,16.05,15.78,16.05,31078000,15.86
"2007-05-24",16.13,16.85,16.05,16.3,83194100,16.11
"2007-05-25",16.35,16.6,16.31,16.46,33277400,16.26
"2007-05-29",16.48,16.66,16.21,16.48,29115800,16.28
"2007-05-30",16.37,17,16.3,17,51794100,16.8
"2007-05-31",16.9,17.15,16.89,16.89,41794900,16.69
"2007-06-01",16.93,17.08,16.57,16.83,29380700,16.63
"2007-06-04",16.88,17.24,16.71,17.05,31782100,16.85
"2007-06-05",17,17.1,16.95,17,30274700,16.8
"2007-06-06",16.92,17.09,16.85,16.93,31429600,16.73
"2007-06-07",16.87,16.89,16.42,16.43,36142200,16.23
"2007-06-08",16.44,16.7,16.26,16.7,24552900,16.5
"2007-06-11",16.65,16.75,16.5,16.63,17976900,16.43
"2007-06-12",16.59,16.59,16.27,16.3,24964900,16.11
"2007-06-13",16.45,16.63,16.33,16.59,33144400,16.39
"2007-06-14",16.5,17.11,16.49,17.01,34774800,16.81
"2007-06-15",17.19,17.47,17.16,17.35,31741200,17.14
"2007-06-18",17.46,17.8,17.46,17.79,29061900,17.58
"2007-06-19",17.75,18.15,17.72,17.99,32799500,17.78
"2007-06-20",18,18.05,17.51,17.58,34442500,17.37
"2007-06-21",17.64,18.11,17.57,17.99,31518800,17.78
"2007-06-22",17.9,18.03,17.85,17.95,35711300,17.74
