"","EMN.Open","EMN.High","EMN.Low","EMN.Close","EMN.Volume","EMN.Adjusted"
"2007-01-03",59.49,60.16,59.39,60.05,1623000,24.52
"2007-01-04",59.95,60.01,59.46,59.76,1335400,24.4
"2007-01-05",59.71,59.71,59.36,59.54,1475600,24.31
"2007-01-08",59.54,59.75,59.06,59.66,1449000,24.36
"2007-01-09",59.8,59.83,59.42,59.67,1101800,24.36
"2007-01-10",59.54,59.94,59.27,59.89,2180000,24.45
"2007-01-11",59.89,61.02,59.76,60.9,2011800,24.87
"2007-01-12",60.77,61.66,60.75,61.55,2060200,25.13
"2007-01-16",61.42,62.03,61.08,61.75,1160000,25.21
"2007-01-17",61.6,62.33,61.55,62.09,1379800,25.35
"2007-01-18",62,62.45,61.83,62.02,1814200,25.32
"2007-01-19",61.96,62.7,61.93,62.64,1337600,25.58
"2007-01-22",62.07,62.73,62.07,62.43,1947400,25.49
"2007-01-23",62.25,63.15,62.25,62.81,1601400,25.65
"2007-01-24",62.9,63.22,62.52,62.77,1613200,25.63
"2007-01-25",62.66,62.97,61.46,61.93,2751000,25.29
"2007-01-26",58,59.5,57.75,59.25,3992800,24.19
"2007-01-29",59.15,59.16,57.84,58.27,2643600,23.79
"2007-01-30",58.29,58.44,57.54,57.98,1721200,23.67
"2007-01-31",58.1,58.79,57.92,58.56,1135000,23.91
"2007-02-01",58.64,59.53,58.34,59.41,1358200,24.26
"2007-02-02",59.21,59.21,58.58,58.85,1026400,24.03
"2007-02-05",58.7,58.85,57.6,58.46,1207200,23.87
"2007-02-06",58.57,59.09,58.54,58.72,1443400,23.98
"2007-02-07",58.67,59.08,58.57,58.71,1615200,23.97
"2007-02-08",58.48,58.64,58.19,58.28,1314800,23.8
"2007-02-09",58.27,58.83,58.27,58.6,995400,23.93
"2007-02-12",58.61,58.94,58.4,58.54,941200,23.9
"2007-02-13",58.78,59.55,58.76,59.41,988400,24.26
"2007-02-14",59.44,60.02,59.44,59.75,902400,24.4
"2007-02-15",59.5,60.04,59.38,59.7,748400,24.38
"2007-02-16",59.3,59.91,59.2,59.53,835800,24.31
"2007-02-20",59.19,59.81,58.78,59.74,1665000,24.39
"2007-02-21",59.52,60.74,59.41,60.64,1557000,24.76
"2007-02-22",61.08,61.32,60.5,60.69,1144000,24.78
"2007-02-23",60.8,60.8,60.4,60.62,738800,24.75
"2007-02-26",61.57,61.83,60.48,60.63,1883600,24.76
"2007-02-27",60.1,60.32,57.9,58.89,1975600,24.04
"2007-02-28",58.97,59.53,58.38,59.07,1300400,24.12
"2007-03-01",58.22,59.17,57.58,59.12,2380400,24.14
"2007-03-02",59,59.31,58.4,58.54,1453400,23.9
"2007-03-05",58.14,58.9,57.9,57.9,1335800,23.64
"2007-03-06",58.16,59.12,57.9,58.77,1425800,24
"2007-03-07",58.78,59.37,58.65,58.81,1023400,24.01
"2007-03-08",59.03,60.3,58.92,60.12,1511000,24.55
"2007-03-09",60.36,61.07,60.32,60.48,1700200,24.69
"2007-03-12",60.26,61.48,60.26,61.09,1493600,24.94
"2007-03-13",60.44,61.08,59.61,59.65,2608400,24.53
"2007-03-14",59.77,60.06,58.78,59.8,2377000,24.59
"2007-03-15",59.91,61.27,59.81,60.7,1305000,24.96
"2007-03-16",60.85,60.85,60.25,60.36,1645400,24.82
"2007-03-19",60.44,61.48,60.44,61.41,1498400,25.26
"2007-03-20",61.46,62.07,60.91,62.06,1125600,25.52
"2007-03-21",61.99,62.98,61.67,62.91,1232600,25.87
"2007-03-22",62.81,63.59,62.35,63.45,1996800,26.09
"2007-03-23",63.55,64.2,63.39,64.09,1801200,26.36
"2007-03-26",63.94,64.77,63.42,64.66,1791800,26.59
"2007-03-27",64.31,64.6,63.65,64.04,1144200,26.34
"2007-03-28",63.5,63.82,63.16,63.42,1273000,26.08
"2007-03-29",63.92,64.01,62.37,62.83,2465800,25.84
"2007-03-30",62.96,63.47,62.3,63.33,1682200,26.05
"2007-04-02",63.56,63.97,63.16,63.86,1107400,26.26
"2007-04-03",64.06,64.84,63.58,64.68,1013200,26.6
"2007-04-04",64.53,65,64.47,64.87,1106200,26.68
"2007-04-05",64.51,64.9,64.42,64.76,948600,26.63
"2007-04-09",65,65.53,64.91,65,946200,26.73
"2007-04-10",64.43,64.75,64.26,64.28,824600,26.44
"2007-04-11",64.48,64.93,63.88,64.61,1384600,26.57
"2007-04-12",64.61,65.33,64.52,65.28,850800,26.85
"2007-04-13",65.36,65.41,64.83,64.97,849400,26.72
"2007-04-16",64.99,65.87,64.99,65.87,1000400,27.09
"2007-04-17",65.89,66.01,65.69,65.88,930200,27.09
"2007-04-18",65.71,65.78,65.26,65.41,625000,26.9
"2007-04-19",66,66,64.58,65.44,798000,26.91
"2007-04-20",65.94,66.12,65.68,66.12,1097800,27.19
"2007-04-23",66.1,66.42,65.4,65.6,944800,26.98
"2007-04-24",65.87,66.25,65.24,65.85,947400,27.08
"2007-04-25",65.67,67.9,65.59,67.79,2214200,27.88
"2007-04-26",67.42,67.74,66.6,66.66,2485800,27.41
"2007-04-27",66.71,69.77,66.71,69.42,3407800,28.55
"2007-04-30",69.43,69.43,67.7,67.7,2777800,27.84
"2007-05-01",66,67.02,64.97,66.5,2539200,27.35
"2007-05-02",66.45,67.45,65.75,67.17,1850600,27.62
"2007-05-03",67.18,67.41,66.59,66.71,1386200,27.44
"2007-05-04",66.71,66.72,66,66.19,1542800,27.22
"2007-05-07",66.22,67.24,66.22,66.4,1125000,27.31
"2007-05-08",66.34,66.45,65.61,66.31,1474000,27.27
"2007-05-09",66.32,66.4,65.55,66.3,1189400,27.27
"2007-05-10",66.31,66.31,64.58,64.64,1556200,26.58
"2007-05-11",64.84,66.26,64.7,65.9,1317000,27.1
"2007-05-14",65.9,66.29,65.14,65.3,1162000,26.86
"2007-05-15",65.5,67,65.4,66.31,1715000,27.27
"2007-05-16",66.29,66.59,65.34,66.24,1044400,27.24
"2007-05-17",66.05,66.4,65.8,66.1,833200,27.18
"2007-05-18",66.21,66.69,66,66.3,825400,27.27
