"","EOG.Open","EOG.High","EOG.Low","EOG.Close","EOG.Volume","EOG.Adjusted"
"2007-01-03",61.81,63.47,59.21,60.66,5502900,58.1
"2007-01-04",61.72,61.87,59.76,60.7,5653100,58.14
"2007-01-05",61.3,63,60.9,62.68,6521800,60.03
"2007-01-08",63.86,64,61.29,62.25,4029800,59.62
"2007-01-09",61,61.89,60.12,61.45,5410400,58.86
"2007-01-10",61.25,61.61,60.02,60.98,3597200,58.41
"2007-01-11",62.07,62.08,59.71,59.96,4585300,57.43
"2007-01-12",60,62.44,59.98,62.28,3736000,59.71
"2007-01-16",62.12,63.09,61.51,62.03,3028300,59.47
"2007-01-17",61.91,62.82,61.74,62.17,3052500,59.6
"2007-01-18",62.51,62.7,61.2,61.7,2498500,59.15
"2007-01-19",62.4,64.87,62.13,64.73,3390000,62.06
"2007-01-22",65.5,66.45,64.37,64.93,4248200,62.25
"2007-01-23",65.57,68.11,65.53,67.49,3632100,64.71
"2007-01-24",66.83,67.41,65.69,67.36,2654900,64.58
"2007-01-25",67.09,67.09,64.78,64.96,3344600,62.28
"2007-01-26",65.6,66.27,65.09,65.57,2132000,62.86
"2007-01-29",66.17,67.49,64.95,65.03,2671000,62.35
"2007-01-30",65.03,68.47,65.03,68.06,3724700,65.25
"2007-01-31",66.7,69.75,66.33,69.13,4132400,66.28
"2007-02-01",69.5,69.95,68.1,69.59,5003800,66.72
"2007-02-02",69.42,69.54,68.04,68.69,2790600,65.86
"2007-02-05",68.86,69.74,67.86,67.95,2940500,65.15
"2007-02-06",68.91,68.93,66.69,67.14,2790700,64.37
"2007-02-07",67.15,67.71,65.96,66.55,2256000,63.8
"2007-02-08",66.55,66.81,65.56,66.61,3004400,63.86
"2007-02-09",66.84,67.62,66.28,66.57,1751000,63.82
"2007-02-12",65.67,66.16,64.4,65.04,2386300,62.36
"2007-02-13",65.99,66.17,65.08,65.77,2986800,63.06
"2007-02-14",65.99,66.67,65.6,66.12,2152800,63.39
"2007-02-15",65.8,66.1,64.71,65.79,2901300,63.08
"2007-02-16",65.94,67.53,65.91,67,3251400,64.24
"2007-02-20",66.4,66.62,66,66.4,2441900,63.66
"2007-02-21",66.61,67.62,65.82,67.3,2088700,64.52
"2007-02-22",67.72,68.8,67.33,68.51,2793600,65.68
"2007-02-23",69.01,69.17,67.46,67.86,1875200,65.06
"2007-02-26",68.4,69.75,68.27,69.58,2741900,66.71
"2007-02-27",67.97,69.82,66.75,67.6,2950200,64.81
"2007-02-28",67.76,68.3,66.66,67.74,2704800,64.94
"2007-03-01",66.37,67.94,65.97,67.05,2716500,64.28
"2007-03-02",66.84,67.22,65.7,65.92,2126000,63.2
"2007-03-05",64.77,65.85,64,64.8,2831900,62.13
"2007-03-06",65.6,66.2,65.22,66.2,2679200,63.47
"2007-03-07",66.18,68.3,65.83,67.21,2729600,64.44
"2007-03-08",67.55,67.97,66.62,66.97,2074500,64.21
"2007-03-09",67.39,67.75,66.52,66.91,1303900,64.15
"2007-03-12",66.39,66.48,65.75,66.12,1956300,63.39
"2007-03-13",66.08,68.03,65.69,65.87,2821600,63.15
"2007-03-14",66.45,67.41,65.6,67.39,2538900,64.61
"2007-03-15",67.2,67.6,66.55,66.73,1480700,63.98
"2007-03-16",66.9,67.05,65.3,65.64,2785800,62.93
"2007-03-19",66.44,66.92,66.01,66.78,1597300,64.02
"2007-03-20",67.3,68.03,66.75,67.93,2140200,65.13
"2007-03-21",68.24,70,68.05,69.72,3501800,66.84
"2007-03-22",70.5,71.87,70.23,71.2,3425900,68.26
"2007-03-23",71.26,71.66,70.68,71.45,2107200,68.5
"2007-03-26",71.99,72.6,70.81,72.48,2676400,69.49
"2007-03-27",72.03,72.63,71.47,71.97,2759500,69
"2007-03-28",73,73.09,71.1,71.67,2511100,68.71
"2007-03-29",72.25,72.4,71.35,71.87,1782400,68.9
"2007-03-30",71.96,71.96,71,71.34,2909100,68.4
"2007-04-02",71.48,72.79,71.34,72.6,1729800,69.6
"2007-04-03",71.75,73.07,71.15,73.07,1830200,70.05
"2007-04-04",72.54,74.45,72.27,74.15,3136300,71.09
"2007-04-05",74.05,74.89,73.7,74.75,2474700,71.67
"2007-04-09",74.85,75.86,74.11,74.39,2107700,71.32
"2007-04-10",74.6,76.05,74.45,75.91,2266100,72.78
"2007-04-11",74.19,76.2,74.19,75.21,1856300,72.11
"2007-04-12",75.82,77.17,75.33,77.16,1907400,74.06
"2007-04-13",76.98,77.6,76.51,76.98,1883700,73.89
"2007-04-16",76.83,77.45,75.59,77.35,2135200,74.25
"2007-04-17",77.5,77.71,75.58,75.91,2921100,72.86
"2007-04-18",75.58,75.58,74.5,74.65,3167900,71.66
"2007-04-19",74.39,74.39,73.04,73.48,2473900,70.53
"2007-04-20",73.58,74.37,73,73.98,3073500,71.01
"2007-04-23",72.86,74.54,72.82,74.21,1554800,71.23
"2007-04-24",74.36,74.72,73.93,74.39,1744400,71.41
"2007-04-25",74.75,76.13,74.62,75.4,2151700,72.38
"2007-04-26",74.9,75.01,73.76,74.5,2291300,71.51
"2007-04-27",74.15,74.97,73.8,74.25,1810600,71.27
"2007-04-30",74.13,75.22,73.44,73.44,2179200,70.49
"2007-05-01",74.73,77.32,73.8,75.78,5513900,72.74
"2007-05-02",75.92,77.6,75.7,77.41,2335400,74.3
"2007-05-03",77.27,78.14,76.6,78.02,2934000,74.89
"2007-05-04",78.13,78.66,76.66,76.92,1909000,73.83
"2007-05-07",76.62,77.48,76.46,77.13,1564100,74.04
"2007-05-08",76.62,76.82,74.94,76.75,2658900,73.67
"2007-05-09",76.69,76.88,75.27,75.94,2434200,72.89
"2007-05-10",75.73,76.38,74.3,74.54,1935000,71.55
"2007-05-11",75.54,76.01,74.61,75.91,1952300,72.86
"2007-05-14",76.14,77.65,76.06,77.11,2372300,74.02
"2007-05-15",76.81,77.26,75.56,75.8,2079700,72.76
"2007-05-16",76.05,76.3,74.63,75.65,2502100,72.62
"2007-05-17",75.8,77.32,74.8,76.7,2523700,73.62
"2007-05-18",75.55,78.59,75.55,78.47,2371400,75.32
"2007-05-21",78.73,79.21,77.83,78.53,2548300,75.38
"2007-05-22",78.53,79.05,77.38,77.53,1659600,74.42
"2007-05-23",77.4,79.15,77.27,77.52,1969600,74.41
"2007-05-24",78.99,79.1,75.46,75.82,2146000,72.78
"2007-05-25",76.8,77.2,75.74,76.61,2134900,73.54
"2007-05-29",76.4,76.7,74.95,75.83,1884600,72.79
"2007-05-30",77.5,77.86,75.38,77.72,2133700,74.6
"2007-05-31",78.32,78.5,76.76,76.9,2138000,73.82
"2007-06-01",77.91,78.25,76.93,77.14,2448800,74.05
"2007-06-04",76.62,79.1,76.52,78.91,1851400,75.74
"2007-06-05",78.2,78.68,77.6,77.94,1897800,74.81
"2007-06-06",79.18,79.18,76,76.44,2098800,73.37
"2007-06-07",76.08,77.56,74.66,74.89,2483100,71.89
"2007-06-08",74.14,75.38,73.41,75.34,2022300,72.32
"2007-06-11",75.3,76.37,74.81,75.66,1431300,72.62
"2007-06-12",75.66,77.23,75.06,75.81,2239500,72.77
"2007-06-13",76.1,77.68,76.05,77.45,2001700,74.34
"2007-06-14",77.61,80.25,77.53,80.01,3004500,76.8
"2007-06-15",80.29,80.72,79.32,80.49,2393000,77.26
"2007-06-18",81.39,81.49,80.11,80.26,1695900,77.04
"2007-06-19",79.95,80.14,79.28,79.45,1792900,76.26
"2007-06-20",79.7,80.4,76.61,76.78,2500200,73.7
"2007-06-21",77.84,78.98,77.06,78.9,2217300,75.73
"2007-06-22",78.1,78.6,75.38,76.62,3499400,73.55
"2007-06-25",75.21,75.49,73.67,74.43,5007800,71.44
"2007-06-26",75.91,76.14,72.2,72.66,3551200,69.75
"2007-06-27",71.56,73.92,71.33,73.86,3352200,70.9
"2007-06-28",74.12,74.84,71.86,72.45,3550500,69.54
"2007-06-29",72.21,74.7,72.21,73.06,4538400,70.13
"2007-07-02",73.42,74.13,72.59,74.13,2822300,71.16
"2007-07-03",72.5,75.19,72.43,74.68,1436800,71.68
"2007-07-05",74,75.31,73.8,74.66,2466900,71.67
"2007-07-06",75.5,75.94,74.76,74.94,2595200,71.93
"2007-07-09",74.53,75.5,74.06,74.57,2209000,71.58
"2007-07-10",74.06,75.46,73.82,74.16,2721700,71.19
"2007-07-11",73.15,74.57,73.15,74.42,2597900,71.43
"2007-07-12",74.98,75.26,73.65,74.59,2039400,71.6
"2007-07-13",74.08,75.5,73.55,74.91,1827900,71.99
"2007-07-16",74.63,74.86,72.11,73.05,2435200,70.2
"2007-07-17",73.74,74.35,72.53,72.69,2225200,69.86
"2007-07-18",72.23,75.33,72.2,75.13,3624500,72.2
"2007-07-19",75.55,76.43,74.95,76.2,2451600,73.23
"2007-07-20",76.45,76.92,74.72,75.03,2991100,72.11
"2007-07-23",73.61,73.61,71.4,72.09,4815800,69.28
"2007-07-24",71.15,71.44,69.91,70.28,3405200,67.54
"2007-07-25",69.9,71.47,68.99,71.24,2874000,68.46
"2007-07-26",70.86,71.13,68.3,69.95,3963700,67.23
"2007-07-27",69.95,71.07,68.41,69.11,3282900,66.42
"2007-07-30",69.75,71.69,69.59,71.09,3418300,68.32
"2007-07-31",72.25,72.55,69.88,70.1,2964900,67.37
"2007-08-01",70.64,72.44,69.27,71.59,3716500,68.8
"2007-08-02",72.44,74.3,71.16,73.14,4275800,70.29
"2007-08-03",71.8,73.53,70.23,70.47,4236900,67.72
"2007-08-06",70.36,70.74,67.72,70.52,3551800,67.77
"2007-08-07",70.74,72.42,69.35,71.99,4687300,69.19
"2007-08-08",73,75.45,72.41,73.25,4032100,70.4
"2007-08-09",72.01,75.83,71.09,73.13,3903700,70.28
"2007-08-10",71,72.48,69.45,71.99,4115500,69.19
"2007-08-13",72.45,73,71.46,71.49,2808300,68.71
"2007-08-14",71.2,72.14,70.2,70.34,2120000,67.6
"2007-08-15",71.03,71.86,68.36,68.68,2888600,66
"2007-08-16",67.5,69.48,65.6,69,4831200,66.31
"2007-08-17",70.16,72.06,69.38,71.58,3393000,68.79
"2007-08-20",69.86,70.85,68.51,69.78,3061000,67.06
"2007-08-21",69.17,69.71,67.51,68.09,2831700,65.44
"2007-08-22",68.8,68.98,66.22,66.7,3887200,64.1
"2007-08-23",67.4,67.77,65.92,67.07,2421900,64.46
"2007-08-24",67.6,68.2,66.92,67.89,1666400,65.25
"2007-08-27",67.61,67.61,66.45,66.84,1626800,64.24
"2007-08-28",66.36,66.66,65.29,65.7,2123000,63.14
"2007-08-29",66.26,66.98,65.55,66.72,1635200,64.12
"2007-08-30",66.72,67.98,66.1,66.74,2156800,64.14
"2007-08-31",67.41,68.43,67.26,67.36,1769100,64.74
"2007-09-04",67.36,69.85,66.86,69.13,2145800,66.44
"2007-09-05",69.12,70.16,69,69.39,2427000,66.69
"2007-09-06",69.66,71.59,69.66,70.7,3387400,67.95
"2007-09-07",70.07,70.27,69.05,69.9,2642900,67.18
"2007-09-10",69.8,70.55,68.41,70.32,2790900,67.58
"2007-09-11",70.41,71.54,69.19,71.29,2583400,68.51
"2007-09-12",71.6,73.46,71.41,72.52,3754800,69.69
"2007-09-13",72.45,72.77,71.46,71.72,2093200,68.93
"2007-09-14",71.01,72.65,71.01,72.35,1727100,69.53
"2007-09-17",72.57,72.81,71.57,71.85,1459900,69.05
"2007-09-18",72,73.93,70.79,73.85,2608100,70.97
"2007-09-19",74.7,74.99,73.78,74.22,2304600,71.33
"2007-09-20",73.86,74.36,73.18,73.83,1706200,70.95
"2007-09-21",74.62,75.25,73.83,74.49,1711700,71.59
"2007-09-24",74.4,74.87,73.27,73.76,1664700,70.89
"2007-09-25",72.95,73.25,71.63,72.87,1717400,70.03
"2007-09-26",73.45,73.95,71.7,72.37,2803800,69.55
"2007-09-27",73,73.13,71.64,72.38,2333900,69.56
"2007-09-28",72.8,73.09,71.91,72.33,1572700,69.51
"2007-10-01",72.41,73.41,72.2,73.27,1680800,70.42
"2007-10-02",72.79,75.54,72.72,74.7,2146500,71.79
"2007-10-03",74.34,74.92,73.71,74.48,1856800,71.58
"2007-10-04",74.62,77,74.08,76.55,2796400,73.57
"2007-10-05",76.41,77.9,76.24,77.41,2950900,74.39
"2007-10-08",76.55,77.28,76.06,76.51,1238300,73.53
"2007-10-09",77.1,78.84,76.67,78.26,2192900,75.21
"2007-10-10",77.83,80,77.63,79.55,2158700,76.45
"2007-10-11",79.93,82.6,79.81,80.9,4065700,77.75
"2007-10-12",80.41,81.86,80.22,81.37,1694300,78.2
"2007-10-15",82.15,83.28,81.1,81.66,2250900,78.57
"2007-10-16",81.65,82.3,81.27,81.68,2029400,78.59
"2007-10-17",82,82.55,80.9,81.52,2474700,78.43
"2007-10-18",81.46,82.72,81.3,82.17,2755200,79.06
"2007-10-19",81.88,82.05,79.66,79.8,3997600,76.78
"2007-10-22",77.89,78.48,76.5,78.39,3380900,75.42
"2007-10-23",79.26,79.78,76.87,77.43,3749800,74.5
"2007-10-24",77.32,79.05,76.37,78.55,2711500,75.57
"2007-10-25",78.87,81.07,78.87,80.77,2402000,77.71
"2007-10-26",82.26,82.93,80.77,81.91,1723900,78.81
"2007-10-29",82.49,82.74,81.78,82.51,2363600,79.38
"2007-10-30",84.09,86.32,83.93,85.95,7672100,82.69
"2007-10-31",86.87,89.71,86.3,88.6,4966500,85.24
"2007-11-01",87.47,88.5,85.99,86.6,3908600,83.32
"2007-11-02",87.47,87.95,86.06,87.47,2467200,84.16
"2007-11-05",86.75,87.51,83.8,87,2012400,83.7
"2007-11-06",88.39,90.73,87.6,88.47,3064900,85.12
"2007-11-07",88.1,89.1,86.7,86.7,2571300,83.41
"2007-11-08",86.8,89.55,86.14,88.12,3112100,84.78
"2007-11-09",87.13,88.31,86.35,87.41,3148000,84.1
"2007-11-12",85.75,86.17,82.76,84.29,3473800,81.1
"2007-11-13",84.83,85.82,82.78,85.66,3061400,82.41
"2007-11-14",87.25,89.82,86.6,87.25,2819300,83.94
"2007-11-15",87.08,87.17,84.18,85.1,2794700,81.88
"2007-11-16",85.38,86.66,84.53,85.28,3941400,82.05
"2007-11-19",85.02,85.9,83.78,83.98,2085000,80.8
"2007-11-20",84.46,85.09,82.86,83.72,3262100,80.55
"2007-11-21",83.1,83.86,82,82.45,2069200,79.33
"2007-11-23",82.78,84.03,82.09,83.64,1068300,80.47
"2007-11-26",84.15,85.26,82.9,82.9,1738400,79.76
"2007-11-27",81.23,82.63,80.79,82.5,2152000,79.37
"2007-11-28",82.95,83.86,81.65,83.69,2581500,80.52
"2007-11-29",83.63,84.86,82.65,83.21,2029800,80.06
"2007-11-30",82.5,84.03,82,82.78,2273700,79.64
"2007-12-03",82.5,83.6,81.85,82.81,1649000,79.67
"2007-12-04",82.92,83.25,81.57,82.77,2133400,79.63
"2007-12-05",83.76,85.66,83.42,85.24,2558300,82.01
"2007-12-06",85.21,89.22,84.94,88.82,2892500,85.45
"2007-12-07",89.16,89.71,87.06,88.16,2573200,84.82
"2007-12-10",88.23,89,87.68,88.72,1878600,85.36
"2007-12-11",89,90.27,87.82,87.97,3096700,84.64
"2007-12-12",89.93,91.45,89.51,90.89,2711600,87.45
"2007-12-13",89.81,91.63,89.08,90.43,2890700,87
"2007-12-14",89.95,90.14,88.29,88.35,2463400,85
"2007-12-17",88.14,89.05,86.8,87.33,1755800,84.02
"2007-12-18",88.79,88.9,86.65,87.35,2228400,84.04
"2007-12-19",87.99,89.16,87.32,88.31,1587000,84.96
"2007-12-20",88.98,89.97,88.36,89.7,1506100,86.3
"2007-12-21",90.45,90.8,89.86,90.43,2116300,87
"2007-12-24",89.71,91.45,89.71,91.02,579700,87.57
"2007-12-26",90.79,91.26,90.12,90.28,1801300,86.86
"2007-12-27",90.08,90.81,89.55,89.62,1207000,86.22
"2007-12-28",89.92,91.22,89.69,90.92,1467200,87.47
"2007-12-31",90.71,91.33,89.09,89.25,1001200,85.87
"2008-01-02",90,92,90,91.29,2402000,87.83
"2008-01-03",91.3,94.36,91.11,93.18,2544300,89.65
"2008-01-04",92.21,92.21,88.81,88.97,2842100,85.6
"2008-01-07",89.7,90.53,87.14,88.62,2422200,85.26
"2008-01-08",89.22,90.78,86.68,86.87,1998400,83.58
"2008-01-09",87.25,89.52,87.25,89.18,3024000,85.8
"2008-01-10",88.33,89.52,87.18,89.02,2652500,85.65
"2008-01-11",87.89,89.54,87.57,88.93,2873600,85.56
"2008-01-14",89.47,93.56,89.47,93.17,2867800,89.64
"2008-01-15",91.25,92.95,90.39,90.99,3291100,87.63
"2008-01-16",90.62,91.84,87.95,88.61,5207100,85.33
"2008-01-17",88.72,90.67,83.99,83.99,3512500,80.89
"2008-01-18",84.44,86.38,83.22,85.13,3849700,81.98
"2008-01-22",82.11,85.1,79.5,83.46,3750100,80.38
"2008-01-23",81.42,82.94,77.18,82.66,4119400,79.6
"2008-01-24",83.99,86.15,82.74,85.59,3176600,82.43
"2008-01-25",86.25,87.42,83.36,83.98,2853700,80.88
"2008-01-28",83.93,85.41,82.53,85.41,2033900,82.25
"2008-01-29",85.75,86.25,84.12,85.02,1865700,81.88
"2008-01-30",84.48,88.97,84.48,86.56,2860500,83.36
"2008-01-31",84.89,88.12,83.68,87.33,2508500,84.1
"2008-02-01",87.42,89.45,86.87,89.45,2750900,86.14
"2008-02-04",89.12,91.03,88.86,90.66,1910500,87.31
"2008-02-05",88.17,90.04,87.5,87.5,2817300,84.27
"2008-02-06",88.84,89.7,87.19,87.82,3080900,84.57
