"","EQR.Open","EQR.High","EQR.Low","EQR.Close","EQR.Volume","EQR.Adjusted"
"2007-01-03",50.98,51.58,50.44,50.82,2015600,38.17
"2007-01-04",50.9,51.31,50.63,50.92,2415200,38.25
"2007-01-05",50.75,50.75,49.58,49.92,2174600,37.5
"2007-01-08",49.87,50,49.54,49.88,1570700,37.47
"2007-01-09",50.18,50.66,49.87,50.6,1879300,38.01
"2007-01-10",50.25,51.47,50.15,51.4,1632400,38.61
"2007-01-11",51.47,52.66,51.4,52.22,1800600,39.23
"2007-01-12",52,52.78,52,52.66,1224800,39.56
"2007-01-16",52.94,53.98,52.79,53.61,1664200,40.27
"2007-01-17",53.31,53.85,52.73,53.4,1675500,40.11
"2007-01-18",53.64,53.99,53.14,53.45,947700,40.15
"2007-01-19",53.68,53.87,53.13,53.87,1170500,40.47
"2007-01-22",53.8,53.86,53.03,53.16,1351300,39.93
"2007-01-23",53.1,53.5,53.01,53.25,1396000,40
"2007-01-24",53.45,54.47,53.26,54.46,1311800,40.91
"2007-01-25",55.02,55.34,54.44,54.72,2118300,41.1
"2007-01-26",54.65,55.15,54.41,55.08,1068500,41.37
"2007-01-29",55.04,55.45,54.87,55.05,991900,41.35
"2007-01-30",55.25,55.69,54.65,55.61,1183300,41.77
"2007-01-31",55.45,56.46,55.12,56.28,1581900,42.28
"2007-02-01",56.26,56.26,55.48,56.07,1671700,42.12
"2007-02-02",55.8,56.15,55.4,55.75,2708500,41.88
"2007-02-05",55.82,55.89,55.5,55.7,1319000,41.84
"2007-02-06",55.8,56.35,55.45,56.35,1577600,42.33
"2007-02-07",54.86,55.25,53.3,53.5,9416900,40.19
"2007-02-08",53.45,53.82,52.96,53.5,4516100,40.19
"2007-02-09",53.61,53.75,51.63,52.75,5085300,39.62
"2007-02-12",53.23,53.23,51.3,52.06,4148500,39.11
"2007-02-13",52.06,52.66,51.51,52.42,3172300,39.38
"2007-02-14",52.22,52.84,52.03,52.35,2162500,39.32
"2007-02-15",52.36,53.14,52.07,52.92,1463500,39.75
"2007-02-16",52.36,52.61,51.71,52.2,1992100,39.21
"2007-02-20",52.35,53.46,51.91,53.45,2585000,40.15
"2007-02-21",53.35,53.4,52.66,53.14,2070200,39.92
"2007-02-22",53.29,53.5,52.74,53.03,1976800,39.83
"2007-02-23",52.83,53.08,51.87,52.16,1034100,39.18
