"","EQT.Open","EQT.High","EQT.Low","EQT.Close","EQT.Volume","EQT.Adjusted"
"2007-01-03",41.56,42,40.12,40.4,1306400,36.03
"2007-01-04",40.3,40.44,39.56,40.22,882800,35.86
"2007-01-05",39.42,40.29,39.32,39.67,922300,35.37
"2007-01-08",39.81,40.52,39.26,40.52,1313400,36.13
"2007-01-09",40.3,40.75,40.09,40.53,615200,36.14
"2007-01-10",40.41,40.7,40.22,40.7,319400,36.29
"2007-01-11",40.74,41.61,40.68,41.26,865600,36.79
"2007-01-12",41.13,41.95,41.13,41.85,668000,37.32
"2007-01-16",41.94,42.32,41.55,41.77,739100,37.25
"2007-01-17",41.75,42.21,41.63,42.13,791500,37.57
"2007-01-18",42.09,42.38,41.8,41.91,632000,37.37
"2007-01-19",41.97,42.49,41.83,42.32,573800,37.74
"2007-01-22",42.33,42.71,42.18,42.31,593600,37.73
"2007-01-23",42.22,43.14,42.22,42.93,760300,38.28
"2007-01-24",42.93,43.27,42.29,43.17,368500,38.5
"2007-01-25",43.12,43.69,42.75,43.36,960800,38.66
"2007-01-26",43.4,43.51,42.94,43.29,719100,38.6
"2007-01-29",43.24,43.3,42.55,42.66,1328100,38.04
"2007-01-30",42.82,43.35,42.71,43.34,584900,38.65
"2007-01-31",43.36,43.53,42.83,43.25,635000,38.57
"2007-02-01",43.19,43.55,43.04,43.31,567500,38.62
"2007-02-02",43.31,43.55,43.07,43.5,376600,38.79
"2007-02-05",43.43,43.71,43.22,43.64,1130000,38.91
"2007-02-06",43.66,43.94,43.51,43.83,473500,39.08
"2007-02-07",43.64,43.95,43.41,43.6,431600,39.07
"2007-02-08",43.48,44.15,43.43,44.14,594200,39.56
"2007-02-09",44.2,44.55,44.15,44.26,629900,39.67
"2007-02-12",44.24,44.24,42.93,43.92,484900,39.36
"2007-02-13",44,44.3,43.56,43.84,605200,39.29
"2007-02-14",44.02,44.34,43.73,43.82,900700,39.27
"2007-02-15",43.72,43.79,43.28,43.42,1114000,38.91
"2007-02-16",43.3,43.44,43.04,43.31,424400,38.82
"2007-02-20",43.13,43.59,43.01,43.55,380400,39.03
"2007-02-21",43.39,43.83,43.39,43.64,409700,39.11
"2007-02-22",43.7,44.14,43.45,44.09,788500,39.51
"2007-02-23",43.92,44.24,43.71,43.74,783400,39.2
"2007-02-26",43.74,44.47,43.74,43.79,962100,39.25
"2007-02-27",42.15,43.64,42.1,42.35,951600,37.95
"2007-02-28",42.4,43.14,42,42.71,805700,38.28
"2007-03-01",42.23,43.02,41.96,42.7,769400,38.27
"2007-03-02",42.6,42.6,41.92,42.03,646000,37.67
"2007-03-05",41.59,42.03,41.19,41.19,823700,36.92
"2007-03-06",41.41,42.02,41.33,41.8,678200,37.46
"2007-03-07",41.65,42.33,41.65,41.77,645400,37.43
"2007-03-08",42.22,43.11,42.1,43.06,1041700,38.59
"2007-03-09",43.32,44.36,43.19,43.67,1463900,39.14
"2007-03-12",43.56,44.2,43.33,43.87,537700,39.32
"2007-03-13",43.77,44.32,43.31,43.36,862300,38.86
"2007-03-14",43.5,43.68,42.38,42.92,1492000,38.47
"2007-03-15",42.95,44.31,42.89,44.27,1360800,39.68
"2007-03-16",44.18,44.6,43.94,44.07,769300,39.5
"2007-03-19",44.25,45.26,44.16,45.17,728200,40.48
"2007-03-20",45.99,46.6,45.51,46.54,1210200,41.71
"2007-03-21",46.67,47.19,46.28,47,786200,42.12
"2007-03-22",47.23,47.7,47.13,47.57,721100,42.63
"2007-03-23",47.57,47.62,47.14,47.45,628100,42.53
"2007-03-26",47.45,47.73,47.13,47.73,569700,42.78
"2007-03-27",47.46,47.58,46.78,47.19,1206300,42.29
"2007-03-28",47.07,47.58,47.02,47.11,870000,42.22
"2007-03-29",46.69,50.5,46.59,48.62,3083700,43.57
"2007-03-30",48.49,48.76,47.8,48.32,1731400,43.31
"2007-04-02",48.59,49.02,48.32,48.47,1629900,43.44
"2007-04-03",48.1,48.5,47.96,48.46,843700,43.43
"2007-04-04",48.65,48.92,48.3,48.92,613100,43.84
"2007-04-05",48.64,49.3,48.55,49.13,972300,44.03
"2007-04-09",49.1,49.77,48.93,49,1041100,43.91
"2007-04-10",49.01,49.71,48.91,49.53,854300,44.39
"2007-04-11",49.63,50.29,49.39,49.88,871700,44.7
"2007-04-12",49.6,49.94,49.17,49.84,744600,44.67
"2007-04-13",49.82,50.05,49.64,49.86,389700,44.69
"2007-04-16",50.2,50.6,50.13,50.34,589800,45.12
"2007-04-17",50.33,50.61,50.01,50.37,725600,45.14
"2007-04-18",50.08,50.47,49.82,50.3,524500,45.08
"2007-04-19",51.04,51.04,49.62,49.96,495800,44.77
"2007-04-20",50.22,50.31,49.77,50.06,592300,44.86
"2007-04-23",50.58,50.88,49.95,50.44,637000,45.21
"2007-04-24",50.29,51.04,50.04,51.04,782900,45.74
"2007-04-25",51.07,51.88,51.05,51.57,637800,46.22
"2007-04-26",51.25,53.39,51.19,52.75,1521600,47.28
"2007-04-27",52.75,53.04,52.31,52.82,1009600,47.34
"2007-04-30",52.82,52.99,51.91,52.01,1326300,46.61
"2007-05-01",52.1,52.35,51.56,52.25,1177200,46.83
"2007-05-02",51.4,52.15,51.4,51.76,798200,46.58
"2007-05-03",51.74,52.01,51.37,51.65,701200,46.49
"2007-05-04",52.48,52.48,51.42,52.18,788000,46.96
"2007-05-07",52.33,52.53,52.08,52.27,358500,47.04
"2007-05-08",52.02,52.44,51.52,52.36,530100,47.12
"2007-05-09",51.85,52.39,51.68,52.13,739000,46.92
"2007-05-10",51.88,51.98,51.26,51.36,1053700,46.22
"2007-05-11",51.46,51.88,51.21,51.75,446100,46.58
"2007-05-14",51.6,52.33,51.43,51.75,531100,46.58
"2007-05-15",51.91,52.77,51.56,51.68,891300,46.51
"2007-05-16",51.82,51.93,51.28,51.68,445500,46.51
"2007-05-17",51.49,51.68,51.07,51.48,787700,46.33
"2007-05-18",51.56,51.82,51.42,51.66,445800,46.49
"2007-05-21",50.77,52.75,50.77,52.13,1055300,46.92
"2007-05-22",52.1,52.46,51.95,52.11,819500,46.9
"2007-05-23",52.09,52.4,51.53,51.62,376900,46.46
"2007-05-24",51.39,51.84,50.25,50.29,529100,45.26
"2007-05-25",50.55,50.8,50.07,50.39,436800,45.35
"2007-05-29",50.51,50.68,49.75,50.55,590800,45.5
"2007-05-30",50.16,51.72,50.09,51.71,1577000,46.54
"2007-05-31",51.97,52.29,51.73,52.02,1005500,46.82
"2007-06-01",52.57,52.88,52.12,52.55,856400,47.3
"2007-06-04",52.5,53.54,52.5,53.51,679400,48.16
"2007-06-05",53.48,53.7,52.98,53.3,738200,47.97
"2007-06-06",53.2,53.24,52.33,52.36,816400,47.12
"2007-06-07",52.24,52.52,50.7,50.84,945500,45.76
"2007-06-08",51.02,51.46,50.55,51.33,736200,46.2
"2007-06-11",51.11,51.73,50.9,51.62,598300,46.46
"2007-06-12",51.22,51.83,50.89,50.99,757600,45.89
"2007-06-13",51.25,51.52,50.9,51.37,558600,46.23
"2007-06-14",51.34,52.24,51.13,51.99,577900,46.79
"2007-06-15",51.75,52.78,51.75,52.27,570300,47.04
"2007-06-18",52.4,52.45,51.75,52.06,444000,46.85
"2007-06-19",52,52.02,51.48,51.66,810900,46.49
"2007-06-20",51.61,52.05,50.48,50.52,583600,45.47
"2007-06-21",50.33,51.08,49.92,50.96,642600,45.86
"2007-06-22",50.86,50.86,49.52,49.91,759800,44.92
"2007-06-25",49.91,50.25,49.11,49.38,751700,44.44
"2007-06-26",49.63,49.71,48.74,48.84,562000,43.96
"2007-06-27",48.52,49.51,48.11,49.41,574700,44.47
"2007-06-28",49.63,50.38,49.47,49.73,938200,44.76
"2007-06-29",50.02,50.39,49.2,49.56,599500,44.6
"2007-07-02",50.19,50.97,49.83,50.77,892200,45.69
"2007-07-03",50.99,51.08,50.51,51.02,235900,45.92
"2007-07-05",51.23,51.4,50.49,51.18,526900,46.06
"2007-07-06",51.34,51.48,50.32,50.45,517800,45.41
"2007-07-09",50.5,50.83,49.98,50.43,629200,45.39
"2007-07-10",50.2,51.35,49.97,49.98,1295200,44.98
"2007-07-11",49.87,50.59,49.76,50.55,670500,45.5
"2007-07-12",50.82,51.57,50.82,51.5,524500,46.35
"2007-07-13",51.49,52.14,51.36,52.09,274100,46.88
"2007-07-16",51.85,51.98,50.88,50.98,439300,45.88
"2007-07-17",51.18,51.77,51.18,51.33,452000,46.2
"2007-07-18",51.18,51.75,51.09,51.64,615200,46.48
"2007-07-19",51.91,52.99,51.78,52.71,709400,47.44
"2007-07-20",52.71,53.37,52.33,52.34,535100,47.11
"2007-07-23",52.67,52.96,52.25,52.25,346300,47.03
"2007-07-24",51.7,51.91,49.58,49.84,1082400,44.86
"2007-07-25",50.25,50.7,49.13,50.09,1046400,45.08
"2007-07-26",49.47,49.84,46.72,47.71,1894100,42.94
"2007-07-27",47.65,47.74,46.32,46.51,1514800,41.86
"2007-07-30",46.47,48.18,46.31,47.81,1345300,43.03
"2007-07-31",48.2,48.87,47.11,47.11,1788700,42.4
"2007-08-01",47.25,48.79,47.19,48.78,2002400,43.9
"2007-08-02",49.32,50.04,48.96,49.82,1378400,44.84
"2007-08-03",50.6,50.6,48.55,48.58,1271600,43.72
"2007-08-06",48.65,49.33,46.98,49.33,1515600,44.4
"2007-08-07",49.96,51.41,49,51.12,1376200,46.01
"2007-08-08",51.97,53.86,51.52,52.8,2578600,47.73
"2007-08-09",51.47,54.42,51.15,52.21,2863900,47.19
"2007-08-10",51.1,53.2,51.01,52.07,2092000,47.07
"2007-08-13",51.9,52.49,50.22,50.51,1111800,45.66
"2007-08-14",51.08,51.51,49.89,49.97,570800,45.17
"2007-08-15",49.77,50.53,48.55,48.6,953600,43.93
"2007-08-16",48.5,48.5,44.57,47.43,2189400,42.87
"2007-08-17",49.22,49.73,47.18,47.81,1574500,43.22
"2007-08-20",47.76,48.58,47.56,48.3,1298900,43.66
"2007-08-21",48.3,50.41,48,49.36,1900200,44.62
"2007-08-22",49.94,50.28,49.39,49.93,844200,45.13
"2007-08-23",50.39,50.72,49.44,50.02,705600,45.21
"2007-08-24",50.26,50.96,49.77,50.96,605700,46.06
"2007-08-27",51.04,51.04,49.24,49.3,775400,44.56
"2007-08-28",49.11,49.42,48.04,48.04,595500,43.42
"2007-08-29",48.43,49.46,48.24,49.41,500900,44.66
"2007-08-30",48.99,50.1,48.63,49.19,589800,44.46
"2007-08-31",49.9,50.28,49.08,49.19,623400,44.46
"2007-09-04",49.42,51.31,49.18,50.87,728800,45.98
"2007-09-05",50.63,50.63,49.75,50.14,415100,45.32
"2007-09-06",50.4,51.16,49.95,50.35,555600,45.51
"2007-09-07",49.65,50.25,48.88,49.38,588000,44.63
"2007-09-10",49.38,49.77,48.42,49.31,694900,44.57
"2007-09-11",49.47,49.67,48.94,49.65,868300,44.88
"2007-09-12",49.61,50.02,49.12,49.54,1256600,44.78
