"","ESV.Open","ESV.High","ESV.Low","ESV.Close","ESV.Volume","ESV.Adjusted"
"2007-01-03",50.52,50.7,48.29,48.45,27771500,42.11
"2007-01-04",47.8,48.22,47.03,47.56,7789900,41.33
"2007-01-05",49.74,49.74,47.45,48.36,5144300,42.03
"2007-01-08",48.41,49.2,47.11,47.53,4169400,41.31
"2007-01-09",46.49,46.97,45.81,46.61,5619300,40.51
"2007-01-10",45,47.28,45,46.93,5426200,40.78
"2007-01-11",46.87,48.81,46.28,46.5,5334800,40.41
"2007-01-12",46.71,48.41,46.69,48.17,3852100,41.86
"2007-01-16",47.72,47.99,46.79,47.22,2619900,41.04
"2007-01-17",47.23,48.49,47.14,48.09,4615000,41.79
"2007-01-18",47.19,49,47.19,47.64,3671700,41.4
"2007-01-19",48.09,49.45,47.78,49.3,3557600,42.84
"2007-01-22",49.84,49.84,48.3,48.66,2571200,42.29
"2007-01-23",48.92,50.26,48.78,49.9,3739500,43.37
"2007-01-24",49.55,49.79,48.65,49.61,3074100,43.11
"2007-01-25",49.13,49.75,48.29,48.45,3491400,42.11
"2007-01-26",49.05,49.84,48.71,49.38,2771500,42.91
"2007-01-29",49.59,50.47,48.93,49.12,2138800,42.69
"2007-01-30",49.53,50.8,49.41,50.55,2479800,43.93
"2007-01-31",50.45,51.19,49.89,50.87,3710000,44.21
"2007-02-01",51.04,51.04,49.73,50.27,3915500,43.69
"2007-02-02",50.37,51.79,49.77,51.45,3926000,44.71
"2007-02-05",52,52,50.96,51.1,2508900,44.41
"2007-02-06",51.66,51.7,50.07,50.75,2434500,44.1
"2007-02-07",50.85,51.73,50.07,50.26,2709200,43.68
"2007-02-08",50.35,50.8,49.7,50.8,2548800,44.15
"2007-02-09",50.76,51.05,49.92,50.26,1849100,43.68
"2007-02-12",49.76,50.01,48.88,48.93,2542700,42.52
"2007-02-13",49.08,49.88,49.03,49.81,2017400,43.29
"2007-02-14",50.25,50.92,49.68,50.33,2212200,43.74
"2007-02-15",49.81,50.1,49.27,49.63,2314700,43.13
"2007-02-16",49.63,50.01,49.31,49.54,1917000,43.05
"2007-02-20",49.19,49.82,48.52,49.6,2200600,43.11
"2007-02-21",49.38,50.17,48.82,49.83,3562000,43.31
"2007-02-22",50.55,51.2,50,50.5,3793300,43.89
"2007-02-23",50.91,52,50.73,51.16,2943200,44.46
"2007-02-26",52.85,52.93,51.61,52.7,3427700,45.8
"2007-02-27",51.3,52.52,49.52,50.46,4818000,43.85
"2007-02-28",50.45,51.19,49.04,50.05,4510400,43.5
"2007-03-01",49.29,50.88,47.93,50.09,4807800,43.53
"2007-03-02",49.89,50.07,48.49,49.24,3588400,42.79
"2007-03-05",48.74,50.14,48.47,49.32,4105600,42.86
"2007-03-06",50.72,50.77,49.59,50.46,2890000,43.85
"2007-03-07",50.64,52.5,50.25,51.74,3662600,44.97
"2007-03-08",52.06,52.44,51.15,51.72,2883100,44.97
"2007-03-09",51.75,52.37,51.01,51.57,3618500,44.84
"2007-03-12",51.3,51.43,50.8,51.2,1714700,44.52
"2007-03-13",51.28,52.09,50.25,50.31,2325300,43.74
"2007-03-14",50.4,51.3,50.05,50.94,3280100,44.29
"2007-03-15",51.07,51.4,50.52,50.76,1794200,44.13
"2007-03-16",51.99,51.99,50.91,51.22,3364700,44.53
"2007-03-19",52.24,53.76,52.1,53.19,4390000,46.25
"2007-03-20",53,53.81,52.4,53.1,4011800,46.17
"2007-03-21",53.55,55.4,53.25,54.64,3667800,47.51
"2007-03-22",55.15,55.8,54.85,55.49,2978700,48.25
"2007-03-23",55.49,56.19,55.37,55.79,2413200,48.51
"2007-03-26",56.5,56.59,55.31,56.34,2424700,48.99
"2007-03-27",55.81,56.29,55.56,56.02,2150800,48.71
"2007-03-28",56.27,56.27,54.38,54.75,4489200,47.6
"2007-03-29",55.2,55.6,54.77,55.35,3898500,48.13
"2007-03-30",54.58,55.34,54.24,54.4,2172100,47.3
"2007-04-02",54.7,55.74,54.27,55.47,2269900,48.23
"2007-04-03",54.9,55.59,54.5,55.19,1952300,47.99
"2007-04-04",54.94,55.67,54.26,55.3,3041000,48.08
