"","ETR.Open","ETR.High","ETR.Low","ETR.Close","ETR.Volume","ETR.Adjusted"
"2007-01-03",92.32,93.42,92.09,92.98,1319900,69.03
"2007-01-04",92.99,94.16,92.6,94.08,2610100,69.84
"2007-01-05",93.6,93.69,91.28,91.76,2269500,68.12
"2007-01-08",91.56,92.46,90.87,91.07,1686800,67.61
"2007-01-09",91.17,91.62,90.54,91.01,1029700,67.56
"2007-01-10",90.84,92.09,90.84,91.96,676500,68.27
"2007-01-11",92.05,92.96,91.85,91.88,1141800,68.21
"2007-01-12",91.6,91.8,90.31,90.46,1156200,67.16
"2007-01-16",90.44,90.95,90.26,90.71,1520500,67.34
"2007-01-17",90.9,90.9,89.6,90.75,1562800,67.37
"2007-01-18",90.9,91.01,90.35,90.45,1144000,67.15
"2007-01-19",90.25,91.04,90,91.03,1123800,67.58
"2007-01-22",91.35,92.47,90.89,92.12,1377000,68.39
"2007-01-23",92.12,92.47,91.8,92.09,1024600,68.37
"2007-01-24",91.89,92.46,91.81,92.45,669500,68.63
"2007-01-25",92.58,92.78,91.78,91.82,727300,68.17
"2007-01-26",91.59,92.02,91.22,91.88,617100,68.21
"2007-01-29",91.5,92.22,91.5,92.16,948600,68.42
"2007-01-30",92.54,93,92.16,92.59,1178900,68.74
"2007-01-31",92.29,93,91.84,92.85,1267900,68.93
"2007-02-01",92.52,94.73,92.45,94.62,2014300,70.24
"2007-02-02",94.5,95.29,94.07,95.13,1514700,70.62
"2007-02-05",94.9,98.13,94.7,97.7,3023700,72.53
"2007-02-06",97.32,98.06,96.82,97.92,2095700,72.69
"2007-02-07",97.39,98.04,96.92,97.92,1064500,73.1
"2007-02-08",98.8,98.8,97.6,98.24,1207500,73.34
"2007-02-09",98.4,99,97.75,98.12,925300,73.25
"2007-02-12",97.9,98.66,97.5,97.92,1104300,73.1
"2007-02-13",98.3,99.61,97.72,99.52,1305700,74.29
"2007-02-14",99.58,100.39,99.51,99.95,1087500,74.61
"2007-02-15",99.99,100,99.22,99.24,1299000,74.08
"2007-02-16",99.4,99.66,98.88,99.66,1542500,74.4
"2007-02-20",98.51,100,98.51,99.83,1114900,74.52
"2007-02-21",99.65,99.8,98.7,99.62,1144600,74.37
"2007-02-22",99.44,100.47,99.06,99.94,1032700,74.61
"2007-02-23",99.94,101.35,99.65,100.95,1126400,75.36
"2007-02-26",102.31,105.2,102,102.85,1373100,76.78
"2007-02-27",102.15,102.55,97.86,98.57,1537100,73.58
"2007-02-28",98.57,99.97,97.57,98.75,2154000,73.72
"2007-03-01",98.75,98.92,96.84,98.56,1860900,73.58
"2007-03-02",98.44,98.56,96.25,96.25,1502500,71.85
"2007-03-05",95.5,96.83,95.18,95.58,1589300,71.35
"2007-03-06",95.83,96.83,95.58,96.49,1618700,72.03
"2007-03-07",95.94,97.5,95.88,96.56,1166400,72.08
"2007-03-08",96.81,98,96.56,97.88,1596000,73.07
"2007-03-09",98.07,98.56,97.33,97.83,1979500,73.03
"2007-03-12",97.67,99.25,97.67,99.1,1004500,73.98
"2007-03-13",99.74,100.56,98.46,98.55,2520900,73.57
"2007-03-14",98.51,99.39,97.27,98.99,1836700,73.9
"2007-03-15",98.92,100.4,98.41,100.13,2391100,74.75
"2007-03-16",100.14,100.91,99.37,99.78,2315700,74.49
"2007-03-19",100.03,100.97,99.61,100.65,1017200,75.14
"2007-03-20",100.9,102.09,99.92,102.09,1278700,76.21
"2007-03-21",101.72,104.5,101.03,104.17,1986600,77.76
"2007-03-22",104.17,104.48,103.31,104.14,1864800,77.74
"2007-03-23",104.3,104.42,103.63,104.06,1453600,77.68
"2007-03-26",103.74,104.37,103.32,104.24,1720400,77.82
"2007-03-27",103.75,104.99,103.66,104.68,1179300,78.14
"2007-03-28",104.1,104.78,103.91,104.12,1091400,77.73
"2007-03-29",104.98,105.26,104.1,105.16,1250800,78.5
"2007-03-30",105.25,106.13,104.06,104.92,1720200,78.32
"2007-04-02",105.79,107.76,104.88,107.64,1602000,80.35
"2007-04-03",107.89,108.82,107.46,108.66,1707100,81.11
"2007-04-04",108.82,109.4,107.86,108.47,1248800,80.97
"2007-04-05",108.48,110.36,108.06,109.3,950200,81.59
"2007-04-09",109.36,110.69,109.35,110.35,887100,82.38
"2007-04-10",110.25,110.6,109.66,110.3,769100,82.34
"2007-04-11",110.3,110.81,108.88,109.09,1309100,81.44
"2007-04-12",109,109.05,107.54,108.65,1355700,81.11
"2007-04-13",108.8,109.78,108.36,109.74,1289500,81.92
"2007-04-16",109.99,111.22,109.56,111.13,1107000,82.96
"2007-04-17",110.77,111.98,110.25,111.89,1352700,83.53
"2007-04-18",111.79,113.17,111.35,112.86,1593700,84.25
"2007-04-19",112.6,113.09,111.52,112.68,1668400,84.12
"2007-04-20",113.69,114.02,112.8,113.9,1959300,85.03
"2007-04-23",114.06,115.21,113.35,114.95,1186100,85.81
"2007-04-24",114.51,115.56,114.2,115.29,1244000,86.06
"2007-04-25",115.4,116.68,115.12,116.46,1036400,86.94
"2007-04-26",117.79,117.79,114.96,115.1,1082600,85.92
"2007-04-27",114.2,115.6,113.91,114.12,1225800,85.19
"2007-04-30",114.54,115.34,113.14,113.14,1022100,84.46
"2007-05-01",113.6,115.33,113,115.2,1688700,86
"2007-05-02",115.25,116.33,115.07,116.05,691500,86.63
