"","EW.Open","EW.High","EW.Low","EW.Close","EW.Volume","EW.Adjusted"
"2007-01-03",46.74,48.18,46.06,47.94,698600,23.97
"2007-01-04",47.95,48.25,47.84,48.02,367200,24.01
"2007-01-05",47.83,48.02,47.39,47.9,288400,23.95
"2007-01-08",47.81,47.84,47.32,47.61,558000,23.81
"2007-01-09",47.61,48.26,47.58,48.04,358200,24.02
"2007-01-10",47.9,48.14,47.74,48.04,259400,24.02
"2007-01-11",48.09,48.83,48.09,48.5,369400,24.25
"2007-01-12",48.43,49.49,48.43,49.28,792000,24.64
"2007-01-16",49.29,49.4,49.2,49.27,513200,24.64
"2007-01-17",49.09,49.48,49.09,49.31,543200,24.66
"2007-01-18",49.34,49.79,49.25,49.44,486400,24.72
"2007-01-19",49.24,49.39,49.15,49.26,581800,24.63
"2007-01-22",49.3,49.75,49.23,49.67,486800,24.83
"2007-01-23",49.57,49.95,49.37,49.72,448800,24.86
"2007-01-24",49.55,50.09,49.54,50.09,351400,25.05
"2007-01-25",50.02,50.22,49.79,50.17,556000,25.08
"2007-01-26",50.2,51.13,50.15,51.02,781200,25.51
"2007-01-29",51.02,51.35,50.7,51.26,1640400,25.63
"2007-01-30",51.07,51.3,50.74,51.19,1117400,25.59
"2007-01-31",51.08,51.27,50.72,51.16,838400,25.58
"2007-02-01",51.16,51.34,50.85,51.26,587600,25.63
"2007-02-02",51.49,52,51.05,51.83,1136200,25.92
"2007-02-05",51.8,52.51,51.35,52.25,1064600,26.12
"2007-02-06",49.6,50.85,48.86,49.97,2344200,24.99
"2007-02-07",50.07,50.98,50.07,50.61,841800,25.31
"2007-02-08",50.56,51.34,50.56,50.92,545200,25.46
"2007-02-09",50.9,51.26,50.45,50.59,498200,25.3
"2007-02-12",50.69,51.32,50.65,50.97,529800,25.49
"2007-02-13",50.96,51.25,50.96,51.08,368600,25.54
"2007-02-14",51.08,51.8,51.05,51.61,472600,25.81
"2007-02-15",51.41,52.35,51.41,52.1,508600,26.05
"2007-02-16",51.93,52.43,51.91,52.41,448600,26.2
"2007-02-20",51.5,51.51,50.81,50.98,1473000,25.49
"2007-02-21",50.87,51.88,50.87,51.51,629200,25.75
"2007-02-22",51.67,51.79,51.37,51.37,460600,25.68
"2007-02-23",51.45,51.94,51.45,51.7,421600,25.85
"2007-02-26",51.85,51.9,51.15,51.21,641200,25.6
"2007-02-27",50.5,50.86,50,50.13,620200,25.07
"2007-02-28",50.13,50.72,49.47,50.41,1006200,25.2
"2007-03-01",50,50.13,49,49.83,1029600,24.92
"2007-03-02",49.75,50.91,49.75,50.31,958000,25.16
"2007-03-05",50.26,50.55,49.95,50.12,970200,25.06
"2007-03-06",50.13,51.1,49.85,51.01,1392200,25.5
"2007-03-07",51.01,51.32,50.64,51.32,1716200,25.66
"2007-03-08",51,51,49.58,49.72,2823200,24.86
"2007-03-09",49.94,50.04,49.36,49.69,1258800,24.84
"2007-03-12",49.71,49.74,49.45,49.57,922000,24.78
"2007-03-13",49.38,49.38,48.64,48.67,1428200,24.33
"2007-03-14",48.68,48.84,48.1,48.62,1322800,24.31
"2007-03-15",48.62,49.06,48.62,48.99,986800,24.5
"2007-03-16",49.01,49.1,48.68,48.77,724400,24.39
"2007-03-19",49,49.49,48.86,49.17,583400,24.58
"2007-03-20",49.17,49.32,48.24,49.3,2147600,24.65
"2007-03-21",49.45,49.6,49.02,49.56,809600,24.78
"2007-03-22",49.6,50.12,49.55,49.81,1575800,24.91
"2007-03-23",49.81,49.96,49.36,49.76,683200,24.88
"2007-03-26",49.72,49.79,49.37,49.61,682200,24.81
"2007-03-27",49.4,50.23,49.35,49.95,551600,24.98
"2007-03-28",49.88,50.4,49.87,50.29,827200,25.15
"2007-03-29",50.49,50.81,50.4,50.56,673200,25.28
"2007-03-30",50.5,50.86,50.36,50.7,295600,25.35
"2007-04-02",50.74,51,50.57,51,376400,25.5
"2007-04-03",51.19,51.58,51,51.34,548600,25.67
"2007-04-04",51.3,51.51,51.03,51.5,561800,25.75
"2007-04-05",51.38,51.63,51.38,51.44,316000,25.72
"2007-04-09",51.56,51.68,51.33,51.38,232600,25.69
"2007-04-10",51.41,51.85,51.41,51.51,556000,25.75
"2007-04-11",51.56,51.56,51.13,51.34,472800,25.67
"2007-04-12",51.26,51.9,51.22,51.87,490400,25.93
"2007-04-13",51.93,52.38,51.71,52.27,582800,26.14
"2007-04-16",52.48,52.95,52.4,52.76,729200,26.38
"2007-04-17",52.63,52.88,52.56,52.75,1084000,26.38
"2007-04-18",52.59,52.75,52.3,52.43,643800,26.22
"2007-04-19",52.18,52.34,51.87,52,598800,26
"2007-04-20",51.9,52.14,51.88,51.95,1485000,25.98
"2007-04-23",51.75,52.23,51.63,52.15,808800,26.08
"2007-04-24",50.98,51,48.53,49.03,5260800,24.51
"2007-04-25",49.08,49.11,48.26,48.71,1175600,24.35
"2007-04-26",48.7,49.08,48.5,48.94,992000,24.47
"2007-04-27",48.95,49.22,48.83,48.86,1048800,24.43
"2007-04-30",50.5,50.5,48.96,49,1340000,24.5
"2007-05-01",48.94,48.99,48.4,48.66,1294200,24.33
"2007-05-02",48.55,49.38,48.51,49.27,1206600,24.64
"2007-05-03",49.23,49.59,49.02,49.1,786600,24.55
"2007-05-04",49.1,49.17,48.65,48.81,525800,24.41
"2007-05-07",48.85,49.3,48.85,49.23,784400,24.61
"2007-05-08",49.25,49.33,48.58,48.91,750000,24.45
"2007-05-09",48.82,49.38,48.59,48.84,738200,24.42
"2007-05-10",48.72,49.2,48.66,48.84,712000,24.42
"2007-05-11",48.74,49.16,48.74,49.09,439000,24.55
"2007-05-14",49.01,49.6,48.97,49.09,979200,24.55
"2007-05-15",48.99,49.46,48.84,49.04,808200,24.52
"2007-05-16",49.18,49.38,48.15,49.3,1258200,24.65
"2007-05-17",49.13,49.32,48.94,49.19,432600,24.59
"2007-05-18",49.29,49.99,49.17,49.82,706800,24.91
"2007-05-21",49.7,50.07,49.55,50.06,777400,25.03
"2007-05-22",49.94,50.69,49.89,50.68,721000,25.34
"2007-05-23",50.78,51.68,50.78,51.11,1284000,25.56
"2007-05-24",51.11,51.49,50.75,50.87,921600,25.43
"2007-05-25",50.94,50.94,50.32,50.38,814800,25.19
"2007-05-29",50.39,50.58,50.15,50.26,655800,25.13
"2007-05-30",50.1,50.34,50.08,50.17,609200,25.08
"2007-05-31",50.37,50.44,49.98,50.2,947600,25.1
"2007-06-01",50.26,50.48,50.1,50.38,550200,25.19
"2007-06-04",50.21,50.88,50.15,50.84,594200,25.42
"2007-06-05",50.7,50.92,50.44,50.53,475600,25.26
"2007-06-06",50.33,50.33,49.83,50.11,503600,25.06
"2007-06-07",50,50.04,49.55,49.62,661000,24.81
"2007-06-08",49.52,49.71,49.38,49.68,529200,24.84
"2007-06-11",49.53,49.84,49.27,49.73,585800,24.86
"2007-06-12",49.62,49.62,49.04,49.06,608400,24.53
"2007-06-13",49.13,49.48,48.97,49.44,382000,24.72
"2007-06-14",49.5,49.55,49.15,49.3,384400,24.65
"2007-06-15",49.5,49.69,49.25,49.3,803800,24.65
"2007-06-18",49.49,49.49,49.2,49.37,486200,24.68
"2007-06-19",49.5,49.81,49.11,49.66,552600,24.83
"2007-06-20",49.79,49.8,49.25,49.35,953400,24.67
"2007-06-21",49.25,49.46,49,49.37,382400,24.68
"2007-06-22",49.23,49.55,49.01,49.14,870200,24.57
"2007-06-25",49.14,49.46,48.73,48.73,587400,24.36
"2007-06-26",48.91,49.85,48.82,49.75,772600,24.88
"2007-06-27",49.54,50.32,49.52,50.31,820200,25.16
"2007-06-28",50.11,50.37,49.84,50.05,489000,25.02
"2007-06-29",50,50.1,49.18,49.34,601600,24.67
"2007-07-02",49.47,49.53,49.06,49.5,440000,24.75
"2007-07-03",49.86,50.23,49.58,49.99,394400,25
"2007-07-05",50,50.07,49.76,49.97,208000,24.99
"2007-07-06",49.77,50.4,49.77,50.25,592400,25.12
"2007-07-09",50.25,50.29,49.83,50.09,357000,25.05
"2007-07-10",49.8,49.99,49.24,49.36,505200,24.68
"2007-07-11",49.27,49.79,49.19,49.75,509000,24.88
"2007-07-12",49.83,50.42,49.83,50.15,891600,25.08
"2007-07-13",50.11,50.28,49.67,49.9,635400,24.95
"2007-07-16",49.86,50.11,49.84,49.99,816600,25
"2007-07-17",49.97,50.25,49.89,49.98,661200,24.99
"2007-07-18",49.85,50.19,49.74,50.04,591800,25.02
"2007-07-19",50.12,50.79,50.1,50.55,597200,25.27
"2007-07-20",50.35,50.45,49.97,50.01,870000,25
"2007-07-23",50.26,50.51,49.75,49.88,1163800,24.94
"2007-07-24",47.7,48.14,47.03,47.23,4029600,23.61
"2007-07-25",47.21,47.3,46.32,46.72,1284400,23.36
"2007-07-26",46.27,47.07,46.13,46.46,1863000,23.23
"2007-07-27",46.58,46.88,46.18,46.44,1690000,23.22
"2007-07-30",46.3,46.3,45.9,46.2,1405000,23.1
"2007-07-31",46.4,46.47,45.85,45.96,1470800,22.98
"2007-08-01",45.9,46.59,45.55,46.49,1424200,23.25
"2007-08-02",47.02,47.02,46.17,46.52,832800,23.26
"2007-08-03",46.56,46.63,46.06,46.35,1219000,23.17
"2007-08-06",46.53,46.65,46.2,46.59,1322800,23.3
"2007-08-07",46.31,46.64,46.04,46.41,1567200,23.2
"2007-08-08",46.42,48.05,46.33,47.31,1906400,23.66
"2007-08-09",46.7,47.27,46.26,46.84,2448600,23.42
"2007-08-10",46.47,46.71,45.58,46.26,2098400,23.13
"2007-08-13",46.5,46.97,46.16,46.61,1241600,23.31
"2007-08-14",46.44,46.96,46.3,46.51,1293800,23.25
"2007-08-15",46.34,47.05,46.16,46.36,767200,23.18
"2007-08-16",46.12,47.33,46.09,47.1,790200,23.55
"2007-08-17",48.03,48.03,46.81,47,977200,23.5
"2007-08-20",47,47.16,46.59,46.82,938800,23.41
"2007-08-21",46.59,47.08,46.56,46.94,851000,23.47
"2007-08-22",47,47.04,46.65,46.92,550800,23.46
"2007-08-23",46.96,47.52,46.91,47.42,578400,23.71
"2007-08-24",47.45,48.04,47.38,48.04,486400,24.02
"2007-08-27",47.91,48.4,47.89,48.07,499200,24.03
"2007-08-28",47.88,48.24,47.27,47.41,613000,23.7
"2007-08-29",47.87,48.03,47.05,47.99,506200,24
"2007-08-30",47.68,48,47.56,47.74,551400,23.87
"2007-08-31",48.19,48.45,47.75,48.3,684600,24.15
"2007-09-04",48,48.37,47.6,47.68,663200,23.84
"2007-09-05",48.2,48.47,47.96,48.47,1009000,24.24
"2007-09-06",48.64,48.65,48.32,48.52,519400,24.26
"2007-09-07",48.48,48.77,48.14,48.3,632000,24.15
"2007-09-10",48.4,48.59,47.82,47.89,543600,23.94
"2007-09-11",48.08,48.2,47.75,48.18,404800,24.09
"2007-09-12",48.02,48.63,48.02,48.36,615800,24.18
"2007-09-13",48.56,48.56,47.7,47.77,490000,23.89
"2007-09-14",47.47,48.09,47.29,47.87,442400,23.93
"2007-09-17",47.82,48.09,47.42,47.46,219200,23.73
"2007-09-18",47.69,48.2,47.18,48.17,660600,24.08
"2007-09-19",48.47,48.97,48.36,48.77,980400,24.39
"2007-09-20",48.75,48.96,48.63,48.86,698600,24.43
"2007-09-21",49.14,49.14,48.67,48.75,804600,24.38
"2007-09-24",48.9,49,48.15,48.49,396200,24.25
"2007-09-25",48.37,48.52,48.23,48.4,327400,24.2
"2007-09-26",48.68,49.06,48.53,48.77,551200,24.39
"2007-09-27",48.98,49.75,48.95,49.37,579600,24.68
"2007-09-28",49.49,49.49,48.93,49.31,423400,24.66
"2007-10-01",49.17,49.68,48.4,49.48,640000,24.74
"2007-10-02",49.38,49.67,49.12,49.57,383600,24.78
"2007-10-03",49.39,49.92,49.21,49.85,393200,24.92
"2007-10-04",50.01,50.57,50.01,50.46,892200,25.23
"2007-10-05",51.5,52.86,51.32,51.52,1149800,25.76
"2007-10-08",51.6,51.88,51.24,51.49,361600,25.75
"2007-10-09",51.55,51.7,50.51,50.97,541800,25.49
"2007-10-10",50.62,50.79,50.24,50.53,821200,25.26
"2007-10-11",50.66,50.79,50.48,50.62,843200,25.31
"2007-10-12",50.71,50.92,49.62,49.77,868200,24.89
"2007-10-15",49.87,50.02,49.43,49.64,651400,24.82
"2007-10-16",49.72,49.75,49.29,49.35,709800,24.67
"2007-10-17",49.73,49.88,49.17,49.77,940400,24.89
"2007-10-18",49.43,49.75,49.21,49.51,694000,24.75
"2007-10-19",49.5,49.77,49.09,49.63,772000,24.82
"2007-10-22",49.43,50.22,49.18,49.78,1175200,24.89
"2007-10-23",49.78,51.5,46.98,48.05,3426000,24.02
"2007-10-24",47.85,48.87,47.85,48.78,1380200,24.39
"2007-10-25",48.77,49.45,48.07,49.13,983000,24.57
"2007-10-26",49.3,49.92,49.2,49.49,975200,24.75
"2007-10-29",49.68,49.77,49.3,49.68,648600,24.84
"2007-10-30",49.34,49.76,49.33,49.53,703800,24.76
"2007-10-31",49.62,50.22,49.44,50.22,1011600,25.11
"2007-11-01",49.53,50.01,49.51,49.79,781600,24.9
"2007-11-02",49.91,50.31,49.44,50.19,826400,25.09
"2007-11-05",49.76,50.28,49.76,49.94,927400,24.97
"2007-11-06",49.9,50.24,49.58,49.89,467200,24.94
"2007-11-07",49.4,50.48,49.4,50.13,806600,25.07
"2007-11-08",50.5,50.5,49.83,50.34,835800,25.17
"2007-11-09",49.73,50.43,49.67,49.9,561600,24.95
"2007-11-12",49.52,50.19,49.52,49.68,333400,24.84
"2007-11-13",49.88,50.25,49.64,50.01,395800,25
"2007-11-14",50.18,50.46,49.66,50.25,423400,25.12
"2007-11-15",50.25,50.63,50.12,50.29,479200,25.15
"2007-11-16",50.35,50.48,49.92,50.44,567600,25.22
"2007-11-19",49.99,50.64,49.91,50.23,816800,25.11
"2007-11-20",50.13,50.51,49.7,50.28,1261200,25.14
"2007-11-21",49.85,50.06,49,49.02,746400,24.51
"2007-11-23",49.13,49.85,49.03,49.69,112800,24.84
"2007-11-26",49.5,49.78,48.84,48.93,334800,24.47
"2007-11-27",49.17,49.49,48.93,49.23,691800,24.61
"2007-11-28",49.23,50.73,49.23,50.68,414000,25.34
"2007-11-29",50.33,51.02,49.7,49.79,650000,24.9
"2007-11-30",50.19,50.19,49.2,49.45,869000,24.73
"2007-12-03",49.72,49.72,48.57,48.93,551400,24.47
"2007-12-04",48.53,48.66,47.49,47.61,1834200,23.81
"2007-12-05",48.04,48.19,47.19,47.35,1293400,23.67
"2007-12-06",47.19,48.53,46.95,47.92,1082200,23.96
"2007-12-07",47.65,49.89,47.65,48.49,1900600,24.25
"2007-12-10",48.4,49.4,48.4,49.21,769800,24.6
"2007-12-11",49.5,49.72,48.43,48.44,566600,24.22
"2007-12-12",49.29,49.47,48.5,48.85,406800,24.42
"2007-12-13",48.7,49.1,48.49,49.1,401400,24.55
"2007-12-14",48.89,49.25,48.74,48.98,566200,24.49
"2007-12-17",48.69,49.05,47.83,47.88,586200,23.94
"2007-12-18",48.23,48.3,46.72,46.97,1115200,23.49
"2007-12-19",46.78,47.16,46.78,47.04,969400,23.52
"2007-12-20",47.3,47.52,46.96,47.32,393600,23.66
"2007-12-21",47.92,48.17,47.35,47.62,922000,23.81
"2007-12-24",47.63,47.82,47.48,47.69,223200,23.84
"2007-12-26",47.59,47.69,46.93,47.07,518800,23.53
"2007-12-27",47,47.02,46.4,46.54,1027800,23.27
"2007-12-28",46.59,46.6,46,46.18,638800,23.09
"2007-12-31",46,46.25,45.84,45.99,1107200,23
"2008-01-02",45.72,46.13,45.04,45.2,1487800,22.6
"2008-01-03",45.3,45.78,45.2,45.7,646000,22.85
"2008-01-04",45.11,45.7,45.04,45.31,785400,22.66
"2008-01-07",45.36,45.78,45.21,45.33,587000,22.67
"2008-01-08",45.55,45.91,44.9,45.1,955600,22.55
"2008-01-09",45.14,45.97,44.97,45.82,1064200,22.91
"2008-01-10",45.73,46.07,45.43,45.84,717600,22.92
"2008-01-11",45.51,46.11,45.42,45.87,625600,22.93
"2008-01-14",46.01,46.59,45.82,46.44,539600,23.22
"2008-01-15",46.1,46.76,45.97,46.5,803800,23.25
"2008-01-16",46.48,47.36,46.47,47.13,1010000,23.57
"2008-01-17",47.35,47.62,46.75,47.07,1017400,23.53
"2008-01-18",47.19,47.35,46.39,46.51,741600,23.25
"2008-01-22",45.16,46.5,45.16,46.07,828200,23.03
"2008-01-23",45.04,46.31,45.04,46.23,1111600,23.11
"2008-01-24",46.5,46.68,45.7,46.35,793000,23.17
"2008-01-25",46.49,46.58,45.65,45.69,963200,22.84
"2008-01-28",45.59,46.26,45.32,46.26,796200,23.13
"2008-01-29",46.6,46.98,46.36,46.98,743800,23.49
"2008-01-30",46.81,47.35,46.7,46.9,690400,23.45
"2008-01-31",46.29,46.79,46.05,46.27,943000,23.14
"2008-02-01",46.46,47.07,46.21,46.45,1030600,23.23
"2008-02-04",46.3,47.57,46.3,46.99,872200,23.5
"2008-02-05",46.27,47.2,46.27,47.1,1380400,23.55
"2008-02-06",47,47,45.37,45.46,1489600,22.73
"2008-02-07",45.35,45.63,44.94,45.44,827600,22.72
"2008-02-08",45.62,45.66,44.02,44.24,1372000,22.12
"2008-02-11",44.19,44.7,44,44.7,688800,22.35
