"","F.Open","F.High","F.Low","F.Close","F.Volume","F.Adjusted"
"2007-01-03",7.56,7.67,7.44,7.51,78652200,7.12
"2007-01-04",7.56,7.72,7.43,7.7,63454900,7.3
"2007-01-05",7.72,7.75,7.57,7.62,40562100,7.23
"2007-01-08",7.63,7.75,7.62,7.73,48938500,7.33
"2007-01-09",7.75,7.86,7.73,7.79,56732200,7.39
"2007-01-10",7.79,7.79,7.67,7.73,42397100,7.33
"2007-01-11",7.73,7.8,7.68,7.77,40020800,7.37
"2007-01-12",7.77,7.92,7.76,7.89,57053800,7.48
"2007-01-16",7.89,8.01,7.87,7.94,66699800,7.53
"2007-01-17",7.97,8.1,7.97,8.04,63728700,7.63
"2007-01-18",8.06,8.24,8.06,8.18,78375700,7.76
"2007-01-19",8.24,8.32,8.17,8.3,66023300,7.87
"2007-01-22",8.33,8.43,8.25,8.41,53554600,7.98
"2007-01-23",8.39,8.62,8.24,8.3,116406900,7.87
"2007-01-24",8.31,8.35,8.11,8.2,76821900,7.78
"2007-01-25",8.15,8.52,8,8.22,99688700,7.8
"2007-01-26",8.15,8.48,8.14,8.42,54421900,7.99
"2007-01-29",8.44,8.51,8.35,8.37,55791000,7.94
"2007-01-30",8.38,8.42,8.19,8.2,28763200,7.78
"2007-01-31",8.17,8.2,8.04,8.13,65038600,7.71
"2007-02-01",8.17,8.3,8.13,8.29,27922600,7.86
"2007-02-02",8.29,8.29,8.16,8.23,24730000,7.81
"2007-02-05",8.2,8.38,8.19,8.33,27387700,7.9
"2007-02-06",8.33,8.55,8.3,8.54,44746900,8.1
"2007-02-07",8.56,8.64,8.46,8.56,32595800,8.12
"2007-02-08",8.5,8.57,8.49,8.55,23819700,8.11
"2007-02-09",8.82,8.97,8.69,8.73,108536600,8.28
"2007-02-12",8.72,8.75,8.5,8.65,33682800,8.21
"2007-02-13",8.5,8.5,8.36,8.45,59691800,8.02
"2007-02-14",8.45,8.65,8.44,8.51,63469200,8.07
"2007-02-15",8.55,8.64,8.51,8.6,24990600,8.16
"2007-02-16",8.54,8.74,8.51,8.53,32178500,8.09
"2007-02-20",8.56,8.69,8.54,8.65,27532700,8.21
"2007-02-21",8.67,8.68,8.41,8.47,36351500,8.04
"2007-02-22",8.48,8.53,8.32,8.35,26903200,7.92
"2007-02-23",8.35,8.36,8.21,8.3,30366900,7.87
"2007-02-26",8.31,8.34,8.15,8.26,28361400,7.84
"2007-02-27",8.12,8.16,7.6,7.78,91201600,7.38
"2007-02-28",7.9,8,7.75,7.91,59777100,7.5
"2007-03-01",7.77,7.95,7.64,7.77,61683200,7.37
"2007-03-02",7.75,7.77,7.59,7.59,46215800,7.2
"2007-03-05",7.52,7.65,7.45,7.58,59502100,7.19
"2007-03-06",7.67,7.7,7.48,7.64,92422600,7.25
"2007-03-07",7.71,7.71,7.61,7.62,44757700,7.23
"2007-03-08",7.81,8,7.75,7.93,91446100,7.52
"2007-03-09",8.05,8.13,7.91,7.93,43543400,7.52
"2007-03-12",7.95,8.01,7.82,7.82,39391800,7.42
"2007-03-13",7.84,7.87,7.61,7.64,41480800,7.25
"2007-03-14",7.61,7.64,7.44,7.51,69463200,7.12
"2007-03-15",7.55,7.66,7.51,7.59,39164900,7.2
"2007-03-16",7.63,7.65,7.52,7.55,27784400,7.16
"2007-03-19",7.58,7.82,7.57,7.82,44955700,7.42
"2007-03-20",7.77,7.9,7.7,7.88,32669600,7.48
"2007-03-21",7.91,8.04,7.84,8.01,35791300,7.6
"2007-03-22",8.03,8.1,8,8.08,43574100,7.67
"2007-03-23",8.06,8.23,7.71,7.89,44321000,7.48
"2007-03-26",7.94,8.06,7.8,7.87,27296000,7.47
"2007-03-27",7.88,7.9,7.8,7.85,24570800,7.45
"2007-03-28",7.84,8.04,7.8,7.98,49104700,7.57
"2007-03-29",8.02,8.03,7.88,7.95,50931900,7.54
"2007-03-30",7.97,8.02,7.88,7.89,32190200,7.48
"2007-04-02",7.9,8.1,7.87,8.09,44145600,7.67
"2007-04-03",8.09,8.19,8.05,8.08,44401600,7.67
"2007-04-04",8.04,8.17,8.03,8.04,29511300,7.63
"2007-04-05",8.02,8.07,7.89,8.01,42132600,7.6
"2007-04-09",8.05,8.13,8.04,8.08,17885600,7.67
"2007-04-10",8.09,8.21,8.09,8.19,27836800,7.77
"2007-04-11",8.14,8.18,8.05,8.13,29263400,7.71
"2007-04-12",8.11,8.16,8.06,8.09,27932800,7.67
"2007-04-13",8.11,8.11,7.98,8.02,36474800,7.61
"2007-04-16",8.05,8.08,7.99,8.03,19906300,7.62
"2007-04-17",8,8.03,7.82,7.85,45441700,7.45
"2007-04-18",7.85,7.89,7.79,7.82,26132300,7.42
"2007-04-19",7.82,7.86,7.69,7.74,29201800,7.34
"2007-04-20",7.81,7.87,7.67,7.75,45372400,7.35
"2007-04-23",7.73,7.93,7.73,7.83,24958500,7.43
"2007-04-24",7.84,7.85,7.72,7.82,26996400,7.42
"2007-04-25",7.8,7.91,7.8,7.88,25879500,7.48
"2007-04-26",8.37,8.38,8.15,8.2,87563000,7.78
"2007-04-27",8.2,8.23,7.99,8.05,37976300,7.64
"2007-04-30",8.06,8.23,8.04,8.04,27476700,7.63
"2007-05-01",8.04,8.1,7.96,8.05,27601200,7.64
"2007-05-02",8.08,8.2,8.07,8.17,26871000,7.75
"2007-05-03",8.12,8.23,8.12,8.19,19884500,7.77
"2007-05-04",8.19,8.22,8.11,8.22,22605400,7.8
"2007-05-07",8.19,8.22,8.15,8.16,12470500,7.74
"2007-05-08",8.15,8.4,8.15,8.37,60113400,7.94
"2007-05-09",8.37,8.48,8.3,8.35,62769800,7.92
"2007-05-10",8.36,8.42,8.2,8.24,26700800,7.82
"2007-05-11",8.26,8.42,8.26,8.37,25357400,7.94
"2007-05-14",8.55,8.97,8.52,8.71,81573100,8.26
"2007-05-15",8.72,8.98,8.71,8.91,66793000,8.45
"2007-05-16",8.93,8.95,8.73,8.76,31767900,8.31
"2007-05-17",8.78,8.87,8.69,8.76,25567100,8.31
"2007-05-18",8.86,8.86,8.68,8.69,15419100,8.24
"2007-05-21",8.73,8.93,8.68,8.78,35850300,8.33
"2007-05-22",8.78,8.83,8.67,8.68,27184500,8.23
"2007-05-23",8.68,8.82,8.68,8.76,33757700,8.31
"2007-05-24",8.77,8.82,8.48,8.49,50346200,8.05
"2007-05-25",8.56,8.59,8.41,8.45,30442800,8.02
"2007-05-29",8.53,8.59,8.38,8.4,26365400,7.97
"2007-05-30",8.35,8.54,8.32,8.5,32562200,8.06
"2007-05-31",8.54,8.55,8.26,8.34,32387200,7.91
"2007-06-01",8.37,8.44,8.27,8.35,35945600,7.92
"2007-06-04",8.34,8.4,8.23,8.27,20478600,7.85
"2007-06-05",8.28,8.39,8.27,8.31,59915300,7.88
"2007-06-06",8.26,8.32,8.2,8.26,35361900,7.84
"2007-06-07",8.28,8.36,8.05,8.06,41030200,7.65
"2007-06-08",8.06,8.3,8.06,8.24,32557200,7.82
"2007-06-11",8.39,8.42,8.3,8.4,25466600,7.97
"2007-06-12",8.39,8.49,8.32,8.32,31170400,7.89
"2007-06-13",8.39,8.59,8.36,8.56,35626000,8.12
"2007-06-14",8.58,8.7,8.58,8.66,38504100,8.22
"2007-06-15",8.76,8.97,8.68,8.92,60766600,8.46
"2007-06-18",8.92,8.93,8.73,8.85,40366700,8.4
"2007-06-19",8.78,8.79,8.64,8.65,35009900,8.21
"2007-06-20",8.71,8.88,8.63,8.86,48532800,8.41
"2007-06-21",8.86,8.91,8.79,8.91,39556500,8.45
"2007-06-22",8.8,9.23,8.78,9.13,80634900,8.66
"2007-06-25",9.24,9.37,8.98,9.03,55386700,8.57
"2007-06-26",9.09,9.15,8.95,8.96,33566400,8.5
"2007-06-27",8.97,9.32,8.86,9.28,50463100,8.8
"2007-06-28",9.34,9.65,9.32,9.49,73319700,9
"2007-06-29",9.6,9.7,9.33,9.42,50311300,8.94
"2007-07-02",9.57,9.64,9.43,9.64,26132700,9.15
"2007-07-03",9.48,9.48,9.26,9.42,84167900,8.94
"2007-07-05",9.36,9.36,9.06,9.15,61974600,8.68
"2007-07-06",9.2,9.23,9.08,9.11,38706900,8.64
"2007-07-09",9.16,9.24,9.07,9.08,53025000,8.61
"2007-07-10",9.15,9.3,9.08,9.09,54535900,8.62
"2007-07-11",9.1,9.14,8.81,8.9,69498300,8.44
"2007-07-12",8.93,9.05,8.87,8.96,47692100,8.5
"2007-07-13",8.98,9.01,8.84,8.97,37718300,8.51
"2007-07-16",9.01,9.04,8.84,8.86,28833400,8.41
"2007-07-17",8.88,8.93,8.71,8.73,33145100,8.28
