"","FAST.Open","FAST.High","FAST.Low","FAST.Close","FAST.Volume","FAST.Adjusted"
"2007-01-03",36.16,37.02,35.5,36.03,3936200,15.38
"2007-01-04",36.05,37.72,36.05,37.49,4779200,16.01
"2007-01-05",37.49,37.58,36.27,36.43,3225200,15.55
"2007-01-08",36.09,36.14,35.1,35.56,3807200,15.18
"2007-01-09",35.77,36.7,35.75,36.53,4361000,15.6
"2007-01-10",36.38,37.16,36.08,37.12,2537200,15.85
"2007-01-11",37.35,38.29,37.23,37.75,3353200,16.12
"2007-01-12",37.75,38.1,37.44,37.81,1876200,16.14
"2007-01-16",38.03,38.03,37.57,37.84,2088200,16.16
"2007-01-17",37.85,38.08,37.57,37.91,2085400,16.19
"2007-01-18",38.1,38.12,36.7,36.91,3144800,15.76
"2007-01-19",36.12,37.47,35.71,36.74,4575000,15.69
"2007-01-22",36.9,36.9,35.75,35.78,2469400,15.28
"2007-01-23",35.85,36.17,35.76,35.76,2058800,15.27
"2007-01-24",36,36.21,35.9,36.14,2245200,15.43
"2007-01-25",36.05,36.13,35.4,35.49,2867000,15.15
"2007-01-26",35.53,35.72,35.35,35.49,1874400,15.15
"2007-01-29",35.54,35.92,35.35,35.57,1903600,15.19
"2007-01-30",35.8,36.34,35.62,36.31,2483800,15.5
"2007-01-31",36.36,37.48,36,37.28,3069400,15.92
"2007-02-01",37.41,38.06,37.28,37.99,2926400,16.22
"2007-02-02",38,38.25,37.79,38.18,2918000,16.3
"2007-02-05",37.75,37.77,37.24,37.51,2254200,16.02
"2007-02-06",37.69,37.69,36.89,37.14,2452200,15.86
"2007-02-07",37.3,38.05,37.02,37.53,2150800,16.02
"2007-02-08",37.6,37.61,36.79,36.95,2194800,15.78
"2007-02-09",37.05,37.09,36.25,36.41,2334800,15.55
"2007-02-12",36.63,36.63,35.76,35.94,2557200,15.34
"2007-02-13",35.95,36.19,35.58,35.87,2423200,15.32
"2007-02-14",36.04,36.7,35.96,36.5,1851400,15.58
"2007-02-15",36.34,36.66,36.08,36.45,1916600,15.56
"2007-02-16",36.5,36.78,36.08,36.72,2074400,15.68
"2007-02-20",36.77,37.37,36.26,37.29,1771400,15.92
"2007-02-21",37.31,37.8,37.12,37.67,2489200,16.08
"2007-02-22",37.82,37.84,37.02,37.45,1732600,16.08
"2007-02-23",37.5,37.59,36.7,37.15,1524600,15.95
"2007-02-26",37.43,37.5,36.64,36.95,1368400,15.86
"2007-02-27",36.38,36.71,35.68,35.71,2611800,15.33
"2007-02-28",35.02,35.6,35,35.27,3010400,15.14
"2007-03-01",35,35.61,34.25,35.4,3834600,15.2
"2007-03-02",35.19,35.67,34.7,34.75,2987200,14.92
"2007-03-05",33.5,34.56,33.05,34.04,4630000,14.62
"2007-03-06",34.13,34.27,33.88,34.03,4500600,14.61
"2007-03-07",34.04,34.48,33.81,34.25,2563400,14.71
"2007-03-08",35.37,35.58,34.82,35.31,3800600,15.16
"2007-03-09",35.6,35.95,35.24,35.55,2302200,15.26
"2007-03-12",35.6,35.87,34.87,35.11,2469000,15.07
"2007-03-13",35.2,35.36,34.42,34.56,2946400,14.84
"2007-03-14",34.57,34.96,34,34.87,2855600,14.97
