"","FCX.Open","FCX.High","FCX.Low","FCX.Close","FCX.Volume","FCX.Adjusted"
"2007-01-03",54.04,54.04,49.73,50.49,28464600,20.14
"2007-01-04",49.4,50.98,48.85,50.96,22003400,20.32
"2007-01-05",51.76,52.42,49.94,51.48,15240400,20.53
"2007-01-08",51.95,52.4,51.4,52.25,15164600,20.84
"2007-01-09",52.15,52.55,51.27,51.9,13737600,20.7
"2007-01-10",51.81,53.36,51.01,53.19,12428200,21.21
"2007-01-11",52.62,54.26,52.2,53.79,10709600,21.58
"2007-01-12",53.6,55.48,53.42,55.01,10880000,22.07
"2007-01-16",54.8,55.05,53.27,53.4,18183400,21.42
"2007-01-17",53.53,53.65,52.05,53.49,15846800,21.46
"2007-01-18",53.95,53.98,51.93,52.58,14203200,21.09
"2007-01-19",53,55.01,52.88,53.95,12140800,21.64
"2007-01-22",53.1,53.81,52.25,52.75,12046200,21.16
"2007-01-23",53.11,55.2,53.11,54.97,16740600,22.05
"2007-01-24",55.25,56.61,54.55,56.34,17032200,22.6
"2007-01-25",56.95,58.56,56.7,58.38,27373000,23.42
"2007-01-26",57.8,58.54,57.17,58.49,13011200,23.46
"2007-01-29",57.27,57.73,54.91,55.09,20710800,22.1
"2007-01-30",56,57.01,54.89,56.5,17590800,22.67
"2007-01-31",56.3,57.56,56.12,57.51,11152400,23.07
"2007-02-01",57.82,58.05,56.72,56.77,14710000,22.77
"2007-02-02",55.5,56.09,55,55.24,16884400,22.16
"2007-02-05",55.8,55.96,54.23,54.56,11303400,21.89
"2007-02-06",55.01,55.19,54.17,54.41,10537200,21.83
"2007-02-07",54.41,54.92,53.75,53.96,8177800,21.65
"2007-02-08",54.08,54.08,53.12,53.43,16145400,21.43
"2007-02-09",54.01,54.63,53.13,53.65,16154000,21.52
"2007-02-12",52.65,54,52.65,53.25,6465600,21.36
"2007-02-13",54.14,56.45,54.02,56.19,17715000,22.54
"2007-02-14",56.41,57.05,55.55,56.63,18643000,22.72
"2007-02-15",57.7,58.6,57.2,57.84,17631800,23.2
"2007-02-16",57.23,58.13,57.1,57.56,7601600,23.09
"2007-02-20",56.9,57.13,56.25,56.49,7207600,22.66
"2007-02-21",56.49,58.74,56.35,58.48,12540400,23.46
"2007-02-22",59.12,60.09,58.92,59.56,14293400,23.89
"2007-02-23",59.81,60.5,59.57,59.91,10163800,24.03
"2007-02-26",61.02,61.99,60.33,61.92,21867400,24.84
"2007-02-27",59.55,59.96,55.25,55.75,29186000,22.36
"2007-02-28",56.11,57.57,54.76,57.41,22113000,23.03
"2007-03-01",56,57.34,55.13,56.22,15155000,22.55
"2007-03-02",55.97,56.98,54.52,54.63,16601000,21.92
"2007-03-05",53.35,54.63,52.51,53.09,19783600,21.3
"2007-03-06",54.7,55.78,54.35,55.44,11348000,22.24
"2007-03-07",55.69,57.01,55.27,56.19,10921200,22.54
"2007-03-08",57.36,58.95,57,57.65,21505200,23.13
"2007-03-09",58.3,58.3,56.25,56.74,17758400,22.76
"2007-03-12",56.74,58.73,56.3,57.94,18897400,23.24
"2007-03-13",57.52,58.9,56.01,56.02,13800200,22.47
"2007-03-14",56.06,56.87,54.11,56.38,27740800,22.62
"2007-03-15",57.44,60.68,57.12,60.16,36365600,24.13
"2007-03-16",60.37,61.89,59.82,60.71,24904800,24.35
"2007-03-19",61.84,63.15,60.02,62.44,40353200,25.05
"2007-03-20",62.27,63.29,61.8,62.36,25441000,25.02
"2007-03-21",62.66,62.76,60.86,62.57,25621200,25.1
"2007-03-22",63,63.67,61.86,61.91,32919400,24.84
