"","FHN.Open","FHN.High","FHN.Low","FHN.Close","FHN.Volume","FHN.Adjusted"
"2007-01-03",41.93,41.99,41.52,41.73,1319800,35.16
"2007-01-04",41.73,41.73,41.19,41.51,1158300,34.97
"2007-01-05",41.51,41.51,40.67,40.74,907200,34.32
"2007-01-08",40.74,40.74,40.23,40.42,1285000,34.05
"2007-01-09",40.5,40.81,40.35,40.66,1071000,34.25
"2007-01-10",40.6,40.71,40.42,40.65,584100,34.25
"2007-01-11",40.67,40.85,40.61,40.64,540000,34.24
"2007-01-12",40.56,40.74,40.42,40.58,461500,34.19
"2007-01-16",40.58,40.58,40.11,40.21,1031400,33.88
"2007-01-17",40.05,40.1,39.82,39.93,1060400,33.64
"2007-01-18",39.79,40.49,39.75,40.06,1126800,33.75
"2007-01-19",40.2,40.34,39.96,40.03,950500,33.72
"2007-01-22",40,40.28,39.94,40.13,839500,33.81
"2007-01-23",40.18,40.45,40.08,40.4,936500,34.04
"2007-01-24",40.3,40.49,40.3,40.49,563300,34.11
"2007-01-25",40.49,40.52,40.06,40.25,655200,33.91
"2007-01-26",40.25,40.42,40.05,40.41,599600,34.04
"2007-01-29",40.47,40.47,40.08,40.23,488900,33.89
"2007-01-30",41.7,44.05,41.65,43.92,8631400,37
"2007-01-31",43.6,43.74,42.93,43.6,3266000,36.73
"2007-02-01",43.45,43.83,43.26,43.55,1913500,36.69
"2007-02-02",43.55,43.81,43.47,43.72,1511900,36.83
"2007-02-05",43.74,43.91,43.53,43.71,882100,36.82
"2007-02-06",43.95,44.5,43.85,44.31,1149300,37.33
"2007-02-07",44.45,44.8,44.37,44.62,1038900,37.59
"2007-02-08",44.4,44.5,43.65,44.49,1893300,37.48
"2007-02-09",44.55,44.67,43.81,44.05,866500,37.11
"2007-02-12",44.06,44.06,43.58,43.75,911000,36.86
"2007-02-13",43.74,43.99,43.05,43.92,598400,37
"2007-02-14",43.9,44.35,43.79,43.99,528900,37.06
"2007-02-15",43.99,44.38,43.98,44.18,710100,37.22
"2007-02-16",44.19,45.02,44.13,44.72,1083800,37.68
"2007-02-20",44.54,45.25,44.54,45.04,867300,37.94
"2007-02-21",44.7,45.44,44.68,45.13,760000,38.02
"2007-02-22",45.05,45.36,44.9,45.01,606200,37.92
"2007-02-23",44.93,45.05,44.5,44.66,1951000,37.62
"2007-02-26",44.72,44.82,43.99,44.33,1382400,37.35
"2007-02-27",44.13,44.13,42.49,42.95,1717000,36.18
"2007-02-28",42.99,43.42,42.76,43.15,929200,36.35
"2007-03-01",42.65,43.1,41.89,42.86,1530100,36.11
"2007-03-02",42.75,43.34,42.62,43.03,1377900,36.25
"2007-03-05",42.73,42.73,41.85,41.97,2029800,35.36
"2007-03-06",42.12,43,42.05,42.87,1302600,36.12
"2007-03-07",42.75,42.84,42.32,42.35,1024300,35.68
"2007-03-08",42.58,42.98,42.47,42.62,936100,35.91
"2007-03-09",42.82,42.82,41.81,42.32,1333200,35.65
"2007-03-12",42.27,42.28,41.65,42.09,1087400,35.46
"2007-03-13",41.88,41.88,40.79,40.99,1499300,34.53
"2007-03-14",40.54,40.85,38.2,40.51,3203600,34.51
"2007-03-15",40.44,41.35,40.44,41.06,1120000,34.98
"2007-03-16",41.26,41.57,40.83,40.93,1309000,34.87
"2007-03-19",41.08,41.5,41.05,41.32,690500,35.2
"2007-03-20",41.39,41.61,41.16,41.56,634100,35.4
"2007-03-21",41.56,42.8,41.34,42.65,1440000,36.33
"2007-03-22",42.63,42.84,42.18,42.26,935900,36
"2007-03-23",42.2,42.46,42.05,42.42,599900,36.13
"2007-03-26",42.42,42.49,41.65,42.26,816900,36
"2007-03-27",42.13,42.3,42.04,42.1,1445400,35.86
"2007-03-28",41.95,42.1,41.34,41.45,1512000,35.31
"2007-03-29",41.72,42,41.49,41.58,1000700,35.42
"2007-03-30",41.58,41.83,41.1,41.53,985700,35.38
"2007-04-02",41.44,41.45,39.69,40.24,3695200,34.28
"2007-04-03",40.33,40.64,40,40.5,2267000,34.5
"2007-04-04",40.4,40.4,39.78,39.9,1790900,33.99
"2007-04-05",39.9,39.91,39.43,39.9,2016900,33.99
"2007-04-09",39.9,39.9,39.33,39.5,1405900,33.65
"2007-04-10",39.47,39.82,39.47,39.62,1846700,33.75
"2007-04-11",39.57,39.71,38.8,38.99,2138300,33.21
"2007-04-12",39.05,39.13,38.43,38.88,1697600,33.12
"2007-04-13",38.91,39.4,38.8,39.35,914500,33.52
"2007-04-16",40,40.02,39.27,39.5,2499700,33.65
"2007-04-17",39.69,40.04,39.54,39.65,2120600,33.77
"2007-04-18",39.6,41.46,39.53,41.2,3661000,35.1
"2007-04-19",40.08,40.12,38.8,39.34,4822200,33.51
"2007-04-20",39.72,39.96,39.36,39.56,1625100,33.7
"2007-04-23",39.56,39.74,38.74,38.77,1422700,33.03
"2007-04-24",38.79,39.06,38.51,38.75,1382400,33.01
"2007-04-25",39.05,39.54,38.79,39.36,1920300,33.53
"2007-04-26",39.83,39.96,39.43,39.89,1938600,33.98
"2007-04-27",39.74,39.76,39.38,39.62,1379500,33.75
"2007-04-30",39.81,40,39.17,39.21,1014600,33.4
"2007-05-01",39.35,39.56,39.02,39.43,1106500,33.59
"2007-05-02",39.4,39.6,39.26,39.41,1117500,33.57
"2007-05-03",39.74,40.06,39.68,39.94,1397800,34.02
"2007-05-04",40.13,40.35,39.87,40.03,766100,34.1
"2007-05-07",40.13,40.5,40.11,40.42,1042700,34.43
"2007-05-08",40.19,40.49,40.17,40.25,998100,34.29
"2007-05-09",40.11,40.86,40.11,40.7,1235900,34.67
"2007-05-10",40.71,40.71,39.57,39.58,1650600,33.72
"2007-05-11",39.77,40.2,39.6,39.74,1658900,33.85
"2007-05-14",39.85,40.09,39.37,39.64,993600,33.77
"2007-05-15",39.6,39.8,39.29,39.33,1113600,33.5
"2007-05-16",39.34,39.59,39.11,39.57,1220400,33.71
"2007-05-17",39.54,39.87,39.48,39.81,1056100,33.91
"2007-05-18",39.87,40.02,39.44,39.94,1465000,34.02
"2007-05-21",39.98,40,39.46,39.8,1140100,33.9
"2007-05-22",39.86,40.55,39.71,40.42,1478200,34.43
"2007-05-23",40.47,40.68,40.2,40.29,885500,34.32
"2007-05-24",40.31,40.48,39.87,39.92,1572400,34
"2007-05-25",39.91,40.3,39.68,40.29,775800,34.32
"2007-05-29",40.42,40.74,40.19,40.4,520100,34.41
"2007-05-30",40.06,40.59,39.92,40.52,837200,34.52
"2007-05-31",40.52,40.74,40.2,40.29,943000,34.32
"2007-06-01",40.36,40.66,40.35,40.46,620000,34.46
"2007-06-04",40.42,40.51,40.2,40.31,577000,34.34
"2007-06-05",40.13,40.44,40,40.09,1190000,34.15
"2007-06-06",40.09,40.09,39.71,39.9,682800,33.99
"2007-06-07",39.9,39.91,38.88,38.92,1588500,33.15
"2007-06-08",38.91,39.5,38.9,39.41,1019900,33.57
"2007-06-11",39.44,39.46,38.96,39.23,820900,33.42
"2007-06-12",39.15,39.16,38.43,38.43,1388100,32.74
"2007-06-13",37.99,38.51,37.94,38.51,1600300,33.19
"2007-06-14",38.45,38.61,38.28,38.57,799500,33.24
"2007-06-15",38.74,39.02,38.74,38.85,1166600,33.49
"2007-06-18",38.77,39.19,38.72,39.02,1536200,33.63
"2007-06-19",38.87,39.45,38.83,39.4,1313900,33.96
"2007-06-20",39.55,39.59,39.15,39.21,1580600,33.8
"2007-06-21",39.1,39.59,38.79,39.38,1709400,33.94
"2007-06-22",39.2,39.47,39.07,39.4,2054400,33.96
"2007-06-25",39.4,39.68,39.01,39.32,2043100,33.89
"2007-06-26",39.48,39.57,39.02,39.12,2081000,33.72
"2007-06-27",38.99,39,38.36,38.96,1647400,33.58
"2007-06-28",38.98,39.43,38.68,39.19,1169200,33.78
"2007-06-29",39.2,39.47,38.89,39,1816800,33.61
"2007-07-02",39.1,39.39,39,39.19,1607900,33.78
"2007-07-03",39.22,39.4,38.98,39.03,660600,33.64
"2007-07-05",39.04,39.14,38.53,38.79,962400,33.43
"2007-07-06",38.73,38.9,38.44,38.86,1060500,33.49
"2007-07-09",38.85,38.89,38.26,38.54,950700,33.22
"2007-07-10",38.54,38.54,37.63,37.63,1749200,32.43
"2007-07-11",37.71,38.43,37.67,38.09,2416000,32.83
"2007-07-12",38.09,38.87,38.05,38.65,1854800,33.31
"2007-07-13",38.4,38.97,38.4,38.79,1006900,33.43
"2007-07-16",38.77,38.93,38.45,38.52,915900,33.2
"2007-07-17",38.5,38.87,38.37,38.42,920100,33.11
"2007-07-18",38.1,38.23,36.48,37.74,2624300,32.53
"2007-07-19",36.9,38.24,36.9,37.5,2269800,32.32
"2007-07-20",37.21,39.03,36.03,36.14,3290700,31.15
"2007-07-23",36.23,36.43,35.4,35.49,2750000,30.59
"2007-07-24",35.01,35.26,33.79,33.94,3989900,29.25
"2007-07-25",34.01,34.22,33.3,33.93,4035000,29.24
"2007-07-26",33.59,33.6,32,32.5,5064300,28.01
"2007-07-27",32.34,32.94,32.1,32.25,3487200,27.8
"2007-07-30",32.31,32.63,31.74,32.3,3284100,27.84
"2007-07-31",32.61,33.22,31.68,31.72,3768000,27.34
"2007-08-01",31.25,31.88,30.77,31.66,4391900,27.29
"2007-08-02",31.83,32.3,31.14,31.43,3158700,27.09
"2007-08-03",31.52,31.67,28.21,28.85,6330900,24.87
"2007-08-06",28.66,30.1,28.48,30.06,5360700,25.91
"2007-08-07",30.91,33.3,28.14,32.12,7160700,27.68
"2007-08-08",31,35,31,33.73,6173400,29.07
"2007-08-09",33.03,34.65,30.18,32.21,4629700,27.76
"2007-08-10",30.43,31.9,30,30.98,3477200,26.7
"2007-08-13",31.53,31.65,29.85,29.96,2719400,25.82
"2007-08-14",30.17,30.18,29,29.03,2826400,25.02
"2007-08-15",29.09,30.08,28.32,28.39,3507300,24.47
"2007-08-16",28.11,31.85,27.65,31.12,5106700,26.82
"2007-08-17",32.8,36.96,31.12,32.05,5767300,27.62
"2007-08-20",32.39,32.66,31.07,31.7,1900100,27.32
"2007-08-21",31.53,32.22,31.23,31.96,1484200,27.55
"2007-08-22",32.14,32.57,31.2,31.77,1594300,27.38
