"","FITB.Open","FITB.High","FITB.Low","FITB.Close","FITB.Volume","FITB.Adjusted"
"2007-01-03",41.05,41.41,40.76,40.98,1899700,34.25
"2007-01-04",40.96,41.07,40.62,40.99,1580000,34.26
"2007-01-05",40.81,40.84,39.94,40.18,3162700,33.59
"2007-01-08",40.07,40.11,39.62,39.92,3109500,33.37
"2007-01-09",40.1,40.24,39.73,40,1383200,33.44
"2007-01-10",39.93,40,39.73,39.9,1296300,33.35
"2007-01-11",39.91,40.1,39.86,39.93,1196600,33.38
"2007-01-12",39.83,40.24,39.68,40.03,1670700,33.46
"2007-01-16",40.23,40.37,39.9,40.35,2376600,33.73
"2007-01-17",40.36,40.36,39.49,39.64,3080500,33.13
"2007-01-18",39.7,40.74,39.12,39.9,4138600,33.35
"2007-01-19",40,40,39.07,39.59,2882400,33.09
"2007-01-22",39.41,39.47,39.1,39.2,2072000,32.77
"2007-01-23",39.2,39.27,39.02,39.09,1294800,32.67
"2007-01-24",39.19,39.38,39.04,39.38,1986900,32.92
"2007-01-25",39.3,39.33,38.86,38.91,1557200,32.52
"2007-01-26",38.9,39.21,38.86,39.11,3348400,32.69
"2007-01-29",39.27,39.37,38.98,39.09,3337500,32.67
"2007-01-30",39.07,39.34,38.86,39.3,1668100,32.85
"2007-01-31",39.2,39.93,39.16,39.9,3093400,33.35
"2007-02-01",39.9,40.26,39.81,40.24,2793400,33.64
"2007-02-02",40.14,40.47,40.07,40.33,1978100,33.71
"2007-02-05",40.37,40.57,40.23,40.33,1669900,33.71
"2007-02-06",40.37,40.81,40.35,40.53,1620500,33.88
"2007-02-07",40.66,41,40.61,40.91,1781500,34.2
"2007-02-08",40.74,40.81,40.36,40.39,1921900,33.76
"2007-02-09",40.48,40.59,40.22,40.46,3076800,33.82
"2007-02-12",40.5,40.92,40.5,40.75,2451800,34.06
"2007-02-13",40.93,41.06,40.67,41.05,2072400,34.31
"2007-02-14",41.06,41.27,40.74,41.11,2160300,34.36
"2007-02-15",41.04,41.18,40.81,40.97,1614500,34.25
"2007-02-16",40.85,41.12,40.83,40.98,1682500,34.25
"2007-02-20",40.96,41.3,40.91,41.2,1596900,34.44
"2007-02-21",41.08,41.12,40.67,40.8,2475700,34.1
"2007-02-22",40.93,40.98,40.43,40.68,1571100,34
"2007-02-23",40.89,40.94,40.33,40.58,1645900,33.92
"2007-02-26",41.12,41.2,40.44,40.65,2152800,33.98
