"","FMC.Open","FMC.High","FMC.Low","FMC.Close","FMC.Volume","FMC.Adjusted"
"2007-01-03",76.82,77.4,75.75,76.47,1288800,18.05
"2007-01-04",76.35,76.35,74.58,75.48,874800,17.81
"2007-01-05",75.41,75.41,73.36,74.12,1236800,17.49
"2007-01-08",74.12,74.12,73.3,73.57,1090000,17.36
"2007-01-09",73.7,74.02,73.08,73.93,678400,17.45
"2007-01-10",73.73,74.39,72.87,74.2,917600,17.51
"2007-01-11",74.33,75.89,74.31,75.81,598800,17.89
"2007-01-12",75.81,77.6,75.81,77.6,947200,18.31
"2007-01-16",77.6,77.9,76.29,76.45,784800,18.04
"2007-01-17",76.41,77,76.15,76.64,707600,18.09
"2007-01-18",76.69,76.92,75.91,76.71,805200,18.1
"2007-01-19",76.71,77.49,76.45,77.13,861200,18.2
"2007-01-22",77.26,77.32,75.55,75.96,626400,17.93
"2007-01-23",75.97,77.89,75.95,77.51,1067200,18.29
"2007-01-24",77.57,78.58,77.11,78.48,598000,18.52
"2007-01-25",78.23,78.24,76.78,77.23,984800,18.23
"2007-01-26",77.46,77.46,76.01,76.73,676400,18.11
"2007-01-29",76.73,77.72,76.51,77.22,783600,18.22
"2007-01-30",77.47,78.04,77.27,77.96,1226400,18.4
"2007-01-31",77.72,78.1,77.43,77.85,1220800,18.37
"2007-02-01",78.17,79.47,78,79.31,622800,18.72
"2007-02-02",78.6,78.6,76.66,77.15,1602000,18.21
"2007-02-05",77.15,78.8,76.4,78.42,2049200,18.51
"2007-02-06",78.29,79.24,78.05,79.01,1780000,18.65
"2007-02-07",76.5,76.5,73.97,76.03,4008400,17.94
"2007-02-08",75.14,75.56,73.66,73.76,2534800,17.41
"2007-02-09",73.75,73.8,72.6,73,1732400,17.23
"2007-02-12",73.06,73.6,72.54,72.75,1639200,17.17
"2007-02-13",73,73.87,72.91,73.85,1802800,17.43
"2007-02-14",74.02,74.55,73.61,73.93,1648400,17.45
"2007-02-15",73.98,75.06,73.88,74.78,1115200,17.65
"2007-02-16",74.55,75.66,74.4,75.57,1356000,17.84
"2007-02-20",76.04,76.46,75.1,76.44,2496400,18.04
"2007-02-21",76.44,78.38,76.2,78.22,2154800,18.46
"2007-02-22",78.43,78.67,77.16,77.6,1388400,18.31
"2007-02-23",77.4,77.43,76.31,76.88,1168400,18.14
"2007-02-26",77.23,77.73,75.94,75.97,1394800,17.93
"2007-02-27",75,75.19,72.54,73.78,1479600,17.41
"2007-02-28",73.67,74.13,72.86,73.61,1764000,17.37
"2007-03-01",73,74.18,71.31,73.57,1306800,17.36
"2007-03-02",73.57,73.92,72.76,72.87,1677200,17.2
"2007-03-05",72.5,73,71.27,71.27,1596400,16.82
"2007-03-06",71.54,73.22,71.54,72.77,916000,17.17
"2007-03-07",72.81,73.87,72.65,73.06,722400,17.24
"2007-03-08",73.31,74.05,73.25,73.4,656800,17.32
"2007-03-09",73.7,74.43,73.44,74.03,548000,17.47
"2007-03-12",74,75.05,73.95,74.67,640000,17.62
"2007-03-13",74.42,74.85,72.93,73,852000,17.23
"2007-03-14",73.08,73.49,71.63,73.11,689200,17.25
"2007-03-15",73,74.66,73,74.56,762400,17.6
"2007-03-16",74.56,75,73.79,74.18,758400,17.51
"2007-03-19",74.5,75.29,74.47,74.99,1130800,17.7
