"","FRX.Open","FRX.High","FRX.Low","FRX.Close","FRX.Volume","FRX.Adjusted"
"2007-01-03",50.6,50.75,50,50.2,2822300,50.2
"2007-01-04",50.25,50.66,50.06,50.55,1860200,50.55
"2007-01-05",50.34,50.45,50.05,50.2,2408900,50.2
"2007-01-08",50.45,50.75,50.1,50.49,2166500,50.49
"2007-01-09",50.5,51.41,50.4,51.2,1809500,51.2
"2007-01-10",51.14,51.92,50.65,51.58,2282400,51.58
"2007-01-11",51.92,53.08,51.92,52.86,2539000,52.86
"2007-01-12",52.8,54.1,52.6,53.73,3297300,53.73
"2007-01-16",54.51,54.77,52.47,53.02,5548900,53.02
"2007-01-17",52.93,53.95,52.52,53.45,2508100,53.45
"2007-01-18",53.59,54.83,53.35,54.53,2845800,54.53
"2007-01-19",54.73,54.97,54.2,54.83,2679700,54.83
"2007-01-22",54.95,55.48,54.81,55.01,3219800,55.01
"2007-01-23",55.26,55.33,54.58,54.96,3173800,54.96
"2007-01-24",54.98,55.6,54.77,55.47,1639000,55.47
"2007-01-25",55.34,56.54,55.04,56.09,2484400,56.09
"2007-01-26",56.18,56.2,55.26,55.41,2205200,55.41
"2007-01-29",55.51,55.95,55.26,55.73,2044200,55.73
"2007-01-30",55.88,56.35,55.64,56.18,1602600,56.18
"2007-01-31",56,56.21,55.45,56.11,1888900,56.11
"2007-02-01",56.04,56.59,55.78,56.4,1836000,56.4
"2007-02-02",56.59,57.15,56.21,57.08,1963600,57.08
"2007-02-05",57.1,57.16,56.48,57.06,1867300,57.06
"2007-02-06",57.06,57.97,57.06,57.84,2564700,57.84
"2007-02-07",55.95,56.3,55.07,55.4,4301900,55.4
"2007-02-08",55.24,55.71,55.07,55.34,2632300,55.34
"2007-02-09",55.55,55.55,54.01,54.03,2384800,54.03
"2007-02-12",54.25,54.87,53.95,54.09,2126600,54.09
"2007-02-13",53.33,53.5,52.86,53.3,4843900,53.3
"2007-02-14",53.43,53.9,53.18,53.58,2414300,53.58
"2007-02-15",53.46,54.23,53.46,54.2,2874200,54.2
"2007-02-16",53.85,54.68,53.74,54.61,3003900,54.61
"2007-02-20",54.43,54.88,53.94,54.29,2310600,54.29
"2007-02-21",54.25,54.7,53.57,54.44,3377900,54.44
"2007-02-22",54.76,55.26,54.65,55,2578100,55
"2007-02-23",54.93,54.97,54.05,54.42,1471900,54.42
"2007-02-26",54.42,55.21,54.35,55.12,2149300,55.12
"2007-02-27",54.6,54.7,51.3,52.55,4228400,52.55
"2007-02-28",52.19,52.63,51.16,51.76,3684900,51.76
"2007-03-01",53.66,53.66,50.78,51.87,2528500,51.87
"2007-03-02",51.77,51.8,50.85,50.85,1766800,50.85
"2007-03-05",50.77,51.74,50.25,50.78,2674700,50.78
"2007-03-06",51.38,52.06,51.1,51.94,2456000,51.94
"2007-03-07",51.62,51.83,51.13,51.22,1714100,51.22
"2007-03-08",51.7,52.23,51.39,51.73,2436500,51.73
"2007-03-09",51.93,52.06,51.44,51.81,1908200,51.81
"2007-03-12",51.85,52.24,51.5,52.1,1309500,52.1
"2007-03-13",51.58,51.94,50.76,50.83,1767900,50.83
"2007-03-14",51.09,51.14,50.04,50.87,2726800,50.87
"2007-03-15",50.77,51.01,50.24,50.62,1416900,50.62
"2007-03-16",50.73,51.09,50.31,50.55,2662900,50.55
"2007-03-19",50.6,51.51,50.24,51.25,1468500,51.25
"2007-03-20",51.35,52.02,51.25,51.94,1324700,51.94
"2007-03-21",51.91,52.61,51.61,52.38,1909800,52.38
"2007-03-22",52.3,52.51,51.82,51.96,2147100,51.96
"2007-03-23",53.74,53.74,51.95,52.1,2125900,52.1
"2007-03-26",51.96,52.35,51.72,52.27,2497600,52.27
"2007-03-27",52.1,52.21,51.55,51.69,1637000,51.69
"2007-03-28",51.46,51.75,51.15,51.32,2119600,51.32
"2007-03-29",51.63,51.64,51.23,51.57,1725400,51.57
"2007-03-30",51.64,51.9,50.8,51.44,1956500,51.44
"2007-04-02",50,51.76,49.61,51.47,2151300,51.47
"2007-04-03",51.54,52.71,51.54,52.45,1771600,52.45
"2007-04-04",52.46,53.03,52.1,52.97,1911700,52.97
"2007-04-05",53.01,54.69,52.95,54.3,4294200,54.3
"2007-04-09",54.21,54.66,53.73,54.46,1925900,54.46
"2007-04-10",54.67,54.94,54.4,54.68,1126200,54.68
"2007-04-11",54.58,54.81,54.01,54.51,1951200,54.51
"2007-04-12",54.42,54.88,54.21,54.71,975600,54.71
"2007-04-13",54.71,55.35,54.57,54.97,2047300,54.97
"2007-04-16",55.1,55.53,54.6,55.25,1803000,55.25
"2007-04-17",55.3,55.34,54.84,55.04,1251900,55.04
"2007-04-18",54.73,55.09,54.25,54.89,2161500,54.89
"2007-04-19",55.88,55.88,54.37,54.89,2134200,54.89
"2007-04-20",55.35,55.54,54.9,55.07,2379200,55.07
"2007-04-23",54.92,55.17,54.55,54.8,2617700,54.8
"2007-04-24",55,55.14,54.21,54.56,2781100,54.56
"2007-04-25",54,54.79,53.85,54.68,1785100,54.68
"2007-04-26",54.5,54.78,54.12,54.46,1814800,54.46
"2007-04-27",54.25,54.49,53.95,54.17,819800,54.17
"2007-04-30",54.13,54.2,53.11,53.21,2092200,53.21
"2007-05-01",53.05,53.57,52.76,53.22,1623000,53.22
"2007-05-02",53.15,53.5,52.81,52.88,1786700,52.88
"2007-05-03",53.24,53.24,52.69,53.05,1744900,53.05
"2007-05-04",53.12,53.26,52.07,52.2,3002900,52.2
"2007-05-07",51.55,52.41,51.5,52.28,2521500,52.28
"2007-05-08",52.16,52.58,52.02,52.52,1500100,52.52
"2007-05-09",52.33,52.98,52.27,52.71,1518400,52.71
"2007-05-10",52.65,52.7,51.51,51.61,1966100,51.61
"2007-05-11",51.68,52.64,51.59,52.48,1961700,52.48
"2007-05-14",52.62,53.22,52.54,52.69,1362700,52.69
"2007-05-15",52.88,52.88,52.35,52.41,1748700,52.41
"2007-05-16",52.6,52.75,52.09,52.49,1280700,52.49
"2007-05-17",52.59,52.99,52.17,52.74,1267400,52.74
"2007-05-18",52.75,52.8,52.33,52.67,1242300,52.67
"2007-05-21",52.74,53.07,51.28,51.79,3671000,51.79
"2007-05-22",51.69,52.06,51.36,51.88,3642300,51.88
"2007-05-23",56.64,56.65,53,53,12297900,53
"2007-05-24",53.15,53.53,52.41,52.44,4065300,52.44
"2007-05-25",52.76,52.91,51.87,51.96,3417300,51.96
"2007-05-29",52.08,52.24,51.31,51.95,2693900,51.95
"2007-05-30",51.64,51.74,50.78,51.06,3213300,51.06
"2007-05-31",52.09,52.41,50.55,50.71,4237800,50.71
"2007-06-01",50.3,50.53,49.7,50.22,4426700,50.22
"2007-06-04",50,50.71,49.9,50.35,3403100,50.35
"2007-06-05",50.08,50.5,49.85,49.89,1696000,49.89
"2007-06-06",49.69,49.82,48.42,48.86,5281500,48.86
"2007-06-07",48.86,49.02,47.02,47.09,4872300,47.09
"2007-06-08",48.1,48.1,46.8,47.83,3093000,47.83
"2007-06-11",47.54,47.69,47,47.19,2104400,47.19
"2007-06-12",46.5,47.68,46.43,47.03,2890400,47.03
"2007-06-13",47.38,47.96,47,47.88,5425100,47.88
"2007-06-14",47.81,48.68,47.66,48.23,3672200,48.23
"2007-06-15",48.37,49,47.81,48.04,2985100,48.04
"2007-06-18",48.28,48.38,47.75,47.9,1606300,47.9
"2007-06-19",48.06,48.06,46.96,47,2197800,47
"2007-06-20",47.01,47.18,45.85,45.91,2821000,45.91
"2007-06-21",45.68,46.5,45.5,45.73,2830000,45.73
