"","FTI.Open","FTI.High","FTI.Low","FTI.Close","FTI.Volume","FTI.Adjusted"
"2007-01-03",61.2,61.23,58.39,59.05,2440400,14.01
"2007-01-04",58.67,58.81,56.66,56.7,3665200,13.46
"2007-01-05",56.63,56.95,55.67,56.29,3623600,13.36
"2007-01-08",57.69,59.45,56.77,57.39,3823600,13.62
"2007-01-09",56.79,56.88,55.31,56.32,3023200,13.37
"2007-01-10",55.5,56.77,55.3,56.36,3097600,13.38
"2007-01-11",56.32,57.46,55.13,55.51,2504800,13.17
"2007-01-12",55.99,57.78,55.6,57.75,2502000,13.71
"2007-01-16",57.5,57.68,56.39,56.54,2628400,13.42
"2007-01-17",56.64,57.83,56.64,57.26,1621200,13.59
"2007-01-18",57.48,57.96,56.64,56.89,2554000,13.5
"2007-01-19",57.35,59.1,57.25,58.86,2064000,13.97
"2007-01-22",59.35,59.45,58.11,58.8,2090400,13.95
"2007-01-23",59.14,60.56,59.08,60.39,2168400,14.33
"2007-01-24",60.25,60.79,59.45,60.74,1748000,14.42
"2007-01-25",60.51,60.57,59.37,59.51,2214000,14.12
"2007-01-26",59.85,60.07,59.28,59.8,1324000,14.19
"2007-01-29",59.74,60.42,58.8,59.25,1248000,14.06
"2007-01-30",59.7,61.25,59.7,61.16,1566400,14.51
"2007-01-31",60.91,62.19,60.43,61.93,2414400,14.7
"2007-02-01",61.92,62.74,61.65,62.53,2316000,14.84
"2007-02-02",63.5,63.5,62.06,62.68,1674000,14.88
"2007-02-05",62.87,63.2,61.7,61.84,2108800,14.68
"2007-02-06",62.22,62.6,61.49,62.03,2342000,14.72
"2007-02-07",62.07,62.25,60.79,61.13,2266400,14.51
"2007-02-08",61.24,63.32,61.21,63,2056800,14.95
"2007-02-09",62.87,63.21,62.15,62.9,2095200,14.93
"2007-02-12",62.87,64.52,62.41,63.06,3566000,14.97
"2007-02-13",63.66,64.64,62.93,64.64,2409200,15.34
"2007-02-14",64.25,65,63.1,64.35,5880400,15.27
"2007-02-15",64.35,66.08,62.5,65.77,6120400,15.61
"2007-02-16",65.59,66.65,65.31,66.12,3797200,15.69
"2007-02-20",65.63,66.06,64.84,65.5,2868400,15.54
"2007-02-21",64.83,66.24,64.77,66.12,2373200,15.69
"2007-02-22",67.18,68.43,66.33,68.05,3518400,16.15
"2007-02-23",68.3,68.37,67.36,67.55,2298000,16.03
"2007-02-26",68.1,68.76,67.95,68.11,2906400,16.16
"2007-02-27",66.5,67.63,64.64,65.76,3192000,15.61
"2007-02-28",65.8,66.36,64.42,65.78,2973200,15.61
"2007-03-01",64.6,67.09,64,66.56,4231200,15.8
"2007-03-02",66.56,66.94,65.28,65.4,4788800,15.52
"2007-03-05",64.55,66.5,64.06,64.59,3358400,15.33
"2007-03-06",65.09,66.75,65.09,66.36,3162400,15.75
"2007-03-07",66.03,68.08,65.33,67.52,3100000,16.02
"2007-03-08",67.9,68.17,66.99,67.41,3128000,16
"2007-03-09",67.2,67.69,65.91,66.96,4312000,15.89
"2007-03-12",66.61,67.16,66.24,67,2262400,15.9
"2007-03-13",66.69,67.59,66.34,66.73,2709600,15.84
"2007-03-14",67.01,67.9,66.13,67.5,2806400,16.02
"2007-03-15",67.31,67.84,66.68,66.97,2134800,15.89
"2007-03-16",66.68,67.46,66.22,66.57,1958000,15.8
"2007-03-19",67.31,68.24,66.98,68,2266000,16.14
"2007-03-20",67.99,68.21,66.84,67.86,2585200,16.1
"2007-03-21",68.51,69.96,68.51,69.49,2136800,16.49
"2007-03-22",69.96,70.29,68.96,69.26,2392800,16.44
"2007-03-23",69.39,69.71,68.21,68.91,4498000,16.35
"2007-03-26",69.31,69.98,68.83,69.98,3642400,16.61
"2007-03-27",69.73,70.25,69.48,69.96,2143200,16.6
"2007-03-28",70,70.27,69.08,69.5,1724400,16.49
"2007-03-29",70,70.85,69.47,70.68,2580400,16.77
"2007-03-30",70.42,70.79,68.92,69.76,4188400,16.56
"2007-04-02",70.2,70.87,69.71,70.83,1702000,16.81
"2007-04-03",70.51,70.69,69.67,70.19,2058000,16.66
"2007-04-04",70.08,71.04,69.64,70.92,1688000,16.83
"2007-04-05",70.8,71.4,70.64,70.98,946000,16.85
"2007-04-09",71,71.88,70.63,71,1440800,16.85
"2007-04-10",71.14,72.37,70.87,72.33,1750000,17.17
"2007-04-11",71.7,71.85,70.67,70.88,2510000,16.82
"2007-04-12",71.25,72.21,70.85,72.17,1820400,17.13
"2007-04-13",72.17,72.32,71.58,72.06,1692000,17.1
"2007-04-16",71.26,72.45,71.25,72.32,2342400,17.16
"2007-04-17",72.69,72.99,71.84,72.29,1810800,17.16
"2007-04-18",70.49,70.49,68.93,69.73,3842800,16.55
"2007-04-19",69.39,69.75,69.02,69.25,1721600,16.43
"2007-04-20",69.91,70.39,68.46,69.27,3064400,16.44
"2007-04-23",69.35,70.13,69.27,69.91,2128400,16.59
"2007-04-24",70.1,70.15,69.13,69.93,1327600,16.6
"2007-04-25",70.5,72.51,70.38,72.16,2304000,17.13
"2007-04-26",72.12,72.57,71.4,72.3,3241600,17.16
"2007-04-27",72.2,72.9,71.97,72.61,3696800,17.23
"2007-04-30",72.71,73.32,70.84,70.88,1877200,16.82
"2007-05-01",71.14,71.32,69.94,70.71,1609200,16.78
"2007-05-02",70.71,71.65,70.5,71.17,2386000,16.89
"2007-05-03",71.08,72.95,71.02,72.8,2226800,17.28
"2007-05-04",72.79,73.71,72.43,72.96,2124400,17.32
"2007-05-07",72.85,73.1,72.16,72.62,2614800,17.23
"2007-05-08",72.55,72.55,70.81,71.07,2796000,16.87
"2007-05-09",70.96,73.21,70.75,73.18,5501200,17.37
"2007-05-10",73.35,73.82,70.25,70.74,2861200,16.79
"2007-05-11",71.04,73.55,70.98,73.44,2942400,17.43
"2007-05-14",73.36,74.45,73.06,73.87,3036000,17.53
"2007-05-15",74.12,75.56,73.56,74.75,3788400,17.74
"2007-05-16",74.55,75.05,72.52,73.68,3163600,17.49
"2007-05-17",73.13,74.94,72.44,74.71,2672000,17.73
"2007-05-18",74.53,75.27,74.4,75.14,2560400,17.83
"2007-05-21",75.14,76.96,75.09,76.33,2847200,18.12
"2007-05-22",76.01,76.27,74.9,75.1,2516400,17.82
"2007-05-23",75.48,76.93,75.18,75.54,1500400,17.93
"2007-05-24",75.67,76.47,73.15,73.41,1808400,17.42
"2007-05-25",74.16,75.01,73.98,74.81,1003600,17.75
"2007-05-29",74.67,75.44,74.27,74.65,1058000,17.72
"2007-05-30",74.08,75.76,73.75,75.76,1416000,17.98
"2007-05-31",75.88,76.66,75.03,75.6,1896800,17.94
"2007-06-01",75.79,76.04,75.24,75.63,1600000,17.95
"2007-06-04",75.59,78.03,75.45,78,1884800,18.51
"2007-06-05",77.75,78.06,76.63,77.14,1587600,18.31
"2007-06-06",76.7,76.76,75.02,75.29,2049200,17.87
"2007-06-07",75,75.67,73.2,73.5,2202000,17.44
"2007-06-08",73.5,73.91,72.64,73.89,1767600,17.54
"2007-06-11",74.89,75.61,73.6,74.68,1240800,17.72
"2007-06-12",74.51,74.98,73.85,73.97,1432800,17.56
"2007-06-13",74.36,75.68,74.27,75.57,1466800,17.93
"2007-06-14",75.87,77.08,75.84,76.5,1405600,18.16
"2007-06-15",76.97,77.5,76.77,76.8,2168800,18.23
"2007-06-18",76.8,77.15,75.96,76.97,1795600,18.27
"2007-06-19",76.32,77.73,76.32,77.24,2275200,18.33
"2007-06-20",77.1,77.59,75.31,75.55,1965600,17.93
"2007-06-21",75.95,78.65,75.71,78.65,3019600,18.67
"2007-06-22",78.88,80,78.33,79.24,4218000,18.81
"2007-06-25",78.24,78.99,77.18,77.55,2252400,18.4
"2007-06-26",78.18,78.43,76.4,76.77,2226000,18.22
"2007-06-27",75.8,78.14,75.03,78,2182800,18.51
"2007-06-28",78.9,79.52,77.99,78.56,2179600,18.64
"2007-06-29",79.5,80.22,78.71,79.22,2260000,18.8
"2007-07-02",79.85,81.7,79.52,81.65,2623200,19.38
"2007-07-03",81.75,83.03,81.2,81.7,1562800,19.39
"2007-07-05",81.7,82.25,81.06,82.16,1686400,19.5
"2007-07-06",82.46,83.08,81.88,83.01,1424000,19.7
"2007-07-09",83.05,83.86,82.58,83.66,2362400,19.85
"2007-07-10",83.17,84.09,82.61,83.56,1682800,19.83
"2007-07-11",82.92,85.1,82.89,85.1,2540800,20.2
"2007-07-12",85.8,87.81,85.8,87.4,3970000,20.74
"2007-07-13",87.15,89.42,86.78,88.73,2769200,21.06
"2007-07-16",89,89.68,88.38,88.97,3624000,21.11
"2007-07-17",89.3,90.94,89,89.47,3966800,21.23
"2007-07-18",90.27,92.15,89.18,91.09,5674400,21.62
"2007-07-19",92.15,93.6,91.6,93.17,3538800,22.11
"2007-07-20",93.17,94.04,92.87,93.51,2496000,22.19
"2007-07-23",94.35,94.72,92.11,93.47,4168800,22.18
"2007-07-24",92.95,92.97,91.2,91.62,2278400,21.74
"2007-07-25",92.9,94.7,90.22,94.64,4883200,22.46
"2007-07-26",93.99,96.65,91.65,92.97,6135200,22.06
"2007-07-27",92.97,94.1,90.26,90.26,4324800,21.42
"2007-07-30",91,93,89.72,92.9,3247600,22.05
"2007-07-31",93,95.88,91.41,91.52,5856800,21.72
"2007-08-01",89.5,90.17,87,88.89,7353200,21.1
"2007-08-02",88.81,90.53,88.42,90.41,4883200,21.46
"2007-08-03",90.25,92,88.15,88.22,5160400,20.94
"2007-08-06",89.08,90.06,86.36,89.82,4188000,21.32
"2007-08-07",88.81,92.43,88.51,92.18,5416000,21.88
"2007-08-08",92.92,96.41,91.19,94.07,5819200,22.33
"2007-08-09",91.15,94.85,88.77,90.92,5139200,21.58
"2007-08-10",89.32,93.75,88.63,92.93,3708000,22.05
"2007-08-13",94,94.28,91.32,91.62,2952800,21.74
"2007-08-14",91.9,93.33,89.65,89.69,2785600,21.29
"2007-08-15",89.75,90.49,86.05,86.24,4372000,20.47
"2007-08-16",84.68,85.92,80.46,83.86,4077200,19.9
"2007-08-17",88.99,89.88,83.81,86.84,3185600,20.61
"2007-08-20",86.85,88.15,84.06,87.25,2280000,20.71
"2007-08-21",86.8,87.59,85.31,86.07,1759600,20.43
"2007-08-22",88,88.3,85.81,86.43,2776000,20.51
"2007-08-23",86.79,88.55,86.02,88,2745600,20.88
"2007-08-24",87.4,91.37,87.37,91.29,3714800,21.67
"2007-08-27",90.93,91.3,89.69,90.19,2109200,21.4
"2007-08-28",89.5,90,88.11,88.23,1812000,20.94
"2007-08-29",88.36,92.09,88.23,91.6,2809200,21.74
"2007-08-30",91.02,92.98,91,92.45,1743200,21.94
"2007-08-31",93.92,95.53,93.22,94.7,3514000,22.47
"2007-09-04",47.82,50.81,45.72,49.47,3471400,23.48
"2007-09-05",48.71,50.04,48.36,49.77,3387600,23.62
"2007-09-06",50,50.57,49.57,50.35,1871800,23.9
"2007-09-07",49.65,50.34,49.23,49.99,1562600,23.73
"2007-09-10",49.95,50.62,48.69,50.02,1919600,23.74
"2007-09-11",50.04,51.79,50.04,51.53,2413000,24.46
"2007-09-12",51.53,53.14,51.53,52.32,2848600,24.83
"2007-09-13",53.15,54.12,53,53.65,3090800,25.47
"2007-09-14",53.59,55.4,52.99,55.28,3276000,26.24
"2007-09-17",55.33,58.62,55.33,55.74,2979400,26.46
"2007-09-18",55.22,55.83,53.7,54.53,4627200,25.88
"2007-09-19",55.39,56.33,54.64,55.45,4706800,26.32
"2007-09-20",55.45,55.84,54.9,55.6,3937600,26.39
"2007-09-21",56.27,57.3,56.01,56.74,2674800,26.93
"2007-09-24",57.17,57.35,55.6,55.89,2804600,26.53
"2007-09-25",55.41,56.16,55.26,55.73,2010600,26.45
"2007-09-26",56.2,57.44,55.75,57.33,2949200,27.21
"2007-09-27",57.77,58.6,57.25,58.48,2581200,27.76
"2007-09-28",58.35,59.46,57.41,57.66,2480800,27.37
"2007-10-01",57.99,58.57,56.81,57.29,2927200,27.19
"2007-10-02",57.45,57.75,56.39,57.1,2577200,27.1
"2007-10-03",57.01,57.58,56.4,56.58,1240800,26.86
"2007-10-04",56.99,57.51,55.4,56.6,2258800,26.87
"2007-10-05",57.32,57.4,56.32,57.21,1934600,27.15
"2007-10-08",57,59.4,56.82,57.33,2012600,27.21
"2007-10-09",57.92,59.35,57.61,59.33,3062000,28.16
"2007-10-10",59.33,62.58,59.33,62.46,4215800,29.65
"2007-10-11",63,64.31,61.9,62.81,4174400,29.81
"2007-10-12",63.72,63.72,62.54,63.46,2346000,30.12
"2007-10-15",63.59,64.86,62.51,63.15,3868000,29.97
"2007-10-16",63.16,63.65,62.38,63.17,3029200,29.98
"2007-10-17",62.79,63.61,62.02,63,1996200,29.9
"2007-10-18",62.78,63.5,62.6,63.13,1352800,29.96
"2007-10-19",61.75,62.52,57.91,58.41,5341200,27.72
"2007-10-22",58.6,58.87,56.54,57.88,3580200,27.47
"2007-10-23",59.33,59.43,57.45,59.15,3276600,28.08
"2007-10-24",59.17,59.7,58.1,59.6,2361200,28.29
"2007-10-25",60.37,62.95,59.54,62.75,3925800,29.78
"2007-10-26",63.5,65.38,63.29,64.96,3730800,30.83
"2007-10-29",66.47,67.78,65.03,66.86,5286200,31.74
"2007-10-30",65.25,65.25,59.77,60.1,8703200,28.53
"2007-10-31",62.25,62.4,58.74,60.63,5235400,28.78
"2007-11-01",60.3,61.63,59.14,59.3,4653600,28.15
"2007-11-02",60.9,61.15,59.67,60.65,4215800,28.79
"2007-11-05",60.7,60.7,59.15,60.21,3590400,28.58
"2007-11-06",60.26,62.24,60.26,62.19,4215000,29.52
"2007-11-07",61.9,62.32,60,60.55,3021400,28.74
"2007-11-08",61,61.65,59.1,60.53,4180000,28.73
"2007-11-09",60.5,60.5,58.78,58.84,2809400,27.93
"2007-11-12",58.68,58.68,54.49,54.7,4684200,25.96
"2007-11-13",54.96,55.32,52.63,54.74,4816200,25.98
"2007-11-14",55.53,56.99,54.77,55.99,3231400,26.58
"2007-11-15",55.32,56.09,53.5,54.12,2459600,25.69
"2007-11-16",54.41,55.44,53.97,54.54,2946800,25.89
"2007-11-19",55.18,55.9,54.37,55.15,3080000,26.18
"2007-11-20",55.03,56.31,54.99,55.74,2477800,26.46
"2007-11-21",55.55,55.9,54.37,54.52,1983400,25.88
"2007-11-23",54.96,56.21,54.35,55.76,606400,26.47
"2007-11-26",55.37,57.35,55.35,56.01,2860400,26.59
"2007-11-27",55.7,55.74,54.41,55.59,2868400,26.39
"2007-11-28",55.65,57.17,54.52,54.84,3104400,26.03
"2007-11-29",54.72,56.96,54.5,56.41,3114800,26.78
"2007-11-30",57.1,57.7,55.22,55.58,2915400,26.38
"2007-12-03",55.65,56.88,55.01,56.75,2127600,26.94
"2007-12-04",56.37,57.09,55.65,57.09,2863400,27.1
"2007-12-05",57.7,58.28,56.92,57.5,2124200,27.29
"2007-12-06",57.54,59.11,57.18,58.81,1563600,27.91
"2007-12-07",58.87,59.26,57.84,58.21,1558000,27.63
"2007-12-10",58.25,58.87,57.81,58.4,1580200,27.72
"2007-12-11",58.5,59.12,56.33,56.72,2516600,26.92
"2007-12-12",58.14,58.15,56.95,57.91,3066000,27.49
"2007-12-13",57.53,57.91,56.55,57.65,1696200,27.36
"2007-12-14",57.53,58.49,57.09,57.74,2583000,27.41
"2007-12-17",57.55,57.7,55.59,55.65,3146000,26.41
"2007-12-18",56.05,56.4,54.27,54.57,3679200,25.9
"2007-12-19",54.57,55.07,53.75,54.52,2601200,25.88
"2007-12-20",54.68,55.99,54.61,55.85,2142600,26.51
"2007-12-21",56.54,56.92,55.98,56.13,3473400,26.64
"2007-12-24",55.85,57.39,55.85,57.39,583400,27.24
"2007-12-26",57.49,58.7,57.4,58.6,1336800,27.81
"2007-12-27",58.5,58.99,57.44,58.03,2012000,27.54
"2007-12-28",58.33,58.9,57.92,58.85,1210800,27.93
"2007-12-31",58.25,58.85,56.5,56.7,1674200,26.91
"2008-01-02",56.36,57.5,56.31,57.23,2807200,27.16
"2008-01-03",59.87,65.96,59.87,64.88,8328400,30.8
"2008-01-04",63.61,64.78,62.15,63.28,3706200,30.04
"2008-01-07",63.68,63.9,60.54,62.28,3585400,29.56
"2008-01-08",62.64,64.55,61.79,61.96,2971200,29.41
"2008-01-09",61.65,62.09,60.03,61.26,3572000,29.08
"2008-01-10",62.28,62.28,59.26,61.66,3585400,29.27
"2008-01-11",62,62,59.56,59.93,3019800,28.45
"2008-01-14",60.31,62.43,60.31,62.21,3054000,29.53
"2008-01-15",61.41,61.46,57.71,57.88,4898000,27.47
"2008-01-16",57.53,57.83,54.35,54.71,4085800,25.97
"2008-01-17",54.88,57.29,53.55,53.55,5860800,25.42
"2008-01-18",53.65,53.87,52.01,53.38,6003600,25.34
"2008-01-22",49.76,53.41,48,52.33,7932000,24.84
"2008-01-23",50.95,52.04,45.9,51.74,8712600,24.56
"2008-01-24",51.74,53.88,51.74,53.37,4662400,25.33
"2008-01-25",53.86,55.78,51.98,52.66,3350200,25
"2008-01-28",53.03,53.31,51.04,53.11,2883600,25.21
"2008-01-29",53.5,53.56,51.15,52.42,3069200,24.88
"2008-01-30",52.94,52.94,50.63,50.71,3413600,24.07
"2008-01-31",49.5,49.5,47.32,48.16,8893400,22.86
"2008-02-01",48.45,49.63,47.34,48.84,5131200,23.18
"2008-02-04",48.34,48.86,47.68,48.12,3543800,22.84
"2008-02-05",47.55,47.95,46.51,46.52,3041800,22.08
"2008-02-06",47,47.86,46.35,46.54,4162000,22.09
"2008-02-07",46.18,46.94,45.5,46.11,3690400,21.89
"2008-02-08",46.1,48.2,45.88,48.2,4332600,22.88
"2008-02-11",48.47,50.22,47.53,49.96,3989600,23.71
"2008-02-12",50.29,51.25,49.45,50.24,2899600,23.85
"2008-02-13",50.31,52.29,50.06,52.13,3320600,24.74
"2008-02-14",52.62,52.98,51.53,51.54,2451800,24.46
"2008-02-15",52.45,53.47,49.83,50.95,7276800,24.18
"2008-02-19",51,53.28,51,52.49,7215000,24.91
"2008-02-20",52.35,54.76,51.99,54.18,5072600,25.72
"2008-02-21",54.6,55.63,53.81,54.02,5538600,25.64
"2008-02-22",53.52,54.68,52.47,54.53,4506600,25.88
"2008-02-25",53.02,55.2,52.65,54.85,4158600,26.03
"2008-02-26",55.14,57.96,54.64,57.58,4924600,27.33
"2008-02-27",57.12,59.25,56.61,58.47,6501200,27.75
"2008-02-28",58.28,60.52,57.13,59.88,4708600,28.42
"2008-02-29",59.14,59.21,55.92,56.66,4674400,26.89
"2008-03-03",56.25,57.8,55.56,56.92,3203800,27.02
"2008-03-04",57,57.31,55.1,56.23,4227800,26.69
"2008-03-05",56.93,58.68,55.92,58.57,3787200,27.8
"2008-03-06",58.23,59,57.09,57.28,4120400,27.19
"2008-03-07",56.66,57.38,54.97,55.77,3466600,26.47
"2008-03-10",55.77,55.97,53.62,53.79,3228800,25.53
"2008-03-11",55.04,56.3,54.03,56.17,3354400,26.66
"2008-03-12",55.71,56.96,54.95,56.02,3209400,26.59
