"","FTR.Open","FTR.High","FTR.Low","FTR.Close","FTR.Volume","FTR.Adjusted"
"2007-01-03",14.37,14.49,14.24,14.36,2403200,6.96
"2007-01-04",14.37,14.38,14.08,14.15,2198400,6.86
"2007-01-05",14.22,14.23,14.02,14.11,1730500,6.84
"2007-01-08",14.16,14.18,14.02,14.15,1934700,6.86
"2007-01-09",14.15,14.2,14.01,14.07,5277100,6.82
"2007-01-10",14.07,14.08,13.92,14.04,1942600,6.81
"2007-01-11",14.04,14.2,14.04,14.15,2507600,6.86
"2007-01-12",14.15,14.24,14.09,14.2,1777800,6.88
"2007-01-16",14.18,14.36,14.13,14.34,1485600,6.95
"2007-01-17",14.34,14.41,14.19,14.22,2203600,6.89
"2007-01-18",14.22,14.4,14.22,14.39,1300000,6.97
"2007-01-19",14.45,14.51,14.24,14.28,1299500,6.92
"2007-01-22",14.32,14.33,14.18,14.28,1337900,6.92
"2007-01-23",14.31,14.5,14.25,14.49,1825000,7.02
"2007-01-24",14.44,14.5,14.33,14.48,2147700,7.02
"2007-01-25",14.48,14.5,14.29,14.31,1534800,6.94
"2007-01-26",14.32,14.44,14.22,14.42,1654500,6.99
"2007-01-29",14.45,14.5,14.37,14.43,1087700,6.99
"2007-01-30",14.44,14.62,14.38,14.61,1580200,7.08
"2007-01-31",14.61,14.69,14.5,14.66,1819800,7.11
"2007-02-01",14.59,14.71,14.55,14.61,1696500,7.08
"2007-02-02",14.71,14.78,14.61,14.74,1551100,7.14
"2007-02-05",14.74,14.79,14.64,14.77,1130600,7.16
"2007-02-06",14.77,14.8,14.65,14.7,1683400,7.13
"2007-02-07",14.71,14.75,14.66,14.7,1287800,7.13
"2007-02-08",14.7,14.79,14.65,14.78,1397500,7.16
"2007-02-09",14.78,14.78,14.6,14.68,2122100,7.12
"2007-02-12",14.72,14.72,14.52,14.57,1752800,7.06
"2007-02-13",14.62,14.7,14.57,14.7,1835700,7.13
"2007-02-14",14.75,14.9,14.59,14.89,1499000,7.22
"2007-02-15",14.86,15.16,14.85,15.08,2851200,7.31
"2007-02-16",15.03,15.08,14.83,14.94,1446600,7.24
"2007-02-20",15,15.05,14.94,15.01,1334200,7.28
"2007-02-21",15.01,15.05,14.93,14.97,2360600,7.26
"2007-02-22",15.03,15.21,14.95,15.03,1213300,7.29
"2007-02-23",15.04,15.04,14.82,14.86,1836800,7.2
"2007-02-26",14.9,15.08,14.9,14.97,1553000,7.26
"2007-02-27",14.95,15.09,14.01,14.53,3673900,7.04
"2007-02-28",14.79,15.11,14.54,15.06,3768700,7.3
"2007-03-01",14.54,15,14.54,14.84,2466100,7.19
"2007-03-02",14.88,15.02,14.7,14.8,2750400,7.17
"2007-03-05",14.8,14.91,14.57,14.6,2143900,7.08
"2007-03-06",14.68,14.84,14.64,14.81,2947900,7.18
"2007-03-07",14.6,14.67,14.42,14.44,1821200,7.12
"2007-03-08",14.57,14.62,14.48,14.55,1766900,7.17
"2007-03-09",14.68,14.71,14.46,14.46,5399300,7.13
"2007-03-12",14.47,14.74,14.38,14.65,3564800,7.22
"2007-03-13",14.59,14.77,14.49,14.49,3940500,7.14
"2007-03-14",14.49,14.5,14.35,14.45,4601000,7.12
"2007-03-15",14.45,14.47,14.25,14.32,4379300,7.06
"2007-03-16",14.32,14.46,14.22,14.31,4327900,7.06
"2007-03-19",14.36,14.41,14.32,14.41,2174100,7.1
"2007-03-20",14.48,14.53,14.38,14.5,2297000,7.15
"2007-03-21",14.52,14.85,14.52,14.76,2416400,7.28
"2007-03-22",14.77,14.82,14.55,14.61,3091200,7.2
"2007-03-23",14.67,14.72,14.43,14.63,3718200,7.21
"2007-03-26",14.66,14.73,14.6,14.68,2265300,7.24
"2007-03-27",14.6,15.58,14.5,14.77,2930000,7.28
"2007-03-28",14.7,14.78,14.64,14.74,2798900,7.27
"2007-03-29",14.83,14.9,14.62,14.79,3114600,7.29
"2007-03-30",14.84,14.99,14.75,14.95,2994100,7.37
"2007-04-02",15,15.11,14.87,15.05,5353600,7.42
"2007-04-03",15.08,15.21,15.04,15.21,2191400,7.5
"2007-04-04",15.21,15.22,15.05,15.08,1963600,7.43
"2007-04-05",15.11,15.21,15.01,15.15,1365900,7.47
"2007-04-09",15.16,15.23,15.01,15.2,1935500,7.49
"2007-04-10",15.25,15.48,15.07,15.42,2045800,7.6
"2007-04-11",15.43,15.49,15.25,15.46,2521700,7.62
"2007-04-12",15.46,15.48,15.32,15.45,2843500,7.62
"2007-04-13",15.44,15.46,15.29,15.32,1732800,7.55
"2007-04-16",15.34,15.45,15.32,15.42,1713800,7.6
"2007-04-17",15.48,15.54,15.38,15.48,2405500,7.63
"2007-04-18",15.49,15.52,15.39,15.46,1927400,7.62
"2007-04-19",15.77,15.93,15.42,15.62,1728400,7.7
"2007-04-20",16,16,15.7,15.86,2562000,7.82
"2007-04-23",15.87,15.92,15.68,15.79,1614500,7.78
