"","GD.Open","GD.High","GD.Low","GD.Close","GD.Volume","GD.Adjusted"
"2007-01-03",75.05,75.57,73.87,73.95,1785300,62.13
"2007-01-04",74.13,74.61,73.59,74.42,1357700,62.53
"2007-01-05",74.4,74.76,74.03,74.59,1497300,62.67
"2007-01-08",76.1,78.03,75.85,78,2984300,65.53
"2007-01-09",78,78.8,77.75,78.31,2729600,65.79
"2007-01-10",78.15,79.5,77.88,79.29,1589900,66.62
"2007-01-11",79.3,80.71,79.29,80.51,2029900,67.64
"2007-01-12",80.2,80.59,79.5,80.09,1721100,67.29
"2007-01-16",80.09,80.95,79.6,79.66,2737200,66.93
"2007-01-17",79.69,80.1,79.62,80.07,1336700,67.47
"2007-01-18",80.9,80.9,78.75,78.86,1756700,66.45
"2007-01-19",79.15,80.23,78.85,79.53,1601200,67.01
"2007-01-22",79.4,79.56,78.4,78.76,1792600,66.36
"2007-01-23",78.77,81.28,78.77,80.89,2425900,68.16
"2007-01-24",78.76,79.99,77.61,79.85,5444600,67.28
"2007-01-25",79.5,79.95,77.7,77.75,1980200,65.51
"2007-01-26",77.52,78.09,76.81,78.05,1927700,65.77
"2007-01-29",78.05,78.05,76.99,77.17,1150800,65.02
"2007-01-30",77.17,77.5,76.77,77.03,1141100,64.91
"2007-01-31",76.7,78.5,76.64,78.15,1219400,65.85
"2007-02-01",78.01,79.21,77.77,79.09,1622500,66.64
"2007-02-02",79.53,79.74,78.49,78.67,1224900,66.29
"2007-02-05",78.9,79.51,78.37,79.07,1231100,66.62
"2007-02-06",79.45,79.76,78.98,79.57,991100,67.05
"2007-02-07",79.4,79.53,79.05,79.44,626300,66.94
"2007-02-08",79.49,79.49,78.76,79.24,781800,66.77
"2007-02-09",79.15,79.8,79.08,79.56,1086000,67.04
"2007-02-12",78.9,79.21,78.5,78.78,1456500,66.38
"2007-02-13",79,80.48,78.76,79.81,2291700,67.25
"2007-02-14",79.9,80.11,79.51,79.63,1100000,67.1
"2007-02-15",79.7,79.98,79.06,79.49,1192100,66.98
"2007-02-16",79.1,79.48,78.76,79.25,1901500,66.78
"2007-02-20",79.27,80.39,78.7,79.29,5415600,66.81
"2007-02-21",78.8,79.45,78.5,78.72,1695800,66.33
"2007-02-22",78.9,79.2,78.45,79.18,1263000,66.72
"2007-02-23",78.75,79.1,78.01,79.05,1194900,66.61
"2007-02-26",79.13,79.68,77.76,78.09,903000,65.8
"2007-02-27",77.75,77.75,74.25,75.33,2381100,63.47
"2007-02-28",75.21,76.91,74.81,76.38,2551700,64.36
"2007-03-01",75,76.83,74.43,76.41,1866500,64.38
"2007-03-02",75.6,76.44,75.29,75.46,1605500,63.58
"2007-03-05",74.4,75.94,74.38,75.13,1345400,63.3
"2007-03-06",75.65,76.72,75.23,76.49,1807500,64.45
"2007-03-07",76.25,76.58,75.88,76.03,1737400,64.06
"2007-03-08",76.7,77.53,76.06,77.09,1224400,64.96
"2007-03-09",77.7,77.71,76.93,77.32,877800,65.15
"2007-03-12",77,78.92,76.89,78.78,1163000,66.38
"2007-03-13",78.07,78.39,76.66,76.77,1369600,64.69
"2007-03-14",76.95,77.72,75.85,77.58,1309100,65.37
"2007-03-15",77.36,77.56,76.74,77.48,864300,65.29
"2007-03-16",77.97,78.33,77.37,77.55,1723800,65.34
"2007-03-19",77.84,78.51,77.79,78.32,1180700,65.99
"2007-03-20",78.14,78.5,77.76,78.42,967100,66.08
"2007-03-21",78.26,78.6,77.37,78.54,1456200,66.18
"2007-03-22",78.53,78.56,77.12,77.42,2397800,65.23
"2007-03-23",77.57,78.13,77.32,77.63,1528300,65.41
"2007-03-26",77.38,77.76,76.55,77.59,1198300,65.38
"2007-03-27",77.07,77.86,76.77,77.55,1200600,65.34
"2007-03-28",77.41,77.45,76.36,76.83,1075000,64.74
"2007-03-29",77.63,77.76,76.3,76.65,1095500,64.59
"2007-03-30",76.83,77.32,75.78,76.4,1544600,64.38
"2007-04-02",76.47,76.7,76.01,76.27,1750100,64.27
"2007-04-03",76.74,77.62,76.66,77.38,1007200,65.2
"2007-04-04",77.56,78.71,77.26,78.26,1577300,65.94
"2007-04-05",77.92,78.72,77.89,78.11,896400,65.82
"2007-04-09",78.29,79,78.21,78.52,793600,66.16
"2007-04-10",78.39,78.74,78.25,78.39,1065900,66.05
"2007-04-11",78.08,78.27,76.51,76.72,1265400,64.88
"2007-04-12",76.7,77.57,76.36,77.34,1298100,65.41
"2007-04-13",78.09,78.09,76.3,76.72,868800,64.88
"2007-04-16",77.1,77.62,76.85,77.18,1167100,65.27
"2007-04-17",77.22,77.22,76.47,76.84,797600,64.99
"2007-04-18",76.76,77.34,76.42,77.05,751100,65.16
"2007-04-19",77.79,78.17,76.74,77.96,1616000,65.93
"2007-04-20",78.55,80.24,78.55,79.55,2686000,67.28
"2007-04-23",79.41,80.05,79.04,79.11,1046200,66.91
"2007-04-24",79,80.24,79,80.07,1425700,67.72
"2007-04-25",80.5,81,78.6,79.39,1536700,67.14
"2007-04-26",78.52,80.29,78.52,79.1,1783800,66.9
"2007-04-27",79.11,80.55,78.96,80.27,1297800,67.89
"2007-04-30",80,80.28,78.46,78.5,1501700,66.39
"2007-05-01",78.6,78.9,77.91,78.49,952700,66.38
"2007-05-02",78.73,80.16,78.54,79.82,1182200,67.51
"2007-05-03",80.17,80.92,79.89,80.47,1223900,68.06
"2007-05-04",80.46,80.65,79.25,79.69,977300,67.4
"2007-05-07",80,81.55,79.82,81.41,1465600,68.85
"2007-05-08",81.11,81.11,79.53,80.32,1141200,67.93
"2007-05-09",79.7,81.04,79.7,80.63,945500,68.19
"2007-05-10",80.18,80.37,79.39,79.51,1134600,67.24
"2007-05-11",79.91,80.25,79.72,80.15,575900,67.79
"2007-05-14",80.5,80.83,80.01,80.36,658100,67.96
"2007-05-15",80.75,81.69,80.58,80.95,1089800,68.46
"2007-05-16",80.99,81.45,80.62,81.36,849600,68.81
"2007-05-17",81.24,81.54,80.84,81.01,781500,68.51
"2007-05-18",81.26,81.45,80.49,81.26,1306900,68.72
"2007-05-21",81.27,82.41,80.85,81.96,1781900,69.32
"2007-05-22",81.71,81.79,80.5,80.56,1167300,68.13
"2007-05-23",80.57,80.57,79.58,79.81,1464100,67.5
"2007-05-24",80.17,80.67,78.42,78.61,2104000,66.48
"2007-05-25",79,79.95,78.7,78.86,1303600,66.69
"2007-05-29",79.48,80.33,79.12,80.19,2575400,67.82
"2007-05-30",79.37,79.83,78.72,79.45,2976800,67.19
"2007-05-31",79.65,80.69,79.65,80.24,3021200,67.86
"2007-06-01",80.24,80.93,79.59,79.88,1515300,67.56
"2007-06-04",79.88,79.88,79.22,79.5,1603600,67.24
"2007-06-05",79.97,79.97,78.77,78.95,1547700,66.77
"2007-06-06",78.68,79.28,78.41,78.93,1399100,66.75
"2007-06-07",79.75,81.07,79.62,79.62,3417600,67.34
"2007-06-08",79.45,80.62,79.25,80.58,1846200,68.15
"2007-06-11",80.4,80.57,79.53,80.31,1297500,67.92
"2007-06-12",79.86,80.11,79.24,79.24,1824800,67.02
"2007-06-13",79.43,80.3,79.08,80.19,2557600,67.82
"2007-06-14",80.14,80.83,79.8,80.04,1549800,67.69
"2007-06-15",80.99,81.35,80.2,80.25,2894900,67.87
"2007-06-18",80.39,80.68,79.45,79.56,1223400,67.29
"2007-06-19",79.55,80.64,79.55,80.36,1923600,67.96
"2007-06-20",81,81.29,79.48,79.48,1437200,67.22
"2007-06-21",79.26,79.28,78.07,78.9,2045600,66.73
"2007-06-22",78.91,78.91,77.55,78.02,2382500,65.98
"2007-06-25",78.82,79.21,77.97,78.57,1875200,66.45
"2007-06-26",78.51,78.57,77.58,77.99,1213600,65.96
"2007-06-27",77.45,78.55,77.32,78.43,1622400,66.33
"2007-06-28",78.44,79.56,77.97,79,1490100,66.81
"2007-06-29",79.2,79.55,77.59,78.22,2182400,66.15
"2007-07-02",78.64,78.71,77.35,78.19,3471800,66.13
"2007-07-03",78.65,78.97,78.07,78.48,1079500,66.62
"2007-07-05",78.26,79.01,78.26,78.96,1422100,67.03
"2007-07-06",79.35,79.98,78.93,79.75,1436900,67.7
"2007-07-09",79.75,79.83,79.2,79.54,1354300,67.52
"2007-07-10",78.62,79.19,77.84,77.86,1549200,66.09
"2007-07-11",78.47,79.08,78.23,78.91,2616000,66.99
"2007-07-12",78.86,79.83,78.53,79.83,1508500,67.77
"2007-07-13",79.47,80.32,79.45,79.98,1110300,67.89
"2007-07-16",79.36,79.96,78.73,79.75,1381900,67.7
"2007-07-17",79.6,80.92,79.43,80.73,2052200,68.53
"2007-07-18",80.04,80.59,79.08,79.69,2950200,67.65
"2007-07-19",80.5,81.38,80.25,80.75,2497000,68.55
"2007-07-20",78.98,81.36,78.86,80.65,2685700,68.46
"2007-07-23",81.23,81.83,80.9,81.2,1312900,68.93
"2007-07-24",81.98,81.98,80.3,80.3,2229000,68.17
"2007-07-25",82.49,84.09,81.26,83.09,3977200,70.53
"2007-07-26",82.12,82.95,79.66,80.64,3225800,68.45
"2007-07-27",80.91,81.44,79.33,79.33,2183700,67.34
"2007-07-30",79.01,80.17,78.59,79.51,2340500,67.49
"2007-07-31",79.83,80.01,78.01,78.56,4004000,66.69
"2007-08-01",78.01,79.21,77.9,78.46,2841700,66.6
"2007-08-02",78.36,80.52,78.26,80.32,2574600,68.18
"2007-08-03",80.58,81,79.3,79.48,2283800,67.47
"2007-08-06",80.11,80.4,79.51,79.91,2980000,67.83
"2007-08-07",79.24,79.75,77,78.24,3486600,66.42
"2007-08-08",77.9,78.39,77.04,78.33,3787500,66.49
"2007-08-09",77.2,77.52,72.95,74.24,5635100,63.02
"2007-08-10",72.95,79.63,70.61,77.31,5590100,65.63
"2007-08-13",79.39,79.54,77.43,77.83,2657400,66.07
"2007-08-14",77.69,77.69,75.5,75.56,2073300,64.14
"2007-08-15",75.9,76.63,75.18,75.28,2374500,63.9
"2007-08-16",74.54,76.01,73.18,75.73,3155200,64.29
"2007-08-17",77.97,78.85,76,77.48,2801200,65.77
"2007-08-20",77.7,77.7,76.28,77.5,1290400,65.79
"2007-08-21",76.94,78.37,76.54,77.7,1298100,65.96
"2007-08-22",77.96,78.5,77.46,78.17,1633600,66.36
"2007-08-23",78.35,78.35,77.13,77.67,915700,65.93
"2007-08-24",77.8,79.26,77.77,79.2,1065300,67.23
"2007-08-27",79.31,79.98,78.84,79.47,913500,67.46
"2007-08-28",79.15,79.15,76.18,76.35,1905400,64.81
