"","GE.Open","GE.High","GE.Low","GE.Close","GE.Volume","GE.Adjusted"
"2007-01-03",37.41,38.15,37.38,37.97,43222800,29.02
"2007-01-04",37.97,38,37.45,37.75,31288800,28.85
"2007-01-05",37.57,37.76,37.31,37.56,27027200,28.7
"2007-01-08",37.45,37.67,37.25,37.55,23713700,28.7
"2007-01-09",37.78,37.99,37.36,37.55,24597400,28.7
"2007-01-10",37.38,37.61,37.34,37.56,23996600,28.7
"2007-01-11",37.5,37.96,37.42,37.92,30831700,28.98
"2007-01-12",37.84,38,37.67,37.89,25944000,28.96
"2007-01-16",38,38.25,37.93,38.11,31118200,29.12
"2007-01-17",38.18,38.28,37.85,37.98,30462800,29.03
"2007-01-18",38.01,38.17,37.26,38,41619200,29.04
"2007-01-19",37.15,37.5,36.85,36.95,62906000,28.24
"2007-01-22",37.13,37.33,36.59,36.75,41384700,28.09
"2007-01-23",36.68,36.74,36.38,36.55,35136000,27.93
"2007-01-24",36.7,36.75,36.52,36.64,21458500,28
"2007-01-25",36.65,36.7,36.26,36.34,25830200,27.77
"2007-01-26",36.45,36.55,36.01,36.07,25923800,27.57
"2007-01-29",36.07,36.35,36.03,36.19,24947500,27.66
"2007-01-30",36.2,36.34,35.76,36.03,43142100,27.54
"2007-01-31",36,36.22,35.83,36.05,36164300,27.55
"2007-02-01",36.18,36.24,35.76,36.23,37868900,27.69
"2007-02-02",36.26,36.4,36.12,36.27,25107200,27.72
"2007-02-05",36.27,36.48,36.2,36.37,26202100,27.79
"2007-02-06",36.4,36.44,36.23,36.31,22730000,27.75
"2007-02-07",36.32,36.35,36.06,36.1,21371700,27.59
"2007-02-08",36.06,36.06,35.6,35.74,33678200,27.31
"2007-02-09",35.71,35.84,35.48,35.53,29808800,27.15
"2007-02-12",35.55,35.88,35.55,35.64,19010300,27.24
"2007-02-13",35.64,35.9,35.64,35.77,22963000,27.34
"2007-02-14",35.93,36.5,35.79,36.47,31908100,27.87
"2007-02-15",36.36,36.47,36.06,36.14,28618800,27.62
"2007-02-16",36.07,36.1,35.87,35.87,31049400,27.41
"2007-02-20",35.86,36.13,35.75,36.11,23545600,27.6
"2007-02-21",35.99,36.1,35.82,35.91,34670300,27.44
"2007-02-22",35.82,35.88,35.31,35.4,37663800,27.27
"2007-02-23",35.33,35.35,35.09,35.1,38152200,27.04
"2007-02-26",35.26,35.38,35.15,35.34,28910600,27.22
"2007-02-27",35.3,35.69,34.5,34.66,62678500,26.7
"2007-02-28",34.8,35.08,34.65,34.91,50719300,26.89
"2007-03-01",34.61,35.22,34.32,35,51383500,26.96
"2007-03-02",34.93,35.15,34.7,34.87,45176900,26.86
"2007-03-05",34.74,34.97,34.52,34.55,32849400,26.61
"2007-03-06",34.73,34.84,34.52,34.72,33997500,26.74
"2007-03-07",34.74,34.75,34.32,34.33,38987200,26.44
"2007-03-08",34.6,34.64,34.35,34.45,29124500,26.53
"2007-03-09",34.57,34.64,34.22,34.32,34229800,26.43
"2007-03-12",34.28,34.63,34.01,34.44,30206600,26.53
"2007-03-13",34.27,34.38,34.01,34.09,38898100,26.26
"2007-03-14",34.09,34.4,33.9,34.31,40571200,26.43
"2007-03-15",34.2,34.68,34.11,34.52,35824800,26.59
"2007-03-16",34.6,34.84,34.25,34.36,44797300,26.47
"2007-03-19",34.5,34.67,34.43,34.67,26529200,26.7
"2007-03-20",34.63,34.85,34.5,34.77,28264400,26.78
"2007-03-21",34.75,35.7,34.73,35.48,50433800,27.33
"2007-03-22",35.44,35.84,35.4,35.81,33626200,27.58
"2007-03-23",35.79,35.91,35.6,35.82,33463800,27.59
"2007-03-26",35.85,36,35.44,36,29675300,27.73
"2007-03-27",35.8,35.9,35.66,35.79,29677300,27.57
"2007-03-28",35.7,35.73,35.3,35.55,41421500,27.38
"2007-03-29",35.6,35.73,35.34,35.55,27471800,27.38
"2007-03-30",35.56,35.58,35,35.36,34170100,27.24
"2007-04-02",35.36,35.53,35.11,35.29,23496200,27.18
"2007-04-03",35.43,35.6,35.17,35.32,30965900,27.2
"2007-04-04",35.37,35.38,35.07,35.11,34697400,27.04
"2007-04-05",35.13,35.19,34.94,35.02,26625300,26.97
"2007-04-09",35.1,35.15,34.75,34.78,26455900,26.79
"2007-04-10",34.8,34.99,34.75,34.88,29279000,26.87
"2007-04-11",35,35.2,34.86,34.95,30476200,26.92
"2007-04-12",35.16,35.24,34.86,35.18,30793700,27.1
"2007-04-13",35.6,35.6,35.25,35.38,35642900,27.25
"2007-04-16",35.5,35.6,35.2,35.36,33804400,27.24
"2007-04-17",35.37,35.37,35.06,35.2,38380300,27.11
