"","GLW.Open","GLW.High","GLW.Low","GLW.Close","GLW.Volume","GLW.Adjusted"
"2007-01-03",18.94,19.26,18.61,18.85,24615200,16.83
"2007-01-04",18.68,19.6,18.62,19.54,27623900,17.45
"2007-01-05",19.31,19.64,18.91,19.04,21106700,17
"2007-01-08",19.05,19.15,18.55,18.64,25627400,16.64
"2007-01-09",18.93,19.1,18.32,18.46,38826900,16.48
"2007-01-10",18.5,18.99,18.12,18.96,29761900,16.93
"2007-01-11",18.32,19.54,18.32,19.42,28846700,17.34
"2007-01-12",19.48,20.08,19.35,20.03,29755000,17.88
"2007-01-16",19.96,20.2,19.8,20.05,16914000,17.9
"2007-01-17",19.91,19.91,19.26,19.45,26332500,17.37
"2007-01-18",19.3,19.59,19.25,19.35,20501400,17.28
"2007-01-19",19.29,19.53,19.25,19.33,19869800,17.26
"2007-01-22",19.42,19.45,18.81,19,15984900,16.96
"2007-01-23",18.95,19,18.6,18.84,14801900,16.82
"2007-01-24",20.21,21.09,20.2,20.9,65890000,18.66
"2007-01-25",21.3,21.73,20.89,21.16,27326800,18.89
"2007-01-26",21.28,21.3,20.95,21.2,12167100,18.93
"2007-01-29",21.15,21.28,20.79,20.92,11096300,18.68
"2007-01-30",20.76,21.01,20.64,20.68,13292800,18.46
"2007-01-31",20.74,20.97,20.3,20.84,13931900,18.61
"2007-02-01",21,21.14,20.7,20.86,10674700,18.63
"2007-02-02",20.86,21.23,20.85,21.09,14004900,18.83
"2007-02-05",21.19,21.58,21.17,21.36,15186900,19.07
"2007-02-06",21.5,22.41,21.45,22.37,36924000,19.97
"2007-02-07",22.52,22.8,22.26,22.39,24203000,19.99
"2007-02-08",22.28,22.68,22.25,22.49,16552200,20.08
"2007-02-09",22.15,22.5,21.5,21.59,23145900,19.28
"2007-02-12",21.61,21.85,21.43,21.6,12198400,19.29
"2007-02-13",21.81,22,21.72,21.92,12171400,19.57
"2007-02-14",21.88,22.43,21.76,22.24,15481400,19.86
"2007-02-15",22.23,22.41,21.96,22.05,12190100,19.69
"2007-02-16",21.93,22,21.54,21.72,15484000,19.39
"2007-02-20",21.56,22,21.51,21.73,10595800,19.4
"2007-02-21",21.67,21.96,21.45,21.9,10413500,19.55
"2007-02-22",22,22.14,21.74,21.77,13613200,19.44
"2007-02-23",21.61,21.8,21.55,21.61,10716800,19.3
"2007-02-26",21.65,21.88,21.42,21.52,10119800,19.21
"2007-02-27",21,21.11,19.56,20.38,26094200,18.2
"2007-02-28",20.5,20.88,20.13,20.63,18310400,18.42
"2007-03-01",20.05,20.97,19.82,20.76,23548100,18.54
"2007-03-02",20.48,20.73,20.23,20.3,17262100,18.13
"2007-03-05",20,20.67,19.94,20.14,13367400,17.98
