"","GOOG.Open","GOOG.High","GOOG.Low","GOOG.Close","GOOG.Volume","GOOG.Adjusted"
"2007-01-03",466,476.66,461.11,467.59,7706500,467.59
"2007-01-04",469,483.95,468.35,483.26,7887600,483.26
"2007-01-05",482.5,487.5,478.11,487.19,6872100,487.19
"2007-01-08",487.69,489.87,482.2,483.58,4754400,483.58
"2007-01-09",485.45,488.25,481.2,485.5,5381400,485.5
"2007-01-10",484.43,493.55,482.04,489.46,5968500,489.46
"2007-01-11",497.2,501.75,496.18,499.72,7208200,499.72
"2007-01-12",501.99,505,500,505,4473700,505
"2007-01-16",507.55,513,503.3,504.28,7568900,504.28
"2007-01-17",503.39,507.77,494.38,497.28,6699100,497.28
"2007-01-18",494.52,496.48,487.43,487.83,5932000,487.83
"2007-01-19",487.98,490.76,486.74,489.75,4978300,489.75
"2007-01-22",492.5,492.65,478.5,480.84,5404300,480.84
"2007-01-23",480.79,484.75,477.29,479.05,4665500,479.05
"2007-01-24",484.45,499.54,483.29,499.07,6059300,499.07
"2007-01-25",501,504.5,485.66,488.09,6368500,488.09
"2007-01-26",490.93,497.9,487.03,495.84,5496500,495.84
"2007-01-29",498,498.75,490.5,492.47,4775700,492.47
"2007-01-30",494,498,491.22,494.32,4180500,494.32
"2007-01-31",496.49,505,495.51,501.5,12206100,501.5
"2007-02-01",506,506.01,481.53,481.75,15658700,481.75
"2007-02-02",482.61,485,477.81,481.5,6286500,481.5
"2007-02-05",477.5,478,466.19,467.16,7206900,467.16
"2007-02-06",468.1,473.3,467.26,471.48,5321900,471.48
"2007-02-07",473.82,474.35,468.78,470.01,4119800,470.01
"2007-02-08",468.05,473.75,465.15,471.03,4076700,471.03
"2007-02-09",471.65,472.68,461.5,461.89,4858600,461.89
"2007-02-12",460.68,462.39,455.02,458.29,5754500,458.29
"2007-02-13",459.15,462.78,457.26,459.1,4062600,459.1
"2007-02-14",460,469.13,459.22,465.93,5698800,465.93
"2007-02-15",466,466.13,460.72,461.47,4042400,461.47
"2007-02-16",462.8,470.15,462.06,469.94,6177000,469.94
"2007-02-20",468.47,472.75,464.71,472.1,4067600,472.1
"2007-02-21",469.84,478.68,467.74,475.86,5640600,475.86
"2007-02-22",478.69,484.24,474.39,475.85,5743900,475.85
"2007-02-23",475.75,476.95,467.8,470.62,3882600,470.62
"2007-02-26",472.83,475.25,463.75,464.93,3969900,464.93
"2007-02-27",455,459.8,447.17,448.77,9312800,448.77
"2007-02-28",450.41,453.67,443.04,449.45,8032300,449.45
"2007-03-01",442.67,452.42,440,448.23,8685200,448.23
"2007-03-02",445.11,448.7,438.68,438.68,6583600,438.68
"2007-03-05",437.02,445.5,437,440.95,6355100,440.95
"2007-03-06",447.47,459,447.38,457.55,7533700,457.55
