"","GPC.Open","GPC.High","GPC.Low","GPC.Close","GPC.Volume","GPC.Adjusted"
"2007-01-03",47.47,48.12,47.25,47.55,443400,36.87
"2007-01-04",47.69,47.85,47.09,47.37,451200,36.73
"2007-01-05",47.35,47.37,46.77,46.86,384400,36.33
"2007-01-08",46.82,46.89,46.45,46.75,508100,36.25
"2007-01-09",46.95,47.2,46.63,47.15,397700,36.56
"2007-01-10",47.05,47.38,46.92,47.29,451100,36.67
"2007-01-11",47.39,47.66,47.28,47.57,432200,36.88
"2007-01-12",47.74,48.13,47.6,47.95,347700,37.18
"2007-01-16",48.05,48.6,47.98,48.38,356300,37.51
"2007-01-17",48.4,48.58,48.2,48.25,365900,37.41
"2007-01-18",48.41,48.47,47.86,47.9,589900,37.14
"2007-01-19",48,48.05,47.3,47.5,655100,36.83
"2007-01-22",47.54,47.73,47.36,47.48,599400,36.81
"2007-01-23",47.48,47.65,47.34,47.37,471800,36.73
"2007-01-24",47.3,47.53,47.26,47.49,383800,36.82
"2007-01-25",47.35,47.44,46.6,46.68,485700,36.19
"2007-01-26",46.68,46.79,46.26,46.37,502800,35.95
"2007-01-29",46.43,46.73,46.19,46.44,550400,36.01
"2007-01-30",46.59,46.78,46.43,46.7,229000,36.21
"2007-01-31",46.71,47.52,46.65,47.52,525300,36.84
"2007-02-01",47.53,48.44,47.46,48.09,632400,37.29
"2007-02-02",48.1,48.37,48.01,48.19,464600,37.36
"2007-02-05",48.2,48.49,48.01,48.25,422900,37.41
"2007-02-06",48.27,48.7,48.25,48.65,513600,37.72
"2007-02-07",48.66,49.2,48.65,49.14,581700,38.1
"2007-02-08",49.15,49.35,48.75,48.87,419300,37.89
"2007-02-09",49,49.42,48.9,48.96,479800,37.96
"2007-02-12",49.01,49.14,48.78,48.82,396400,37.85
"2007-02-13",48.85,49.2,48.85,49.2,508200,38.15
"2007-02-14",49.2,49.64,49.12,49.46,513400,38.35
"2007-02-15",49.53,49.65,49.35,49.51,390800,38.39
"2007-02-16",49.32,49.89,49.2,49.77,519300,38.59
"2007-02-20",49.89,50.04,49.42,49.75,610400,38.57
"2007-02-21",49.73,50.15,49.66,50.09,898800,38.84
"2007-02-22",50.28,50.75,50.18,50.44,579700,39.11
"2007-02-23",50.2,50.74,49.9,50.56,555400,39.2
"2007-02-26",50.61,50.64,49.91,50.17,417300,38.9
"2007-02-27",49.94,49.97,48.2,48.33,849700,37.47
"2007-02-28",48.45,49.23,48.31,48.73,1041000,37.78
"2007-03-01",48,48.68,47.95,48.51,1023500,37.61
"2007-03-02",48.45,48.73,48.14,48.21,652000,37.38
"2007-03-05",47.92,48.62,47.5,48.05,533300,37.26
"2007-03-06",48.24,48.64,47.82,48.46,530800,37.57
"2007-03-07",48.11,48.38,47.94,48.25,675400,37.69
"2007-03-08",48.58,48.76,48.4,48.63,534200,37.99
