"","GWW.Open","GWW.High","GWW.Low","GWW.Close","GWW.Volume","GWW.Adjusted"
"2007-01-03",70.5,71.67,70.37,71,706000,62.68
"2007-01-04",71,71.18,70.25,70.78,452100,62.48
"2007-01-05",70.6,70.79,68.92,69.34,583000,61.21
"2007-01-08",69.34,70.34,68.77,70.02,365600,61.81
"2007-01-09",70.02,70.23,69.53,70.07,281300,61.86
"2007-01-10",69.77,70.65,69.57,70.56,403200,62.29
"2007-01-11",70.57,71.35,70.51,71.35,314100,62.99
"2007-01-12",71.39,71.89,71.1,71.76,290800,63.35
"2007-01-16",71.6,71.8,71.29,71.73,155800,63.32
"2007-01-17",71.8,72.36,71.63,72.09,407500,63.64
"2007-01-18",72.3,72.3,70.51,70.9,724300,62.59
"2007-01-19",71.02,71.66,71,71.32,379300,62.96
"2007-01-22",71.32,71.4,70.92,71.12,373600,62.78
"2007-01-23",71.13,72.25,71,71.8,290200,63.38
"2007-01-24",71.73,72.47,71.25,72.42,402900,63.93
"2007-01-25",72.42,72.6,71.64,71.99,666300,63.55
"2007-01-26",72.4,74.76,72.26,72.73,965800,64.2
"2007-01-29",74.65,77.25,74,76.6,1336800,67.62
"2007-01-30",75.77,76.95,75.77,76.48,791900,67.51
"2007-01-31",76.22,77.87,75.82,77.65,672700,68.55
"2007-02-01",77.6,78,76.88,77.6,881100,68.5
"2007-02-02",77,77.67,76.91,77.5,402000,68.41
"2007-02-05",77.75,79.18,77.42,78.57,932000,69.36
"2007-02-06",78.7,78.74,77.81,78.61,677600,69.39
"2007-02-07",78.54,78.88,78.42,78.69,516000,69.46
"2007-02-08",78.4,78.4,77.2,77.95,760500,69.07
"2007-02-09",78.1,78.38,77.99,78.17,845800,69.26
"2007-02-12",77.7,78.23,77.11,77.6,957600,68.76
"2007-02-13",77.9,78.9,77.85,78.51,593200,69.56
"2007-02-14",78.91,79.15,78.5,78.9,599700,69.91
"2007-02-15",79.3,79.36,79,79.21,391500,70.18
"2007-02-16",78.99,78.99,78.1,78.73,247500,69.76
"2007-02-20",79.25,80,78.74,79.95,634900,70.84
"2007-02-21",79.8,80.35,79.3,80.32,404800,71.17
"2007-02-22",80.07,80.37,79.65,80.37,290800,71.21
"2007-02-23",79.95,80.06,79.72,79.98,291600,70.86
"2007-02-26",79.99,80.24,79.41,79.57,352700,70.5
"2007-02-27",78.75,79.08,76.56,76.95,929800,68.18
"2007-02-28",76.74,77.8,76.28,77.29,622000,68.48
"2007-03-01",76.78,77.62,76.35,77.04,587400,68.26
"2007-03-02",77.04,77.25,75.65,75.76,543400,67.13
"2007-03-05",75.23,75.48,74.3,74.3,575500,65.83
"2007-03-06",74.6,75.27,74,75.07,481500,66.51
"2007-03-07",74.89,75.89,74.84,75.4,333100,66.81
"2007-03-08",75.89,76.39,75.8,76.25,360300,67.56
"2007-03-09",76.5,76.83,75.96,76.58,296900,67.85
"2007-03-12",76.54,77.18,75.88,76.62,507500,67.89
"2007-03-13",76.25,76.31,75.15,75.25,524600,66.67
"2007-03-14",75.26,75.8,73.32,74.84,869200,66.31
"2007-03-15",74.86,75.55,74.6,75.11,490800,66.55
"2007-03-16",75.68,76.09,74.81,75.26,584600,66.68
"2007-03-19",75.4,76.5,75.4,75.95,243400,67.29
"2007-03-20",75.9,76.5,75.9,76.2,190400,67.52
"2007-03-21",76.14,77.56,75.9,77.47,298700,68.64
"2007-03-22",77.53,78.54,77.53,78.01,580700,69.12
"2007-03-23",78.07,78.84,78,78.71,304100,69.74
"2007-03-26",78.35,78.45,76.65,77.71,454400,68.85
"2007-03-27",77.5,77.5,76.66,77.05,158800,68.27
"2007-03-28",76.8,76.97,75.95,76.21,307000,67.52
"2007-03-29",76.46,76.73,76.14,76.62,246700,67.89
"2007-03-30",76.55,77.88,76.49,77.24,591600,68.44
"2007-04-02",77.1,77.25,76.22,76.39,420600,67.68
"2007-04-03",76.44,77.11,76,77.08,508900,68.3
"2007-04-04",77.16,77.22,76.46,77.03,272900,68.25
"2007-04-05",76.96,77.7,76.65,77.51,245500,68.68
"2007-04-09",77.51,78.45,76.78,77.42,405800,68.6
"2007-04-10",77.25,77.9,77.25,77.58,227300,68.74
"2007-04-11",77.42,77.44,76.4,77,596900,68.22
"2007-04-12",77.05,78.33,76.7,78.19,389100,69.28
"2007-04-13",78.27,79.75,78.05,79.53,1004500,70.47
"2007-04-16",81,83.99,81,81.59,1564100,72.29
"2007-04-17",81.34,82.25,80.69,82.1,676300,72.74
"2007-04-18",82,83.08,81.31,82.7,918100,73.27
"2007-04-19",81.76,82.39,81,82.03,818100,72.68
"2007-04-20",82.45,83.19,82.41,82.98,946000,73.52
"2007-04-23",83,84.1,82.82,83.9,598200,74.34
"2007-04-24",83.4,83.7,83,83.08,443300,73.61
"2007-04-25",83.15,84.25,82.95,84.02,476500,74.44
"2007-04-26",84.03,84.28,83.58,84.02,350100,74.44
"2007-04-27",83.9,84.21,83.26,83.85,324600,74.29
"2007-04-30",83.16,83.85,82.6,82.62,560600,73.2
"2007-05-01",82.62,83.83,82.5,83.58,610500,74.05
"2007-05-02",83.55,84.95,83.4,84.46,496500,74.83
"2007-05-03",84.4,84.8,84.21,84.32,389200,74.71
"2007-05-04",84.5,84.89,83.73,84.08,626700,74.5
"2007-05-07",84.08,84.35,83.13,83.3,800100,73.81
"2007-05-08",83.15,84.39,83,84.18,789800,74.59
"2007-05-09",84,84.6,83.61,84.5,543200,74.87
"2007-05-10",83.9,84,83.41,83.62,511500,74.4
"2007-05-11",83.76,84.58,83.54,84.58,347900,75.25
"2007-05-14",84.55,84.8,84.15,84.45,256100,75.14
"2007-05-15",84.7,85,83.9,84.04,335500,74.77
"2007-05-16",84,84.1,83.36,83.9,318700,74.65
"2007-05-17",83.87,83.87,83.31,83.61,453500,74.39
"2007-05-18",83.99,85.05,83.64,84.78,395700,75.43
"2007-05-21",84.88,85.7,84.8,85.4,638200,75.98
"2007-05-22",85.25,86,85.16,85.82,216900,76.36
"2007-05-23",85.85,86.4,85.6,86.14,494300,76.64
"2007-05-24",86.16,86.97,84.59,84.81,432800,75.46
"2007-05-25",84.97,85.91,84.63,85.64,228300,76.2
"2007-05-29",85.8,86,85.5,85.89,277400,76.42
"2007-05-30",85.6,87.25,85.37,87.25,478400,77.63
"2007-05-31",87.26,88.05,86.8,88.05,388900,78.34
"2007-06-01",88.05,89.1,88.04,88.7,579900,78.92
"2007-06-04",88.3,88.58,86.91,88.23,513500,78.5
"2007-06-05",87.75,88.24,87.5,87.7,482200,78.03
"2007-06-06",87.54,87.54,86.65,86.83,474900,77.25
"2007-06-07",87.76,88.07,85.14,85.15,663300,75.76
"2007-06-08",85.16,86.12,85.15,85.95,635600,76.47
"2007-06-11",85.94,87.36,85.53,86.74,403500,77.17
"2007-06-12",86.58,88.02,86.01,87.04,581100,77.44
"2007-06-13",87.62,90.3,87.62,89.49,1116300,79.62
"2007-06-14",89.2,89.77,88.99,89.6,553800,79.72
"2007-06-15",90.48,90.6,89.59,89.73,849200,79.83
"2007-06-18",90.05,91.34,90.05,90.8,401700,80.79
"2007-06-19",90.51,91.48,89.94,90.92,664700,80.89
"2007-06-20",91.1,92.25,90.68,90.68,1144400,80.68
"2007-06-21",90.76,92.71,90.7,92.54,775400,82.33
"2007-06-22",92.12,92.49,91.25,91.94,1015400,81.8
"2007-06-25",92.09,93.48,91.9,93.25,1862800,82.97
"2007-06-26",93.36,94.75,92.63,93.19,1742400,82.91
"2007-06-27",92.25,93.44,91.24,93.34,644000,83.05
"2007-06-28",93.34,93.67,92.69,92.93,398900,82.68
"2007-06-29",93.4,93.94,92.75,93.05,466000,82.79
"2007-07-02",93.5,94.39,93.16,94.26,315900,83.86
"2007-07-03",94.45,94.72,93.13,93.24,405200,82.96
"2007-07-05",93.24,93.81,92.83,93.69,482300,83.36
"2007-07-06",94.18,94.54,93.32,94.21,468100,83.82
"2007-07-09",94.21,95,93.99,95,578300,84.52
"2007-07-10",94.7,94.7,92.87,92.87,596300,82.63
"2007-07-11",92.9,94.09,92.46,94.09,357500,83.71
"2007-07-12",94.41,96.77,94.09,96.77,803800,86.1
"2007-07-13",95.42,98.6,95.42,98.45,1161600,87.59
"2007-07-16",97.5,97.57,93.1,94.33,1682700,83.93
"2007-07-17",94.63,95.94,94.22,95.4,934100,84.88
"2007-07-18",95,95.44,94.25,95.34,687500,84.83
"2007-07-19",95.71,95.71,94.55,94.98,587200,84.51
"2007-07-20",94.93,94.99,92.68,93.2,732800,82.92
"2007-07-23",93.8,94.76,92.77,92.93,607800,82.68
"2007-07-24",93.51,93.51,90.81,91.17,885200,81.12
"2007-07-25",91.38,91.92,89.57,90.55,701700,80.56
"2007-07-26",90,90.36,87.36,88.46,738800,78.7
"2007-07-27",88.08,88.67,86.85,86.86,954600,77.28
"2007-07-30",86.69,88.87,86.5,88.55,603100,78.78
"2007-07-31",89.2,89.68,87.36,87.36,553600,77.73
"2007-08-01",86.97,87.95,86.27,87.61,684200,77.95
"2007-08-02",87.66,87.97,86.36,87.72,558000,78.05
"2007-08-03",88.16,88.16,85.6,85.6,855200,76.16
"2007-08-06",85.94,86.71,85.09,86.71,491000,77.15
"2007-08-07",86.2,87.23,85.31,86.85,634600,77.27
"2007-08-08",87.1,87.61,85.7,87.08,972400,77.48
"2007-08-09",85.8,86.81,84.05,84.61,1278300,75.58
"2007-08-10",84.45,86.92,83.3,86.38,826700,77.16
"2007-08-13",86.9,88.25,86.05,86.35,678400,77.14
"2007-08-14",86.68,86.95,83.09,83.46,512300,74.56
"2007-08-15",83.27,84.4,81.71,81.94,306600,73.2
"2007-08-16",81.18,81.77,79.38,81.77,687100,73.05
"2007-08-17",84.36,85.6,82.88,84.65,553200,75.62
"2007-08-20",84.71,86.36,84.7,85.86,467400,76.7
"2007-08-21",86.2,88.71,85.72,87.45,689500,78.12
"2007-08-22",88.36,89.81,87.93,89.39,555900,79.85
"2007-08-23",90,90,88.26,88.73,583000,79.26
"2007-08-24",88.4,90.8,87.92,90.66,642700,80.99
"2007-08-27",90.6,92.33,90.5,91.05,517800,81.34
"2007-08-28",90.19,90.49,87.14,87.14,618500,77.84
"2007-08-29",87.75,90.11,87.62,90.09,487900,80.48
"2007-08-30",88.97,90.49,88.77,89.93,406200,80.34
"2007-08-31",91.09,92.24,90.5,91.61,412000,81.84
"2007-09-04",91.08,92.84,90.66,92.05,401600,82.23
"2007-09-05",91.47,91.61,89.68,90.08,370600,80.47
"2007-09-06",90.11,91.27,89.52,90.85,382300,81.16
"2007-09-07",89.95,89.95,87.66,88.1,575900,78.7
"2007-09-10",88,89.48,86.34,88.51,657100,79.07
"2007-09-11",88.36,88.81,86.67,87.07,1245400,77.78
"2007-09-12",86.99,87.71,86.02,86.76,637900,77.5
"2007-09-13",86.81,87.44,85.59,86.55,836900,77.32
"2007-09-14",85.67,87.65,85.61,87.33,771700,78.01
"2007-09-17",87.34,87.73,85.95,86.42,703500,77.2
"2007-09-18",87.08,89.75,86.69,89.69,800500,80.12
"2007-09-19",89.98,92.42,89.75,91,644200,81.29
"2007-09-20",91.09,91.55,90.07,90.69,842900,81.01
"2007-09-21",91.65,92.14,90.69,91.1,449400,81.38
"2007-09-24",91.08,91.98,90.52,90.71,359200,81.03
"2007-09-25",90,90.57,89.39,90.38,382600,80.74
"2007-09-26",90.71,91.37,90.31,91.3,350900,81.56
"2007-09-27",91.82,92,91.01,91.41,471200,81.66
"2007-09-28",91.53,92.5,90.97,91.19,623500,81.46
"2007-10-01",91.45,93.61,91.45,93.46,620600,83.49
"2007-10-02",93.65,93.88,91.68,92.76,400400,82.86
"2007-10-03",92.45,92.51,90.8,91.05,502100,81.34
"2007-10-04",91.43,92.12,90.31,91.99,301300,82.18
"2007-10-05",93.34,94.95,91.71,94.35,679800,84.28
"2007-10-08",94,94.95,93.7,94.12,204400,84.08
"2007-10-09",94.73,95,94.12,94.8,367700,84.69
"2007-10-10",94.72,94.91,93.47,94.05,324000,84.02
"2007-10-11",94.22,94.28,92.26,92.71,710900,82.82
"2007-10-12",93.05,94.54,91.6,94.22,714500,84.17
"2007-10-15",95,96,92.01,93.75,1239800,83.75
"2007-10-16",94,95.37,92.84,93.59,776100,83.6
"2007-10-17",94.42,94.66,91.83,92.71,639900,82.82
"2007-10-18",92.48,92.67,90.34,90.7,798700,81.02
"2007-10-19",90.38,91.25,89.16,89.16,755400,79.65
"2007-10-22",88.62,90.44,88.6,89.8,836400,80.22
"2007-10-23",90,90.18,88.2,88.85,751400,79.37
"2007-10-24",88.85,89.38,87.52,89.14,952000,79.63
"2007-10-25",89.35,89.5,87.83,88.89,627300,79.41
"2007-10-26",89.35,89.43,88.53,89.05,545300,79.55
"2007-10-29",89.28,89.8,88.69,88.92,437400,79.43
"2007-10-30",88.82,89.14,87.91,87.92,699200,78.54
"2007-10-31",88.57,90.15,88.49,89.92,874000,80.33
"2007-11-01",89.79,89.79,87.52,87.52,535200,78.18
"2007-11-02",87.9,88.74,86.43,88.18,591100,78.77
"2007-11-05",87.67,88.82,87,88.18,696000,78.77
"2007-11-06",88.87,88.87,87.37,87.96,587600,78.58
"2007-11-07",87,87,85.58,85.69,1135200,76.85
"2007-11-08",85.96,87.27,85.32,86.9,776800,77.94
"2007-11-09",85.93,86.55,85.24,85.29,480700,76.49
"2007-11-12",85.45,86.33,84.61,84.62,476200,75.89
