"","HAL.Open","HAL.High","HAL.Low","HAL.Close","HAL.Volume","HAL.Adjusted"
"2007-01-03",30.9,30.9,29.52,29.87,23976800,27.48
"2007-01-04",29.87,29.91,29.16,29.23,26719700,26.89
"2007-01-05",29.07,29.4,28.6,29,24985200,26.68
"2007-01-08",29.37,29.45,28.76,28.96,14436500,26.64
"2007-01-09",28.65,28.89,28.26,28.71,21716700,26.41
"2007-01-10",28.55,28.66,27.65,28.36,22123200,26.09
"2007-01-11",28.3,28.89,28.12,28.27,29708800,26.01
"2007-01-12",28.49,29.2,28.36,29.12,18745100,26.79
"2007-01-16",29.01,29.14,28.49,28.8,17306000,26.5
"2007-01-17",28.8,29.24,28.7,29.06,19320500,26.74
"2007-01-18",29.12,29.34,28.4,28.63,16814200,26.34
"2007-01-19",29.03,29.45,28.69,29.37,23209500,27.02
"2007-01-22",29.64,29.82,29.21,29.32,18302300,26.98
"2007-01-23",29.57,30.03,29.55,29.73,28704100,27.35
"2007-01-24",29.68,30.4,29.53,30.15,17927300,27.74
"2007-01-25",30.1,30.23,29.52,29.74,18228100,27.36
"2007-01-26",29.5,29.99,29.05,29.15,37817300,26.82
"2007-01-29",29.15,29.26,28.71,28.76,17001300,26.46
"2007-01-30",28.93,29.4,28.9,29.32,19601500,26.98
"2007-01-31",29.12,29.61,29.04,29.54,16388400,27.18
"2007-02-01",29.71,29.83,29.38,29.62,14634000,27.25
"2007-02-02",29.72,29.93,29.45,29.75,14285500,27.37
"2007-02-05",30.05,30.07,29.82,29.82,12179800,27.44
"2007-02-06",30.13,30.13,29.66,29.89,11206600,27.5
"2007-02-07",30,30.03,29.53,29.64,14936100,27.27
"2007-02-08",29.69,29.81,29.35,29.72,14128500,27.34
"2007-02-09",29.79,30.25,29.59,29.91,13994900,27.52
"2007-02-12",29.77,29.77,29.46,29.73,12727400,27.35
"2007-02-13",29.79,30.9,29.78,30.65,23705800,28.2
"2007-02-14",30.61,30.9,30.27,30.7,14866800,28.25
"2007-02-15",30.49,30.49,29.98,30.38,15576500,27.95
"2007-02-16",30.27,30.49,30,30.05,14586700,27.65
"2007-02-20",29.85,30.07,29.7,30.04,9238000,27.64
"2007-02-21",30.04,30.4,29.7,30.27,13487400,27.85
"2007-02-22",30.36,31.59,30.1,31.51,21030000,28.99
"2007-02-23",31.65,32.05,31.52,31.55,16166300,29.03
"2007-02-26",31.77,32.3,31.77,31.9,15883100,29.35
"2007-02-27",31.32,32,30.61,30.73,24556400,28.34
"2007-02-28",30.97,31.37,30.85,30.92,23563200,28.51
"2007-03-01",30.54,31.77,30.18,31.34,19822100,28.9
"2007-03-02",31.34,31.65,30.81,30.98,18973200,28.57
"2007-03-05",30.48,31.1,30.24,30.28,15653200,27.92
"2007-03-06",30.64,31.19,30.57,30.97,16013100,28.56
"2007-03-07",31.07,31.9,30.86,31.45,28395500,29
"2007-03-08",31.69,31.95,31.29,31.73,26876000,29.26
"2007-03-09",32.09,32.3,31.6,32.02,25184200,29.53
"2007-03-12",32,32.3,31.83,32.19,13683500,29.69
"2007-03-13",32.32,32.72,31.77,31.8,22850500,29.33
"2007-03-14",31.83,32.14,31.26,31.83,23224100,29.35
"2007-03-15",32,32.3,31.73,32.14,13460900,29.64
"2007-03-16",32.14,32.37,31.8,32.06,19243700,29.57
"2007-03-19",32.3,32.68,32.26,32.4,17103900,29.88
"2007-03-20",32.3,32.56,29.58,30.5,99347800,28.13
"2007-03-21",30.6,30.86,30.22,30.69,38940600,28.3
"2007-03-22",30.86,30.9,30.25,30.75,27559900,28.36
"2007-03-23",30.84,31.25,30.73,31.08,31637300,28.66
"2007-03-26",31.25,31.4,30.79,31.37,32579900,28.93
"2007-03-27",31.37,31.37,30.9,31.04,57900700,28.63
"2007-03-28",31.23,31.36,30.85,31.31,36191700,28.87
"2007-03-29",31.38,32.36,31.14,32.04,39687600,29.55
"2007-03-30",32.06,32.2,31.5,31.74,19332900,29.27
"2007-04-02",31.8,32.39,31.66,32.27,32970400,29.76
"2007-04-03",32.7,32.95,32.27,32.76,46993200,30.21
"2007-04-04",32.7,32.93,32.4,32.84,20005300,30.29
"2007-04-05",32.65,33.18,32.2,32.94,16593000,30.38
"2007-04-09",33.02,33.05,32.43,32.6,17985200,30.06
"2007-04-10",32.65,32.92,32.48,32.86,17475400,30.3
"2007-04-11",32.9,33.4,32.32,32.45,27245300,29.93
"2007-04-12",32.62,32.79,32.05,32.72,21359300,30.17
"2007-04-13",32.73,32.84,32.5,32.67,12816500,30.13
"2007-04-16",32.67,32.99,32.49,32.91,24165500,30.35
"2007-04-17",33,33.07,32.27,32.58,23266400,30.05
"2007-04-18",32.4,32.64,32,32.36,16355100,29.84
"2007-04-19",32.11,32.25,31.84,32.02,14729900,29.53
"2007-04-20",32.5,32.5,31.37,31.65,24319700,29.19
"2007-04-23",31.73,31.85,31.48,31.51,17723500,29.06
"2007-04-24",31.55,31.62,30.99,31.09,21437500,28.67
"2007-04-25",31.34,31.94,30.99,31.54,29451100,29.09
"2007-04-26",31.95,32.22,31.44,31.63,27460200,29.17
"2007-04-27",31.64,32.14,31.42,31.75,25419200,29.28
"2007-04-30",31.77,32.4,31.69,31.77,29048900,29.3
"2007-05-01",31.69,31.83,31,31.39,25345900,28.95
"2007-05-02",31.45,32.02,31.39,31.93,21803900,29.45
"2007-05-03",31.93,32.45,31.83,32.27,17755000,29.76
"2007-05-04",32.45,32.7,32.11,32.28,21486600,29.77
"2007-05-07",32.11,32.3,31.99,32.26,13186900,29.75
"2007-05-08",32.24,32.52,31.75,32.37,13757500,29.85
"2007-05-09",32.33,33.28,32.22,33.15,26264000,30.57
"2007-05-10",33.19,33.43,32.75,32.81,19912300,30.26
"2007-05-11",33,33.69,32.78,33.56,18384200,30.95
"2007-05-14",33.55,34.21,33.45,34.07,20318800,31.42
"2007-05-15",33.97,34.52,33.75,34.02,14886600,31.37
"2007-05-16",34.3,35.73,34.02,35.59,44003000,32.82
"2007-05-17",35.69,36.53,35.39,36.35,26324700,33.52
"2007-05-18",36.6,36.75,35.88,36.46,24184200,33.62
"2007-05-21",36.58,37.18,36.15,36.71,21502300,33.85
"2007-05-22",37.1,37.2,36.22,36.3,19782000,33.48
"2007-05-23",36.64,37.14,36.3,36.69,17141500,33.84
"2007-05-24",36.64,37.04,35.61,35.9,21476300,33.11
"2007-05-25",36.22,36.27,35.89,36.12,12687300,33.31
"2007-05-29",35.97,36.2,35.51,35.79,14412800,33.01
"2007-05-30",35.5,36.22,35,36.1,20276000,33.38
"2007-05-31",36.12,36.39,35.77,35.95,13239700,33.24
"2007-06-01",36.15,36.33,35.8,35.83,11195800,33.13
"2007-06-04",35.83,36.54,35.49,36.44,18096700,33.69
"2007-06-05",36.01,36.65,36.01,36.33,12727900,33.59
"2007-06-06",36.27,36.33,35.55,35.79,13923500,33.09
"2007-06-07",35.7,35.99,34.94,35.03,18036000,32.39
"2007-06-08",35,35.39,34.55,35.24,13697500,32.58
"2007-06-11",35.15,35.58,34.9,35.26,9175500,32.6
"2007-06-12",35.11,35.21,34.58,34.68,13896700,32.06
"2007-06-13",34.85,35.75,34.72,35.5,19887600,32.82
"2007-06-14",35.82,36.61,35.75,36.26,14339700,33.52
"2007-06-15",36.56,36.67,36.26,36.37,14955500,33.63
"2007-06-18",35.85,36.37,35.5,35.92,17500300,33.21
"2007-06-19",35.89,36.74,35.73,36.2,15508400,33.47
"2007-06-20",36.25,36.39,35.11,35.19,19908300,32.53
"2007-06-21",35.41,35.97,35.13,35.9,17109600,33.19
"2007-06-22",35.95,36.02,35.06,35.72,23016300,33.02
"2007-06-25",35.47,35.47,34.76,35.06,20329000,32.41
