"","HAR.Open","HAR.High","HAR.Low","HAR.Close","HAR.Volume","HAR.Adjusted"
"2007-01-03",101.63,101.69,98.76,99.77,400300,96.29
"2007-01-04",100,100,97.88,99.14,382000,95.68
"2007-01-05",99.09,99.09,97.14,98.5,668300,95.06
"2007-01-08",98.7,99.53,97.65,99.17,368500,95.71
"2007-01-09",99.4,100.43,98.62,100.08,348800,96.59
"2007-01-10",98.96,100.39,98.23,100.29,354800,96.79
"2007-01-11",100.54,102.46,100.54,102.4,408900,98.83
"2007-01-12",102.05,103.19,101.56,103.01,351800,99.41
"2007-01-16",102.75,103.14,102.29,103,287800,99.41
"2007-01-17",102.75,103.42,101.93,102.94,236100,99.35
"2007-01-18",103.02,103.99,102.12,102.99,281300,99.4
"2007-01-19",102.99,104.52,102.75,104.29,447100,100.65
"2007-01-22",104.22,104.22,102.49,103.17,357200,99.57
"2007-01-23",103.11,103.81,101.61,101.92,474300,98.36
"2007-01-24",101.69,101.75,101.05,101.7,506500,98.15
"2007-01-25",101.53,102.51,100.89,101.85,573500,98.3
"2007-01-26",96.2,96.67,93.89,95.9,3851800,92.55
"2007-01-29",95.9,96.05,92.4,93.01,1644500,89.76
"2007-01-30",93.02,93.58,92.67,93.19,1108900,89.94
"2007-01-31",94.49,94.8,93.2,94.57,1277100,91.27
"2007-02-01",94.53,97.07,94.53,96.75,808500,93.37
"2007-02-02",97,97.92,96.7,97.66,707500,94.25
"2007-02-05",97.87,98.06,96.84,97.64,540200,94.24
"2007-02-06",98.48,99.27,97.88,99.24,718900,95.79
"2007-02-07",99.32,101.7,98.89,101.59,1112200,98.06
"2007-02-08",101.66,101.84,100.05,101.72,833000,98.18
"2007-02-09",101.72,101.95,100.96,101.55,607300,98.02
"2007-02-12",101.56,102.25,100.81,101.82,488100,98.28
"2007-02-13",102.05,102.78,101.08,102.52,554000,98.96
"2007-02-14",102.52,104.19,102.25,103.75,616500,100.14
"2007-02-15",103.74,104.52,103.05,104.09,448400,100.47
"2007-02-16",103.42,104.57,102.89,104.51,385600,100.88
"2007-02-20",104.51,104.97,104.09,104.96,357600,101.31
"2007-02-21",104.75,105.15,104,104.48,544600,100.85
"2007-02-22",105.27,105.68,103.16,103.92,599400,100.31
"2007-02-23",103.92,104.21,102.85,103.26,466000,99.67
"2007-02-26",103.6,103.88,101.66,101.89,567300,98.35
"2007-02-27",101.8,102.61,98.81,99.81,966300,96.34
"2007-02-28",99.71,100.59,99.11,99.12,787100,95.67
"2007-03-01",99.16,99.96,97.71,99.46,978900,96
"2007-03-02",99.46,100.33,97.44,97.49,636700,94.1
"2007-03-05",97.49,98.25,96.39,96.39,700900,93.04
"2007-03-06",96.89,98.39,96.88,97.8,362000,94.4
"2007-03-07",97.8,98.66,97.25,97.78,375600,94.38
"2007-03-08",98.25,98.92,97.71,98.32,574500,94.9
"2007-03-09",98.69,99.09,98.2,98.57,284300,95.14
"2007-03-12",98.58,98.76,97.75,98.02,342100,94.61
"2007-03-13",97.8,98.02,97.12,97.23,674800,93.85
"2007-03-14",97.24,99.06,96.92,98.86,612200,95.42
"2007-03-15",98.87,98.97,98.13,98.63,538700,95.2
"2007-03-16",98.99,99.35,97.28,97.31,665200,93.93
"2007-03-19",98.05,99.61,97.92,98.29,437300,94.87
"2007-03-20",98.06,98.47,97.59,98.36,409000,94.94
"2007-03-21",98.79,99.79,98.2,99.67,388600,96.2
"2007-03-22",99.54,100.55,99.38,100.26,287300,96.77
"2007-03-23",100.26,100.7,99.56,99.59,300200,96.13
"2007-03-26",99.3,99.99,97.95,98.5,583700,95.07
"2007-03-27",98.35,98.35,97.43,97.86,215100,94.46
"2007-03-28",97.86,97.86,96.84,97.05,220700,93.68
"2007-03-29",97.05,97.75,96.16,96.76,289300,93.4
"2007-03-30",96.77,97.03,95.83,96.08,385200,92.74
"2007-04-02",96.54,98.19,96.12,97.75,410900,94.35
"2007-04-03",97.95,98.95,97.95,98.62,278000,95.19
"2007-04-04",98.95,100.24,98.46,100.03,376900,96.55
"2007-04-05",99.8,100.69,99.45,99.61,253500,96.15
"2007-04-09",99.81,100.68,98.88,99.43,312800,95.97
"2007-04-10",99.52,99.81,99.32,99.81,162800,96.34
"2007-04-11",99.81,99.87,98.07,98.07,298500,94.66
"2007-04-12",98.08,99.03,97.17,98.76,293400,95.33
"2007-04-13",98.76,98.76,98,98.55,193200,95.12
"2007-04-16",99.15,100.48,98.65,100.32,246000,96.83
"2007-04-17",100.32,101.33,100.32,101.06,317600,97.55
"2007-04-18",101.06,102.22,100.51,101.81,595000,98.27
"2007-04-19",101.72,101.72,100.35,100.47,370400,96.98
"2007-04-20",101.5,102.4,100.58,102.4,443000,98.84
"2007-04-23",102.2,102.84,101.8,102.3,300800,98.74
"2007-04-24",102.65,102.65,100.96,101.66,443000,98.13
"2007-04-25",102.1,103.05,101.7,102.56,334700,98.99
