"","HBAN.Open","HBAN.High","HBAN.Low","HBAN.Close","HBAN.Volume","HBAN.Adjusted"
"2007-01-03",23.84,24.14,23.67,24.02,4944700,19.21
"2007-01-04",24.03,24.06,23.85,24,2252500,19.19
"2007-01-05",23.93,24.05,23.7,23.78,2276100,19.02
"2007-01-08",23.73,23.85,23.62,23.73,2345800,18.98
"2007-01-09",23.93,23.95,23.6,23.71,2602400,18.96
"2007-01-10",23.74,23.78,23.54,23.56,2582300,18.84
"2007-01-11",23.7,23.74,23.52,23.57,2280400,18.85
"2007-01-12",23.51,23.64,23.48,23.51,1520900,18.8
"2007-01-16",23.58,23.58,23.25,23.28,3130200,18.62
"2007-01-17",23.2,23.32,22.97,23.12,3955100,18.49
"2007-01-18",23.22,23.35,23.04,23.19,4272200,18.55
"2007-01-19",23.22,23.26,23.08,23.1,3630400,18.47
"2007-01-22",23.04,23.1,22.96,22.98,2137400,18.38
"2007-01-23",23.05,23.08,22.9,22.99,2421100,18.39
"2007-01-24",23,23.02,22.96,23,2896600,18.39
"2007-01-25",23.04,23.15,22.95,23.01,2700400,18.4
"2007-01-26",23,23.08,22.84,23.01,2317700,18.4
"2007-01-29",23.02,23.02,22.88,22.97,1486600,18.37
"2007-01-30",23,23.16,22.97,23.12,1766100,18.49
"2007-01-31",23.04,23.33,22.98,23.28,2464300,18.62
"2007-02-01",23.27,23.41,23.05,23.15,2050200,18.51
"2007-02-02",23.15,23.44,23.15,23.28,2065700,18.62
"2007-02-05",23.28,23.39,23.26,23.3,1319500,18.63
"2007-02-06",23.4,23.61,23.25,23.55,2317600,18.83
"2007-02-07",23.57,23.81,23.56,23.81,2107200,19.04
"2007-02-08",23.79,23.82,23.58,23.75,2347300,18.99
"2007-02-09",23.8,23.82,23.52,23.65,1722900,18.91
"2007-02-12",23.74,23.79,23.59,23.74,1737300,18.99
"2007-02-13",23.78,23.96,23.72,23.96,2247300,19.16
"2007-02-14",23.97,24.06,23.85,23.98,1568700,19.18
"2007-02-15",24.06,24.07,23.83,23.9,2660500,19.11
"2007-02-16",23.94,23.99,23.83,23.99,1768200,19.19
"2007-02-20",24.03,24.1,23.91,24.05,1270900,19.23
"2007-02-21",24.02,24.06,23.9,23.96,866200,19.16
"2007-02-22",24.06,24.06,23.77,23.85,1742000,19.07
"2007-02-23",23.9,23.9,23.54,23.71,2635900,18.96
"2007-02-26",23.82,23.85,23.55,23.68,1012800,18.94
"2007-02-27",23.6,23.75,23.12,23.12,2635400,18.49
"2007-02-28",23.35,23.4,23.04,23.15,1800100,18.51
"2007-03-01",23.03,23.12,22.65,22.93,2936800,18.34
"2007-03-02",22.89,22.96,22.71,22.73,3112800,18.18
"2007-03-05",22.6,22.71,22.35,22.39,1592000,17.91
"2007-03-06",22.31,22.77,22.3,22.73,2960700,18.18
"2007-03-07",22.74,22.84,22.41,22.54,3207000,18.03
"2007-03-08",22.57,22.95,22.57,22.93,4971000,18.34
"2007-03-09",22.95,23,22.72,22.9,1727300,18.31
"2007-03-12",22.84,23,22.67,22.86,1794300,18.28
"2007-03-13",22.63,22.8,21.89,21.9,2390000,17.72
"2007-03-14",22.03,22.1,21.61,22.08,2678200,17.87
"2007-03-15",21.98,22.25,21.94,22.22,1987200,17.98
"2007-03-16",22.25,22.36,22.09,22.21,2329700,17.97
"2007-03-19",22.25,22.41,22.2,22.32,897200,18.06
"2007-03-20",22.25,22.51,22.2,22.41,2348200,18.13
"2007-03-21",22.39,22.77,22.16,22.75,1527000,18.41
"2007-03-22",22.76,22.8,22.48,22.59,1415800,18.28
"2007-03-23",22.6,22.71,22.48,22.58,1077800,18.27
"2007-03-26",22.59,22.59,22.26,22.49,1254600,18.2
"2007-03-27",22.58,22.58,22.18,22.23,1293200,17.99
"2007-03-28",22.15,22.22,21.92,21.97,1541800,17.78
"2007-03-29",22.09,22.19,21.8,21.99,1933700,17.79
"2007-03-30",21.93,22.03,21.71,21.85,2071100,17.68
