"","HCBK.Open","HCBK.High","HCBK.Low","HCBK.Close","HCBK.Volume","HCBK.Adjusted"
"2007-01-03",13.94,14.02,13.87,13.99,2989300,10.77
"2007-01-04",13.99,14.05,13.93,14.05,2927500,10.82
"2007-01-05",14,14.02,13.92,13.96,4101700,10.75
"2007-01-08",13.92,14.05,13.87,13.98,4070900,10.76
"2007-01-09",13.95,14.08,13.91,13.96,2754000,10.75
"2007-01-10",13.92,14.09,13.9,14.04,2564000,10.81
"2007-01-11",14,14.15,13.99,14.11,2563000,10.86
"2007-01-12",14.06,14.25,14.05,14.15,3642900,10.89
"2007-01-16",14.15,14.2,14,14.13,1942800,10.88
"2007-01-17",14.15,14.17,13.95,13.99,2985800,10.77
"2007-01-18",13.97,14.05,13.93,13.97,3097800,10.76
"2007-01-19",14.04,14.07,13.93,13.99,1891900,10.77
"2007-01-22",14.03,14.05,13.97,14,1024100,10.78
"2007-01-23",13.97,14.15,13.96,14.11,3026500,10.86
"2007-01-24",13.88,14.02,13.83,13.98,12842400,10.76
"2007-01-25",13.95,14,13.84,13.86,11635100,10.67
"2007-01-26",13.86,13.86,13.69,13.78,3612000,10.61
"2007-01-29",13.72,13.78,13.62,13.66,4196000,10.52
"2007-01-30",13.65,13.73,13.6,13.69,4317300,10.54
"2007-01-31",13.67,13.84,13.59,13.76,5007500,10.66
"2007-02-01",13.7,13.78,13.55,13.6,6019900,10.53
"2007-02-02",13.59,13.67,13.55,13.64,4267100,10.56
"2007-02-05",13.67,13.68,13.57,13.61,3334300,10.54
"2007-02-06",14,14,13.78,13.85,42247100,10.73
"2007-02-07",13.85,13.85,13.73,13.79,14681200,10.68
"2007-02-08",13.77,13.79,13.66,13.7,8578500,10.61
"2007-02-09",13.68,13.81,13.65,13.72,6471700,10.63
"2007-02-12",13.74,13.8,13.68,13.74,5084400,10.64
"2007-02-13",13.73,13.76,13.66,13.69,4798300,10.6
"2007-02-14",13.71,13.94,13.66,13.9,89295800,10.77
"2007-02-15",13.81,13.81,13.64,13.67,13383800,10.59
"2007-02-16",13.68,13.75,13.62,13.72,6085300,10.63
"2007-02-20",13.75,13.91,13.7,13.86,4132900,10.73
"2007-02-21",13.82,13.88,13.78,13.86,3624400,10.73
"2007-02-22",13.85,13.92,13.85,13.9,4034700,10.77
"2007-02-23",13.9,13.9,13.76,13.79,5790100,10.68
"2007-02-26",13.88,13.88,13.69,13.71,4393000,10.62
"2007-02-27",13.68,13.73,13.34,13.39,5444900,10.37
"2007-02-28",13.48,13.54,13.18,13.4,6358000,10.38
"2007-03-01",13.27,13.5,13.11,13.43,9928100,10.4
"2007-03-02",13.43,13.53,13.35,13.35,4967000,10.34
"2007-03-05",13.25,13.37,13.16,13.21,4840500,10.23
"2007-03-06",13.21,13.33,13.21,13.26,6538700,10.27
"2007-03-07",13.23,13.43,13.22,13.35,5599800,10.34
"2007-03-08",13.39,13.54,13.36,13.39,4575300,10.37
"2007-03-09",13.49,13.52,13.38,13.42,3121300,10.39
"2007-03-12",13.37,13.48,13.37,13.44,4051600,10.41
"2007-03-13",13.32,13.42,13.15,13.16,5569600,10.19
"2007-03-14",13.26,13.41,13.15,13.39,5771100,10.37
"2007-03-15",13.38,13.49,13.31,13.47,4907500,10.43
"2007-03-16",13.51,13.55,13.35,13.51,5837600,10.46
"2007-03-19",13.53,13.61,13.43,13.51,3492300,10.46
"2007-03-20",13.49,13.69,13.47,13.63,2906300,10.56
"2007-03-21",13.63,13.92,13.54,13.91,3495400,10.77
"2007-03-22",13.88,13.94,13.72,13.81,6510200,10.7
"2007-03-23",13.84,13.91,13.76,13.89,4833000,10.76
"2007-03-26",13.85,13.91,13.7,13.79,4075600,10.68
"2007-03-27",13.77,13.8,13.67,13.69,4174400,10.6
"2007-03-28",13.7,13.71,13.51,13.55,5788600,10.49
"2007-03-29",13.58,13.68,13.55,13.63,3444200,10.56
"2007-03-30",13.6,13.7,13.56,13.68,4228600,10.59
"2007-04-02",13.71,13.71,13.51,13.59,6040400,10.52
"2007-04-03",13.63,13.83,13.56,13.79,4485900,10.68
"2007-04-04",13.8,13.81,13.62,13.71,3316800,10.62
"2007-04-05",13.67,13.72,13.58,13.65,2491300,10.57
"2007-04-09",13.66,13.76,13.59,13.66,1500300,10.58
"2007-04-10",13.68,13.7,13.56,13.57,3398800,10.51
"2007-04-11",13.62,13.63,13.47,13.52,3410800,10.47
"2007-04-12",13.45,13.49,13.26,13.35,5070600,10.34
"2007-04-13",13.35,13.42,13.29,13.42,4342700,10.39
"2007-04-16",13.4,13.7,13.4,13.66,5160200,10.58
"2007-04-17",13.66,13.73,13.61,13.64,3100500,10.56
"2007-04-18",13.63,13.75,13.63,13.75,3249800,10.65
"2007-04-19",13.7,13.75,13.62,13.66,3707300,10.58
"2007-04-20",13.61,13.74,13.51,13.55,6720200,10.49
"2007-04-23",13.56,13.62,13.41,13.44,5654900,10.41
"2007-04-24",13.48,13.53,13.3,13.38,4452000,10.36
"2007-04-25",13.47,13.66,13.19,13.45,6343800,10.42
"2007-04-26",13.41,13.48,13.26,13.33,4544100,10.32
"2007-04-27",13.33,13.46,13.32,13.35,5780500,10.34
"2007-04-30",13.46,13.46,13.3,13.32,6042200,10.38
"2007-05-01",13.33,13.39,13.2,13.3,6673600,10.36
"2007-05-02",13.27,13.3,13.19,13.2,8690000,10.28
"2007-05-03",13.21,13.35,13.21,13.34,4815700,10.39
"2007-05-04",13.34,13.47,13.3,13.42,3599500,10.46
"2007-05-07",13.39,13.5,13.39,13.46,3494000,10.49
"2007-05-08",13.46,13.5,13.4,13.47,2949400,10.49
"2007-05-09",13.48,13.64,13.44,13.6,3979400,10.6
"2007-05-10",13.55,13.55,13.26,13.28,4629400,10.35
"2007-05-11",13.31,13.69,13.22,13.33,3567100,10.39
"2007-05-14",13.37,13.39,13.3,13.35,4606500,10.4
"2007-05-15",13.33,13.62,13.28,13.3,5118200,10.36
"2007-05-16",13.28,13.4,13.28,13.35,2055400,10.4
"2007-05-17",13.3,13.36,13.24,13.26,3318000,10.33
"2007-05-18",13.31,13.41,13.26,13.32,3682700,10.38
"2007-05-21",13.28,13.3,13.2,13.26,3817100,10.33
"2007-05-22",13.25,13.4,13.24,13.38,3598800,10.42
"2007-05-23",13.36,13.39,13.21,13.22,4645400,10.3
"2007-05-24",13.21,13.25,13.14,13.14,3705400,10.24
"2007-05-25",13.15,13.24,13.15,13.17,3034300,10.26
"2007-05-29",13.21,13.29,13.12,13.17,3981600,10.26
"2007-05-30",13.11,13.25,13.1,13.22,3368700,10.3
"2007-05-31",13.24,13.28,13.17,13.19,4126800,10.28
"2007-06-01",13.22,13.3,13.16,13.19,3728200,10.28
"2007-06-04",13.19,13.3,13.16,13.18,4582400,10.27
"2007-06-05",13.15,13.2,13.1,13.14,3027300,10.24
"2007-06-06",13.08,13.11,12.92,12.93,5743000,10.07
"2007-06-07",12.93,12.98,12.75,12.75,6826100,9.93
"2007-06-08",12.75,12.96,12.73,12.95,5078500,10.09
"2007-06-11",12.9,13,12.87,12.9,3172100,10.05
"2007-06-12",12.87,12.95,12.81,12.83,3392800,10
"2007-06-13",12.83,12.95,12.82,12.95,3069000,10.09
"2007-06-14",12.91,13.03,12.89,12.91,3156600,10.06
"2007-06-15",12.93,12.93,12.7,12.75,9009900,9.93
"2007-06-18",12.75,12.83,12.65,12.67,3375000,9.87
"2007-06-19",12.67,12.77,12.64,12.66,3005600,9.86
"2007-06-20",12.67,12.7,12.53,12.54,3102700,9.77
"2007-06-21",12.51,12.54,12.38,12.44,4097200,9.69
"2007-06-22",12.42,12.44,12.19,12.19,6396500,9.5
"2007-06-25",12.17,12.31,12.11,12.29,7465400,9.58
"2007-06-26",12.38,12.49,12.3,12.37,5142000,9.64
"2007-06-27",12.4,12.41,12.21,12.41,6113600,9.67
"2007-06-28",12.32,12.47,12.29,12.37,3160800,9.64
"2007-06-29",12.44,12.44,12.18,12.22,3689900,9.52
"2007-07-02",12.23,12.39,12.21,12.33,4083600,9.61
"2007-07-03",12.39,12.42,12.27,12.35,2242700,9.62
"2007-07-05",12.32,12.36,12.19,12.25,2907400,9.54
"2007-07-06",12.23,12.27,12.2,12.23,3993600,9.53
"2007-07-09",12.23,12.29,12.19,12.23,2810700,9.53
"2007-07-10",12.16,12.18,11.85,11.86,5122200,9.24
"2007-07-11",11.83,11.89,11.76,11.85,3862000,9.23
"2007-07-12",11.85,12.17,11.81,12.17,5999300,9.48
"2007-07-13",12.18,12.2,12.04,12.1,2419400,9.43
"2007-07-16",12.06,12.14,12,12.04,2991000,9.38
"2007-07-17",12.04,12.1,11.91,11.91,3865200,9.28
"2007-07-18",11.96,11.96,11.5,11.63,5933000,9.06
"2007-07-19",11.6,11.75,11.52,11.62,4644800,9.05
"2007-07-20",11.62,11.65,11.45,11.58,9569500,9.02
"2007-07-23",11.64,11.76,11.59,11.7,12066400,9.12
"2007-07-24",11.57,11.72,11.52,11.6,9038400,9.04
"2007-07-25",11.61,11.99,11.61,11.85,6079100,9.23
"2007-07-26",11.6,11.92,11.6,11.88,10507700,9.26
"2007-07-27",11.91,12.22,11.87,12,10591700,9.35
"2007-07-30",11.99,12.31,11.91,12.3,7302000,9.58
"2007-07-31",12.37,12.42,12.17,12.22,12186900,9.52
"2007-08-01",12.22,12.31,12.02,12.28,17903100,9.57
"2007-08-02",12.25,12.44,12.14,12.2,5882900,9.51
"2007-08-03",12.43,12.68,12.36,12.5,18212300,9.74
"2007-08-06",12.5,13.24,12.45,13.24,10203100,10.32
"2007-08-07",13.33,13.49,12.08,13.24,13445500,10.32
"2007-08-08",13.24,13.77,13.19,13.52,11717300,10.6
"2007-08-09",13.4,13.79,13.04,13.64,10655500,10.7
"2007-08-10",13.49,13.61,13.13,13.44,8871000,10.54
"2007-08-13",13.41,13.55,12.94,13.07,6432400,10.25
"2007-08-14",13.12,13.27,12.85,13.03,6551600,10.22
"2007-08-15",12.98,13.39,12.83,12.93,7289400,10.14
"2007-08-16",12.94,13.5,12.87,13.46,7285200,10.55
"2007-08-17",13.75,14,13.11,13.98,10677000,10.96
"2007-08-20",13.95,14,13.75,13.84,6841500,10.85
"2007-08-21",13.88,14.18,13.85,14.09,6063200,11.05
"2007-08-22",14.13,14.29,14.09,14.22,4690800,11.15
"2007-08-23",14.27,14.29,14.01,14.14,5405500,11.09
"2007-08-24",14.2,14.36,13.94,14.35,5470100,11.25
"2007-08-27",14.35,14.35,14.09,14.09,3479600,11.05
"2007-08-28",14.04,14.15,13.84,13.84,4069000,10.85
"2007-08-29",13.98,14.26,13.85,14.26,4058400,11.18
"2007-08-30",14.21,14.37,14.08,14.08,5030200,11.04
"2007-08-31",14.24,14.35,14.15,14.22,4037100,11.15
"2007-09-04",14.2,14.49,14.11,14.2,6317200,11.14
"2007-09-05",14.2,14.39,14.09,14.34,4513400,11.24
"2007-09-06",14.33,14.38,14.08,14.11,4683800,11.06
"2007-09-07",14,14.28,13.95,14.01,5110800,10.99
"2007-09-10",14.1,14.24,13.97,14.1,2843300,11.06
"2007-09-11",14.19,14.43,14.12,14.29,3301600,11.21
"2007-09-12",14.3,14.44,14.17,14.34,3369200,11.24
"2007-09-13",14.45,14.59,14.33,14.57,4463200,11.43
"2007-09-14",14.54,14.75,14.47,14.74,4569600,11.56
"2007-09-17",14.93,14.93,14.74,14.84,7905000,11.64
"2007-09-18",14.82,15.35,14.81,15.35,7065900,12.04
"2007-09-19",15.46,15.66,15.32,15.58,11726800,12.22
"2007-09-20",15.33,15.35,14.9,15.1,6731400,11.84
"2007-09-21",15.2,15.2,14.96,14.96,12320800,11.73
"2007-09-24",15,15.11,14.92,15.05,5463000,11.8
"2007-09-25",15.05,15.25,15,15.13,3884000,11.86
"2007-09-26",15.18,15.25,14.98,15.13,4182900,11.86
"2007-09-27",15.23,15.35,15.17,15.32,3242300,12.01
"2007-09-28",15.35,15.53,15.27,15.38,7067500,12.06
"2007-10-01",15.35,15.71,15.25,15.57,5089200,12.21
"2007-10-02",15.6,15.81,15.59,15.69,4752600,12.3
"2007-10-03",15.71,15.88,15.63,15.67,5373600,12.29
"2007-10-04",15.73,15.88,15.62,15.81,5288600,12.4
"2007-10-05",15.8,15.83,15.14,15.59,9573100,12.23
"2007-10-08",15.64,15.76,15.54,15.7,4050800,12.31
"2007-10-09",15.71,16.05,15.66,15.94,8181100,12.5
"2007-10-10",15.91,16.08,15.7,15.83,4599500,12.41
"2007-10-11",15.83,15.96,15.53,15.57,3822300,12.21
"2007-10-12",15.63,15.78,15.28,15.31,5238800,12.01
"2007-10-15",15.34,15.38,15.06,15.14,3141100,11.87
"2007-10-16",15.22,15.34,15,15.17,5463400,11.9
"2007-10-17",15.18,15.27,14.74,15.03,4346000,11.79
"2007-10-18",15,15.13,14.78,14.99,3894600,11.75
"2007-10-19",14.98,15.24,14.86,14.95,4649100,11.72
"2007-10-22",14.9,15.26,14.78,15.22,4161000,11.93
"2007-10-23",15.32,15.39,15.11,15.39,3372000,12.07
"2007-10-24",15.24,15.24,14.67,15.08,4906200,11.83
"2007-10-25",15.11,15.27,14.89,15.09,3762000,11.83
"2007-10-26",15.3,15.53,15,15.52,3500000,12.17
"2007-10-29",15.52,15.73,15.4,15.61,3600400,12.24
"2007-10-30",15.61,15.72,15.47,15.61,2879400,12.24
"2007-10-31",15.69,15.94,15.45,15.66,6582800,12.28
"2007-11-01",15.54,15.63,14.89,14.9,3867400,11.68
"2007-11-02",14.9,14.93,14.34,14.39,8076000,11.28
"2007-11-05",14.21,14.85,14.15,14.78,6951000,11.59
"2007-11-06",14.77,14.91,14.54,14.91,6444200,11.69
"2007-11-07",14.79,14.79,14.37,14.39,8204400,11.28
"2007-11-08",14.41,14.68,14.14,14.6,6800200,11.52
"2007-11-09",14.49,15.18,14.26,14.94,4895700,11.79
"2007-11-12",14.99,15.16,14.53,14.56,5751800,11.49
"2007-11-13",14.7,15.35,14.59,15.34,4029200,12.1
"2007-11-14",15.37,15.55,15.16,15.23,4048300,12.01
