"","HCN.Open","HCN.High","HCN.Low","HCN.Close","HCN.Volume","HCN.Adjusted"
"2007-01-03",43,43.06,42.62,43.06,1119200,28.51
"2007-01-04",43.1,43.54,42.8,43.54,594200,28.83
"2007-01-05",43.55,43.97,43.4,43.55,1119700,28.83
"2007-01-08",43.63,43.94,43.4,43.74,361100,28.96
"2007-01-09",43.9,43.99,43.6,43.97,465600,29.11
"2007-01-10",44.03,44.68,43.67,44.6,403600,29.53
"2007-01-11",44.6,45.16,44.6,44.92,551100,29.74
"2007-01-12",45.45,45.45,44.69,44.79,476700,29.66
"2007-01-16",44.97,45.29,44.8,45.22,434800,29.94
"2007-01-17",45.06,45.62,44.41,45.46,486200,30.1
"2007-01-18",45.61,45.62,45.21,45.58,526200,30.18
"2007-01-19",45.58,46.03,45.48,45.89,286900,30.38
"2007-01-22",45.88,45.89,45.52,45.73,402600,30.28
"2007-01-23",45.69,45.85,45.41,45.72,205600,30.27
"2007-01-24",45.59,46.12,45.51,46.1,254600,30.52
"2007-01-25",46.1,46.75,46.06,46.49,364700,30.78
"2007-01-26",46.53,46.71,46.14,46.46,255100,30.76
"2007-01-29",46.42,46.48,46,46.4,274100,30.92
"2007-01-30",46.48,46.59,46.12,46.59,344000,31.05
"2007-01-31",46.25,46.96,46,46.81,332200,31.19
"2007-02-01",46.86,47.15,46.61,47.15,250200,31.42
"2007-02-02",47.15,47.3,46.85,47.3,301700,31.52
"2007-02-05",47.4,47.4,46.99,47.16,258300,31.43
"2007-02-06",47.21,47.44,46.88,47.44,435800,31.61
"2007-02-07",47.43,48.17,46.98,48.13,527800,32.07
"2007-02-08",48.13,48.55,47.45,47.7,383300,31.79
"2007-02-09",47.61,47.77,46.41,47.5,835700,31.65
"2007-02-12",47.4,47.4,46.21,46.42,517000,30.93
"2007-02-13",46.37,47.07,46.01,46.97,543300,31.3
"2007-02-14",46.79,47.28,46.58,46.7,379700,31.12
"2007-02-15",46.59,47.47,46.57,47.16,365300,31.43
"2007-02-16",47.2,47.27,46.52,46.98,174900,31.31
"2007-02-20",46.88,47.6,46.2,47.44,480900,31.61
"2007-02-21",47.44,47.65,47.12,47.44,231000,31.61
"2007-02-22",47.44,47.57,46.88,47.28,201900,31.51
"2007-02-23",47.25,47.25,46.25,46.45,793800,30.95
"2007-02-26",46.61,46.61,45.13,45.86,589000,30.56
"2007-02-27",45.76,45.76,43.12,44.59,723400,29.71
"2007-02-28",44.43,45.84,44.33,44.81,549300,29.86
"2007-03-01",44.81,45.5,43.52,44.81,507300,29.86
"2007-03-02",44.56,44.71,43.95,43.97,619300,29.3
"2007-03-05",43.6,43.93,42.63,42.85,1267500,28.55
"2007-03-06",43,44.23,42.91,43.91,763700,29.26
"2007-03-07",43.92,44.15,43.27,43.27,540500,28.83
"2007-03-08",44.27,44.58,43.97,44.37,1326500,29.57
"2007-03-09",44.72,44.98,44.55,44.81,638800,29.86
"2007-03-12",44.82,45.2,44.49,45.18,544000,30.11
"2007-03-13",45.18,45.18,44.06,44.12,478500,29.4
"2007-03-14",43.9,44.5,43.56,44.36,414500,29.56
"2007-03-15",44.36,44.85,44.36,44.73,344900,29.81
"2007-03-16",44.73,44.73,43.8,43.88,478800,29.24
"2007-03-19",44.13,44.42,43.91,44.3,624700,29.52
"2007-03-20",44.17,44.75,44.08,44.72,348100,29.8
"2007-03-21",44.64,45.3,44.05,45.12,333400,30.07
"2007-03-22",45.3,45.56,45.06,45.45,276800,30.29
"2007-03-23",45.65,45.78,45.34,45.47,253200,30.3
"2007-03-26",45.62,45.75,44.52,44.64,463400,29.75
"2007-03-27",44.49,44.98,44.07,44.25,728000,29.49
"2007-03-28",44.25,44.78,43.24,44.16,670400,29.43
"2007-03-29",44.53,44.6,43.59,43.83,796400,29.21
"2007-03-30",43.95,44.25,43.63,43.9,656600,29.25
"2007-04-02",43.9,44.41,43.51,44.3,690300,29.52
"2007-04-03",44.41,44.91,44.27,44.79,430800,29.85
"2007-04-04",45,45,44.35,44.63,358500,29.74
"2007-04-05",45,45.29,44.86,45.15,353400,30.09
"2007-04-09",45.34,45.55,45.17,45.31,398500,30.19
"2007-04-10",45.31,45.8,45.23,45.49,494300,30.31
"2007-04-11",45.49,45.65,45,45.07,763500,30.03
"2007-04-12",44.88,44.95,44,44.01,699100,29.33
"2007-04-13",43.98,44.36,43.13,44.04,2973100,29.35
"2007-04-16",44.15,44.4,44.07,44.38,952100,29.57
"2007-04-17",44.37,44.74,44.24,44.74,599500,29.81
"2007-04-18",44.65,44.79,44.45,44.63,459600,29.74
"2007-04-19",44.63,44.63,44.05,44.3,407900,29.52
"2007-04-20",44.45,44.84,44.45,44.79,431200,29.85
"2007-04-23",44.61,45.29,44.61,45.03,522100,30.01
"2007-04-24",45.03,45.05,44.33,44.66,603300,29.76
"2007-04-25",44.98,45.02,44.39,44.78,687300,29.84
"2007-04-26",44.96,45.5,44.86,45.45,593400,30.29
"2007-04-27",45.28,45.7,45.28,45.45,669000,30.29
"2007-04-30",45.5,45.73,45.09,45.24,635100,30.15
"2007-05-01",45.24,45.5,44.58,44.72,536600,29.8
"2007-05-02",44.22,44.22,43.8,44.03,585300,29.78
"2007-05-03",44.09,44.51,43.83,44.28,376000,29.95
"2007-05-04",44.21,44.27,43.6,43.72,383000,29.57
"2007-05-07",43.77,44.25,43.75,43.91,321300,29.7
"2007-05-08",43.9,45.39,43.9,44.86,741000,30.34
"2007-05-09",44.99,45.42,44.66,45.3,677500,30.64
"2007-05-10",45.31,45.41,44.96,44.96,481500,30.41
"2007-05-11",45.05,45.1,44.76,44.84,466600,30.33
"2007-05-14",44.75,44.84,44.3,44.3,490600,29.96
"2007-05-15",44.31,44.66,43.99,43.99,2074400,29.75
"2007-05-16",44.13,44.26,42.43,43.51,2948500,29.43
"2007-05-17",43.54,43.69,42.69,42.69,649300,28.87
"2007-05-18",42.85,43.15,42.06,42.33,1114200,28.63
"2007-05-21",42.58,43.34,42.15,42.67,1221100,28.86
