"","HCP.Open","HCP.High","HCP.Low","HCP.Close","HCP.Volume","HCP.Adjusted"
"2007-01-03",36.6,37.12,36.44,36.9,1221100,24.7
"2007-01-04",36.85,37.71,36.69,37.49,1356000,25.1
"2007-01-05",37.35,37.68,37.35,37.5,1519600,25.1
"2007-01-08",37.95,38.34,37.68,38.11,1534900,25.51
"2007-01-09",37.8,38.31,37.8,38.31,990600,25.64
"2007-01-10",38.3,39.81,38.19,39.33,1870200,26.33
"2007-01-11",39.3,39.8,39.15,39.33,1136000,26.33
"2007-01-12",39.3,39.4,39.13,39.38,958300,26.36
"2007-01-16",39,39.6,39,39.4,1214900,26.37
"2007-01-17",38.86,38.9,38.01,38.7,2333100,25.91
"2007-01-18",37.24,38.98,37.24,38.87,1861500,26.02
"2007-01-19",38.7,39.09,38.24,39.09,2356300,26.17
"2007-01-22",39.25,39.28,38.99,39.08,904000,26.16
"2007-01-23",39.01,39.48,38.97,39.27,924800,26.29
"2007-01-24",38.95,39.38,38.9,39.2,1113300,26.24
"2007-01-25",39.11,39.75,39.1,39.61,1452300,26.51
"2007-01-26",39.75,39.75,39.24,39.72,1061100,26.59
"2007-01-29",40,40.28,39.75,40.28,1054800,26.96
"2007-01-30",40.45,40.89,40.3,40.82,1031100,27.32
"2007-01-31",40.62,41.4,40.54,41.25,1162800,27.61
"2007-02-01",41.06,41.22,40.72,41.22,1273700,27.89
"2007-02-02",41.09,41.16,40.81,41.11,1100400,27.82
"2007-02-05",41.5,41.5,41.08,41.17,1175000,27.86
"2007-02-06",41.33,41.44,41.11,41.25,1312500,27.91
"2007-02-07",41.2,41.88,41.1,41.88,1406400,28.34
"2007-02-08",41.84,42.11,41.37,41.5,974200,28.08
"2007-02-09",41.5,41.5,40.11,40.9,2286100,27.68
"2007-02-12",40.2,40.5,39.54,39.94,1787800,27.03
"2007-02-13",39.9,40.5,39.05,40.29,2080300,27.26
"2007-02-14",40.25,40.33,39.68,39.83,1474000,26.95
"2007-02-15",39.73,39.87,39.24,39.5,2256700,26.73
"2007-02-16",39.5,39.53,39.1,39.42,1460000,26.68
"2007-02-20",39.26,40.06,39.22,40.03,1270500,27.09
"2007-02-21",40,40.15,39.25,39.49,1142700,26.72
"2007-02-22",39.78,39.86,38.54,38.84,2439500,26.28
"2007-02-23",38.81,38.81,37.6,38.13,1157300,25.8
"2007-02-26",38.12,38.34,37.17,37.72,1705300,25.53
"2007-02-27",36.8,37,35.5,36.52,1911500,24.71
"2007-02-28",36.65,37.39,36.6,36.7,1373700,24.83
"2007-03-01",36.3,36.85,35.4,36.58,1564400,24.75
"2007-03-02",36.65,36.96,36.35,36.52,1601600,24.71
"2007-03-05",35.52,36,35.01,35.04,1341800,23.71
"2007-03-06",35.4,36.8,35.4,36.69,1397500,24.83
"2007-03-07",37.33,37.33,36.18,36.46,1413600,24.67
"2007-03-08",36.91,37.64,36.89,37.48,1429600,25.36
"2007-03-09",37.96,38.6,37.62,37.84,963000,25.61
"2007-03-12",37.74,38.32,37.4,38.27,811600,25.9
"2007-03-13",38.04,38.08,36.54,36.8,871300,24.9
"2007-03-14",36.67,36.91,35.62,36.32,1239900,24.58
"2007-03-15",36.36,36.84,36.16,36.75,905500,24.87
"2007-03-16",36.9,36.9,36.32,36.42,1124500,24.65
"2007-03-19",36,36.83,35.87,36.72,1884700,24.85
"2007-03-20",36.6,36.77,36.39,36.58,996800,24.75
