"","HD.Open","HD.High","HD.Low","HD.Close","HD.Volume","HD.Adjusted"
"2007-01-03",41.3,41.84,40.96,41.07,50853600,33.33
"2007-01-04",41,41.18,40.38,40.57,22319400,32.93
"2007-01-05",40.44,40.63,39.72,39.79,21676500,32.3
"2007-01-08",39.94,39.95,39.25,39.49,17465300,32.05
"2007-01-09",39.5,39.85,39.22,39.32,20341100,31.91
"2007-01-10",39.84,39.93,39.06,39.78,15324600,32.29
"2007-01-11",39.65,40.19,39.65,40.08,12149100,32.53
"2007-01-12",39.95,40.37,39.85,40.11,11218600,32.56
"2007-01-16",40,40.42,39.92,40.29,12639900,32.7
"2007-01-17",40.19,40.47,40.09,40.29,12729000,32.7
"2007-01-18",40.05,40.94,40.01,40.87,18815200,33.17
"2007-01-19",40.97,40.98,40.45,40.55,12125900,32.91
"2007-01-22",40.66,40.66,39.98,40.05,14165800,32.51
"2007-01-23",40.03,40.61,40,40.43,11380400,32.82
"2007-01-24",40.52,40.79,40.42,40.69,9835700,33.03
"2007-01-25",40.53,40.67,40.01,40.09,11086200,32.54
"2007-01-26",40.12,40.22,39.64,39.94,9797400,32.42
"2007-01-29",40.3,40.52,39.84,39.91,12147600,32.39
"2007-01-30",40.11,40.38,40.01,40.17,8671700,32.6
"2007-01-31",39.97,40.95,39.95,40.74,11630100,33.07
"2007-02-01",40.77,41.18,40.69,41.08,12544200,33.34
"2007-02-02",40.9,41.14,40.61,40.83,9928300,33.14
"2007-02-05",40.67,41.23,40.54,41.03,9017400,33.3
"2007-02-06",41.09,41.38,40.91,41.27,8096800,33.5
"2007-02-07",41.22,41.46,41.02,41.36,8347100,33.57
"2007-02-08",41.22,41.27,40.94,41.09,11976500,33.35
"2007-02-09",41.22,41.42,40.91,41,9320000,33.28
"2007-02-12",41.62,42.01,41.27,41.44,18480700,33.64
"2007-02-13",41.29,41.84,41.18,41.76,13173700,33.89
"2007-02-14",41.72,41.96,41.5,41.73,20514700,33.87
"2007-02-15",41.57,41.85,41.32,41.66,10828700,33.81
"2007-02-16",41.5,41.66,41.2,41.44,11035300,33.64
"2007-02-20",40.74,41.8,40.7,41.34,17903400,33.55
"2007-02-21",40.89,41.42,40.65,41.3,11916800,33.52
"2007-02-22",41.17,41.3,40.99,41.18,9484700,33.42
"2007-02-23",41.42,41.49,40.81,40.96,13729700,33.25
"2007-02-26",41,41,40.31,40.79,12198400,33.11
"2007-02-27",40.49,40.52,39.56,39.82,23480300,32.32
"2007-02-28",39.29,39.85,39.29,39.59,26115700,32.13
"2007-03-01",39.17,39.65,38.66,39.45,21139500,32.02
"2007-03-02",39.31,39.38,38.97,39.01,19521700,31.66
"2007-03-05",38.75,39.2,38.59,38.67,22835500,31.39
"2007-03-06",39.02,39.02,38.43,38.8,17472800,31.68
"2007-03-07",38.71,38.99,38.52,38.71,12320700,31.6
"2007-03-08",38.77,39.12,38.73,38.8,11707100,31.68
"2007-03-09",39.15,39.17,38.49,38.67,11988600,31.57
"2007-03-12",38.41,38.77,38.11,38.17,14195200,31.16
"2007-03-13",38.03,38.13,37.25,37.35,21392500,30.49
"2007-03-14",37.28,37.58,36.5,37.56,24242400,30.66
"2007-03-15",37.46,37.8,37.22,37.49,10151000,30.61
"2007-03-16",37.6,37.82,37.33,37.51,16888700,30.62
"2007-03-19",37.65,37.78,37.36,37.72,9396200,30.8
"2007-03-20",37.65,38,37.5,37.93,11080800,30.97
"2007-03-21",37.89,38.92,37.81,38.74,15305400,31.63
"2007-03-22",38.61,38.9,38.15,38.33,9487800,31.29
"2007-03-23",38.35,38.47,38.07,38.22,11566800,31.2
"2007-03-26",38.15,38.28,37.58,37.91,11825300,30.95
"2007-03-27",37.73,37.79,37.28,37.34,12839000,30.48
"2007-03-28",37.18,37.25,36.6,36.77,13983700,30.02
"2007-03-29",36.97,37.06,36.5,36.82,14383400,30.06
"2007-03-30",36.77,37.19,36.35,36.74,12672200,29.99
"2007-04-02",36.67,36.86,36.6,36.79,9918400,30.04
"2007-04-03",36.89,37.78,36.8,37.63,15862400,30.72
"2007-04-04",37.61,38.26,37.54,38.11,19168400,31.11
"2007-04-05",37.94,38.11,37.79,38.02,10734900,31.04
"2007-04-09",38.24,38.25,37.86,38.08,7312400,31.09
"2007-04-10",38.09,38.55,38.03,38.23,10978700,31.21
"2007-04-11",38.12,38.33,37.77,37.97,15910400,31
"2007-04-12",37.89,38.19,37.6,38.02,11377900,31.04
"2007-04-13",37.96,37.99,37.75,37.89,10763200,30.93
"2007-04-16",38,38.79,37.91,38.56,11514300,31.48
"2007-04-17",38.84,39.5,38.7,39.44,15722100,32.2
"2007-04-18",39.39,39.44,38.82,39.04,11182000,31.87
"2007-04-19",38.9,39.17,38.58,38.91,11024800,31.77
"2007-04-20",39.33,39.34,38.92,39.21,13711900,32.01
"2007-04-23",39.19,39.39,39.05,39.21,7912200,32.01
"2007-04-24",39.09,39.4,38.65,39.31,13273100,32.09
"2007-04-25",39.42,39.69,39.2,39.5,11327800,32.25
