"","HES.Open","HES.High","HES.Low","HES.Close","HES.Volume","HES.Adjusted"
"2007-01-03",48.85,48.89,47.21,47.59,4764500,45.35
"2007-01-04",47.33,48.61,45.96,47.37,5600900,45.14
"2007-01-05",47,48.05,46.45,47.95,6758900,45.7
"2007-01-08",48.55,49.88,47.8,49.35,6741500,47.03
"2007-01-09",47.55,49.07,47.33,48.2,5557800,45.93
"2007-01-10",49.1,49.1,46.49,47.5,5000800,45.27
"2007-01-11",47.09,49.35,47.01,47.31,3942200,45.09
"2007-01-12",47.5,49.1,47.38,49.02,4310300,46.72
"2007-01-16",48.77,50,48.32,48.68,3752600,46.39
"2007-01-17",48.68,49.69,48.55,49.25,2988800,46.94
"2007-01-18",49.15,49.92,48.24,48.79,3248200,46.5
"2007-01-19",49.06,50.57,49,50.52,3998300,48.15
"2007-01-22",51,51.21,49.85,50.55,3597700,48.17
"2007-01-23",50.85,52.19,50.81,51.74,3329400,49.31
"2007-01-24",51.25,51.63,50.09,51.53,3781700,49.11
"2007-01-25",51.53,51.92,50.75,50.86,3105800,48.47
"2007-01-26",52.05,52.53,51.48,51.94,3158400,49.5
"2007-01-29",52.4,53.5,52.01,52.11,4058800,49.66
"2007-01-30",52.22,53.24,52.06,52.78,3590900,50.3
"2007-01-31",53.95,54.86,52.13,53.99,5281800,51.45
"2007-02-01",53.74,54.92,53.6,54.54,4190100,51.98
"2007-02-02",54.61,55,54.07,54.57,2580200,52.01
"2007-02-05",54.5,55,53.82,54.12,2818200,51.58
"2007-02-06",54.43,54.61,53.75,53.84,2578500,51.31
"2007-02-07",54,54.45,52.89,53.2,3016300,50.7
"2007-02-08",52.05,54.54,52.03,54.54,3134000,51.98
"2007-02-09",54.89,55.06,54.34,54.94,2747900,52.36
"2007-02-12",54.58,54.63,53,53.44,2437300,50.93
"2007-02-13",53.69,54.14,53.3,53.84,2047900,51.31
"2007-02-14",53.87,54.93,53.6,53.98,2459400,51.44
"2007-02-15",53.91,54.13,53.22,53.88,3189700,51.35
"2007-02-16",53.55,54.38,53.55,54.27,2239600,51.72
"2007-02-20",54.06,54.06,53.05,53.62,1762000,51.1
"2007-02-21",53.59,54.85,53.29,54.5,2886300,51.94
"2007-02-22",54.75,55,54,54.58,2449000,52.01
"2007-02-23",54.99,55.92,54.7,55.58,2937800,52.97
"2007-02-26",55.84,56.6,55.44,55.58,2233900,52.97
"2007-02-27",54.8,55.05,52.2,53.22,4187100,50.72
"2007-02-28",53.22,53.92,52.59,52.96,3953600,50.47
"2007-03-01",52.99,54.2,52.08,53.19,3574200,50.69
"2007-03-02",52.97,53.29,51.11,51.42,3911800,49
"2007-03-05",49.5,51.15,49.05,50.52,3990700,48.15
"2007-03-06",51,51.57,50.6,51.5,2922200,49.08
"2007-03-07",51.28,53.3,51.26,52.18,3520400,49.73
"2007-03-08",52.59,52.94,52.02,52.55,2385900,50.08
"2007-03-09",52.97,53.1,52.13,52.8,1994700,50.32
"2007-03-12",52.15,52.6,51.68,52.22,2521600,49.77
"2007-03-13",52.21,53,51.19,51.19,3787000,48.78
"2007-03-14",51.41,52.09,50.3,51.97,3867400,49.62
"2007-03-15",52.19,52.58,51.65,51.85,1847700,49.51
"2007-03-16",52.15,52.3,50.38,50.45,4261900,48.17
"2007-03-19",50.9,52.54,50.54,52.51,4195700,50.14
"2007-03-20",52.51,52.95,52.04,52.95,2557500,50.56
"2007-03-21",53,54.25,52.67,54.06,2627200,51.62
"2007-03-22",54.64,56.23,54.4,55.79,4251100,53.27
"2007-03-23",56,56.35,55.3,55.98,1847700,53.45
"2007-03-26",56.26,56.65,55.19,56.39,3397800,53.84
"2007-03-27",56.25,57,55.89,56.82,3496000,54.26
"2007-03-28",57.27,57.58,56.56,56.9,3082300,54.33
"2007-03-29",57.07,58,56.65,56.91,3287800,54.34
"2007-03-30",56.66,56.89,55.47,55.47,3445200,52.97
"2007-04-02",55.84,56.73,55.78,56.51,2616500,53.96
"2007-04-03",56.33,56.49,55.43,56.29,2615600,53.75
"2007-04-04",56.06,56.7,55.6,56.23,2369100,53.69
"2007-04-05",56.39,56.62,55.89,56.29,1764300,53.75
"2007-04-09",55.29,56.39,54.98,55.08,3977400,52.59
"2007-04-10",55.35,56.48,55.07,56.38,2531200,53.84
"2007-04-11",56.58,56.9,56,56.4,3164200,53.85
"2007-04-12",56.94,57.82,56.74,57.62,2185600,55.02
"2007-04-13",57.89,58.32,57.4,57.87,1817700,55.26
"2007-04-16",58.14,58.23,57.13,58,1611700,55.38
"2007-04-17",58.14,58.26,56.62,56.93,2848700,54.36
"2007-04-18",56.32,56.67,55.97,56.21,4229800,53.67
"2007-04-19",55.95,56.46,55.48,56.16,2515900,53.63
"2007-04-20",56.85,57.69,56.59,57.56,3597500,54.96
"2007-04-23",57.51,58.04,57.21,57.31,2239100,54.72
"2007-04-24",57.56,57.92,56.92,57.12,2776100,54.54
"2007-04-25",57.92,59.24,56.26,59.04,3018600,56.38
"2007-04-26",58.82,59.27,57.41,57.47,3024500,54.88
"2007-04-27",56.96,57.46,56.75,57.02,1811800,54.45
"2007-04-30",57.27,57.67,56.72,56.75,2965000,54.19
