"","HIG.Open","HIG.High","HIG.Low","HIG.Close","HIG.Volume","HIG.Adjusted"
"2007-01-03",93.15,94.36,93.15,93.88,2501800,78.82
"2007-01-04",93.88,93.88,92.73,93.25,1009400,78.29
"2007-01-05",93.25,93.25,91.55,91.67,1612900,76.96
"2007-01-08",91.5,92.33,91.13,92.13,1353900,77.35
"2007-01-09",92.09,92.76,90.8,90.93,2193600,76.34
"2007-01-10",90.76,91.3,90.3,90.83,1663300,76.26
"2007-01-11",90.81,91.35,90.46,90.77,2350000,76.21
"2007-01-12",90.54,91.85,90.54,91.27,1583000,76.63
"2007-01-16",91.99,93.04,91.82,92.99,1983100,78.07
"2007-01-17",92.81,93.24,91.88,92.32,1685500,77.51
"2007-01-18",93.09,93.15,91.6,91.88,1212100,77.14
"2007-01-19",91.98,92.49,91.51,92.27,992800,77.47
"2007-01-22",92.55,92.98,91.63,91.76,1737900,77.04
"2007-01-23",91.98,92.5,91.63,92.5,1184900,77.66
"2007-01-24",92.75,93.53,92.5,93.46,1199900,78.47
"2007-01-25",93.4,93.4,91.58,91.9,1268600,77.16
"2007-01-26",92.25,94.29,91.86,93.31,1739600,78.34
"2007-01-29",93.38,94.25,93.08,93.56,1691500,78.55
"2007-01-30",93.74,95,93.61,94.57,2127600,79.4
"2007-01-31",94.2,95.04,93.77,94.91,1768500,79.68
"2007-02-01",95,96.45,94.83,96.32,1667000,80.87
"2007-02-02",96.67,97,96.01,96.06,1361600,80.65
"2007-02-05",95.67,96.43,95.33,96.12,1275700,80.7
"2007-02-06",96.11,96.88,95.87,95.97,1689400,80.57
"2007-02-07",96.22,96.69,95.87,95.9,1236900,80.52
"2007-02-08",95.91,96.1,94.78,95.84,1535700,80.46
"2007-02-09",95.91,96.91,94.98,95.27,1583800,79.99
"2007-02-12",95.5,96.36,95.31,95.87,1006200,80.49
"2007-02-13",96.22,97.27,95.9,97.23,1191900,81.63
"2007-02-14",97,97.65,96.75,96.78,1572300,81.25
"2007-02-15",96.75,97.38,96.57,97.16,1199600,81.57
"2007-02-16",96.8,97.29,96.53,97.09,1002100,81.51
"2007-02-20",96.72,97.62,96.08,97.38,1025500,81.76
"2007-02-21",96.48,97.59,96.48,97.11,1023300,81.53
"2007-02-22",96.72,97.49,96.4,96.6,1193900,81.1
"2007-02-23",96.9,97.36,96.22,96.48,1550300,81
"2007-02-26",97,97.95,96.62,97.23,2799700,81.63
"2007-02-27",95.77,96.02,92.55,93.69,2775200,79.07
"2007-02-28",93.82,94.83,93.82,94.56,2603600,79.8
"2007-03-01",93.78,94.55,92.13,94.2,2076400,79.5
"2007-03-02",94.2,94.87,93.6,94.23,2081500,79.52
"2007-03-05",93.93,94.75,93.42,93.94,2309000,79.28
"2007-03-06",94.26,95.67,93.92,95.63,1964500,80.7
"2007-03-07",95.15,95.74,94.8,94.99,2049900,80.16
"2007-03-08",95.56,96.63,95.17,96.23,1447300,81.21
"2007-03-09",97.1,97.1,95.72,95.84,1850900,80.88
"2007-03-12",95.2,96,94.78,95.24,1767000,80.37
"2007-03-13",94.38,95.28,92.88,92.95,2755000,78.44
