"","HOG.Open","HOG.High","HOG.Low","HOG.Close","HOG.Volume","HOG.Adjusted"
"2007-01-03",70.05,71.45,69.6,70.16,2323500,60.6
"2007-01-04",69.75,70.66,69.01,70.66,2006400,61.03
"2007-01-05",70.1,70.5,69.16,69.53,2071600,60.05
"2007-01-08",70,70.33,69.32,70.3,2226100,60.72
"2007-01-09",70.64,71.83,69.92,71.68,2103500,61.91
"2007-01-10",72,72.37,70.91,72.29,1479800,62.44
"2007-01-11",72.4,74.03,72.1,73.85,2519000,63.79
"2007-01-12",73.4,73.5,71.85,72.8,2394400,62.88
"2007-01-16",72.55,73.11,72.2,72.45,1710200,62.58
"2007-01-17",72.45,73.22,71.71,72.84,3493500,62.91
"2007-01-18",71.13,72.5,69.47,70.95,7104600,61.28
"2007-01-19",71.07,71.77,70.65,71.6,2530500,61.84
"2007-01-22",71.6,72,71.03,71.62,3742900,61.86
"2007-01-23",71.62,72.5,71.41,72.01,2360200,62.2
"2007-01-24",71.75,72.43,71.35,72.37,1238700,62.51
"2007-01-25",72.37,72.39,70.6,70.76,2450700,61.12
"2007-01-26",71,71.12,70.3,70.89,1601800,61.23
"2007-01-29",70.65,71.14,69.72,70.09,1986900,60.54
"2007-01-30",70.26,70.3,69.2,69.55,2445700,60.07
"2007-01-31",69.74,69.85,68.26,68.27,4018200,58.97
"2007-02-01",68.9,69.29,67.77,68.76,3290600,59.39
"2007-02-02",69,70.2,68.97,70.1,2023700,60.55
"2007-02-05",69.3,69.52,68.76,69.16,1876900,59.73
"2007-02-06",68.56,69.93,68.52,69.91,2221400,60.38
"2007-02-07",69.7,70.15,69.22,70,1724500,60.46
"2007-02-08",68.35,69.85,68.2,69.36,2249800,59.91
"2007-02-09",69.1,69.71,67.43,67.8,2914600,58.56
"2007-02-12",67.73,68.45,67.49,68.27,2228600,58.97
"2007-02-13",68.2,68.59,66.9,67.85,2264200,58.6
"2007-02-14",68.05,69,67.97,68.91,1664900,59.52
"2007-02-15",69.1,69.36,68.13,69.09,2502900,59.67
"2007-02-16",68.39,68.82,67.6,68.04,1912100,58.77
"2007-02-20",68.7,70.1,68.55,69.81,3288900,60.3
"2007-02-21",69.56,70.32,69.45,70.24,1644200,60.67
"2007-02-22",69.86,70.3,68.84,69.43,1841600,59.97
"2007-02-23",69.62,69.65,68.6,69.01,1446200,59.6
"2007-02-26",69.45,69.5,68.51,68.7,2433400,59.34
"2007-02-27",65.99,67.91,65.9,66.31,4206000,57.27
"2007-02-28",66.1,66.65,65.23,65.86,2060000,56.88
"2007-03-01",64.31,65.53,64.2,65.01,2310000,56.33
"2007-03-02",65.01,65.4,63.76,63.77,2095400,55.26
"2007-03-05",63.64,65.16,63.38,64.27,2734900,55.69
"2007-03-06",64.5,64.97,63.73,64.34,3873700,55.75
"2007-03-07",64.14,64.28,63.1,63.3,2818100,54.85
"2007-03-08",63.5,63.9,62.83,63.54,3023700,55.06
"2007-03-09",64.18,64.24,63.19,63.37,1405300,54.91
"2007-03-12",63.21,63.35,61.96,62.23,3107500,53.92
"2007-03-13",61.9,62.15,60.44,60.52,3164300,52.44
"2007-03-14",60.08,61.36,59.95,61,5186500,52.86
"2007-03-15",60.24,61.27,60.24,60.99,2393700,52.85
"2007-03-16",60.99,61.3,60.36,60.78,3990500,52.66
"2007-03-19",61.52,62,60.81,61.54,1624000,53.32
"2007-03-20",61.51,61.63,61.05,61.45,2144400,53.25
"2007-03-21",61.4,61.8,60.87,61.45,2370800,53.25
"2007-03-22",61.51,62.09,60.95,61.11,2093600,52.95
"2007-03-23",61.43,62,61.01,61.2,2382100,53.03
"2007-03-26",61.1,61.27,60.05,60.75,4855000,52.64
"2007-03-27",60.54,60.74,58.93,59.53,4859500,51.58
"2007-03-28",59.1,59.1,58.19,58.28,4484600,50.5
"2007-03-29",58.36,58.85,57.91,58.35,3021500,50.56
"2007-03-30",58.32,59.14,58.3,58.75,3319900,50.91
"2007-04-02",58.75,59.35,58.72,59.29,2919000,51.37
"2007-04-03",59.49,59.8,59.33,59.58,2504900,51.62
"2007-04-04",59.77,61.14,59.58,60.62,3056100,52.53
"2007-04-05",60.69,61.67,60.52,61.56,2302800,53.34
"2007-04-09",61.94,62.41,61.65,62.16,2435600,53.86
"2007-04-10",62.01,62.6,61.88,62.55,1936800,54.2
"2007-04-11",62.38,62.55,60.93,61.3,3380900,53.12
"2007-04-12",61.42,61.79,60.76,61.48,1217400,53.27
"2007-04-13",61.6,61.6,60.81,61.15,1423000,52.99
"2007-04-16",61.15,61.53,60.71,61.32,1550100,53.13
"2007-04-17",61.3,62,61.2,61.82,1629800,53.57
"2007-04-18",61.6,62.16,61.26,61.26,2344800,53.08
"2007-04-19",61.97,64.26,61.65,63.22,4690400,54.78
"2007-04-20",63.73,64.85,63.71,64.82,2941300,56.17
"2007-04-23",65.03,66,64.89,65.17,3262300,56.47
"2007-04-24",65.15,65.15,63.89,64.64,1907600,56.01
"2007-04-25",65.08,65.91,64.77,65.55,2343300,56.8
"2007-04-26",64.92,65.76,64.73,65.34,2736900,56.62
"2007-04-27",65.14,65.22,64.26,64.26,1315300,55.68
"2007-04-30",64.43,64.73,63.32,63.32,1422000,54.87
"2007-05-01",63.32,63.65,62.79,63.44,2824300,54.97
"2007-05-02",63.49,64.05,63.06,63.95,1359000,55.41
"2007-05-03",63.9,64.29,63.29,63.35,1687300,54.89
"2007-05-04",63.88,63.94,63.1,63.29,1598400,54.84
"2007-05-07",63.49,63.67,63.05,63.36,1372000,54.9
"2007-05-08",63.22,63.69,62.85,63.63,1955600,55.13
"2007-05-09",63.5,64.6,63.49,64.52,1636500,55.91
"2007-05-10",63.97,64.41,63.69,63.86,1662100,55.33
"2007-05-11",64.19,65,63.89,64.96,1459800,56.29
"2007-05-14",64.99,65.02,64.6,64.81,1597500,56.16
"2007-05-15",64.65,64.77,62.91,63.04,3073100,54.62
"2007-05-16",62.5,63.02,61.73,62.33,2573500,54.01
"2007-05-17",62.2,62.38,61.68,62.03,1635400,53.75
"2007-05-18",62.39,63.1,62.27,62.9,2298100,54.5
"2007-05-21",62.79,62.94,62.34,62.88,1429300,54.48
"2007-05-22",62.83,63.68,62.57,63.49,1375300,55.01
"2007-05-23",63.53,64.37,63.41,63.83,1684200,55.31
"2007-05-24",64.18,64.44,62.46,62.61,1705200,54.25
"2007-05-25",62.6,62.83,61.75,62.14,1142200,53.84
"2007-05-29",62.36,62.66,61.6,61.79,1583400,53.54
"2007-05-30",61.6,62.11,61.32,62.03,1665500,53.75
"2007-05-31",61.82,62.03,60.96,61.09,1689700,52.93
"2007-06-01",61.09,62.63,61.09,62.22,1639200,53.91
"2007-06-04",62.04,62.26,61.61,61.97,1284500,53.7
"2007-06-05",61.91,62.13,61.1,61.43,1122500,53.23
"2007-06-06",61.18,61.39,60.42,60.74,2934700,52.63
"2007-06-07",60.29,60.49,59.7,59.73,1912800,51.97
"2007-06-08",59.73,60.54,59.53,60.44,1126800,52.59
"2007-06-11",59.3,59.96,59.1,59.65,2199600,51.9
"2007-06-12",59.65,59.98,58.89,58.95,1945800,51.29
"2007-06-13",59.37,60.69,59.1,60.69,1909100,52.8
"2007-06-14",61.07,61.69,60.42,60.79,1336100,52.89
"2007-06-15",61.35,61.91,60.58,60.81,1667800,52.91
"2007-06-18",61.28,61.34,60.69,60.82,1005900,52.92
"2007-06-19",60.64,61.04,60.27,60.7,1043300,52.81
"2007-06-20",60.87,60.87,59.58,59.58,1425700,51.84
"2007-06-21",59.53,60.4,59.35,60.12,899300,52.31
"2007-06-22",60.14,63.99,59.61,62.55,6536400,54.42
"2007-06-25",61.82,61.98,60.36,60.64,2664100,52.76
"2007-06-26",61.02,61.08,59.64,59.85,2207200,52.07
"2007-06-27",59.72,60.18,59.41,59.87,1882300,52.09
"2007-06-28",59.87,60.18,59.64,59.79,1150000,52.02
"2007-06-29",60.2,60.67,59.42,59.61,1480400,51.86
"2007-07-02",60.06,60.75,60,60.52,1733200,52.66
"2007-07-03",60.84,60.9,60.4,60.71,513100,52.82
"2007-07-05",60.63,61,60.06,60.09,1465400,52.28
"2007-07-06",60.06,61.12,60,60.98,1026500,53.06
"2007-07-09",62.19,63.38,62.11,62.81,3201800,54.65
"2007-07-10",62.18,62.24,60.61,60.78,1741300,52.88
"2007-07-11",60.8,61.43,60.36,61.42,2053700,53.44
"2007-07-12",61.57,62.19,61.42,62.19,1461400,54.11
"2007-07-13",62.37,62.61,61.99,62.48,974200,54.36
"2007-07-16",62.61,62.99,61.53,61.63,1135800,53.62
"2007-07-17",61.77,62.16,60.94,60.98,1580200,53.06
