"","HON.Open","HON.High","HON.Low","HON.Close","HON.Volume","HON.Adjusted"
"2007-01-03",45.02,45.69,44.88,45.1,3504600,37.49
"2007-01-04",44.9,45.21,44.38,45.08,2628900,37.47
"2007-01-05",44.89,45.11,44.29,44.65,3035100,37.11
"2007-01-08",44.65,45.05,44.31,44.92,2589200,37.34
"2007-01-09",45.07,45.33,44.67,45.24,3041100,37.6
"2007-01-10",44.9,45.09,44.62,44.96,2320200,37.37
"2007-01-11",45.2,45.99,45.16,45.71,3039900,37.99
"2007-01-12",45.61,45.7,45.04,45.56,2663900,37.87
"2007-01-16",45.42,45.71,45.22,45.62,2355800,37.92
"2007-01-17",45.48,45.9,45.32,45.54,2710400,37.85
"2007-01-18",44.74,45.7,44.74,45.04,3520800,37.44
"2007-01-19",45.37,45.57,45.06,45.29,3705500,37.64
"2007-01-22",45.07,45.26,43.97,44.26,4601800,36.79
"2007-01-23",44.38,44.85,44.34,44.46,4518300,36.95
"2007-01-24",44.39,44.86,44.25,44.42,2711800,36.92
"2007-01-25",44.47,44.75,43.88,44.2,2875000,36.74
"2007-01-26",44.1,44.5,43.14,44.13,5124700,36.68
"2007-01-29",44.12,44.54,43.9,44.23,3884800,36.76
"2007-01-30",44.23,45.23,44.23,45.14,4335400,37.52
"2007-01-31",45.14,45.89,44.78,45.69,3879700,37.98
"2007-02-01",45.79,46.01,45.51,45.93,3646100,38.18
"2007-02-02",46.14,46.2,45.9,46.16,2768000,38.37
"2007-02-05",45.98,46.12,45.67,46.02,3064700,38.25
"2007-02-06",46.02,46.62,45.91,46.62,3508900,38.75
"2007-02-07",46.63,46.75,46.29,46.57,3225700,38.71
"2007-02-08",46.39,46.72,46.08,46.57,2933600,38.71
"2007-02-09",46.7,46.75,46.07,46.24,3187600,38.43
"2007-02-12",46.4,46.42,45.93,46.09,2919600,38.31
"2007-02-13",46.1,46.59,46.03,46.51,3801400,38.66
"2007-02-14",46.51,47.65,46.2,47.54,4503700,39.51
"2007-02-15",47.38,47.68,47.15,47.57,3333900,39.54
"2007-02-16",47.95,48,47.41,47.83,3830100,39.75
"2007-02-20",47.98,48.28,47.8,48.12,4294000,40
"2007-02-21",47.97,48.44,47.8,48.31,3717400,40.15
"2007-02-22",48.3,48.5,47.88,48.19,5479800,40.05
"2007-02-23",47.96,48.03,47.53,47.69,3500100,39.84
"2007-02-26",47.8,47.91,46.85,47.62,2978500,39.79
"2007-02-27",47.62,47.64,45.77,46.16,6664900,38.57
"2007-02-28",46.16,46.82,45.77,46.4,5531700,38.77
"2007-03-01",45.3,46.43,44.56,46.19,5640500,38.59
"2007-03-02",46.1,46.73,45.75,45.91,4361000,38.36
"2007-03-05",45.48,46.5,45.39,45.87,5660200,38.32
"2007-03-06",45.96,46.42,45.78,46.34,4229800,38.72
"2007-03-07",46.34,46.99,46.05,46.59,3596400,38.93
"2007-03-08",46.75,47.41,46.73,47.31,3912600,39.53
"2007-03-09",47.5,47.84,47.14,47.23,4082300,39.46
"2007-03-12",47.3,47.66,47.22,47.61,4326100,39.78
"2007-03-13",47.42,47.78,46.88,46.88,4815400,39.17
"2007-03-14",46.97,47.1,46.02,46.9,5167300,39.18
"2007-03-15",46.76,47.02,46.61,46.98,3532400,39.25
"2007-03-16",47.06,47.19,46.7,46.94,6963200,39.22
"2007-03-19",47.28,47.57,47.1,47.21,2684200,39.44
"2007-03-20",47.19,47.19,46.79,47.14,3708700,39.39
"2007-03-21",47.05,47.74,46.89,47.7,3499100,39.85
"2007-03-22",47.8,47.8,47.15,47.58,3331600,39.75
"2007-03-23",46.72,47.88,46.72,47.71,2776500,39.86
"2007-03-26",47.63,47.88,46.79,47.34,3357700,39.55
"2007-03-27",47.18,47.31,46.53,46.73,3097100,39.04
"2007-03-28",46.6,46.66,45.58,46.03,4377500,38.46
"2007-03-29",46.49,46.49,45.6,45.94,5675100,38.38
"2007-03-30",46.24,46.6,45.83,46.06,3817500,38.48
"2007-04-02",45.58,46.22,45.58,46.15,2697700,38.56
"2007-04-03",46.27,46.91,46.25,46.74,2911500,39.05
"2007-04-04",46.8,47.3,46.32,47.25,3128600,39.48
"2007-04-05",47.25,47.32,47,47.26,2117000,39.49
"2007-04-09",47.36,47.37,46.97,47.11,1876500,39.36
"2007-04-10",46.94,47.22,46.84,46.98,1685200,39.25
"2007-04-11",46.95,47.09,46.19,46.39,2600000,38.76
"2007-04-12",46.43,47.11,46.07,46.99,2989900,39.26
"2007-04-13",47.76,47.76,46.59,47.03,2493300,39.29
"2007-04-16",46.43,47.55,46.43,47.38,2130500,39.59
"2007-04-17",47.35,47.78,47,47.64,2993500,39.8
"2007-04-18",47.64,48.46,47.45,48.21,3709200,40.28
"2007-04-19",48.21,49.55,47.5,49.06,8974000,40.99
"2007-04-20",51.3,51.65,50.1,51.4,13329300,42.94
"2007-04-23",51.2,51.5,50.94,51.23,5849700,42.8
"2007-04-24",51.49,53.21,51.4,52.9,9307400,44.2
"2007-04-25",53.2,54.18,52.91,53.99,9259000,45.11
"2007-04-26",53.93,55.04,53.68,53.69,7151300,44.86
"2007-04-27",53.43,55.04,53.1,54.89,8006400,45.86
"2007-04-30",54.67,54.94,54.1,54.18,10198600,45.27
"2007-05-01",54.49,55.13,54.25,55.08,9081700,46.02
"2007-05-02",55.09,56.13,55.01,55.5,10725100,46.37
"2007-05-03",55.61,56.03,54.92,56,9234800,46.79
"2007-05-04",56,56.4,55.43,56.12,8562900,46.89
"2007-05-07",56.04,56.3,55.27,55.33,6873100,46.23
"2007-05-08",55.33,55.95,54.97,55.79,8606400,46.61
"2007-05-09",55.85,56.85,55.79,56.81,7030400,47.46
"2007-05-10",56.26,57.43,56.01,56.86,9978300,47.51
"2007-05-11",57.21,58.21,57.18,57.79,7925800,48.28
"2007-05-14",57.81,58.8,57.55,58.7,12723300,49.04
"2007-05-15",58.56,59.37,57.95,58.01,10542500,48.47
"2007-05-16",57.99,58.15,57.65,58.14,9219200,48.79
"2007-05-17",58.12,58.53,58.04,58.22,6259000,48.85
"2007-05-18",58.39,58.75,58.11,58.7,6948800,49.26
"2007-05-21",58.5,58.68,58.1,58.3,7615300,48.92
"2007-05-22",58.25,58.38,56.87,56.98,9787800,47.81
"2007-05-23",57.05,57.05,55.82,56.54,12017100,47.44
"2007-05-24",56.55,56.78,55.93,55.99,6693000,46.98
"2007-05-25",55.93,57.25,55.93,56.93,4929400,47.77
"2007-05-29",57.02,57.57,57.01,57.35,5188500,48.12
"2007-05-30",57.25,57.79,56.46,57.73,4664200,48.44
"2007-05-31",57.75,58.21,57.61,57.91,6119900,48.59
"2007-06-01",58.11,58.85,58.07,58.8,5809700,49.34
"2007-06-04",58.5,58.98,58.28,58.62,4766600,49.19
"2007-06-05",58.45,58.65,57.96,58.18,5538600,48.82
"2007-06-06",58.08,58.09,56.98,57.34,5501100,48.11
"2007-06-07",57.26,57.47,56.4,56.4,5947100,47.33
"2007-06-08",56.5,57.41,56.2,57.38,4053100,48.15
"2007-06-11",57.25,57.4,56.91,57.02,4729700,47.85
"2007-06-12",57,57.15,56.41,56.64,4337200,47.53
"2007-06-13",57.02,57.65,56.77,57.55,5369600,48.29
"2007-06-14",57.65,58.46,57.5,58.24,4381100,48.87
"2007-06-15",58.64,59.14,58.24,58.87,7291300,49.4
"2007-06-18",59.24,59.24,57.7,57.81,4341300,48.51
"2007-06-19",57.6,58.28,57.52,57.87,3252700,48.56
"2007-06-20",57.96,58.2,56.46,56.55,5146300,47.45
"2007-06-21",56.6,56.83,55.62,56.38,5049400,47.31
"2007-06-22",56.18,56.25,55.55,55.68,6236100,46.72
"2007-06-25",55.82,56.33,55.34,55.68,3567700,46.72
"2007-06-26",55.9,56.43,55.68,56.01,6656800,47
"2007-06-27",55.81,56.37,55.49,56.31,4796600,47.25
"2007-06-28",56.31,57.3,56.06,56.38,3975400,47.31
"2007-06-29",56.51,56.82,55.99,56.28,3921400,47.23
"2007-07-02",56.7,57.5,56.61,57.08,4293200,47.9
"2007-07-03",57.32,57.59,56.97,57.2,1784200,48
"2007-07-05",57.05,58.59,57.05,58.36,4983700,48.97
"2007-07-06",58.61,59.22,58.46,59.08,3150700,49.57
"2007-07-09",59.21,59.23,58.5,58.53,3032600,49.11
"2007-07-10",58.06,58.49,57.8,57.82,3872800,48.52
"2007-07-11",57.98,58.98,57.8,58.74,5035000,49.29
"2007-07-12",58.95,60.49,58.74,60.44,7032700,50.72
"2007-07-13",60.28,60.61,59.79,60.14,4809700,50.46
"2007-07-16",60.34,61.12,60.3,60.6,5276000,50.85
"2007-07-17",60.94,61.21,60.6,60.84,5555700,51.05
"2007-07-18",60.69,60.95,60.17,60.54,4795000,50.8
"2007-07-19",61.7,61.9,59.76,60.98,7556800,51.17
"2007-07-20",60.46,61.75,60.42,60.96,8138000,51.15
"2007-07-23",61.4,61.67,61.2,61.45,4069300,51.56
"2007-07-24",61.01,61.46,60.59,60.68,5343700,50.92
"2007-07-25",61.35,61.74,60.68,60.88,6978600,51.09
"2007-07-26",60.49,60.5,58.46,59.42,9265700,49.86
