"","HOT.Open","HOT.High","HOT.Low","HOT.Close","HOT.Volume","HOT.Adjusted"
"2007-01-03",62.41,62.99,61.8,62.3,1451500,53.66
"2007-01-04",61.88,63.18,60.93,61.74,1584300,53.18
"2007-01-05",61.7,61.71,60.71,60.9,2259300,52.46
"2007-01-08",60.9,62.09,60.29,61.43,2216400,52.91
"2007-01-09",61.6,61.91,60.49,61.77,2149900,53.21
"2007-01-10",61.55,62.41,61.17,61.75,1511800,53.19
"2007-01-11",62.1,63.41,61.85,62.37,2749000,53.72
"2007-01-12",62.5,64.05,62.4,63.09,2113400,54.34
"2007-01-16",63.75,64.45,63.29,64.2,1841000,55.3
"2007-01-17",64.2,64.2,63.5,63.62,1363900,54.8
"2007-01-18",63.65,63.94,62.49,62.82,1126900,54.11
"2007-01-19",63.09,63.85,63.02,63.69,1832800,54.86
"2007-01-22",64.19,64.19,62.29,62.54,2084200,53.87
"2007-01-23",62.55,63.26,62.4,62.68,1712900,53.99
"2007-01-24",62.99,63.54,62.44,62.61,2128800,53.93
"2007-01-25",63.1,63.2,61.23,61.48,2837100,52.96
"2007-01-26",61.48,61.63,60.2,60.86,3553500,52.42
"2007-01-29",60.69,61.05,60.23,60.25,2059500,51.9
"2007-01-30",60.4,60.95,59.63,60.43,2622400,52.05
"2007-01-31",60.91,62.65,60.75,62.58,2929400,53.91
"2007-02-01",63.08,65.25,63,65.07,4070800,56.05
"2007-02-02",65.57,66.58,65.35,66.18,2206900,57.01
"2007-02-05",66.19,67.14,66.19,66.73,1739300,57.48
"2007-02-06",66.25,67.34,66.02,67.16,2418600,57.85
"2007-02-07",66.99,67.93,66.43,67.86,2194500,58.45
"2007-02-08",67.86,69.21,67.59,68.97,3332900,59.41
"2007-02-09",69.01,69.64,66.77,66.96,2392500,57.68
"2007-02-12",66.75,67.5,66.29,66.53,1608400,57.31
"2007-02-13",66.73,67.92,66.58,67.78,1720600,58.38
"2007-02-14",67.71,69.5,67.48,69.02,2457100,59.45
"2007-02-15",68.66,69.65,68.22,68.93,2726200,59.37
"2007-02-16",68.7,68.96,68.5,68.83,795100,59.29
"2007-02-20",68.23,69.32,67.56,68.76,2067000,59.23
"2007-02-21",68.59,69.15,68.24,69,1174500,59.44
"2007-02-22",68.98,69,67.82,68.29,1829400,58.82
"2007-02-23",68.1,68.49,67.52,67.8,746600,58.4
"2007-02-26",68.24,68.37,66.93,67.32,808600,57.99
"2007-02-27",66.59,67.26,64.7,65.08,2082200,56.06
"2007-02-28",64.85,66.08,64.21,65.75,1931200,56.64
"2007-03-01",65.8,65.91,63.53,65.34,1654100,56.28
"2007-03-02",64.47,65.24,63.95,64.49,1812800,55.55
"2007-03-05",63.89,64.51,62.77,63.17,2241100,54.41
"2007-03-06",62.55,65.17,62.55,64.71,2219600,55.74
"2007-03-07",64.72,65,64.12,64.66,1594500,55.7
"2007-03-08",64.95,65.33,64.49,64.99,2016200,55.98
"2007-03-09",66.56,66.56,65.1,65.67,1289500,56.57
"2007-03-12",65.49,65.89,64.35,64.51,1552400,55.57
"2007-03-13",64,64.45,63.11,63.17,2010600,54.41
"2007-03-14",63.37,63.45,61.66,63.29,1649100,54.52
"2007-03-15",63.3,63.95,63.06,63.82,1150900,54.97
"2007-03-16",63.81,63.99,62.49,62.99,2214500,54.26
"2007-03-19",63.53,64.7,63.53,64.15,1635200,55.26
"2007-03-20",64.15,65.22,63.93,65.13,1360800,56.1
"2007-03-21",65.08,66.54,64.86,66.54,1086200,57.32
"2007-03-22",66.7,67.1,65.67,65.74,1891600,56.63
"2007-03-23",66.23,66.5,65.12,65.43,1883300,56.36
"2007-03-26",65.25,65.83,64.75,65.62,1172300,56.52
"2007-03-27",65.26,66.92,64.8,65,899500,55.99
"2007-03-28",64.99,65,64.03,64.69,1135200,55.72
"2007-03-29",64.95,65.43,64.51,64.9,1371500,55.9
"2007-03-30",65.25,65.36,64,64.85,1551200,55.86
"2007-04-02",66.27,68.3,65.35,67.82,5137700,58.42
"2007-04-03",68.14,69.95,67.94,69.84,5021400,60.16
"2007-04-04",69.91,71.79,69.83,70.86,4018500,61.04
"2007-04-05",70.87,70.87,69.86,70.08,1864100,60.37
"2007-04-09",69.81,69.95,68.47,68.7,1990400,59.18
"2007-04-10",68.7,68.94,67.85,67.91,2045200,58.5
"2007-04-11",66.2,69.26,66.2,67.5,2503200,58.14
"2007-04-12",65.8,67.59,65.8,67.48,1529300,58.13
"2007-04-13",67.95,68.02,67.2,67.78,1290200,58.38
"2007-04-16",67.7,68.62,67.7,68.62,919500,59.11
"2007-04-17",68.43,69.5,68.43,69.2,1248700,59.61
"2007-04-18",69.07,69.83,68.55,69.13,1280400,59.55
"2007-04-19",69.49,69.49,67.74,68.15,1832500,58.7
"2007-04-20",68.82,69.34,68.4,69.14,1694200,59.56
"2007-04-23",68.84,69.77,68.55,69.23,998100,59.63
"2007-04-24",69.36,69.45,68.35,69.32,1328100,59.71
"2007-04-25",69.87,71.67,68.36,69.04,2220900,59.47
"2007-04-26",69.64,70.76,68.96,69.29,2428600,59.68
"2007-04-27",69.29,69.6,68.25,69.02,1234300,59.45
"2007-04-30",68.75,69.3,66.95,67.02,1905400,57.73
"2007-05-01",67.24,67.63,65.98,67,3087900,57.71
"2007-05-02",66.9,69.1,66.49,68.95,3474000,59.39
"2007-05-03",69,70.52,68.37,69.72,3732700,60.06
"2007-05-04",69.8,71.39,69.6,70.91,2924200,61.08
"2007-05-07",70.58,70.9,69.87,70.05,1507200,60.34
"2007-05-08",69.8,70.81,69.47,70.63,1352100,60.84
"2007-05-09",70.28,71,69.86,70.7,1340500,60.9
"2007-05-10",70.41,70.43,68.79,68.93,2140300,59.37
"2007-05-11",68.99,69.77,68.81,69.6,1625800,59.95
"2007-05-14",69.45,70.26,69.03,69.13,1508100,59.55
"2007-05-15",69.01,69.9,68.64,68.74,1709500,59.21
"2007-05-16",69.41,69.75,68.73,69.56,1302700,59.92
"2007-05-17",69.4,69.87,68.89,69.2,993300,59.61
"2007-05-18",69.32,69.74,68.77,69.2,1541400,59.61
"2007-05-21",69,69.19,68.12,68.36,1406700,58.88
"2007-05-22",68.91,71.03,68.71,69.2,2102400,59.61
"2007-05-23",69.86,70.31,68.69,69.19,1834000,59.6
"2007-05-24",68.73,69.04,66.63,66.93,2214800,57.65
"2007-05-25",66.9,68.16,66.9,67.36,1592400,58.02
"2007-05-29",67.82,68.82,67.82,68.14,1776200,58.69
"2007-05-30",68.05,70.29,67.75,70.06,2201900,60.35
"2007-05-31",70,73.72,69.78,72.07,5048500,62.08
"2007-06-01",73.15,74.35,72.25,73.71,4511100,63.49
"2007-06-04",73.65,73.65,72,72.61,2843700,62.54
"2007-06-05",72.61,72.85,71.52,72.48,3647600,62.43
"2007-06-06",72,72.13,70.65,71.74,2605500,61.8
"2007-06-07",71.26,72.22,69.5,69.76,3181800,60.09
