"","HP.Open","HP.High","HP.Low","HP.Close","HP.Volume","HP.Adjusted"
"2007-01-03",24.22,24.3,22.94,23.14,2572200,21.82
"2007-01-04",23,23.28,22.79,23.06,1992500,21.75
"2007-01-05",23.01,23.39,22.95,23.13,2606400,21.81
"2007-01-08",23.51,23.68,23.07,23.26,1446600,21.93
"2007-01-09",22.97,23.48,22.72,23.39,1785300,22.06
"2007-01-10",23.2,23.4,23,23.22,1761700,21.9
"2007-01-11",23.18,23.93,23.15,23.39,2117900,22.06
"2007-01-12",23.49,24.38,23.47,24.34,1467300,22.95
"2007-01-16",24.17,24.65,24.11,24.38,2494500,22.99
"2007-01-17",24.25,24.95,24.25,24.54,1532800,23.14
"2007-01-18",24.63,24.95,24.22,24.27,1039000,22.89
"2007-01-19",24.32,25.12,24.21,25.08,1335300,23.65
"2007-01-22",25.33,25.45,24.84,25.02,1395500,23.59
"2007-01-23",25.27,26.23,25.19,26.07,1912100,24.58
"2007-01-24",25.8,26.41,25.74,26.36,1883600,24.86
"2007-01-25",26.34,26.43,25.5,25.77,1210300,24.3
"2007-01-26",25.96,26.1,25.77,25.89,1165200,24.42
"2007-01-29",25.92,26.24,25.71,25.87,1287300,24.4
"2007-01-30",26.07,26.92,26.07,26.88,2069600,25.35
"2007-01-31",26.92,27.13,26.59,26.83,1978400,25.3
"2007-02-01",27.55,28.28,27.27,27.89,3872200,26.3
"2007-02-02",27.94,28.48,27.61,28.35,2976400,26.73
"2007-02-05",28.48,28.66,28.26,28.34,1349500,26.73
"2007-02-06",28.6,28.7,27.67,28.09,1308100,26.49
"2007-02-07",28.25,28.56,27.7,27.97,1283800,26.38
"2007-02-08",27.9,28.07,27.63,27.93,1466900,26.34
"2007-02-09",27.97,28.07,27.4,27.54,1284600,25.97
"2007-02-12",27.38,27.53,26.89,27.2,1631500,25.65
"2007-02-13",27.35,27.58,27.16,27.3,1176600,25.79
"2007-02-14",27.39,27.55,26.93,27.03,1464500,25.53
"2007-02-15",26.9,27.09,26.74,27,1756400,25.5
"2007-02-16",27.1,27.19,26.91,27.04,987100,25.54
"2007-02-20",26.92,27.03,26.1,27.02,1510300,25.52
"2007-02-21",27.01,27.35,26.64,27.25,1683200,25.74
"2007-02-22",27.35,27.82,27.14,27.73,1394500,26.19
"2007-02-23",27.86,28.02,27.26,27.55,1114900,26.02
"2007-02-26",27.75,28.11,27.72,27.98,1237700,26.43
"2007-02-27",27.35,28,26.89,27.1,1392900,25.6
"2007-02-28",27.09,27.43,26.91,27.14,1463100,25.64
"2007-03-01",26.87,27.49,26.54,27.1,1429800,25.6
"2007-03-02",27,27.2,26.27,26.4,1433400,24.94
"2007-03-05",25.97,26.91,25.89,26.25,2020500,24.8
"2007-03-06",26.6,27.16,26.51,26.99,1144800,25.49
"2007-03-07",27.09,27.92,26.97,27.58,1328900,26.05
"2007-03-08",27.9,28.09,27.5,27.95,1336200,26.4
"2007-03-09",28.02,28.3,27.75,28.09,1109100,26.53
"2007-03-12",27.83,28.14,27.7,28.06,1150600,26.51
"2007-03-13",28.01,28.43,27.64,27.67,890000,26.14
"2007-03-14",27.77,28.35,27.65,28.28,1617200,26.71
"2007-03-15",28.3,28.6,28.19,28.36,963600,26.79
"2007-03-16",28.36,28.62,28.23,28.36,1038900,26.79
"2007-03-19",28.77,29.47,28.7,29.35,1118700,27.72
"2007-03-20",29.55,29.63,28.73,29.16,1234900,27.54
"2007-03-21",29.4,30.32,29.29,30.08,1845500,28.41
"2007-03-22",30.38,30.69,30.25,30.5,1868700,28.81
"2007-03-23",30.65,30.72,30.35,30.65,1340700,28.95
"2007-03-26",30.85,30.99,30.46,30.84,1353400,29.13
"2007-03-27",30.79,30.86,30.42,30.81,1122800,29.1
"2007-03-28",30.85,31,30.14,30.27,1362900,28.59
"2007-03-29",30.5,30.59,30.06,30.51,1879800,28.82
"2007-03-30",30.5,30.64,30.17,30.34,1733800,28.66
"2007-04-02",30.36,30.64,30.15,30.63,1967200,28.93
"2007-04-03",30.63,30.74,30.39,30.7,1606400,29
"2007-04-04",30.49,30.72,30,30.65,1936300,28.95
"2007-04-05",30.66,30.98,30.61,30.9,1555400,29.19
"2007-04-09",30.99,31.32,30.93,31.03,1545100,29.31
"2007-04-10",31.13,31.39,30.97,31.33,1427100,29.59
"2007-04-11",31.29,31.52,31.23,31.3,1128400,29.57
"2007-04-12",31.44,31.98,31.09,31.96,1026600,30.19
"2007-04-13",31.98,32.01,31.74,31.92,1191000,30.15
"2007-04-16",31.95,32.27,31.79,32.19,1002900,30.41
"2007-04-17",32.29,32.33,31.69,31.87,1201700,30.1
"2007-04-18",31.6,31.65,31.27,31.41,1049800,29.67
"2007-04-19",31.25,31.44,31.11,31.27,985500,29.54
"2007-04-20",31.65,31.65,31.03,31.29,1161400,29.56
"2007-04-23",31.4,31.79,31.3,31.69,900400,29.93
"2007-04-24",31.65,31.79,31.12,31.47,1227000,29.73
"2007-04-25",31.72,32.55,31.66,32.29,999800,30.5
"2007-04-26",32.21,32.6,32.01,32.45,822800,30.65
"2007-04-27",32.35,32.95,32.22,32.74,845500,30.93
"2007-04-30",32.83,33.06,32.25,32.29,1231900,30.5
"2007-05-01",32.33,33.26,32.27,33.12,2883200,31.29
"2007-05-02",31.07,33.08,31.06,32.15,3042300,30.37
"2007-05-03",32.01,32.33,31.9,32.26,1154000,30.47
"2007-05-04",32.41,32.83,32.1,32.2,1337100,30.42
"2007-05-07",31.98,32.45,31.9,32.18,969600,30.4
"2007-05-08",32.05,32.74,31.34,31.96,1269200,30.19
"2007-05-09",31.86,32.23,31.49,32.21,1068200,30.43
"2007-05-10",32.2,32.26,31.34,31.58,1222500,29.83
"2007-05-11",31.63,32.25,31.58,32.2,848400,30.46
"2007-05-14",31.74,32.36,31.74,32.03,707600,30.3
"2007-05-15",32,32.51,31.86,32.14,963700,30.4
"2007-05-16",32.21,32.72,32.01,32.7,1078100,30.93
"2007-05-17",32.7,33.5,32.4,33.24,1143200,31.44
"2007-05-18",33.25,33.5,32.75,33.32,1331700,31.52
"2007-05-21",33.33,33.83,33.17,33.46,1189700,31.65
"2007-05-22",33.5,33.59,33,33.03,1031300,31.24
"2007-05-23",33.3,33.48,33.03,33.1,953300,31.31
"2007-05-24",32.99,33.25,31.91,32.17,973200,30.43
"2007-05-25",32.48,32.69,32.36,32.57,814200,30.81
"2007-05-29",32.32,32.63,32.28,32.45,986800,30.7
"2007-05-30",32.35,33.86,32.15,33.83,1719900,32
"2007-05-31",33.81,34.35,33.54,33.89,1106100,32.06
"2007-06-01",34,34.34,33.7,33.87,805500,32.04
"2007-06-04",33.7,34.41,33.7,34.28,711600,32.43
"2007-06-05",34.23,34.24,33.76,34.23,732200,32.38
"2007-06-06",33.98,34.05,33.42,33.51,612500,31.7
"2007-06-07",33.32,33.69,32.77,32.77,655000,31
"2007-06-08",32.61,33.06,32.45,33.05,853300,31.26
"2007-06-11",33,33.71,32.95,33.33,457600,31.53
"2007-06-12",33.29,33.59,33.1,33.16,605000,31.37
"2007-06-13",33.35,34.01,33.28,33.88,659100,32.05
"2007-06-14",34.03,34.75,33.97,34.68,563100,32.81
"2007-06-15",34.85,35.25,34.75,35.22,781100,33.32
"2007-06-18",35.2,35.7,35.2,35.56,974600,33.64
"2007-06-19",35.2,35.68,34.83,35.6,848000,33.68
"2007-06-20",35.7,36.01,35.15,35.19,1231600,33.29
"2007-06-21",35.44,36.04,35.2,36.04,653000,34.09
"2007-06-22",36.01,36.17,35.31,36.11,1318200,34.16
"2007-06-25",35.85,36.57,35.35,36.02,1711100,34.07
"2007-06-26",36.01,36.05,34.83,34.85,967200,32.97
"2007-06-27",34.55,35.75,34.31,35.69,1155200,33.76
"2007-06-28",35.89,36.21,34.99,35.1,696300,33.2
"2007-06-29",35.35,35.8,35.2,35.42,641800,33.51
"2007-07-02",35.45,35.97,35.22,35.88,8e+05,33.94
"2007-07-03",36,36,35.68,35.83,409200,33.89
"2007-07-05",35.87,35.9,35.22,35.6,1208700,33.68
"2007-07-06",35.85,36.34,35.69,36.13,894500,34.18
"2007-07-09",36.42,36.42,35.72,36.07,565500,34.12
"2007-07-10",36.12,36.45,35.91,36.22,937000,34.26
"2007-07-11",35.86,36.19,35.44,35.87,1139700,33.93
"2007-07-12",36.12,36.44,35.79,36.43,902800,34.46
"2007-07-13",36.23,36.5,36.03,36.3,535400,34.34
"2007-07-16",36.46,36.46,35.36,35.58,893900,33.66
"2007-07-17",35.84,36.05,35.13,35.24,615200,33.34
"2007-07-18",35.05,35.51,34.35,35.28,1440000,33.37
"2007-07-19",35.25,35.9,35.12,35.71,831300,33.78
"2007-07-20",35.71,35.84,34.97,35.59,1067500,33.67
"2007-07-23",36.33,36.76,35,35.31,1260500,33.4
"2007-07-24",34.91,35.04,33.75,34,1151600,32.16
"2007-07-25",34.05,34.2,32.99,33.8,1652900,31.97
"2007-07-26",33.75,33.77,32.26,32.84,1199400,31.06
"2007-07-27",32.77,33.29,32.14,32.14,1034500,30.4
"2007-07-30",32.36,32.75,31.58,32.39,1241500,30.64
"2007-07-31",32.6,33.2,32.19,32.37,1211000,30.62
"2007-08-01",33.05,33.67,32.03,33.05,3519800,31.26
"2007-08-02",33.4,34.2,33.2,33.65,2274800,31.83
"2007-08-03",33.77,33.84,31.9,32.14,1748600,30.4
"2007-08-06",32,32.35,30.3,31.21,2097900,29.52
"2007-08-07",30.97,31.97,30.79,31.66,1507200,29.95
"2007-08-08",31.17,31.88,29.51,30.94,2675100,29.27
"2007-08-09",30.54,30.54,28.49,29.36,3118100,27.77
"2007-08-10",29,32.22,28.94,31.55,3094800,29.84
"2007-08-13",31.6,33.28,31.6,31.75,1987100,30.08
"2007-08-14",32,32,30.16,30.19,1527200,28.6
"2007-08-15",31.08,31.28,29.43,29.62,1480300,28.06
"2007-08-16",29.12,29.57,27.68,29.07,1940100,27.54
"2007-08-17",30.61,30.86,29.01,29.87,1304500,28.3
"2007-08-20",29.9,30.19,29.11,29.78,856700,28.21
"2007-08-21",29.66,29.83,29.08,29.22,756300,27.68
"2007-08-22",29.63,30.13,29.42,29.95,967200,28.37
"2007-08-23",30.37,30.41,29.67,30.19,860900,28.6
"2007-08-24",30.1,31.42,30.1,31.42,809400,29.76
"2007-08-27",31.5,31.58,30.81,31.1,608800,29.46
"2007-08-28",30.9,31.16,30.52,30.69,1007900,29.07
"2007-08-29",31.2,31.8,30.9,31.5,869300,29.84
"2007-08-30",31.1,31.29,30.77,30.96,1411500,29.33
"2007-08-31",31.4,31.79,31.28,31.49,750000,29.83
"2007-09-04",31.6,33.1,31.5,32.59,1198900,30.87
