"","HRL.Open","HRL.High","HRL.Low","HRL.Close","HRL.Volume","HRL.Adjusted"
"2007-01-03",37.51,38.5,37.51,38.15,668200,16.59
"2007-01-04",38.15,38.15,37.69,37.83,352800,16.45
"2007-01-05",37.22,37.72,37.05,37.58,395200,16.34
"2007-01-08",37.52,37.63,37.25,37.41,361000,16.26
"2007-01-09",37.45,37.54,37.09,37.12,542800,16.14
"2007-01-10",36.95,37.36,36.91,37.3,518800,16.22
"2007-01-11",37.42,37.88,37.42,37.81,300800,16.44
"2007-01-12",37.87,38.04,37.55,37.63,380600,16.36
"2007-01-16",37.79,37.95,37.26,37.37,417000,16.25
"2007-01-17",37.27,37.56,37.22,37.41,369000,16.33
"2007-01-18",37.34,37.72,37.26,37.26,303600,16.26
"2007-01-19",37.18,37.71,37.17,37.67,309600,16.44
"2007-01-22",37.6,37.71,37.49,37.6,351400,16.41
"2007-01-23",37.59,37.9,37.4,37.59,305800,16.41
"2007-01-24",37.65,37.95,37.6,37.83,197000,16.51
"2007-01-25",37.83,37.91,37.69,37.86,492800,16.53
"2007-01-26",37.85,37.85,37.14,37.37,438800,16.31
"2007-01-29",37.37,37.66,37.29,37.36,511600,16.31
"2007-01-30",37.34,37.64,37.25,37.59,222600,16.41
"2007-01-31",37.5,37.98,37.35,37.9,520200,16.54
"2007-02-01",37.87,37.94,37.49,37.92,428600,16.55
"2007-02-02",37.92,37.92,37.64,37.83,308000,16.51
"2007-02-05",37.8,37.8,37.38,37.6,412200,16.41
"2007-02-06",37.75,37.98,37.55,37.96,415200,16.57
"2007-02-07",37.96,38.07,37.67,38.07,394600,16.62
"2007-02-08",38.05,38.05,37.79,37.96,223600,16.57
"2007-02-09",37.96,38.1,37.72,37.99,412600,16.58
"2007-02-12",38.01,38.05,37.8,38.01,477800,16.59
"2007-02-13",38.1,38.51,37.99,38.51,348600,16.81
"2007-02-14",38.5,38.95,38.5,38.95,568400,17
"2007-02-15",38.95,39.15,38.58,39.13,797600,17.08
"2007-02-16",38.5,38.77,37.95,38.06,936800,16.61
"2007-02-20",38.02,38.13,37.38,37.88,884800,16.54
"2007-02-21",37.7,38.13,37.69,38.02,439000,16.6
"2007-02-22",37.95,38.02,37.28,37.39,521400,16.32
"2007-02-23",37.39,37.39,37.09,37.31,398200,16.29
"2007-02-26",37.31,37.57,37.1,37.55,547000,16.39
"2007-02-27",37.12,37.23,36.38,36.65,578800,16
"2007-02-28",36.65,36.86,36.46,36.49,772600,15.93
"2007-03-01",36.33,36.89,36.25,36.81,529600,16.07
"2007-03-02",36.76,36.77,36.33,36.43,526400,15.9
"2007-03-05",36.35,36.54,36.22,36.27,476400,15.83
"2007-03-06",36.34,36.76,36.31,36.64,466600,15.99
"2007-03-07",36.64,36.64,36.36,36.41,378000,15.89
"2007-03-08",36.56,36.74,36.53,36.7,306600,16.02
"2007-03-09",36.8,36.87,36.49,36.57,372800,15.96
"2007-03-12",36.63,36.97,36.58,36.95,319600,16.13
"2007-03-13",36.81,36.81,36.33,36.38,430000,15.88
"2007-03-14",36.35,36.63,36.05,36.49,456400,15.93
"2007-03-15",36.83,37.08,36.7,36.81,404600,16.07
"2007-03-16",36.82,37,36.62,36.68,393800,16.01
"2007-03-19",36.79,36.79,36.52,36.69,314600,16.02
"2007-03-20",36.6,36.93,36.48,36.87,275200,16.09
"2007-03-21",37.69,37.69,36.72,37.23,239600,16.25
"2007-03-22",38.1,38.1,37.14,37.3,595000,16.28
"2007-03-23",37.33,37.56,37.31,37.45,258800,16.35
"2007-03-26",37.46,37.48,37.12,37.31,228800,16.29
"2007-03-27",37.08,37.27,36.93,37.08,435000,16.19
"2007-03-28",37.03,37.33,36.93,37.12,456400,16.2
"2007-03-29",37.35,37.39,37.03,37.1,655400,16.2
"2007-03-30",37.2,37.45,37.03,37.19,501600,16.23
"2007-04-02",37.3,37.58,37.24,37.55,917000,16.39
"2007-04-03",37.63,37.96,37.6,37.86,554600,16.53
"2007-04-04",37.93,37.95,37.45,37.58,709200,16.4
"2007-04-05",37.5,37.66,37.39,37.53,306200,16.38
"2007-04-09",37.51,37.6,37.07,37.07,593000,16.18
"2007-04-10",37.12,37.42,37.12,37.26,623400,16.26
"2007-04-11",37.3,37.39,37.11,37.31,597200,16.29
"2007-04-12",37.3,37.63,37.2,37.61,353400,16.42
"2007-04-13",37.64,37.73,37.47,37.64,377600,16.43
"2007-04-16",37.64,37.68,37.56,37.68,403600,16.45
"2007-04-17",37.64,37.76,37.47,37.64,626600,16.43
"2007-04-18",37.5,37.5,37.31,37.37,284600,16.38
"2007-04-19",37.17,37.59,37.07,37.47,503000,16.42
"2007-04-20",37.7,37.96,37.58,37.87,366600,16.6
"2007-04-23",37.8,38.13,37.8,38.05,326600,16.68
"2007-04-24",38.24,38.3,38,38.18,382400,16.73
"2007-04-25",38.32,38.36,38.04,38.27,397400,16.77
