"","HSP.Open","HSP.High","HSP.Low","HSP.Close","HSP.Volume","HSP.Adjusted"
"2007-01-03",33.75,34.1,33.66,33.85,2128200,33.85
"2007-01-04",33.88,34,33.68,33.96,2237800,33.96
"2007-01-05",33.8,34,33.7,33.85,1308800,33.85
"2007-01-08",33.79,34.07,33.6,33.97,943000,33.97
"2007-01-09",34.7,34.99,34.41,34.7,1934800,34.7
"2007-01-10",34.5,34.8,34.48,34.63,860900,34.63
"2007-01-11",34.75,34.84,34.58,34.74,461400,34.74
"2007-01-12",34.64,34.96,34.58,34.65,576600,34.65
"2007-01-16",34.65,34.86,34.4,34.55,729600,34.55
"2007-01-17",34.6,34.95,34.43,34.85,754000,34.85
"2007-01-18",34.99,35.2,34.7,34.94,819100,34.94
"2007-01-19",35.1,35.3,35,35,1513100,35
"2007-01-22",35.6,35.92,35.5,35.76,1519200,35.76
"2007-01-23",35.76,35.9,35.65,35.77,1157000,35.77
"2007-01-24",35.76,35.98,35.67,35.92,1046800,35.92
"2007-01-25",35.89,36.4,35.85,36.31,1309700,36.31
"2007-01-26",36.31,37.13,36.1,36.73,1683900,36.73
"2007-01-29",36.74,36.93,36.49,36.62,1335500,36.62
"2007-01-30",36.62,36.75,36.57,36.66,1275500,36.66
"2007-01-31",36.65,36.89,36.51,36.78,1705800,36.78
"2007-02-01",36.75,37,36.69,36.85,1899500,36.85
"2007-02-02",36.9,37.33,36.87,37.11,1471300,37.11
"2007-02-05",36.93,37.35,36.83,37.25,630300,37.25
"2007-02-06",37.25,37.27,37.09,37.27,924900,37.27
"2007-02-07",37.27,37.33,37.09,37.11,1223000,37.11
"2007-02-08",37.12,37.27,36.8,37,1479100,37
"2007-02-09",37.05,37.2,36.74,36.82,908900,36.82
"2007-02-12",36.7,36.87,36.25,36.42,967400,36.42
"2007-02-13",36.47,36.93,36.3,36.93,855100,36.93
"2007-02-14",36.94,37.09,36.9,37.02,402900,37.02
"2007-02-15",37,37.09,36.9,37.03,668200,37.03
"2007-02-16",36.85,37.03,36.72,37,383700,37
"2007-02-20",36.85,37.35,36.7,37.34,1325500,37.34
"2007-02-21",37.34,37.48,37.07,37.45,1033200,37.45
"2007-02-22",37.55,37.65,37.28,37.56,734900,37.56
"2007-02-23",37.56,37.59,37.13,37.22,634400,37.22
"2007-02-26",37.24,37.34,36.98,37.02,1164800,37.02
"2007-02-27",36.78,36.95,35.3,35.9,1965600,35.9
"2007-02-28",38.5,40.66,38.22,38.31,5116000,38.31
"2007-03-01",38.28,39.27,37.8,39.22,2865300,39.22
"2007-03-02",39.01,39.78,38.9,39.08,1582200,39.08
"2007-03-05",38.7,39.49,38.6,38.83,1184300,38.83
"2007-03-06",38.96,39.45,38.8,38.95,1662500,38.95
"2007-03-07",38.95,39.92,38.75,39.9,1229500,39.9
"2007-03-08",39.99,40.25,39.84,40.21,1257700,40.21
"2007-03-09",40.5,40.55,39.9,40.02,678000,40.02
"2007-03-12",40.02,40.49,39.81,39.92,830500,39.92
"2007-03-13",39.8,39.81,39.28,39.28,974800,39.28
"2007-03-14",39.28,39.5,39,39.4,804400,39.4
"2007-03-15",39.48,39.79,39.41,39.54,626500,39.54
"2007-03-16",39.25,39.49,39.05,39.09,973600,39.09
"2007-03-19",39.25,39.59,38.97,39.4,988400,39.4
"2007-03-20",39.4,39.5,39.17,39.26,801000,39.26
"2007-03-21",39.4,40.24,39.21,40.06,1213700,40.06
"2007-03-22",40.03,40.2,39.6,39.7,1022700,39.7
"2007-03-23",39.64,39.93,39.6,39.74,1047100,39.74
"2007-03-26",39.56,39.86,39.23,39.61,654700,39.61
"2007-03-27",39.5,39.6,39.24,39.42,671500,39.42
"2007-03-28",39.43,40.7,39.3,40.56,1299900,40.56
"2007-03-29",40.74,40.96,40.4,40.62,1185300,40.62
"2007-03-30",40.61,40.96,40.6,40.9,902600,40.9
"2007-04-02",40.89,40.98,40.51,40.95,537400,40.95
"2007-04-03",40.99,41.12,40.85,41.09,437600,41.09
"2007-04-04",40.97,41.24,40.81,40.86,977300,40.86
"2007-04-05",40.86,40.99,40.6,40.93,1127300,40.93
"2007-04-09",40.83,41,40.61,40.72,893700,40.72
"2007-04-10",40.65,40.9,40.55,40.69,878400,40.69
"2007-04-11",40.5,40.7,40.24,40.49,831700,40.49
"2007-04-12",40.3,40.99,40.25,40.8,853400,40.8
"2007-04-13",40.75,41.33,40.56,41.21,679900,41.21
"2007-04-16",41.29,41.82,41.27,41.59,456300,41.59
"2007-04-17",41.56,41.88,41.41,41.73,547000,41.73
"2007-04-18",41.6,41.6,41.15,41.4,504100,41.4
"2007-04-19",41.25,41.49,41.1,41.46,597100,41.46
"2007-04-20",41.8,41.93,41.32,41.57,697700,41.57
"2007-04-23",41.58,42,41.58,41.88,460400,41.88
"2007-04-24",41.89,41.89,41.13,41.21,618700,41.21
"2007-04-25",41.3,41.5,40.95,41.18,656200,41.18
"2007-04-26",41.18,41.5,40.88,41.04,866500,41.04
"2007-04-27",40.4,41.2,40.4,41.06,437800,41.06
"2007-04-30",41.07,41.18,40.55,40.55,512600,40.55
"2007-05-01",40.4,40.88,40.36,40.8,557600,40.8
"2007-05-02",40.89,41.5,40.71,41.48,767400,41.48
