"","HST.Open","HST.High","HST.Low","HST.Close","HST.Volume","HST.Adjusted"
"2007-01-03",24.55,24.78,24.34,24.56,2407800,20.58
"2007-01-04",24.39,24.58,24.12,24.5,1942100,20.53
"2007-01-05",24.45,24.5,23.88,23.97,1637300,20.09
"2007-01-08",23.93,23.99,23.7,23.89,2412600,20.02
"2007-01-09",23.89,24.25,23.88,24.18,3175200,20.26
"2007-01-10",24.18,24.3,23.98,24.23,3509800,20.31
"2007-01-11",24.17,24.97,24.14,24.86,4769700,20.83
"2007-01-12",24.9,25.11,24.75,24.93,3300900,20.89
"2007-01-16",24.82,25.25,24.78,25.05,3974400,20.99
"2007-01-17",25.05,25.34,24.72,25.19,2823000,21.11
"2007-01-18",25.35,25.35,24.89,24.92,2217500,20.89
"2007-01-19",24.8,25.24,24.8,25.17,2027100,21.09
"2007-01-22",25.26,25.34,25,25.03,2598800,20.98
"2007-01-23",25.11,25.3,25.01,25.11,2187700,21.04
"2007-01-24",25.25,25.59,25.05,25.51,1973000,21.38
"2007-01-25",25.75,26.14,25.54,25.76,3520400,21.59
"2007-01-26",25.75,25.75,25.39,25.66,1720900,21.51
"2007-01-29",25.6,25.7,25.43,25.63,1829000,21.48
"2007-01-30",25.63,26,25.44,25.8,2579800,21.62
"2007-01-31",25.85,26.65,25.8,26.47,4131600,22.18
"2007-02-01",26.64,26.92,26.32,26.9,3003900,22.54
"2007-02-02",26.85,27.27,26.79,27.27,2940000,22.85
"2007-02-05",27.37,27.49,27.05,27.24,1817800,22.83
"2007-02-06",27.3,27.97,27.09,27.75,4771500,23.26
"2007-02-07",28,28.89,27.87,28.71,4901700,24.06
"2007-02-08",27.75,28.38,27.39,28.05,4235100,23.51
"2007-02-09",28.07,28.4,26.97,27.99,8047800,23.46
"2007-02-12",27.99,27.99,27.38,27.75,2594500,23.26
"2007-02-13",27.85,28.98,27.75,28.71,4488400,24.06
"2007-02-14",28.15,28.49,27.85,27.96,3873900,23.43
"2007-02-15",27.96,28.1,27.69,27.99,2993600,23.46
"2007-02-16",27.96,28.07,27.38,27.63,3052100,23.16
"2007-02-20",28.06,28.07,27.38,27.5,4151000,23.05
"2007-02-21",27,27.5,26.99,27.3,4243300,22.88
"2007-02-22",27.3,27.41,26.66,26.8,5526000,22.46
"2007-02-23",26.94,27,26.4,26.5,3945000,22.21
"2007-02-26",26.75,26.77,26.02,26.55,3024900,22.25
"2007-02-27",26.55,26.55,25.32,25.76,3612700,21.59
"2007-02-28",25.88,26.49,25.65,26.28,4293100,22.02
"2007-03-01",25.81,26.3,25.33,25.82,3858600,21.64
"2007-03-02",25.65,25.89,25.21,25.28,2485200,21.19
"2007-03-05",24.93,25.14,24.15,24.2,3700000,20.28
"2007-03-06",24.9,25.03,24.65,24.9,4234400,20.87
"2007-03-07",24.91,25,24.35,24.35,4224700,20.41
