"","HUM.Open","HUM.High","HUM.Low","HUM.Close","HUM.Volume","HUM.Adjusted"
"2007-01-03",55.46,56.68,55.4,56.02,2453400,54.08
"2007-01-04",55.83,55.89,54.49,55.35,2305600,53.43
"2007-01-05",54.5,54.54,52.6,52.98,3937300,51.14
"2007-01-08",53.49,53.49,51.72,53.01,2858200,51.17
"2007-01-09",53.02,53.05,51.68,52.25,2776100,50.44
"2007-01-10",51,52.52,51,52.31,2133400,50.5
"2007-01-11",52.11,54.32,52.05,54.02,1988200,52.15
"2007-01-12",54.05,54.78,53.52,54.52,1816000,52.63
"2007-01-16",54.41,54.79,53.75,54.2,1560900,52.32
"2007-01-17",54.2,55.6,54.1,55.6,2300700,53.67
"2007-01-18",55.4,55.42,53.92,54.85,3066400,52.95
"2007-01-19",55,55,54.31,54.49,1068600,52.6
"2007-01-22",54.47,54.89,53.87,53.9,1435900,52.03
"2007-01-23",53.98,54.28,53.38,53.89,1599900,52.02
"2007-01-24",53.84,54.15,52.93,53.64,1906000,51.78
"2007-01-25",53.54,54.04,53.41,53.49,1226800,51.64
"2007-01-26",53.15,53.59,52.31,53.46,2086100,51.61
"2007-01-29",53.47,54.02,53.07,53.51,1263400,51.66
"2007-01-30",53.7,56.38,53.5,55.81,5087800,53.88
"2007-01-31",55.62,55.88,54.42,55.5,2979400,53.58
"2007-02-01",55.49,57.36,55.17,57.22,2703700,55.24
"2007-02-02",57.29,57.88,56.71,57.32,2584300,55.33
"2007-02-05",58,58.38,57.47,57.84,3416200,55.84
"2007-02-06",57.95,60.22,57.77,60,3947300,57.92
"2007-02-07",60.5,61.36,60.41,61.04,3737100,58.93
"2007-02-08",61.04,61.04,59.69,59.79,2810100,57.72
"2007-02-09",60.02,60.17,59.37,59.62,1493900,57.55
"2007-02-12",59.62,60.33,59.4,59.66,2138800,57.59
"2007-02-13",60,60.52,59.78,60.01,1655100,57.93
"2007-02-14",60.01,62.35,59.88,61.98,2282700,59.83
"2007-02-15",62.23,63.52,61.98,63.03,1713700,60.85
"2007-02-16",62.61,62.92,61.64,62.23,2049900,60.07
"2007-02-20",62.24,63.48,61.4,63.45,2287600,61.25
"2007-02-21",64.5,64.5,62.2,62.44,1293500,60.28
"2007-02-22",62.35,62.52,61.68,62.31,1164500,60.15
"2007-02-23",62.1,62.12,59.63,60.86,3685200,58.75
"2007-02-26",61.15,61.48,60.26,61,2037400,58.89
"2007-02-27",59.85,60.45,58.03,59.22,1936000,57.17
"2007-02-28",59.5,60.02,58.8,59.91,1751100,57.83
"2007-03-01",59,61.65,58.01,60.81,2631500,58.7
"2007-03-02",60.81,60.84,59.7,59.71,1783200,57.64
"2007-03-05",58.61,58.85,57.62,57.86,2208900,55.86
"2007-03-06",58.17,59.64,58.17,59.43,2066000,57.37
"2007-03-07",59.45,60.36,59,60.02,1930500,57.94
"2007-03-08",60.2,61.45,60.19,61.11,2219700,58.99
"2007-03-09",61.2,61.4,58.83,59.05,1847200,57
"2007-03-12",59.83,60.43,59.15,60.2,1883900,58.11
"2007-03-13",60.25,60.31,58.34,58.36,1987800,56.34
"2007-03-14",58.8,59.68,57.86,58.38,1503100,56.36
"2007-03-15",58.38,59.09,58.29,58.64,1179200,56.61
"2007-03-16",58.6,58.89,57.94,58.23,1697300,56.21
"2007-03-19",58.9,59.33,58.54,58.86,1197400,56.82
"2007-03-20",58.86,58.86,57.84,57.99,1743900,55.98
"2007-03-21",57.9,57.99,56.85,57.62,2649000,55.62
"2007-03-22",57.7,60.04,57.49,59.89,2930100,57.81
"2007-03-23",59.88,60.86,59.6,60.49,1910200,58.39
"2007-03-26",60.49,61.29,60.29,60.74,1780900,58.64
"2007-03-27",60.64,60.65,58.76,59.45,2116700,57.39
"2007-03-28",59.45,59.45,58.31,58.62,1007500,56.59
"2007-03-29",59.02,59.02,57.09,57.28,1638700,55.3
"2007-03-30",57.43,58.23,57.18,58.02,2296500,56.01
