"","ICE.Open","ICE.High","ICE.Low","ICE.Close","ICE.Volume","ICE.Adjusted"
"2007-01-03",108.38,118.06,108.15,115.72,5628900,115.02
"2007-01-04",115.72,121.4,114.14,121.01,3780100,120.28
"2007-01-05",121.9,126.65,121,124.56,4396400,123.8
"2007-01-08",125.35,127.75,122.45,125.69,3206500,124.93
"2007-01-09",125.69,126.22,122.5,124.65,2774900,123.89
"2007-01-10",124.33,136.1,123.01,135.25,5255000,134.43
"2007-01-11",135.25,137.75,132.76,136.54,3399800,135.71
"2007-01-12",134.32,135.5,131.24,134.73,3202800,133.91
"2007-01-16",134.55,137.75,127.94,129.19,4070700,128.41
"2007-01-17",127.57,133.95,127.5,133.22,3985400,132.41
"2007-01-18",132.76,132.77,127.3,129.19,3784700,128.41
"2007-01-19",127.32,129,124.05,126.91,3612200,126.14
"2007-01-22",126.91,128.69,123.56,124.1,2518300,123.35
"2007-01-23",124.08,130.3,123.16,129.5,2764800,128.71
"2007-01-24",130.85,137,130.25,136.4,3085700,135.57
"2007-01-25",138.1,140.5,130.81,131.74,4007800,130.94
"2007-01-26",132.63,135.33,128.9,135.17,3522400,134.35
"2007-01-29",135.5,135.68,129,129.88,2956100,129.09
"2007-01-30",127.6,132.39,127.1,131.44,2909500,130.64
"2007-01-31",131.02,134,129.12,130.55,1931200,129.76
"2007-02-01",131.95,136.23,131.95,135.55,2742400,134.73
"2007-02-02",138,142.78,138,142.47,4827500,141.6
"2007-02-05",142.7,144,140.16,143.6,2584100,142.73
"2007-02-06",144,144,137.92,142.86,3547000,141.99
"2007-02-07",140.5,148.1,138,148.05,5310900,147.15
"2007-02-08",148.76,158.05,146.7,152.05,7363500,151.13
"2007-02-09",150.5,154.8,145.15,149.36,4973500,148.45
"2007-02-12",148.8,149.2,142.62,143.57,3582800,142.7
"2007-02-13",144.77,151.25,144.55,150.86,4194900,149.94
"2007-02-14",151,154.5,148.25,151.64,3609300,150.72
"2007-02-15",152.49,156.33,151.5,155.08,3338600,154.14
"2007-02-16",154.9,158.32,152.6,158.32,3752500,157.36
"2007-02-20",159.5,164.88,157.57,162.59,4933100,161.6
"2007-02-21",163.6,167,161.99,163.86,5594700,162.86
"2007-02-22",164.74,165.1,159.54,160.58,4385100,159.6
"2007-02-23",160.15,164,159.2,161.94,4232300,160.96
"2007-02-26",163.15,164.98,156.06,157.21,4251300,156.26
"2007-02-27",152.3,153.58,143.11,144.58,6719700,143.7
"2007-02-28",145.31,151,140.7,150.77,8466100,149.85
"2007-03-01",145.5,153.36,142.65,150.58,7074700,149.67
"2007-03-02",148,149.5,137.69,138.58,10612900,137.74
"2007-03-05",135.88,142.25,134.25,137.11,8337400,136.28
"2007-03-06",142.5,143.99,138.51,142.43,8107100,141.56
"2007-03-07",140.65,141.47,128.8,129.1,12732500,128.32
"2007-03-08",131.1,136.48,128.5,131.36,13608600,130.56
"2007-03-09",133.8,134.49,127.35,131,7692900,130.2
"2007-03-12",130.1,135.35,129.55,134.45,5193800,133.63
"2007-03-13",134.45,134.75,128.3,129.01,5654500,128.23
"2007-03-14",129.5,132.9,125.02,131.93,7821100,131.13
"2007-03-15",132.59,133.5,126.32,128.1,11656000,127.32
"2007-03-16",129.14,131,125.15,126.38,5059400,125.61
"2007-03-19",127.85,130.5,127.28,127.99,4902200,127.21
"2007-03-20",127.99,132,127.56,129.89,4670700,129.1
"2007-03-21",130.75,132.75,128.62,129.75,4577000,128.96
"2007-03-22",130.87,130.87,126.81,127.26,4409600,126.49
"2007-03-23",127.3,127.65,123.25,123.56,4425100,122.81
"2007-03-26",123.5,124.9,119.42,120.85,5380700,120.12
"2007-03-27",121.24,124.62,120.4,122.94,5897200,122.19
"2007-03-28",122.01,125.11,121.06,121.96,5515200,121.22
"2007-03-29",123.44,125.2,121.4,122.97,4708700,122.22
"2007-03-30",123.88,124.5,121.55,122.21,3181200,121.47
"2007-04-02",123.54,127.9,120.56,127.87,5297900,127.09
"2007-04-03",127.35,127.35,123.54,123.65,5607300,122.9
"2007-04-04",123.39,126.77,122.75,125.89,3843800,125.13
"2007-04-05",125.91,130.1,125.79,128.88,3706700,128.1
"2007-04-09",129.99,131.89,127.9,128.5,3007500,127.72
"2007-04-10",129.3,130.85,127.14,127.95,2497000,127.17
"2007-04-11",128.31,128.67,125.71,126.95,2294300,126.18
"2007-04-12",126,128.1,124.77,126.66,1818700,125.89
"2007-04-13",127.09,130.49,127,129.79,3136100,129
"2007-04-16",130.42,132.2,129.4,130.01,2744300,129.22
"2007-04-17",130.59,133.13,130.02,131.18,3264700,130.38
"2007-04-18",131.63,132.67,129.75,130.9,1899100,130.1
"2007-04-19",129.75,131.2,128.32,129.7,1766100,128.91
"2007-04-20",131.4,135.1,131.05,133.83,4528100,133.02
"2007-04-23",133.58,134.89,131.65,132.35,2728000,131.55
"2007-04-24",133.29,135.04,130,130.16,2190400,129.37
"2007-04-25",131.35,131.85,129.32,130.51,2135400,129.72
"2007-04-26",131,131.15,128.85,129.17,1580400,128.39
"2007-04-27",129.3,129.55,126.25,126.76,1376800,125.99
"2007-04-30",131.5,132.25,126.65,127,3674100,126.23
"2007-05-01",128.29,128.3,122.03,123.02,3739900,122.27
"2007-05-02",126,131,125.5,127.26,5240600,126.49
"2007-05-03",129.9,134.94,129.72,134.75,5704700,133.93
"2007-05-04",135.97,139.11,135.97,138.4,5010900,137.56
"2007-05-07",138.48,138.88,135.07,137.14,2551000,136.31
"2007-05-08",136.16,136.44,133.51,134.7,2332800,133.88
"2007-05-09",134,139.23,133.5,137.55,3097900,136.71
"2007-05-10",137.55,141.87,134.5,134.85,5544900,134.03
"2007-05-11",137.76,140.88,135.7,140.55,4171100,139.7
"2007-05-14",140.02,142.5,138.55,138.8,2751900,137.96
"2007-05-15",138.51,140.93,136.12,137.32,2905500,136.49
"2007-05-16",138,139.73,136.55,137.81,2536600,136.97
"2007-05-17",137.61,140.34,137.49,139.8,2199600,138.95
"2007-05-18",140.33,141.47,138.85,139.18,1746700,138.33
"2007-05-21",139.2,147.49,139.2,146.08,6554500,145.19
"2007-05-22",147.49,152.3,147.08,151.4,5707200,150.48
"2007-05-23",153.35,153.36,147.46,148.47,3982500,147.57
"2007-05-24",148,149.36,141.13,142.16,4455500,141.3
"2007-05-25",144.1,145.64,143.09,144.99,2230200,144.11
"2007-05-29",144.99,148.61,144.91,147.75,1993500,146.85
"2007-05-30",147,150.41,143.69,148.71,2969700,147.81
"2007-05-31",148.85,150,143.55,144.94,3319000,144.06
"2007-06-01",146.22,147.95,142.97,142.97,2056000,142.1
"2007-06-04",142.16,149.67,141.82,149.67,3522800,148.76
"2007-06-05",149.67,151.4,146.6,148.76,3202100,147.86
"2007-06-06",147.01,154.98,146.27,152.99,5206800,152.06
"2007-06-07",153.75,155.44,146,146.71,5144500,145.82
"2007-06-08",145.23,147.55,142.1,145.63,3409200,144.75
"2007-06-11",147,150.67,145.34,149.19,2963800,148.28
"2007-06-12",149.21,152.22,147.03,148.98,3430000,148.08
