"","IFF.Open","IFF.High","IFF.Low","IFF.Close","IFF.Volume","IFF.Adjusted"
"2007-01-03",49.89,49.94,48.64,48.92,1291900,41.94
"2007-01-04",48.85,48.94,48.12,48.39,665800,41.49
"2007-01-05",48.39,48.94,48.19,48.78,718700,41.82
"2007-01-08",48.75,48.91,48.58,48.74,513700,41.79
"2007-01-09",48.73,49.36,48.6,49.27,476600,42.24
"2007-01-10",49.08,49.64,48.93,49.59,361900,42.52
"2007-01-11",49.75,50.27,49.65,49.8,512300,42.7
"2007-01-12",49.67,50.15,49.65,49.94,344700,42.82
"2007-01-16",49.99,50.39,49.85,50.04,238200,42.9
"2007-01-17",49.87,50.18,49.56,50.15,320300,43
"2007-01-18",50.3,50.4,49.66,49.79,320300,42.69
"2007-01-19",49.98,50.27,49.86,50.21,383400,43.05
"2007-01-22",50,50.2,49.5,49.78,310700,42.68
"2007-01-23",49.63,50.77,49.62,50.77,518700,43.53
"2007-01-24",50.69,50.91,50.35,50.58,401900,43.37
"2007-01-25",50.68,51,49.9,50.03,359000,42.89
"2007-01-26",50.04,50.25,49.83,50.19,428900,43.03
"2007-01-29",50.35,50.88,50.23,50.61,719200,43.39
"2007-01-30",50.01,50.01,47.27,48.12,2711500,41.26
"2007-01-31",48.12,48.55,47.75,48.48,1146900,41.56
"2007-02-01",48.6,49.24,48.48,49.23,803500,42.21
"2007-02-02",49.45,49.45,49.01,49.17,613000,42.16
"2007-02-05",49.18,49.21,48.76,48.93,532400,41.95
"2007-02-06",49.1,49.34,48.84,49.24,636300,42.22
"2007-02-07",49.34,49.37,48.69,48.75,467100,41.8
"2007-02-08",48.75,48.75,47.88,48.24,848600,41.36
"2007-02-09",48.38,49.03,48.38,48.65,646800,41.71
"2007-02-12",48.6,48.86,48.43,48.45,453000,41.54
"2007-02-13",48.63,49,48.55,48.92,478400,41.94
"2007-02-14",48.99,49.46,48.47,48.58,729700,41.65
"2007-02-15",48.67,48.98,48.45,48.89,445300,41.92
"2007-02-16",48.76,48.94,48.55,48.76,374400,41.8
"2007-02-20",48.77,49.1,48.47,49,317500,42.01
"2007-02-21",48.99,49.1,48.81,48.97,403500,41.98
"2007-02-22",49,49.15,48.51,48.68,347200,41.74
"2007-02-23",48.7,48.7,48.13,48.23,399800,41.35
"2007-02-26",48.31,48.77,48.14,48.23,376500,41.35
"2007-02-27",48,48,46.29,46.83,584700,40.15
"2007-02-28",46.8,47.16,46.3,46.8,478300,40.12
"2007-03-01",46.23,47.18,45.71,46.84,641900,40.16
"2007-03-02",46.85,46.91,46.02,46.03,470500,39.46
"2007-03-05",45.93,46.46,45.78,46,446300,39.44
"2007-03-06",46.25,46.92,46.21,46.65,441200,40
"2007-03-07",46.45,46.94,46.34,46.35,419500,39.74
"2007-03-08",46.39,46.99,46.39,46.66,420500,40
"2007-03-09",46.75,46.9,46.54,46.72,430600,40.06
"2007-03-12",46.52,47.03,46.52,46.9,355500,40.21
"2007-03-13",46.82,46.96,46.2,46.22,593700,39.63
"2007-03-14",46.23,46.65,45.77,46.45,618300,39.82
"2007-03-15",46.33,47.08,46.33,46.67,527200,40.01
"2007-03-16",46.73,46.84,46.14,46.22,606600,39.63
"2007-03-19",45.88,46.35,45.88,46.08,999500,39.51
"2007-03-20",46.13,46.9,45.91,46.81,1028200,40.32
"2007-03-21",46.91,47.7,46.67,47.55,601200,40.95
"2007-03-22",47.56,47.96,47.49,47.91,595900,41.26
"2007-03-23",47.96,48.26,47.67,47.92,425700,41.27
"2007-03-26",47.8,48.16,47.38,48.01,444500,41.35
"2007-03-27",48.01,48.01,47.46,47.7,403700,41.08
"2007-03-28",47.7,47.74,47.11,47.26,504100,40.7
"2007-03-29",47.4,47.71,46.87,47.18,427000,40.64
"2007-03-30",47.29,47.71,46.77,47.22,491300,40.67
"2007-04-02",47.07,47.27,46.95,47.14,333000,40.6
"2007-04-03",47.25,47.91,47.19,47.8,338000,41.17
"2007-04-04",47.81,48.03,47.62,47.71,261000,41.09
"2007-04-05",47.7,47.76,47.43,47.61,171900,41.01
"2007-04-09",47.61,48.11,47.61,47.93,225700,41.28
"2007-04-10",47.98,48.04,47.73,47.77,154300,41.14
"2007-04-11",47.59,47.65,47.21,47.32,264400,40.76
"2007-04-12",47.35,47.94,47.19,47.94,313300,41.29
"2007-04-13",47.94,48.06,47.6,47.67,224400,41.06
"2007-04-16",47.8,48.33,47.66,48.33,259600,41.63
"2007-04-17",48.39,48.63,48.11,48.29,201100,41.59
"2007-04-18",48.29,48.33,47.85,48.07,268200,41.4
"2007-04-19",47.85,48.15,47.57,48.02,226000,41.36
"2007-04-20",48.25,48.56,48.05,48.44,361600,41.72
"2007-04-23",49,49,48.28,48.48,361900,41.76
"2007-04-24",48.4,48.6,47.88,48.14,317400,41.46
"2007-04-25",48.2,49.45,48.18,49.36,578700,42.51
"2007-04-26",49.31,49.36,48.66,48.95,394000,42.16
"2007-04-27",48.91,48.91,48.37,48.65,665800,41.9
"2007-04-30",48.78,49.15,48.6,48.67,436900,41.92
"2007-05-01",48.6,48.84,48.16,48.3,476200,41.6
"2007-05-02",48.38,48.84,48.33,48.5,742600,41.77
"2007-05-03",50.48,52.88,50.17,52.75,2622300,45.43
"2007-05-04",52.99,52.99,51.53,51.86,922000,44.67
"2007-05-07",51.82,52.63,51.82,52.07,618700,44.85
"2007-05-08",52.08,52.19,51.57,51.78,553200,44.6
"2007-05-09",51.75,52.02,51.32,51.73,611500,44.55
"2007-05-10",51.68,51.76,50.94,51.07,489900,43.99
"2007-05-11",50.84,51.24,50.71,51.03,490500,43.95
"2007-05-14",51.03,51.28,50.63,50.89,376700,43.83
"2007-05-15",50.88,51.57,50.77,51.22,549500,44.11
"2007-05-16",51.3,51.53,50.85,50.92,404800,43.86
"2007-05-17",50.8,51.19,50.77,51,357200,43.93
"2007-05-18",51.28,51.44,50.81,50.97,349300,43.9
"2007-05-21",51.03,51.79,50.99,51.75,559200,44.57
