"","IP.Open","IP.High","IP.Low","IP.Close","IP.Volume","IP.Adjusted"
"2007-01-03",34.23,34.86,34.23,34.65,2796000,27.48
"2007-01-04",34.65,34.65,34.13,34.16,2759800,27.1
"2007-01-05",34.01,34.24,33.43,33.46,2976000,26.54
"2007-01-08",33.34,34.09,33.27,33.88,2619300,26.87
"2007-01-09",33.85,34.04,33.5,33.75,2282700,26.77
"2007-01-10",33.76,34.01,33.43,33.91,2064500,26.9
"2007-01-11",33.9,34.55,33.9,34.31,1607900,27.21
"2007-01-12",34.2,34.49,34.07,34.29,1468300,27.2
"2007-01-16",34.28,34.68,34.13,34.68,1795000,27.51
"2007-01-17",34.56,34.71,34.22,34.23,2665400,27.15
"2007-01-18",34.36,34.66,34.26,34.51,1270500,27.37
"2007-01-19",34.7,34.84,34.4,34.67,2104700,27.5
"2007-01-22",34.67,34.67,33.92,34.01,2198700,26.98
"2007-01-23",33.88,34.36,33.79,33.91,2827700,26.9
"2007-01-24",33.99,34.16,33.79,34,2282700,26.97
"2007-01-25",33.89,33.97,32.86,33.02,4715700,26.19
"2007-01-26",33.01,33.03,32.75,32.84,2917600,26.05
"2007-01-29",32.94,33.39,32.87,33.14,4032000,26.29
"2007-01-30",33.04,33.41,33.02,33.27,2192600,26.39
"2007-01-31",33.2,33.88,33.11,33.7,2457000,26.73
"2007-02-01",34.16,34.3,33.59,34.2,4495400,27.13
"2007-02-02",34.34,35.27,34.24,34.88,4621500,27.67
"2007-02-05",34.89,35.03,34.54,34.92,3036100,27.7
"2007-02-06",34.85,35.37,34.8,35.31,2220600,28.01
"2007-02-07",35.42,36.05,35.32,36.02,4481300,28.57
"2007-02-08",35.88,36.7,35.81,36.54,5424200,28.98
"2007-02-09",36.3,36.48,35.77,35.85,2763000,28.44
"2007-02-12",35.92,36.34,35.92,36.27,2678400,28.77
"2007-02-13",36.51,37.26,36.49,37.24,5328300,29.54
"2007-02-14",37,37.49,36.91,37.33,3401100,29.81
"2007-02-15",37.17,37.49,36.97,37.35,3536400,29.83
"2007-02-16",37.53,37.81,37.1,37.78,4427000,30.17
"2007-02-20",37.41,37.75,37.35,37.68,2587900,30.09
"2007-02-21",37.44,37.62,36.89,37.54,3969000,29.98
"2007-02-22",37.61,37.7,37.06,37.13,2121700,29.65
"2007-02-23",37.13,37.27,36.95,37.18,2671100,29.69
"2007-02-26",37.42,38,37.25,37.46,3478000,29.91
"2007-02-27",36.84,37,35.42,36.35,4144700,29.03
"2007-02-28",36.35,36.49,35.79,35.98,3555300,28.73
"2007-03-01",35.7,35.93,35.16,35.78,2752900,28.57
"2007-03-02",35.45,35.7,35.02,35.05,3249700,27.99
"2007-03-05",34.62,34.99,34.58,34.63,3394100,27.65
"2007-03-06",34.9,35.25,34.85,34.98,2522000,27.93
"2007-03-07",34.99,35.18,34.6,34.9,3268200,27.87
"2007-03-08",35.03,35.37,35.03,35.15,2787700,28.07
"2007-03-09",35.6,35.95,35.15,35.25,2828300,28.15
"2007-03-12",35.25,35.5,35.1,35.35,1551800,28.23
"2007-03-13",35.11,35.28,34.25,34.33,3254300,27.41
"2007-03-14",34.48,34.98,34.03,34.88,3724300,27.85
"2007-03-15",34.92,35.65,34.92,35.39,3105900,28.26
"2007-03-16",35.47,35.74,35.21,35.3,3429100,28.19
"2007-03-19",35.41,35.74,35.35,35.7,1939700,28.51
"2007-03-20",35.58,36.15,35.58,36.12,2430700,28.84
"2007-03-21",36.12,36.41,35.86,36.34,3553600,29.02
"2007-03-22",36.34,36.49,36.08,36.45,2082300,29.11
"2007-03-23",36.44,36.74,36.27,36.42,3667400,29.08
"2007-03-26",36.32,36.72,36.04,36.46,2990700,29.12
"2007-03-27",36.4,36.44,36.06,36.4,2940300,29.07
"2007-03-28",36.19,36.29,35.84,36,2638500,28.75
"2007-03-29",36.19,36.24,35.56,35.89,2875000,28.66
"2007-03-30",35.98,36.79,35.95,36.4,3808900,29.07
"2007-04-02",36.4,36.82,36.4,36.64,3289700,29.26
"2007-04-03",36.72,37.69,36.72,37.52,3371900,29.96
"2007-04-04",37.08,37.24,36.54,36.58,4588800,29.21
"2007-04-05",36.67,36.88,36.49,36.79,2401500,29.38
"2007-04-09",36.81,37.26,36.64,37.06,2457900,29.59
"2007-04-10",37.06,37.7,37.04,37.45,2749500,29.91
"2007-04-11",37.38,37.52,36.92,37.15,2797000,29.67
"2007-04-12",37.17,37.18,36.75,36.89,4110200,29.46
"2007-04-13",37.5,37.5,36.72,36.92,3428600,29.48
"2007-04-16",37,37.24,36.97,37.05,3127900,29.59
"2007-04-17",37.05,37.14,36.7,37.14,3837000,29.66
"2007-04-18",36.9,37.09,36.77,36.81,3406600,29.4
"2007-04-19",36.06,36.88,36.06,36.64,3037200,29.26
"2007-04-20",37,37.28,36.79,37.2,3438400,29.71
"2007-04-23",37.25,37.46,37.13,37.16,2349300,29.67
"2007-04-24",37.2,37.39,36.8,36.9,2826900,29.47
"2007-04-25",37.2,37.84,37.12,37.81,2402100,30.19
"2007-04-26",37.7,38.35,37.4,38.21,3435500,30.51
"2007-04-27",38.05,38.18,37.44,37.68,2350000,30.09
"2007-04-30",37.86,38.22,37.63,37.72,3646200,30.12
"2007-05-01",37.85,38.02,37.42,37.85,2810500,30.23
"2007-05-02",37.85,38.5,37.8,38.41,3725800,30.67
"2007-05-03",38.74,39.01,37.66,38.21,3333700,30.51
"2007-05-04",38.53,38.73,38,38.1,4242900,30.43
"2007-05-07",38,38.49,37.93,38.44,3588900,30.7
"2007-05-08",38.21,38.39,38.07,38.22,3502400,30.52
"2007-05-09",38.22,38.96,38.17,38.9,2467700,31.06
"2007-05-10",38.67,38.75,38.38,38.51,2526900,30.75
"2007-05-11",38.51,38.91,38.51,38.89,1869200,31.06
"2007-05-14",38.77,38.99,38.71,38.82,2180900,31
"2007-05-15",38.75,39.18,38.71,39.03,2436400,31.17
"2007-05-16",38.8,39.2,38.49,38.55,3754400,30.98
"2007-05-17",38.37,38.87,38.36,38.8,1882500,31.18
"2007-05-18",38.99,39.2,38.85,39.12,2197000,31.44
"2007-05-21",39.1,39.1,38.71,38.82,2870300,31.2
"2007-05-22",38.71,38.99,38.68,38.81,2219000,31.19
"2007-05-23",38.96,39.15,38.68,38.96,2758900,31.31
"2007-05-24",38.99,39.29,38.48,38.49,4370000,30.93
"2007-05-25",38.7,39.09,38.7,38.95,2633300,31.3
"2007-05-29",38.83,38.92,38.49,38.65,2831100,31.06
"2007-05-30",38.56,39.1,38.52,38.87,3515000,31.24
"2007-05-31",38.88,39.5,38.88,39.17,3416900,31.48
"2007-06-01",39.4,39.76,39.22,39.58,3029600,31.81
"2007-06-04",39.38,39.94,39.3,39.88,1766300,32.05
"2007-06-05",39.57,39.69,39.21,39.33,3287100,31.61
"2007-06-06",39.08,39.1,38.55,38.87,3000700,31.24
"2007-06-07",38.79,38.87,38.08,38.09,2638100,30.61
"2007-06-08",38.01,38.4,37.64,38.38,2174900,30.85
"2007-06-11",38.14,38.15,37.39,37.92,2935200,30.48
"2007-06-12",37.66,38.03,36.99,37.09,3828800,29.81
"2007-06-13",37.21,37.79,37.14,37.78,2815500,30.36
"2007-06-14",37.78,38.17,37.6,37.65,2984100,30.26
"2007-06-15",37.89,38.45,37.71,38.33,4426600,30.81
"2007-06-18",38.54,38.85,38.48,38.62,2254600,31.04
"2007-06-19",38.62,38.97,38.47,38.93,2047900,31.29
"2007-06-20",38.89,39.01,38.36,38.38,1982500,30.85
"2007-06-21",38.39,38.93,38.05,38.91,2498800,31.27
"2007-06-22",38.7,38.94,38.4,38.79,3635900,31.18
"2007-06-25",38.9,39.18,38.31,38.51,2426400,30.95
"2007-06-26",38.6,38.81,37.94,38.01,3467000,30.55
"2007-06-27",37.76,38.07,37.62,37.89,3203100,30.45
"2007-06-28",37.9,38.58,37.84,38.28,2255400,30.77
"2007-06-29",38.5,39.29,38.45,39.05,3023500,31.38
"2007-07-02",39,39.01,38.07,38.72,4024300,31.12
"2007-07-03",38.72,39.17,38.48,39,1094200,31.34
"2007-07-05",39,40.04,38.93,40.01,4496500,32.16
"2007-07-06",39.79,39.83,39.19,39.33,2665100,31.61
"2007-07-09",39.49,39.68,39.2,39.62,1851200,31.84
"2007-07-10",39.13,39.35,38.54,38.81,3348000,31.19
"2007-07-11",38.61,39.09,38.34,38.99,2680800,31.34
"2007-07-12",39.3,39.89,38.99,39.84,3505100,32.02
"2007-07-13",39.87,40.84,39.75,40.79,3542000,32.78
"2007-07-16",40.41,40.53,39.8,40.01,3834000,32.16
"2007-07-17",39.94,40.57,39.88,40.18,3526000,32.29
"2007-07-18",40,40.99,39.88,40.92,4478500,32.89
"2007-07-19",40.87,41.57,40.75,41.46,3606600,33.32
"2007-07-20",41.43,41.43,40.04,40.3,3803500,32.39
"2007-07-23",40.59,41.17,40.28,40.77,3055200,32.77
"2007-07-24",40.55,40.99,40.1,40.24,3203100,32.34
"2007-07-25",40.37,40.49,38.86,38.98,4775600,31.33
"2007-07-26",38.64,38.76,36.83,37.5,5599700,30.14
"2007-07-27",37.5,38.24,36.61,36.72,4564300,29.51
"2007-07-30",36.79,37.74,36.61,37.4,3576100,30.06
"2007-07-31",37.52,38.39,37.04,37.07,3524900,29.79
"2007-08-01",37.04,37.23,36.1,36.89,4927700,29.65
"2007-08-02",37.1,37.1,35.25,35.59,7855700,28.6
"2007-08-03",35.69,36.04,34.83,34.86,5588600,28.02
"2007-08-06",34.88,35.33,34.04,34.5,5535000,27.73
"2007-08-07",33.73,34.97,33.73,34.73,5620300,27.91
"2007-08-08",35.03,35.48,34.77,35.4,5817700,28.45
"2007-08-09",35.4,35.57,33.63,33.65,5530800,27.04
"2007-08-10",33.59,34.25,33.12,33.73,6139900,27.11
"2007-08-13",33.58,34.03,33.06,33.35,5169900,27
"2007-08-14",33.47,33.59,32.16,32.8,7716900,26.56
"2007-08-15",32.8,33.05,31.77,31.88,5442400,25.81
"2007-08-16",31.83,32.73,31.05,32.32,7797200,26.17
"2007-08-17",33.32,33.71,32.54,33.07,4835200,26.78
"2007-08-20",32.3,33.02,32.3,32.74,5010400,26.51
"2007-08-21",32.91,33.02,32.38,32.81,4092600,26.57
"2007-08-22",33.11,34.26,33,33.82,5163900,27.38
"2007-08-23",34.18,34.63,33.71,33.94,3748600,27.48
"2007-08-24",33.78,34.47,33.58,34.4,2905000,27.85
"2007-08-27",34.43,34.85,34.24,34.35,2669900,27.81
"2007-08-28",34.25,34.48,33.72,33.8,3639600,27.37
