"","IPG.Open","IPG.High","IPG.Low","IPG.Close","IPG.Volume","IPG.Adjusted"
"2007-01-03",12.23,12.35,12.08,12.24,3313000,11.38
"2007-01-04",12.19,12.37,12.13,12.32,4064900,11.45
"2007-01-05",12.28,12.38,12.17,12.28,4632000,11.42
"2007-01-08",12.29,12.29,12.18,12.24,5290800,11.38
"2007-01-09",12.22,12.39,12.21,12.36,4470000,11.49
"2007-01-10",12.47,12.85,12.47,12.78,12303400,11.88
"2007-01-11",12.84,13.11,12.8,13.04,9878200,12.12
"2007-01-12",13.09,13.8,13,13.37,11099000,12.43
"2007-01-16",13.49,13.82,13.41,13.81,7726500,12.84
"2007-01-17",13.82,13.94,13.73,13.79,9849600,12.82
"2007-01-18",13.79,13.87,13.64,13.7,10142100,12.74
"2007-01-19",13.7,13.73,13.5,13.65,6714000,12.69
"2007-01-22",13.65,13.69,13.44,13.53,5556200,12.58
"2007-01-23",13.53,13.67,13.45,13.47,5196000,12.52
"2007-01-24",13.5,13.58,13.4,13.42,3194600,12.48
"2007-01-25",13.46,13.49,13.24,13.3,4661600,12.36
"2007-01-26",13.34,13.54,13.27,13.36,3518900,12.42
"2007-01-29",13.28,13.35,13.16,13.17,3386900,12.24
"2007-01-30",13.21,13.27,13.12,13.19,3166400,12.26
"2007-01-31",13.2,13.27,13.09,13.16,3971000,12.23
"2007-02-01",13.19,13.3,13.14,13.27,2344500,12.34
"2007-02-02",13.27,13.34,13.16,13.18,2140800,12.25
"2007-02-05",13.13,13.22,13.08,13.14,3554100,12.21
"2007-02-06",13.19,13.29,13.09,13.18,7774400,12.25
"2007-02-07",13.17,13.24,13.1,13.12,4276300,12.2
"2007-02-08",13.15,13.18,13.09,13.15,2196000,12.22
"2007-02-09",13.13,13.26,12.89,12.92,3327800,12.01
"2007-02-12",12.92,13.01,12.64,12.67,4303700,11.78
"2007-02-13",12.61,12.64,12.38,12.45,14768100,11.57
"2007-02-14",12.47,12.61,12.46,12.55,3592700,11.67
"2007-02-15",12.48,12.6,12.4,12.55,3656400,11.67
"2007-02-16",12.49,12.65,12.45,12.55,2162300,11.67
"2007-02-20",12.85,12.87,12.58,12.78,5208500,11.88
"2007-02-21",12.69,12.72,12.62,12.72,2837100,11.82
"2007-02-22",12.73,12.89,12.71,12.8,2428400,11.9
"2007-02-23",12.76,13.22,12.76,13.18,8833000,12.25
"2007-02-26",13.16,13.2,13.07,13.18,4088300,12.25
"2007-02-27",13.19,13.19,12.78,12.91,5546800,12
"2007-02-28",12.88,12.88,12.4,12.59,9404000,11.7
"2007-03-01",12.58,12.58,12.28,12.45,6367900,11.57
"2007-03-02",12.51,12.51,12.25,12.32,4588300,11.45
"2007-03-05",12.22,12.29,12.12,12.17,3045700,11.31
"2007-03-06",12.21,12.42,12.1,12.39,6722300,11.52
"2007-03-07",12.32,12.37,12.15,12.23,5825900,11.37
"2007-03-08",12.26,12.38,12.2,12.29,3294600,11.42
"2007-03-09",12.39,12.46,12.3,12.43,2186100,11.55
"2007-03-12",12.36,12.64,12.26,12.57,2875700,11.68
"2007-03-13",12.5,12.67,12.32,12.35,3904800,11.48
"2007-03-14",12.3,12.43,12.2,12.38,6443900,11.51
"2007-03-15",12.35,12.64,12.3,12.59,3932700,11.7
"2007-03-16",12.6,12.76,12.4,12.42,6921500,11.55
