"","IR.Open","IR.High","IR.Low","IR.Close","IR.Volume","IR.Adjusted"
"2007-01-03",39.46,39.58,38.56,38.81,2140200,27.59
"2007-01-04",38.81,38.92,38.25,38.75,1931300,27.55
"2007-01-05",39.41,39.62,39,39.39,2994700,28
"2007-01-08",39.33,39.88,39,39.62,2609700,28.17
"2007-01-09",39.69,40.4,39.58,40.21,2983400,28.59
"2007-01-10",40.21,40.76,39.51,40.54,2384800,28.82
"2007-01-11",40.55,40.75,40.33,40.5,3117900,28.79
"2007-01-12",40.37,40.74,40.27,40.69,1712700,28.93
"2007-01-16",40.65,40.74,40.18,40.62,2444800,28.88
"2007-01-17",40.7,41.17,40.65,40.92,2089600,29.09
"2007-01-18",41.15,41.54,40.89,41.07,2042300,29.2
"2007-01-19",41.35,41.63,41.22,41.49,1770700,29.5
"2007-01-22",41.52,41.7,40.66,40.9,1963000,29.08
"2007-01-23",40.79,41.72,40.51,41.66,1574300,29.62
"2007-01-24",41.66,41.8,41.49,41.49,2213900,29.5
"2007-01-25",41.47,42.15,41.23,41.38,2483000,29.42
"2007-01-26",41.53,41.79,41.43,41.74,2664100,29.67
"2007-01-29",41.55,41.72,40.67,40.9,3767800,29.08
"2007-01-30",40.93,41.9,40.93,41.76,3442200,29.69
"2007-01-31",42.65,43.89,42.45,42.88,6125000,30.48
"2007-02-01",42.95,43.25,42.8,43.15,2736000,30.68
"2007-02-02",43.2,44,43.05,43.84,2702900,31.17
"2007-02-05",43.36,43.73,42.83,43.38,1732300,30.84
"2007-02-06",43.55,43.81,43.3,43.45,1573000,30.89
"2007-02-07",42.65,43.71,42.54,43.63,2782800,31.02
"2007-02-08",43.64,43.64,42.92,43.05,2908400,30.6
"2007-02-09",42.95,43.14,42.22,42.27,2108200,30.05
"2007-02-12",42.37,42.74,42.29,42.52,1511800,30.23
"2007-02-13",42.35,42.92,42.35,42.79,1895700,30.42
"2007-02-14",42.86,42.99,42.61,42.81,2613400,30.56
"2007-02-15",43,44.19,42.84,44.12,5028200,31.5
"2007-02-16",44.13,44.46,43.9,44.4,2552600,31.7
"2007-02-20",44.15,44.5,43.84,44.39,1835700,31.69
"2007-02-21",44.3,44.4,44.06,44.29,1337800,31.62
"2007-02-22",44.3,44.67,44.28,44.58,1793600,31.83
"2007-02-23",44.4,45.27,44.28,45.2,2366900,32.27
"2007-02-26",45.5,45.62,44.67,45.11,2340100,32.2
"2007-02-27",44.51,45.01,41.1,42.77,5001900,30.53
"2007-02-28",42.73,43.73,42.57,43.3,3412000,30.91
"2007-03-01",42.39,43.32,41.65,43.08,3938700,30.76
"2007-03-02",43.08,43.35,42.43,42.61,2746400,30.42
"2007-03-05",41.76,42.75,41.66,42.18,2869300,30.11
"2007-03-06",42.48,43.2,42.32,42.99,2176400,30.69
"2007-03-07",42.99,43.85,42.79,43.26,3323900,30.88
"2007-03-08",43.5,43.87,42.84,43.15,3416600,30.81
"2007-03-09",43.25,43.55,42.37,42.56,3070900,30.38
"2007-03-12",42.41,42.9,42.39,42.84,1756600,30.58
"2007-03-13",42.5,42.73,42.06,42.31,2784700,30.21
"2007-03-14",42.46,42.87,41.94,42.75,2327100,30.52
"2007-03-15",42.6,43.09,42.45,42.91,1504900,30.63
"2007-03-16",43.7,43.76,42.74,42.96,2689000,30.67
"2007-03-19",43.09,43.95,43.09,43.85,3355700,31.3
"2007-03-20",43.74,44.36,43.66,44.3,1647400,31.63
"2007-03-21",44.31,45.16,44.07,45.1,2854600,32.2
"2007-03-22",45.24,45.25,44.77,45.14,1873400,32.23
"2007-03-23",45.12,45.57,45.01,45.42,1217200,32.43
"2007-03-26",45.25,45.51,44.44,45.33,1471200,32.36
"2007-03-27",43.1,44.25,43.04,43.81,4196800,31.28
"2007-03-28",43.47,43.68,42.39,42.88,4309100,30.61
"2007-03-29",43.45,43.72,43.02,43.33,1877000,30.93
"2007-03-30",43.44,43.95,43.31,43.37,2460900,30.96
"2007-04-02",43.71,44.21,43.49,44.03,2832900,31.43
"2007-04-03",44.17,44.33,43.88,43.98,3473200,31.4
"2007-04-04",44.01,44.07,43.61,43.84,2735200,31.3
"2007-04-05",43.54,43.81,43.39,43.61,2383200,31.13
"2007-04-09",43.64,43.84,43.46,43.75,2427600,31.23
"2007-04-10",43.9,44.67,43.68,44.58,2480200,31.83
"2007-04-11",44.58,44.78,43.96,44.09,1960000,31.48
"2007-04-12",44.1,44.92,43.89,44.87,3398700,32.03
"2007-04-13",44.74,44.95,44.3,44.74,2097100,31.94
"2007-04-16",44.98,45.4,44.8,44.95,1952500,32.09
"2007-04-17",44.96,45,44.58,44.75,1728900,31.95
"2007-04-18",44.54,45.11,43.97,44.86,2082000,32.03
"2007-04-19",44.08,45.2,44.08,44.27,1786200,31.6
"2007-04-20",45.14,45.98,45.1,45.41,3579800,32.42
"2007-04-23",45.48,46,45.32,45.64,2460800,32.58
"2007-04-24",45.9,45.96,45.02,45.2,2197100,32.27
"2007-04-25",45.36,45.73,44.96,45.54,2061200,32.51
"2007-04-26",45.34,46.08,45.19,46.06,2414900,32.88
"2007-04-27",46.06,47.77,45.58,46.05,5714000,32.88
"2007-04-30",46,46,44.65,44.65,4045800,31.88
"2007-05-01",45.42,45.66,44.77,45.07,3337800,32.18
"2007-05-02",45.17,46.14,45.17,45.75,2251500,32.66
"2007-05-03",45.78,46.25,45.71,46.11,2664500,32.92
"2007-05-04",46.36,46.42,45.9,46.41,2493400,33.13
"2007-05-07",46.41,46.41,45.92,46.09,1355400,32.9
"2007-05-08",45.9,46.46,45.74,46.42,1205600,33.14
"2007-05-09",45.9,47.47,45.8,47.34,3062300,33.8
"2007-05-10",47.03,47.1,45.94,46.27,3247300,33.03
"2007-05-11",46.35,46.93,46.23,46.64,2392100,33.43
"2007-05-14",46.74,47.4,46.55,46.61,1373700,33.41
"2007-05-15",48.55,51.14,48.5,49.29,14903900,35.33
"2007-05-16",48.77,49.28,48.27,49.01,4196100,35.13
"2007-05-17",48.67,49.01,48.3,48.88,2047100,35.03
"2007-05-18",49.12,49.52,48.84,49.03,3533400,35.14
"2007-05-21",49.92,49.92,48.79,48.9,4002500,35.05
"2007-05-22",48.41,49.2,48.11,48.87,4949800,35.02
"2007-05-23",49.34,49.34,48.39,48.46,2475300,34.73
"2007-05-24",48.43,49.09,48.15,48.36,2294400,34.66
"2007-05-25",48.37,48.97,48.3,48.75,2417900,34.94
"2007-05-29",49.15,50,48.7,49.24,3609300,35.29
"2007-05-30",48.75,49.69,48.6,49.69,1806500,35.61
"2007-05-31",50,51.57,49.8,51.33,5780400,36.79
"2007-06-01",52.89,53,50.86,51.69,3272200,37.05
"2007-06-04",51.48,51.8,50.98,51.68,1548000,37.04
"2007-06-05",51.39,51.75,51.23,51.65,1808000,37.02
"2007-06-06",51.43,51.43,50.1,50.48,2813700,36.18
"2007-06-07",50.48,51.45,50.2,50.23,5228600,36
"2007-06-08",50.23,51.15,50.1,51.15,2892200,36.66
"2007-06-11",50.76,51.45,49.88,51.19,3384500,36.69
"2007-06-12",50.77,51.03,50.04,50.2,3508600,35.98
"2007-06-13",50.41,52.97,50.41,52.88,4898500,37.9
"2007-06-14",52.89,52.99,52.21,52.45,3974000,37.59
"2007-06-15",52.5,52.75,52.05,52.36,4648100,37.53
"2007-06-18",53.29,55,53.04,54.75,5406500,39.24
"2007-06-19",54.37,55.28,54.15,54.99,3984700,39.41
"2007-06-20",55.05,56.63,54.56,55.54,7892600,39.81
"2007-06-21",55.24,56.36,54.62,55.99,6530200,40.13
"2007-06-22",55.6,56.31,55.1,55.73,17817600,39.94
"2007-06-25",55.73,55.88,54.78,54.97,3872700,39.4
"2007-06-26",55.4,55.4,53.9,54.07,3780300,38.75
"2007-06-27",53.89,54.8,53.27,54.68,3157500,39.19
"2007-06-28",54.5,55.34,54.21,54.76,2146600,39.25
"2007-06-29",54.83,55.43,54.41,54.82,2623100,39.29
"2007-07-02",54.92,55.68,54.82,55.58,2652000,39.83
"2007-07-03",55.52,55.88,55.23,55.75,1302600,39.96
"2007-07-05",55.42,55.72,54.84,55.14,2147600,39.52
"2007-07-06",55.38,55.84,54.8,54.89,3238200,39.34
"2007-07-09",54.9,55.61,54.86,55.46,2359500,39.75
"2007-07-10",54.95,55.52,54.65,54.81,3753500,39.28
"2007-07-11",54.54,55.53,54.5,54.73,2547300,39.22
"2007-07-12",54.87,55.48,54.73,55.44,2702600,39.73
"2007-07-13",55.35,55.88,54.95,55.2,2126500,39.56
"2007-07-16",55.2,56.22,55.01,55.88,2136900,40.05
"2007-07-17",56.66,56.66,55.31,55.81,2375400,40
"2007-07-18",55.46,56.25,55.31,55.99,2454300,40.13
"2007-07-19",56.1,56.25,55.7,55.7,2386200,39.92
"2007-07-20",55.2,55.24,54.52,54.67,2801500,39.18
"2007-07-23",55.05,55.42,54.63,54.81,1966900,39.28
"2007-07-24",54.32,54.65,52.82,53,2983400,37.98
"2007-07-25",53.2,53.3,50.87,51.93,4494400,37.22
"2007-07-26",51.65,52,49.42,50.69,5093400,36.33
"2007-07-27",49.69,50.89,47.16,48.14,7064500,34.5
"2007-07-30",52.35,52.35,49.77,51.77,8432300,37.1
"2007-07-31",51.98,52.36,50.08,50.32,5373600,36.06
"2007-08-01",49.49,50.88,48.91,50.66,5550700,36.31
"2007-08-02",50.83,51.86,50.73,51.8,3209500,37.12
"2007-08-03",51.7,51.81,50.01,50.09,3075700,35.9
"2007-08-06",50.29,51.7,49.9,51.7,4059200,37.05
"2007-08-07",51.2,51.37,50.15,50.96,3738200,36.52
"2007-08-08",51.16,51.4,50.3,51.04,3307700,36.58
"2007-08-09",50.04,50.82,48.37,48.5,5249000,34.76
"2007-08-10",48.3,49.13,46.8,48.44,6636700,34.72
"2007-08-13",48.5,50.74,48.44,49.83,4043500,35.85
"2007-08-14",49.83,50.23,47.8,47.81,4178700,34.39
"2007-08-15",47.62,49.09,47.49,48.11,4271600,34.61
"2007-08-16",47.73,48,44.52,47.21,8319800,33.96
"2007-08-17",47.75,50.99,47.75,48.44,4674600,34.85
"2007-08-20",48.6,49.75,48.47,49.38,3050400,35.52
"2007-08-21",49.1,50.61,49.1,49.96,3130600,35.94
"2007-08-22",50.21,51.71,50,51.26,2867300,36.87
"2007-08-23",51.5,51.53,50.25,50.51,2404700,36.34
"2007-08-24",50.53,52.08,50.53,52.07,3068500,37.46
"2007-08-27",51.95,52.03,50.84,51,1508700,36.69
"2007-08-28",50.5,50.66,49.03,49.09,2469300,35.31
"2007-08-29",49.42,50.76,49.18,50.68,2159100,36.46
"2007-08-30",50.43,52,50,51.43,2301200,37
"2007-08-31",51.88,52.42,51.33,51.93,2120300,37.36
"2007-09-04",51.94,52.73,51.35,52.42,2930300,37.71
"2007-09-05",51.68,52.42,51.1,51.65,3080400,37.16
"2007-09-06",51.64,52.77,51.64,52.61,2476000,37.85
"2007-09-07",51.8,51.91,50.84,51.51,2973100,37.05
"2007-09-10",51.76,52.25,50.54,51.24,1675800,36.86
"2007-09-11",51.56,52.24,51.15,52.03,1894200,37.43
"2007-09-12",51.78,52.41,51.26,51.37,1890400,36.95
"2007-09-13",51.7,52.3,51.36,51.82,1753100,37.28
"2007-09-14",51.41,52.42,51.31,52.32,1815800,37.64
"2007-09-17",52.45,52.85,51.33,52.01,2215900,37.41
"2007-09-18",52.3,54.37,52.14,54.2,2769800,38.99
"2007-09-19",54.49,54.84,53.76,54.38,2888900,39.12
