"","IRM.Open","IRM.High","IRM.Low","IRM.Close","IRM.Volume","IRM.Adjusted"
"2007-01-03",27.58,28.02,27.19,27.51,761200,21.89
"2007-01-04",27.43,27.7,27.33,27.39,633100,21.79
"2007-01-05",27.34,27.36,27.04,27.22,455100,21.66
"2007-01-08",27.22,27.28,27,27.16,634200,21.61
"2007-01-09",27.16,27.35,27.12,27.26,367700,21.69
"2007-01-10",27.21,27.34,27.04,27.31,234600,21.73
"2007-01-11",27.21,27.58,27.21,27.4,358300,21.8
"2007-01-12",27.49,27.64,27.07,27.2,624300,21.64
"2007-01-16",27.19,27.4,26.81,26.97,957900,21.46
"2007-01-17",26.86,26.98,26.54,26.65,504200,21.21
"2007-01-18",26.64,26.78,26.45,26.46,378000,21.05
"2007-01-19",26.39,26.4,26.02,26.13,556000,20.79
"2007-01-22",26.13,26.65,26.13,26.53,1714300,21.11
"2007-01-23",26.42,26.47,26.22,26.27,501600,20.9
"2007-01-24",26.48,26.95,26.37,26.94,1579500,21.44
"2007-01-25",27.5,27.5,26.69,26.73,514600,21.27
"2007-01-26",26.75,26.82,26.6,26.76,453500,21.29
"2007-01-29",27.51,28.1,27.35,27.85,1090100,22.16
"2007-01-30",27.7,27.95,27.3,27.78,459900,22.1
"2007-01-31",27.79,28.15,27.51,27.98,564400,22.26
"2007-02-01",27.97,28.37,27.95,28.18,573200,22.42
"2007-02-02",28.15,28.55,28.03,28.5,709100,22.68
"2007-02-05",28.48,28.48,28.08,28.1,327500,22.36
"2007-02-06",28.03,28.07,27.85,28,284800,22.28
"2007-02-07",28,28.29,27.85,28.23,175200,22.46
"2007-02-08",28.1,28.33,27.97,28.24,227500,22.47
"2007-02-09",28.34,28.38,27.92,28.11,286300,22.37
"2007-02-12",27.99,28.14,27.78,27.96,318100,22.25
"2007-02-13",28.04,28.18,27.87,28.08,235000,22.34
"2007-02-14",28.15,28.46,27.83,28.41,453700,22.61
"2007-02-15",28.45,28.65,28.16,28.51,382900,22.69
"2007-02-16",28.52,28.99,28.47,28.91,594400,23
"2007-02-20",28.77,29,28.6,28.99,461800,23.07
"2007-02-21",28.9,29.05,28.78,29.04,349000,23.11
"2007-02-22",29.04,29.23,28.93,29.01,269000,23.08
"2007-02-23",28.96,29.05,28.83,29.03,161200,23.1
"2007-02-26",29.02,29.03,28.58,28.86,401700,22.96
"2007-02-27",28.55,28.68,27.85,28.11,515300,22.37
"2007-02-28",28,28.31,27.3,27.82,761400,22.14
"2007-03-01",27.6,27.71,27.19,27.5,844600,21.88
"2007-03-02",27.35,27.39,26.97,26.98,695700,21.47
"2007-03-05",26.75,26.99,26.5,26.51,298400,21.09
"2007-03-06",26.7,27.45,26.69,26.8,474200,21.32
"2007-03-07",26.77,27.25,26.69,27.16,516900,21.61
"2007-03-08",27.37,27.57,27.03,27.24,633100,21.67
"2007-03-09",27.4,27.52,27.16,27.22,452700,21.66
"2007-03-12",27.2,27.5,27.05,27.39,353100,21.79
"2007-03-13",27.38,27.38,26.52,26.55,551400,21.13
"2007-03-14",26.48,26.58,26.09,26.53,501500,21.11
"2007-03-15",26.5,26.61,26.27,26.46,493400,21.05
"2007-03-16",26.52,26.54,26.24,26.32,358900,20.94
"2007-03-19",26.45,26.5,26.15,26.42,474100,21.02
"2007-03-20",26.41,26.7,26.32,26.7,337600,21.25
"2007-03-21",26.7,27,26.39,26.64,602600,21.2
"2007-03-22",26.59,26.64,26.47,26.57,343700,21.14
"2007-03-23",26.5,26.69,26.38,26.67,332600,21.22
"2007-03-26",26.59,26.67,26.45,26.56,353400,21.13
"2007-03-27",26.5,26.57,26.2,26.23,488800,20.87
"2007-03-28",26.28,26.34,25.92,26.07,335300,20.74
"2007-03-29",26.15,26.25,25.97,26.07,301300,20.74
"2007-03-30",25.95,26.29,25.8,26.13,424900,20.79
"2007-04-02",26.1,26.23,25.92,26.1,638400,20.77
"2007-04-03",26.1,26.48,25.94,26.48,540700,21.07
"2007-04-04",26.5,26.6,26.4,26.41,433100,21.01
"2007-04-05",26.48,26.65,26.4,26.49,323800,21.08
"2007-04-09",26.45,26.64,26.36,26.49,271900,21.08
"2007-04-10",26.42,26.82,26.31,26.71,292200,21.25
"2007-04-11",26.76,26.76,26.02,26.51,503800,21.09
