"","JWN.Open","JWN.High","JWN.Low","JWN.Close","JWN.Volume","JWN.Adjusted"
"2007-01-03",50,51.39,50,51.39,5144800,43.8
"2007-01-04",51.39,52.64,51.19,52.26,4253200,44.54
"2007-01-05",52.26,52.26,51.15,51.28,2665400,43.71
"2007-01-08",51.28,51.99,51,51.55,2271500,43.94
"2007-01-09",51.54,52.2,51.15,52.11,2066900,44.42
"2007-01-10",52.18,52.53,51.82,52.36,1968100,44.63
"2007-01-11",52.56,53.75,52.45,53.53,2655600,45.63
"2007-01-12",53.55,55,53.47,54.81,3341500,46.72
"2007-01-16",54.78,55,54.15,54.96,1625800,46.85
"2007-01-17",54.96,55.25,54.35,54.6,1663700,46.54
"2007-01-18",54.09,55.8,54.09,55.53,2590500,47.33
"2007-01-19",55.54,55.54,54.5,55.03,2583600,46.9
"2007-01-22",55,55.03,53.65,54.22,1961300,46.21
"2007-01-23",54.2,54.67,53.67,53.94,1971900,45.98
"2007-01-24",54.21,55,53.97,54.96,1488500,46.85
"2007-01-25",54.96,54.99,53.4,53.54,1391300,45.63
"2007-01-26",53.85,54.16,53.28,53.65,1820300,45.73
"2007-01-29",53.7,54.51,53.26,54.44,1865300,46.4
"2007-01-30",54.85,54.95,53.6,54.53,2613100,46.48
"2007-01-31",54.53,55.99,54.3,55.71,1980800,47.48
"2007-02-01",56.7,57.1,56.03,56.94,2236800,48.53
"2007-02-02",56.94,57.05,56.34,56.68,1249100,48.31
"2007-02-05",56.81,57.25,56.4,56.5,1792900,48.16
"2007-02-06",56.75,57.1,56.3,56.7,2276900,48.33
"2007-02-07",56.72,57.03,56,56.84,1298700,48.45
"2007-02-08",56.84,57.1,56.3,56.98,1938400,48.57
"2007-02-09",57.25,57.5,56.43,56.88,1800400,48.48
"2007-02-12",57.55,57.7,56.63,56.74,2010200,48.36
"2007-02-13",56.9,57.7,56.76,57.66,1444400,49.15
"2007-02-14",57.8,58.88,57.76,58.62,2383400,49.96
"2007-02-15",58.5,58.96,58.06,58.72,1487900,50.05
"2007-02-16",58.53,58.6,57.93,58.46,1483100,49.83
