"","KEY.Open","KEY.High","KEY.Low","KEY.Close","KEY.Volume","KEY.Adjusted"
"2007-01-03",37.79,38.29,37.79,38.03,1951900,31.77
"2007-01-04",37.96,38.02,37.72,37.75,1610500,31.53
"2007-01-05",37.76,37.76,37.2,37.32,1561100,31.18
"2007-01-08",37.31,37.67,37.13,37.62,1587500,31.43
"2007-01-09",37.82,37.96,37.48,37.81,1874100,31.58
"2007-01-10",37.6,37.8,37.53,37.6,1261100,31.41
"2007-01-11",37.73,37.78,37.45,37.64,1030200,31.44
"2007-01-12",37.64,37.75,37.52,37.59,900300,31.4
"2007-01-16",37.55,37.63,37.35,37.53,1061600,31.35
"2007-01-17",37.59,37.64,37.38,37.49,1113600,31.32
"2007-01-18",37.03,37.86,37,37.46,1820900,31.29
"2007-01-19",37.75,38.18,37.44,37.88,1999800,31.64
"2007-01-22",37.77,37.98,37.41,37.6,1299400,31.41
"2007-01-23",37.57,37.85,37.39,37.78,1885700,31.56
"2007-01-24",37.8,38.02,37.71,37.97,1507100,31.72
"2007-01-25",37.97,38.05,37.78,37.85,1795800,31.62
"2007-01-26",37.82,38.1,37.7,38,1101600,31.74
"2007-01-29",38.01,38.1,37.75,37.75,1662600,31.53
"2007-01-30",37.76,38.04,37.62,38.04,1604200,31.78
"2007-01-31",37.9,38.3,37.8,38.17,1141200,31.89
"2007-02-01",38.17,38.42,38.1,38.38,1627700,32.06
"2007-02-02",38.4,38.88,38.4,38.77,1949900,32.39
"2007-02-05",38.76,38.97,38.54,38.77,1497100,32.39
"2007-02-06",38.79,39.26,38.74,39.1,1427000,32.66
"2007-02-07",39.01,39.5,38.97,39.38,1405800,32.9
"2007-02-08",39.23,39.37,38.96,39.31,2294300,32.84
"2007-02-09",39.17,39.39,38.83,39.05,1314300,32.62
"2007-02-12",39.16,39.25,38.87,38.89,1817200,32.49
"2007-02-13",38.89,39.1,38.55,38.97,2162500,32.55
"2007-02-14",39,39.49,38.93,39.37,1500200,32.89
"2007-02-15",39.31,39.62,39.19,39.29,1591200,32.82
"2007-02-16",39.21,39.6,39.2,39.5,1725100,33
