"","KIM.Open","KIM.High","KIM.Low","KIM.Close","KIM.Volume","KIM.Adjusted"
"2012-11-30",24.62,24.8,24.5,24.65,1420700,23
"2012-12-03",24.55,24.9,24.55,24.65,516900,23
"2012-12-04",24.6,24.8,24.55,24.7,528400,23.04
"2012-12-05",24.7,24.75,24.5,24.67,354800,23.01
"2012-12-06",24.7,24.8,24.62,24.79,612100,23.13
"2012-12-07",24.85,24.85,24.65,24.74,174100,23.08
"2012-12-10",24.7,25.05,24.25,24.95,172400,23.28
"2012-12-11",24.76,24.95,24.75,24.9,369200,23.23
"2012-12-12",24.78,24.9,24.7,24.75,123700,23.09
"2012-12-13",25.05,25.05,24.73,24.75,112300,23.09
"2012-12-14",24.8,24.8,24.66,24.75,57000,23.09
"2012-12-17",24.76,24.76,24.68,24.71,28400,23.05
"2012-12-18",24.8,24.8,24.7,24.78,442100,23.12
"2012-12-19",24.8,24.8,24.71,24.75,31000,23.09
"2012-12-20",24.8,24.85,24.71,24.71,38500,23.05
"2012-12-21",24.75,24.75,24.71,24.73,82800,23.07
"2012-12-24",24.75,24.77,24.71,24.75,19100,23.09
"2012-12-26",24.8,24.8,24.72,24.72,62700,23.06
"2012-12-27",24.75,24.79,24.7,24.79,41600,23.13
"2012-12-28",24.75,24.8,24.7,24.79,57100,23.13
"2012-12-31",24.79,24.87,24.75,24.87,27600,23.2
"2013-01-02",24.87,25.04,24.87,25,54900,23.32
"2013-01-03",25,25.17,24.98,25.03,85500,23.35
"2013-01-04",25.07,25.14,25,25.14,76700,23.45
"2013-01-07",25.18,25.19,25.1,25.13,97300,23.44
"2013-01-08",25.15,25.16,25.06,25.15,52900,23.46
"2013-01-09",25.15,25.23,25.12,25.22,115100,23.53
"2013-01-10",25.22,25.34,25.19,25.34,34400,23.64
"2013-01-11",25.33,25.44,25.3,25.42,51300,23.71
"2013-01-14",25.39,25.39,25.28,25.32,43400,23.62
"2013-01-15",25.34,25.34,25.18,25.23,50800,23.54
"2013-01-16",25.21,25.33,25.15,25.33,89400,23.63
"2013-01-17",25.3,25.3,25.2,25.24,176700,23.55
"2013-01-18",25.27,25.28,25.13,25.28,113200,23.58
"2013-01-22",25.16,25.24,25.1,25.15,31500,23.46
"2013-01-23",25.1,25.2,25.03,25.05,31100,23.37
"2013-01-24",25.08,25.11,24.99,24.99,33300,23.31
"2013-01-25",25.05,25.07,24.95,25,80000,23.32
"2013-01-28",25.05,25.06,24.9,24.99,39100,23.31
"2013-01-29",24.95,24.97,24.85,24.95,41700,23.28
"2013-01-30",24.99,24.99,24.87,24.9,18700,23.23
"2013-01-31",24.88,25,24.86,24.86,34400,23.19
"2013-02-01",24.95,25.05,24.89,25.04,29600,23.36
"2013-02-04",25.06,25.06,24.92,24.96,27000,23.29
"2013-02-05",24.94,25.17,24.94,25.1,65000,23.42
"2013-02-06",25.1,25.1,24.88,24.95,72800,23.28
"2013-02-07",24.99,25.06,24.95,25.04,51900,23.36
"2013-02-08",25.09,25.09,25.02,25.08,36000,23.4
"2013-02-11",25.1,25.15,25,25,56400,23.32
"2013-02-12",25.1,25.13,25.01,25.06,39700,23.38
"2013-02-13",25.14,25.14,25.03,25.11,25200,23.43
"2013-02-14",25.12,25.17,25.04,25.17,21700,23.48
"2013-02-15",25.16,25.2,25.15,25.2,25500,23.51
"2013-02-19",25.19,25.24,25.19,25.24,68900,23.55
"2013-02-20",25.24,25.25,25.09,25.25,55100,23.56
"2013-02-21",25.18,25.22,25.14,25.22,29600,23.53
"2013-02-22",25.23,25.38,25.21,25.35,42400,23.65
"2013-02-25",25.39,25.47,25.35,25.39,33700,23.69
"2013-02-26",25.47,25.47,25.27,25.44,42000,23.73
"2013-02-27",25.46,25.61,25.32,25.32,43100,23.62
"2013-02-28",25.31,25.44,25.2,25.37,110700,23.67
"2013-03-01",25.35,25.45,25.35,25.45,16200,23.74
"2013-03-04",25.5,25.53,25.46,25.53,16100,23.82
"2013-03-05",25.5,25.69,25.36,25.68,49000,23.96
"2013-03-06",25.51,25.62,25.51,25.55,67300,23.84
"2013-03-07",25.6,25.8,25.52,25.65,57200,23.93
"2013-03-08",25.63,25.65,25.42,25.42,29800,23.71
"2013-03-11",25.51,25.51,25.35,25.42,83200,23.71
"2013-03-12",25.43,25.52,25.39,25.41,52700,23.7
"2013-03-13",25.47,25.59,25.44,25.52,16000,23.81
"2013-03-14",25.54,25.65,25.45,25.65,11500,23.93
"2013-03-15",25.51,25.6,25.45,25.56,31700,23.84
"2013-03-18",25.59,25.62,25.5,25.55,43100,23.84
"2013-03-19",25.58,25.6,25.5,25.59,20700,23.87
"2013-03-20",25.55,25.65,25.55,25.58,54300,23.86
"2013-03-21",25.62,25.63,25.47,25.61,9400,23.89
"2013-03-22",25.61,25.63,25.58,25.58,9000,23.86
"2013-03-25",25.59,25.61,25.45,25.55,18800,23.84
"2013-03-26",25.58,25.61,25.55,25.57,10100,23.85
"2013-03-27",25.55,25.65,25.55,25.65,54600,23.93
"2013-03-28",25.4,25.41,25.3,25.31,8400,24.08
"2013-04-01",25.45,25.45,25.3,25.3,26800,24.07
"2013-04-02",25.35,25.38,25.3,25.35,28100,24.12
"2013-04-03",25.32,25.44,25.3,25.3,42100,24.07
"2013-04-04",25.37,25.45,25.34,25.34,10800,24.11
"2013-04-05",25.39,25.39,25.3,25.3,45100,24.07
"2013-04-08",25.38,25.39,25.32,25.32,15100,24.09
"2013-04-09",25.36,25.4,25.32,25.4,27400,24.17
"2013-04-10",25.4,25.45,25.36,25.4,21100,24.17
"2013-04-11",25.45,25.49,25.4,25.45,11300,24.21
"2013-04-12",25.45,25.59,25.41,25.59,6700,24.35
"2013-04-15",25.6,25.6,25.54,25.6,7400,24.36
"2013-04-16",25.6,25.63,25.52,25.59,16900,24.35
"2013-04-17",25.6,25.69,25.55,25.62,16200,24.38
"2013-04-18",25.66,25.66,25.49,25.49,9000,24.25
"2013-04-19",25.49,25.7,25.49,25.7,6900,24.45
"2013-04-22",25.68,25.69,25.42,25.69,67500,24.44
"2013-04-23",25.69,25.69,25.57,25.68,31300,24.43
"2013-04-24",25.7,25.7,25.62,25.68,8800,24.43
"2013-04-25",25.7,25.7,25.63,25.7,4400,24.45
"2013-04-26",25.7,25.7,25.66,25.7,3400,24.45
"2013-04-29",25.79,25.79,25.66,25.74,29700,24.49
"2013-04-30",25.77,25.89,25.7,25.82,10400,24.57
"2013-05-01",25.92,26.03,25.77,25.93,27700,24.67
"2013-05-02",25.98,26.11,25.86,25.97,20800,24.71
"2013-05-03",26.05,26.14,25.82,25.92,19800,24.66
"2013-05-06",25.92,26.1,25.79,25.92,17300,24.66
"2013-05-07",25.8,25.98,25.79,25.98,20000,24.72
"2013-05-08",25.95,26,25.89,25.9,29000,24.64
"2013-05-09",25.98,26,25.92,25.97,10300,24.71
"2013-05-10",25.97,26,25.87,26,15300,24.74
"2013-05-13",26,26.04,25.89,25.96,20200,24.7
"2013-05-14",25.91,25.96,25.79,25.81,25000,24.56
"2013-05-15",25.78,25.81,25.74,25.74,9700,24.49
"2013-05-16",25.75,25.87,25.75,25.82,4900,24.57
"2013-05-17",25.83,25.92,25.78,25.92,8800,24.66
"2013-05-20",25.88,26.06,25.83,25.9,13200,24.64
"2013-05-21",25.98,26.01,25.87,25.94,28100,24.68
"2013-05-22",25.98,26.01,25.88,26,21400,24.74
"2013-05-23",26,26.01,25.84,25.89,12800,24.63
"2013-05-24",25.94,25.96,25.75,25.77,23000,24.52
"2013-05-28",25.98,25.99,25.77,25.79,9200,24.54
"2013-05-29",25.96,25.96,25.46,25.84,35600,24.59
"2013-05-30",25.95,25.95,25.63,25.7,3800,24.45
"2013-05-31",25.8,25.8,25.21,25.21,42700,23.99
"2013-06-03",25.58,25.58,24.78,24.78,19500,23.58
"2013-06-04",24.98,25.06,24.6,24.72,24700,23.52
"2013-06-05",24.62,24.72,24.54,24.66,31500,23.46
"2013-06-06",24.76,24.97,24.6,24.97,23300,23.76
"2013-06-07",24.98,25.08,24.88,25.04,9000,23.82
"2013-06-10",25.09,25.09,24.85,24.94,9900,23.73
"2013-06-11",24.7,24.92,24.24,24.24,45900,23.06
"2013-06-12",24.26,24.53,23.2,23.44,64300,22.3
"2013-06-13",23.44,23.86,22.82,23.73,39800,22.58
