"","KMX.Open","KMX.High","KMX.Low","KMX.Close","KMX.Volume","KMX.Adjusted"
"2007-01-03",53.64,55.29,52.37,55.29,5612000,27.65
"2007-01-04",54.6,55.68,54.16,55.4,2077000,27.7
"2007-01-05",55.15,56.79,54.95,56.19,3042000,28.09
"2007-01-08",55.8,56.36,54.97,55.4,2630800,27.7
"2007-01-09",55.41,55.84,54.9,55.64,1602200,27.82
"2007-01-10",55.69,55.96,54.04,55.79,1565000,27.9
"2007-01-11",55.98,57.13,55.96,56.82,1637800,28.41
"2007-01-12",57,57.17,56.45,56.93,1286000,28.47
"2007-01-16",57.15,58.27,57.15,57.45,1659600,28.73
"2007-01-17",57.35,57.65,57.26,57.32,1041000,28.66
"2007-01-18",57.45,57.55,56.92,57.1,1368600,28.55
"2007-01-19",56.97,57.6,56.82,57.55,952200,28.77
"2007-01-22",57.45,57.79,56.21,56.89,1252200,28.44
"2007-01-23",56.9,58.37,56.64,57.98,1297200,28.99
"2007-01-24",58,58.53,57.9,58.49,1062600,29.25
"2007-01-25",58.49,58.53,56.92,57.11,1075200,28.56
"2007-01-26",57.16,57.41,56.23,57.09,1047400,28.55
"2007-01-29",57.07,58.89,57,58.35,1819200,29.17
"2007-01-30",58.49,58.89,57.35,57.65,2156200,28.83
"2007-01-31",57.42,57.97,56.91,57.43,1742800,28.72
"2007-02-01",57.49,58.17,57.45,57.99,1340400,29
"2007-02-02",58.07,58.12,57.1,57.55,1709800,28.77
"2007-02-05",58.6,58.6,57,57.15,2149800,28.58
"2007-02-06",57.36,57.78,56.76,57.49,1537800,28.75
"2007-02-07",57.5,57.51,55.81,56.18,2576000,28.09
"2007-02-08",56.18,56.33,55.59,55.95,2148600,27.98
"2007-02-09",55.82,56.18,54.81,54.85,1714200,27.42
"2007-02-12",54.85,55.4,54.5,54.59,2171000,27.3
"2007-02-13",54.59,55.29,54.59,55.12,1918200,27.56
"2007-02-14",55.44,56.69,55.32,56.61,2628200,28.31
"2007-02-15",56.74,56.86,56.15,56.43,1220200,28.22
"2007-02-16",56.46,56.68,56,56.24,642600,28.12
"2007-02-20",56.21,56.4,55.59,55.87,1330400,27.93
"2007-02-21",55.52,55.99,55.1,55.56,1507000,27.78
"2007-02-22",55.73,56.06,55.5,56,1417800,28
"2007-02-23",56.5,57.34,56.37,56.75,2025600,28.38
"2007-02-26",56.95,57,55.7,55.93,2669000,27.97
"2007-02-27",55.2,55.55,52.22,53.19,3899600,26.59
"2007-02-28",54.14,54.24,52.04,52.7,4066400,26.35
"2007-03-01",52.18,52.4,50.25,51.7,2944800,25.85
"2007-03-02",51.7,51.71,49.82,50,3888800,25
"2007-03-05",49.4,49.66,48.49,48.49,3398800,24.25
"2007-03-06",50.35,51.59,49.91,51.29,4347200,25.65
"2007-03-07",51.14,53.27,50.75,52.48,3326000,26.24
"2007-03-08",53.06,53.8,53.06,53.45,3174000,26.73
"2007-03-09",53.5,53.5,52.9,52.95,1929600,26.48
"2007-03-12",52.96,52.96,51.55,52.16,2596200,26.08
"2007-03-13",51.96,51.96,50.45,50.82,4039000,25.41
"2007-03-14",50.9,51.16,48,49.25,7410600,24.62
"2007-03-15",49.07,50.53,49.07,50.38,3514400,25.19
"2007-03-16",50.45,51.09,50.24,51,2973600,25.5
"2007-03-19",51.4,54.32,51.25,54.07,5122400,27.03
"2007-03-20",54.06,54.06,53.43,53.9,2501800,26.95
"2007-03-21",54.07,54.85,53.14,54.56,1933000,27.28
"2007-03-22",54.6,54.78,53.41,53.95,1670200,26.98
"2007-03-23",53.88,54,53.34,53.49,1977800,26.75
"2007-03-26",53.56,54.3,53.02,53.75,3458800,26.88
"2007-03-27",27.21,27.5,26.8,27.39,4609800,27.39
"2007-03-28",27.43,27.54,26.78,27.07,3127600,27.07
"2007-03-29",25.55,27.75,24.62,24.71,10043100,24.71
"2007-03-30",24.8,24.98,23.77,24.54,5748600,24.54
"2007-04-02",24.15,25,24.15,24.95,3758600,24.95
"2007-04-03",24.96,25.28,24.81,25,2657700,25
"2007-04-04",25,25.25,24.88,25.12,2865100,25.12
"2007-04-05",25.07,25.07,24.9,24.94,1694400,24.94
"2007-04-09",24.89,25.14,24.75,24.93,2243700,24.93
"2007-04-10",24.91,24.98,24.88,24.94,1909300,24.94
"2007-04-11",24.94,25,24.7,24.75,2153800,24.75
"2007-04-12",24.66,24.86,24.16,24.57,2208200,24.57
"2007-04-13",24.45,24.55,24.27,24.43,1411900,24.43
"2007-04-16",24.6,24.71,24.35,24.67,1478300,24.67
"2007-04-17",24.67,25.07,24.61,24.91,1766100,24.91
"2007-04-18",24.86,25.16,24.6,25.02,2595300,25.02
"2007-04-19",24.87,24.95,24.28,24.78,1901800,24.78
"2007-04-20",24.97,25.18,24.86,25.11,1803300,25.11
"2007-04-23",25.11,25.48,25,25.32,2008500,25.32
"2007-04-24",25.33,25.35,24.63,25.1,2487900,25.1
"2007-04-25",25.16,25.92,25.13,25.79,2948800,25.79
"2007-04-26",25.85,25.89,25.55,25.8,1814900,25.8
"2007-04-27",25.67,25.98,25.32,25.34,1672300,25.34
"2007-04-30",25.34,25.34,24.84,24.92,1928100,24.92
"2007-05-01",24.84,24.97,24.35,24.55,3466100,24.55
"2007-05-02",24.52,25.15,24.29,25.06,2266400,25.06
"2007-05-03",25.01,25.17,24.7,24.82,1411800,24.82
"2007-05-04",24.82,24.99,24.65,24.87,1003800,24.87
"2007-05-07",24.87,25.75,24.87,25.65,2301700,25.65
"2007-05-08",25.52,25.6,24.98,25.21,1217500,25.21
"2007-05-09",25.18,25.56,25.1,25.5,732200,25.5
"2007-05-10",25.28,25.5,24.95,24.98,1302500,24.98
"2007-05-11",24.97,25.25,24.8,25.09,673100,25.09
"2007-05-14",25.1,25.16,24.72,24.77,1251400,24.77
"2007-05-15",24.74,25.01,24.4,24.6,1947300,24.6
"2007-05-16",24.65,24.88,24.19,24.52,1561100,24.52
"2007-05-17",24.52,24.76,24.28,24.65,1047000,24.65
"2007-05-18",24.65,24.65,24.22,24.61,1763500,24.61
"2007-05-21",24.55,24.69,23.1,23.59,5831000,23.59
"2007-05-22",23.55,23.7,23.35,23.47,2745600,23.47
"2007-05-23",23.53,24.12,23.47,23.56,2911100,23.56
"2007-05-24",23.44,23.44,22.63,22.8,6701400,22.8
"2007-05-25",22.95,23,22.72,22.89,2082900,22.89
"2007-05-29",23,23.28,22.83,23.01,1729000,23.01
