"","KO.Open","KO.High","KO.Low","KO.Close","KO.Volume","KO.Adjusted"
"2007-01-03",48.36,48.88,48.28,48.58,15753400,19.66
"2007-01-04",48.42,48.7,48.25,48.6,11810400,19.67
"2007-01-05",48.5,48.57,48.17,48.26,11607000,19.53
"2007-01-08",48.01,48.67,48.01,48.57,17551000,19.65
"2007-01-09",48.54,48.83,48.46,48.61,13724000,19.67
"2007-01-10",48.49,48.79,48.37,48.68,8928000,19.7
"2007-01-11",48.75,48.87,48.6,48.74,11009600,19.72
"2007-01-12",48.6,48.67,48.25,48.55,13667200,19.65
"2007-01-16",48.48,48.69,48.34,48.5,12685200,19.63
"2007-01-17",48.53,48.86,48.48,48.6,14400200,19.67
"2007-01-18",48.42,49,48.2,48.35,15223000,19.57
"2007-01-19",48.41,48.43,48.07,48.26,13008200,19.53
"2007-01-22",48.11,48.35,47.99,48.03,12198800,19.44
"2007-01-23",48.15,48.23,47.94,48.12,12149000,19.47
"2007-01-24",48.19,48.2,47.94,48.13,8641600,19.48
"2007-01-25",48.07,48.22,47.9,47.94,11596600,19.4
"2007-01-26",48,48.1,47.8,47.83,14459000,19.36
"2007-01-29",47.76,47.92,47.56,47.71,10077800,19.31
"2007-01-30",47.83,47.95,47.64,47.81,8986000,19.35
"2007-01-31",47.8,47.97,47.49,47.88,10604400,19.38
"2007-02-01",47.99,48.27,47.85,48.1,10398600,19.46
"2007-02-02",48.1,48.41,48.04,48.24,10703600,19.52
"2007-02-05",48.11,48.24,47.84,47.9,9192800,19.38
"2007-02-06",48,48.16,47.86,48.05,11168800,19.44
"2007-02-07",48.03,48.13,47.86,48.03,9242400,19.44
"2007-02-08",47.95,48.05,47.65,47.86,9076600,19.37
"2007-02-09",47.72,47.99,47.64,47.76,9828400,19.33
"2007-02-12",47.85,48.37,47.8,47.92,13925400,19.39
"2007-02-13",48.1,48.42,48.09,48.21,19411800,19.51
"2007-02-14",48.5,48.55,47.73,47.88,32846800,19.38
"2007-02-15",47.99,48.1,47.58,47.85,19195000,19.36
"2007-02-16",48,48.1,47.76,47.87,17492200,19.37
"2007-02-20",47.52,47.88,47.5,47.78,17828800,19.34
"2007-02-21",47.55,47.78,47.52,47.57,16489600,19.25
"2007-02-22",47.69,47.74,47.22,47.3,16721000,19.14
"2007-02-23",47.67,47.93,47.18,47.26,29516200,19.12
"2007-02-26",47.7,47.9,47.58,47.72,18709000,19.31
"2007-02-27",47.47,47.84,45.56,46.39,30318600,18.77
"2007-02-28",46.75,46.9,46.32,46.68,27629200,18.89
"2007-03-01",46.42,46.93,46.27,46.52,27342000,18.83
"2007-03-02",46.45,46.93,45.81,45.89,34050600,18.57
"2007-03-05",45.9,46.71,45.77,46.29,29572400,18.73
"2007-03-06",46.69,47.06,46.55,46.93,25097800,18.99
"2007-03-07",46.76,47,46.66,46.75,26321800,18.92
"2007-03-08",46.9,47.36,46.89,47.15,17422400,19.08
"2007-03-09",47.23,47.67,47.15,47.57,26127200,19.25
"2007-03-12",47.57,47.99,47.47,47.95,26009000,19.4
"2007-03-13",47.35,47.87,46.96,47.06,32198000,19.18
"2007-03-14",47.25,47.34,46.59,47.04,32553400,19.17
"2007-03-15",46.95,47.13,46.68,47.08,19059000,19.19
"2007-03-16",47.25,47.31,46.82,47.21,28231600,19.24
"2007-03-19",47.34,47.5,47.04,47.33,15513600,19.29
"2007-03-20",47.42,47.75,47.24,47.62,14456000,19.41
"2007-03-21",47.7,48.35,47.37,48.26,24361000,19.67
"2007-03-22",47.91,48.44,47.91,48.25,16486800,19.66
"2007-03-23",48.13,48.27,47.97,48.05,16012200,19.58
"2007-03-26",47.95,48.19,47.68,48.15,14385200,19.62
"2007-03-27",48,48.17,47.85,48.02,13230600,19.57
"2007-03-28",47.79,48.3,47.59,47.91,22657800,19.53
