"","KSS.Open","KSS.High","KSS.Low","KSS.Close","KSS.Volume","KSS.Adjusted"
"2007-01-03",68.2,69.22,66.44,67.08,6626900,61.82
"2007-01-04",67.8,68.7,67.22,67.68,5410700,62.37
"2007-01-05",68.37,68.47,66.55,66.8,3306200,61.56
"2007-01-08",66.35,66.58,65.84,66.25,4351400,61.06
"2007-01-09",66.24,66.9,66.22,66.65,3673700,61.43
"2007-01-10",67,67.8,66.19,67.62,3241900,62.32
"2007-01-11",67.4,68.21,67.4,68.08,2501500,62.74
"2007-01-12",67.7,68.36,67.31,68.25,2090000,62.9
"2007-01-16",68.55,68.87,67.83,67.94,2419000,62.61
"2007-01-17",67.87,68.85,67.58,67.98,2230400,62.65
"2007-01-18",68.1,69.93,68,69.83,5103100,64.36
"2007-01-19",69.9,69.9,69.13,69.53,2172100,64.08
"2007-01-22",69.33,69.49,67.63,68.58,2732800,63.2
"2007-01-23",68.85,69.45,68.48,69.08,2100600,63.67
"2007-01-24",69.45,69.96,69.24,69.58,1714100,64.13
"2007-01-25",69.5,69.79,68.5,68.54,2351100,63.17
"2007-01-26",68.54,69.28,68.24,68.95,1892600,63.55
"2007-01-29",69.99,70.37,69.35,69.62,2331300,64.16
"2007-01-30",69.6,69.83,68.85,69.26,1566900,63.83
"2007-01-31",69.1,71.1,69.1,70.91,2450500,65.35
"2007-02-01",71.05,72.9,70.77,72.82,3020300,67.11
"2007-02-02",72.8,73.72,72.59,73.15,2825000,67.42
"2007-02-05",73,73.08,71.92,72.01,1979000,66.37
"2007-02-06",72.36,73.54,72.36,73.18,1641500,67.44
"2007-02-07",73.2,73.47,72.64,73.42,1879700,67.67
"2007-02-08",74.15,74.24,72.27,72.5,2912400,66.82
"2007-02-09",72.9,73.05,72.24,72.47,1738400,66.79
"2007-02-12",72.72,73.02,71.78,71.83,1741500,66.2
"2007-02-13",71.99,72.37,71.8,72.32,1630200,66.65
"2007-02-14",72.3,73.24,72.01,73.03,2031800,67.31
"2007-02-15",73,73.62,72.55,73.58,1277000,67.81
"2007-02-16",73.35,73.92,73.05,73.82,1416000,68.03
"2007-02-20",73.46,74.63,73.02,74.24,1595300,68.42
"2007-02-21",73.71,74.09,73.39,73.64,1461700,67.87
"2007-02-22",73.15,73.3,71.8,72.92,2886600,67.2
"2007-02-23",72.97,73.3,72.35,72.6,1304800,66.91
"2007-02-26",72.6,72.82,71.43,71.86,2207400,66.23
"2007-02-27",70.61,70.86,68.56,69.02,3523900,63.61
"2007-02-28",69,69.55,68.31,69,3680200,63.59
"2007-03-01",68.02,68.69,65.56,67.53,4423400,62.24
"2007-03-02",69.9,71.94,69.07,71.26,8196300,65.67
"2007-03-05",70.51,71.49,70.19,70.19,2864800,64.69
"2007-03-06",70.68,71.66,70.03,70.72,4012700,65.18
"2007-03-07",70.75,71.27,70.23,71,2631100,65.43
"2007-03-08",71.6,73.44,71.49,72.76,3914000,67.06
"2007-03-09",73.19,73.4,72.26,72.82,1865300,67.11
"2007-03-12",73.72,73.73,72.65,73,2317600,67.28
"2007-03-13",72.42,72.79,70.98,71.53,3244900,65.92
"2007-03-14",71.78,71.95,69.61,70.75,4058900,65.2
"2007-03-15",72.1,72.99,71.1,72.77,2937300,67.07
"2007-03-16",72.79,72.9,71.82,71.96,2956900,66.32
"2007-03-19",72.65,73.09,72.37,72.97,2039200,67.25
"2007-03-20",72.85,73.97,72.35,73.74,2622400,67.96
"2007-03-21",73.66,74.58,73.26,74.06,2757100,68.25
"2007-03-22",73.22,74.75,73.22,74.2,2654500,68.38
"2007-03-23",75,75.79,73.88,75.43,3904700,69.52
"2007-03-26",74.7,76.04,74.23,75.95,3228800,70
"2007-03-27",75.46,76.18,74.62,76.03,4237700,70.07
"2007-03-28",75.1,76.2,74.63,75.75,4682900,69.81
"2007-03-29",76.15,76.41,75.18,76.22,3643700,70.25
"2007-03-30",76.21,77,76.15,76.61,3091400,70.61
"2007-04-02",76.5,77.61,76.05,77.49,2652200,71.42
"2007-04-03",77.78,78.56,77.74,78,3619400,71.89
"2007-04-04",78.04,78.13,77.59,77.98,2074000,71.87
"2007-04-05",77.8,78.51,77.75,78.38,1598200,72.24
"2007-04-09",78.11,78.75,77.49,78.47,2491800,72.32
"2007-04-10",78.4,78.53,77.53,77.75,2730800,71.66
"2007-04-11",77.8,78.07,76.59,77.2,2782200,71.15
"2007-04-12",76.71,78.8,75.78,77.98,3250200,71.87
"2007-04-13",78,78.29,76.77,77.24,2372700,71.19
"2007-04-16",77.3,77.3,76.25,76.77,2796700,70.75
"2007-04-17",77.07,78,76.66,77.95,2158000,71.84
"2007-04-18",77.92,78.7,77.71,78.31,2047600,72.17
