"","L.Open","L.High","L.Low","L.Close","L.Volume","L.Adjusted"
"2007-01-03",41.5,41.84,41.14,41.23,1319300,39.29
"2007-01-04",41.11,41.12,40.65,40.74,1709100,38.83
"2007-01-05",40.55,40.68,40.29,40.37,1795000,38.47
"2007-01-08",40.3,40.46,40.21,40.37,1385800,38.47
"2007-01-09",40.62,41.43,40.52,41.19,2366900,39.26
"2007-01-10",41.19,41.52,41.06,41.43,2565100,39.48
"2007-01-11",41.66,42.33,41.66,42,2067700,40.03
"2007-01-12",42,42.5,41.95,42.26,1635000,40.28
"2007-01-16",42.27,42.4,41.8,42.25,1128900,40.27
"2007-01-17",42.16,42.52,41.99,42.21,1446400,40.23
"2007-01-18",42.36,42.69,41.97,42.05,1434500,40.08
"2007-01-19",42.33,42.94,42.33,42.44,1467500,40.45
"2007-01-22",42.56,42.67,42.07,42.24,1184500,40.26
"2007-01-23",42.24,42.59,42.11,42.35,1216500,40.36
"2007-01-24",42.44,42.64,42.19,42.5,1377300,40.5
"2007-01-25",42.42,42.79,42.03,42.08,1146700,40.1
"2007-01-26",42.1,42.51,42.03,42.43,1531900,40.44
"2007-01-29",42.44,42.93,42.28,42.77,1899200,40.76
"2007-01-30",42.78,43,42.67,42.88,1420200,40.87
"2007-01-31",42.93,43.62,42.88,43.46,1884900,41.42
"2007-02-01",43.6,44.11,43.5,44.04,1747700,41.97
"2007-02-02",44.27,44.27,43.51,43.58,3341900,41.53
"2007-02-05",43.49,44.01,43.49,43.92,1006500,41.86
"2007-02-06",44.05,44.22,43.74,43.92,1149800,41.86
"2007-02-07",44.1,44.25,43.56,43.71,1388100,41.66
"2007-02-08",43.58,44.2,43.23,43.86,2277600,41.8
"2007-02-09",44.2,44.22,42.56,42.84,3305800,40.83
"2007-02-12",43.5,44.2,42.65,43.46,2905600,41.42
"2007-02-13",43.55,44.6,43.51,44.56,1731900,42.47
"2007-02-14",43.89,44.37,43.77,44.05,2123100,41.98
"2007-02-15",43.9,44.48,43.89,44.32,2077500,42.24
"2007-02-16",44.14,44.34,43.95,44.01,1410400,41.94
"2007-02-20",44.15,44.25,43.8,44,1981800,41.93
"2007-02-21",43.94,44.23,43.84,44.09,1628700,42.02
"2007-02-22",44.24,44.34,44.07,44.17,1361400,42.1
"2007-02-23",44.26,44.35,43.93,44.09,1540200,42.02
"2007-02-26",44.1,44.19,43.64,43.89,2069800,41.83
"2007-02-27",43.67,43.84,42.38,42.54,2187800,40.6
"2007-02-28",42.54,43.78,42.54,43.4,2210600,41.42
"2007-03-01",43.1,43.55,42.46,43.41,1997200,41.43
"2007-03-02",43.34,43.46,42.52,42.53,1925000,40.59
"2007-03-05",42.37,42.78,42.22,42.26,1873000,40.33
"2007-03-06",42.65,43.29,42.44,43.28,2282400,41.31
"2007-03-07",43.12,43.5,42.9,43.17,2201300,41.2
"2007-03-08",43.74,43.96,43.5,43.73,1669800,41.74
"2007-03-09",44.11,44.19,43.6,43.9,1437700,41.9
"2007-03-12",43.9,44.07,43.79,44.02,1831400,42.01
"2007-03-13",43.7,44.1,43.49,43.49,2024500,41.51
"2007-03-14",43.57,43.8,42.76,43.59,1850600,41.6
"2007-03-15",43.29,44.12,43.12,43.87,1849100,41.87
"2007-03-16",44,44.12,43.61,43.7,2338500,41.71
"2007-03-19",43.9,44.66,43.9,44.59,1688200,42.56
"2007-03-20",44.66,45.19,44.61,45.16,1831600,43.1
"2007-03-21",45.17,45.93,45.04,45.93,1552900,43.84
"2007-03-22",46.23,46.32,45.71,45.79,1318900,43.7
"2007-03-23",45.96,46.29,45.79,45.96,874500,43.86
"2007-03-26",45.96,46.17,45.31,45.81,1090700,43.72
"2007-03-27",45.72,45.87,45.44,45.48,1318500,43.41
"2007-03-28",45.49,45.64,45.05,45.4,1071500,43.33
"2007-03-29",45.96,46.23,45.4,45.77,1295200,43.68
"2007-03-30",45.73,45.94,44.95,45.43,1725400,43.36
"2007-04-02",45.6,46.21,45.47,46.15,1389100,44.05
"2007-04-03",46.45,46.85,46.4,46.74,1354600,44.61
"2007-04-04",46.96,46.96,46.55,46.71,1396500,44.58
"2007-04-05",46.71,46.95,46.39,46.81,1014200,44.68
"2007-04-09",47.2,47.28,46.58,46.63,1320600,44.5
"2007-04-10",46.63,46.89,46.57,46.67,1232700,44.54
"2007-04-11",46.73,46.91,46.11,46.22,1575000,44.11
"2007-04-12",45.96,46.37,45.8,46.32,1106900,44.21
"2007-04-13",46.47,46.62,46.34,46.54,885700,44.42
"2007-04-16",47.25,47.25,46.71,47.05,784000,44.9
"2007-04-17",47.05,47.41,46.99,47.06,918100,44.91
"2007-04-18",46.82,47,46.67,46.72,1549700,44.59
"2007-04-19",47.41,47.41,46.06,46.11,1896300,44.01
"2007-04-20",46.88,46.88,46.1,46.44,2545500,44.32
"2007-04-23",46.36,46.6,46.06,46.1,1160700,44
"2007-04-24",45.75,46.3,45.61,46.15,1741800,44.05
"2007-04-25",46.48,47.34,46.42,47.15,1473600,45
"2007-04-26",46.3,47.28,46.3,46.94,1221000,44.8
"2007-04-27",46.09,47.2,46.09,46.64,1941000,44.51
"2007-04-30",47,47.89,47,47.32,2142600,45.16
"2007-05-01",47.5,47.65,46.83,47.38,1599600,45.22
"2007-05-02",47.28,47.81,47.28,47.72,1442700,45.54
"2007-05-03",47.97,48.13,47.75,48.05,1139900,45.86
"2007-05-04",48.3,48.3,47.73,47.93,918400,45.74
"2007-05-07",48.08,48.47,48.08,48.34,820700,46.14
"2007-05-08",48.34,48.4,47.78,48.39,1122600,46.18
"2007-05-09",48.25,48.64,48.11,48.62,1122200,46.4
"2007-05-10",48.4,48.44,47.96,48,828200,45.81
"2007-05-11",48.11,48.57,48.03,48.56,1296700,46.35
"2007-05-14",48.7,48.9,48.5,48.65,1743200,46.43
"2007-05-15",48.81,49.23,48.76,49.04,1864700,46.8
"2007-05-16",48.19,49.59,48.19,49.59,1748300,47.33
"2007-05-17",49.57,49.95,49.18,49.83,1503900,47.56
"2007-05-18",50.07,50.1,49.76,50.09,3318900,47.81
"2007-05-21",50.08,50.6,50.01,50.59,2843400,48.28
"2007-05-22",50.75,51.04,50.69,50.91,2179100,48.59
"2007-05-23",50.9,51.26,50.75,50.96,1724300,48.64
"2007-05-24",50.96,51.18,50.48,50.49,2979200,48.19
"2007-05-25",50.74,51.03,50.67,50.95,1255000,48.63
"2007-05-29",51.19,51.4,50.72,51.02,1423800,48.69
"2007-05-30",50.95,51.19,50.62,51.1,2004800,48.83
"2007-05-31",51.31,51.5,50.91,51.03,1554200,48.76
"2007-06-01",51.26,51.34,50.88,51.02,1773000,48.75
"2007-06-04",51.12,52.36,51.12,52.35,2090900,50.02
"2007-06-05",52.37,52.49,51.44,51.54,2218000,49.25
"2007-06-06",51.6,51.8,51.22,51.5,2757200,49.21
"2007-06-07",51.21,51.5,49.96,50.01,2758300,47.79
"2007-06-08",49.69,50.87,49.66,50.87,2199200,48.61
"2007-06-11",50.87,51.7,50.76,51.61,1968300,49.32
"2007-06-12",51.38,51.61,51,51,2057700,48.73
"2007-06-13",51.52,52.15,51.36,52.14,2483000,49.82
"2007-06-14",52.14,53.03,52.14,52.93,2860800,50.58
"2007-06-15",53.09,53.46,52.79,52.85,2334600,50.5
"2007-06-18",53.2,53.38,52.82,52.9,1416000,50.55
"2007-06-19",52.94,53.26,52.78,53.01,1532900,50.66
"2007-06-20",53.35,53.46,51.69,51.7,1490900,49.4
"2007-06-21",51.7,52.43,51.52,52.43,1771600,50.1
"2007-06-22",52.41,52.57,51.88,52.07,2300000,49.76
"2007-06-25",52.51,52.83,51.84,52.15,1685600,49.83
"2007-06-26",52.3,52.35,51.02,51.19,3258200,48.92
"2007-06-27",50.75,51.49,50.68,51.45,1930900,49.16
"2007-06-28",51.46,51.46,50.7,50.8,2090000,48.54
"2007-06-29",51.04,51.46,50.63,50.98,1849300,48.72
"2007-07-02",51.25,52.06,51.25,52,1583300,49.69
"2007-07-03",52.82,52.88,52.2,52.39,555200,50.06
"2007-07-05",52.45,52.64,51.56,51.87,1241700,49.57
"2007-07-06",51.98,52.16,51.62,52.06,961300,49.75
"2007-07-09",52.24,52.24,51.74,52.01,1151600,49.7
"2007-07-10",51.61,51.84,50.75,50.81,2385200,48.55
"2007-07-11",50.81,51.2,50.42,51.03,1428200,48.76
"2007-07-12",51.32,51.74,51.03,51.67,1289200,49.38
"2007-07-13",51.55,51.97,51.47,51.86,957300,49.56
"2007-07-16",51.8,51.89,51.09,51.09,1458900,48.82
"2007-07-17",51.01,51.12,50.6,50.71,1630100,48.46
"2007-07-18",50.71,50.71,50.03,50.61,2464800,48.36
"2007-07-19",51,51.34,50.82,51.14,1274400,48.87
"2007-07-20",51.12,51.18,50.3,51.12,2994600,48.85
"2007-07-23",52.3,52.73,51.23,51.63,1874600,49.34
"2007-07-24",51.35,51.41,50.22,50.33,2520000,48.09
