"","LEG.Open","LEG.High","LEG.Low","LEG.Close","LEG.Volume","LEG.Adjusted"
"2007-01-03",23.99,24,23.39,23.61,1133200,16.59
"2007-01-04",23.61,23.71,23.39,23.54,926200,16.54
"2007-01-05",23.42,23.57,23.3,23.46,832600,16.48
"2007-01-08",23.49,23.55,23.07,23.46,894100,16.48
"2007-01-09",23.53,23.55,23.14,23.44,1125700,16.47
"2007-01-10",23.37,23.49,23.29,23.49,813400,16.5
"2007-01-11",23.6,23.96,23.56,23.85,855400,16.75
"2007-01-12",23.85,23.87,23.67,23.84,718600,16.75
"2007-01-16",23.78,23.87,23.58,23.71,687800,16.66
"2007-01-17",23.71,23.94,23.71,23.76,684800,16.69
"2007-01-18",23.86,24.18,23.8,24.01,785900,16.87
"2007-01-19",24.05,24.23,23.91,24.15,938100,16.97
"2007-01-22",24.09,24.2,23.86,23.95,794000,16.82
"2007-01-23",23.95,24.47,23.92,24.14,819300,16.96
"2007-01-24",24.28,24.47,24.19,24.42,1064100,17.15
"2007-01-25",24.46,24.67,23.88,24.15,1202900,16.97
"2007-01-26",23.99,23.99,23.11,23.42,1718100,16.45
"2007-01-29",23.2,23.84,23.08,23.54,1957100,16.54
"2007-01-30",23.62,24.01,23.53,23.83,1219700,16.74
"2007-01-31",23.84,24.36,23.74,24.24,1182600,17.03
"2007-02-01",24.24,24.5,24.2,24.35,951300,17.11
"2007-02-02",24.35,24.71,24.2,24.48,1130000,17.2
"2007-02-05",24.38,24.45,24,24.12,1286200,16.94
"2007-02-06",24.21,24.43,24,24.43,1190200,17.16
"2007-02-07",24.41,24.5,24.2,24.33,766100,17.09
"2007-02-08",24.19,24.24,23.75,24.04,867000,16.89
"2007-02-09",24,24.18,23.98,24.13,790100,16.95
"2007-02-12",24.23,24.28,23.99,24.21,607600,17.01
"2007-02-13",24.29,24.5,24.18,24.32,813300,17.08
"2007-02-14",24.32,24.58,24.22,24.41,648700,17.15
"2007-02-15",24.36,24.55,24.3,24.47,496100,17.19
"2007-02-16",24.32,24.47,24.16,24.38,824900,17.13
"2007-02-20",24.28,24.47,24.19,24.45,673700,17.18
"2007-02-21",24.33,24.37,24.15,24.31,658500,17.08
"2007-02-22",24.39,24.45,24.07,24.18,1148600,16.99
"2007-02-23",24.21,24.3,23.96,24.24,1052400,17.03
"2007-02-26",24.24,24.31,23.94,24.07,663700,16.91
"2007-02-27",23.9,23.98,23.7,23.87,1691200,16.77
"2007-02-28",24,24.03,23.59,23.81,1993200,16.73
"2007-03-01",23.65,24.08,23.47,24,1903000,16.86
"2007-03-02",23.99,24.05,23.81,23.87,1163100,16.77
"2007-03-05",23.8,23.97,23.63,23.63,1333500,16.6
"2007-03-06",23.73,23.87,23.4,23.73,1599500,16.67
